PeakID (cmd=annotatePeaks.pl ENCAB506UYG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2289	chr14	64699005	64699430	+	0	NA	TTS (ESR2)	-TTS (ESR2)	50576	ESR2	ESR2	NR_073496			ESR2			NA
Interval_5955	chr4	23010771	23010966	+	0	NA	Intergenic	Intergenic	295156	GBA3	GBA3	NM_020973			GBA3			NA
Interval_3018	chr16	75498594	75498816	+	0	NA	promoter-TSS (TMEM170A)	-promoter-TSS (TMEM170A)	-70	TMEM170A	TMEM170A	NM_001304998			TMEM170A			NA
Interval_671	chr1	210546877	210547783	+	0	NA	intron (HHAT, intron 3 of 11)	-intron (HHAT, intron 3 of 11)	45080	HHAT	HHAT	NM_001122834			HHAT			NA
Interval_1457	chr11	115810450	115810755	+	0	NA	Intergenic	Intergenic	-179684	LINC00900	LINC00900	NR_034148			LINC00900			NA
Interval_2247	chr14	50531833	50532129	+	0	NA	intron (LINC01599, intron 2 of 8)	-intron (LINC01599, intron 2 of 8)	39780	LINC01599	LINC01599	NR_131171			LINC01599			NA
Interval_3261	chr17	36189481	36189685	+	0	NA	Intergenic	Intergenic	54780	YWHAEP7	YWHAEP7	NR_024178			YWHAEP7			NA
Interval_5248	chr22	36902962	36903344	+	0	NA	promoter-TSS (FOXRED2)	-promoter-TSS (FOXRED2)	-63	FOXRED2	FOXRED2	NM_001102371			FOXRED2			NA
Interval_2456	chr14	105957316	105957593	+	0	NA	promoter-TSS (C14orf80)	-promoter-TSS (C14orf80)	1262	C14orf80	C14orf80	NM_001134875			C14orf80			NA
Interval_4597	chr2	188734024	188734247	+	0	NA	Intergenic	Intergenic	-314916	TFPI	TFPI	NM_001032281			TFPI			NA
Interval_4921	chr20	43680191	43680476	+	0	NA	intron (STK4, intron 10 of 10)	-intron (STK4, intron 10 of 10)	49420	KCNS1	KCNS1	NM_002251			KCNS1			NA
Interval_95	chr1	16292613	16293036	+	0	NA	intron (ZBTB17, intron 2 of 15)	-intron (ZBTB17, intron 2 of 14)	9803	ZBTB17	ZBTB17	NM_003443			ZBTB17			NA
Interval_646	chr1	205257352	205257755	+	0	NA	Intergenic	Intergenic	33366	NUAK2	NUAK2	NM_030952			NUAK2			NA
Interval_3186	chr17	17800781	17801023	+	0	NA	intron (TOM1L2, intron 3 of 11)	-intron (TOM1L2, intron 3 of 13)	-60577	SREBF1	SREBF1	NM_001005291			SREBF1			NA
Interval_5209	chr22	26988298	26988647	+	0	NA	Intergenic	Intergenic	-2383	TPST2	TPST2	NM_003595			TPST2			NA
Interval_1944	chr12	125399235	125399525	+	0	NA	promoter-TSS (MIR5188)	-promoter-TSS (MIR5188)	207	UBC	UBC	NM_021009			UBC			NA
Interval_2463	chr14	106284236	106284673	+	0	NA	Intergenic	Intergenic	39890	MIR4507	MIR4507	NR_039730			MIR4507			NA
Interval_5099	chr21	36260418	36260730	+	0	NA	exon (RUNX1, exon 1 of 6)	-exon (RUNX1, exon 1 of 6)	142452	LINC01426	LINC01426	NR_038885			LINC01426			NA
Interval_5614	chr3	98452720	98452915	+	0	NA	intron (ST3GAL6, intron 1 of 9)	-intron (ST3GAL6, intron 1 of 10)	1269	ST3GAL6	ST3GAL6	NM_006100			ST3GAL6			NA
Interval_7138	chr6	139648109	139648533	+	0	NA	Intergenic	Intergenic	-35113	TXLNB	TXLNB	NM_153235			TXLNB			NA
Interval_3230	chr17	29862718	29863020	+	0	NA	TTS (MIR4724)	-TTS (MIR4724)	968	MIR4724	MIR4724	NR_039877			MIR4724			NA
Interval_4641	chr2	201337790	201338047	+	0	NA	intron (SPATS2L, intron 12 of 12)	-intron (SPATS2L, intron 12 of 12)	36874	KCTD18	KCTD18	NM_152387			KCTD18			NA
Interval_936	chr10	52191675	52191920	+	0	NA	intron (SGMS1, intron 6 of 10)	-intron (SGMS1, intron 6 of 10)	-183427	ASAH2	ASAH2	NM_001143974			ASAH2			NA
Interval_8181	chr9	93536999	93537201	+	0	NA	Intergenic	Intergenic	-26862	SYK	SYK	NM_001174168			SYK			NA
Interval_6796	chr6	17354961	17355153	+	0	NA	Intergenic	Intergenic	-38679	CAP2	CAP2	NM_006366			CAP2			NA
Interval_4920	chr20	43331428	43331756	+	0	NA	Intergenic	Intergenic	-12293	WISP2	WISP2	NM_003881			WISP2			NA
Interval_8138	chr9	66708016	66708322	+	0	NA	Intergenic	Intergenic	-154258	LOC403323	LOC403323	NR_122076			LOC403323			NA
Interval_7812	chr8	50164163	50164584	+	0	NA	Intergenic	Intergenic	179473	C8orf22	C8orf22	NM_001007176			C8orf22			NA
Interval_1735	chr12	57472487	57472842	+	0	NA	promoter-TSS (NEMP1)	-promoter-TSS (NEMP1)	-90	NEMP1	NEMP1	NM_015257			NEMP1			NA
Interval_7609	chr7	126336890	126337158	+	0	NA	intron (GRM8, intron 7 of 10)	-intron (GRM8, intron 6 of 9)	361214	MIR592	MIR592	NR_030323			MIR592			NA
Interval_6560	chr5	138518393	138518670	+	0	NA	intron (SIL1, intron 1 of 9)	-intron (SIL1, intron 2 of 10)	15534	SIL1	SIL1	NM_022464			SIL1			NA
Interval_828	chr10	6229338	6229545	+	0	NA	intron (PFKFB3, intron 1 of 14)	-intron (PFKFB3, intron 1 of 14)	-15399	PFKFB3	PFKFB3	NM_004566			PFKFB3			NA
Interval_2649	chr15	77290107	77290302	+	0	NA	intron (PSTPIP1, intron 1 of 14)	-intron (PSTPIP1, intron 1 of 14)	2739	PSTPIP1	PSTPIP1	NM_003978			PSTPIP1			NA
Interval_6396	chr5	78054004	78054487	+	0	NA	Intergenic	Intergenic	-109597	LHFPL2	LHFPL2	NM_005779			LHFPL2			NA
Interval_1644	chr12	25211575	25211803	+	0	NA	intron (LRMP, intron 1 of 19)	-intron (LRMP, intron 1 of 19)	6508	LRMP	LRMP	NM_006152			LRMP			NA
Interval_8282	chr9	126441765	126442065	+	0	NA	intron (DENND1A, intron 5 of 20)	-intron (DENND1A, intron 5 of 21)	-194014	MIR7150	MIR7150	NR_106972			MIR7150			NA
Interval_6471	chr5	114711374	114711986	+	0	NA	Intergenic	Intergenic	-79693	CCDC112	CCDC112	NM_001040440			CCDC112			NA
Interval_1029	chr10	94489757	94490052	+	0	NA	Intergenic	Intergenic	40223	HHEX	HHEX	NM_002729			HHEX			NA
Interval_6939	chr6	51795062	51795257	+	0	NA	intron (PKHD1, intron 37 of 60)	-intron (PKHD1, intron 37 of 66)	157264	PKHD1	PKHD1	NM_138694			PKHD1			NA
Interval_1550	chr12	4378803	4378996	+	0	NA	intron (CCND2-AS1, intron 1 of 1)	-intron (CCND2-AS1, intron 1 of 1)	-4003	CCND2	CCND2	NM_001759			CCND2			NA
Interval_259	chr1	54665672	54665880	+	0	NA	promoter-TSS (CYB5RL)	-promoter-TSS (CYB5RL)	-30	CYB5RL	CYB5RL	NM_001031672			CYB5RL			NA
Interval_2476	chr15	23033287	23033533	+	0	NA	exon (NIPA2, exon 2 of 7)	-exon (NIPA2, exon 2 of 7)	1017	NIPA2	NIPA2	NM_030922			NIPA2			NA
Interval_2414	chr14	96128909	96129536	+	0	NA	intron (TCL6, intron 4 of 7)	-intron (TCL6, intron 4 of 7)	11707	TCL6	TCL6	NR_028288			TCL6			NA
Interval_1465	chr11	117807749	117807957	+	0	NA	Intergenic	Intergenic	-7685	TMPRSS13	TMPRSS13	NM_001077263			TMPRSS13			NA
Interval_4093	chr19	55166419	55166709	+	0	NA	Intergenic	Intergenic	-7707	LILRB4	LILRB4	NM_001278427			LILRB4			NA
Interval_6613	chr5	150576124	150576577	+	0	NA	intron (CCDC69, intron 4 of 8)	-intron (CCDC69, intron 4 of 8)	27304	CCDC69	CCDC69	NM_015621			CCDC69			NA
Interval_183	chr1	33093171	33093821	+	0	NA	intron (ZBTB8OS, intron 3 of 4)	-intron (ZBTB8OS, intron 4 of 5)	22695	ZBTB8OS	ZBTB8OS	NM_001308135			ZBTB8OS			NA
Interval_6220	chr4	174173583	174173794	+	0	NA	intron (GALNT7, intron 2 of 11)	-intron (GALNT7, intron 2 of 11)	81907	HMGB2	HMGB2	NM_002129			HMGB2			NA
Interval_3924	chr19	18284321	18284706	+	0	NA	promoter-TSS (IFI30)	-promoter-TSS (IFI30)	-77	IFI30	IFI30	NM_006332			IFI30			NA
Interval_6525	chr5	130599705	130599919	+	0	NA	exon (CDC42SE2, exon 1 of 5)	-exon (CDC42SE2, exon 1 of 5)	110	CDC42SE2	CDC42SE2	NM_020240			CDC42SE2			NA
Interval_3622	chr18	42777398	42777837	+	0	NA	Intergenic	Intergenic	-227486	MIR4319	MIR4319	NR_036203			MIR4319			NA
Interval_5505	chr3	47142932	47143150	+	0	NA	exon (SETD2, exon 8 of 21)	-exon (SETD2, exon 8 of 21)	62426	SETD2	SETD2	NM_014159			SETD2			NA
Interval_6054	chr4	76937546	76937771	+	0	NA	intron (ART3, intron 1 of 9)	-intron (ART3, intron 1 of 9)	7031	CXCL10	CXCL10	NM_001565			CXCL10			NA
Interval_1684	chr12	32712004	32712213	+	0	NA	intron (FGD4, intron 1 of 16)	-intron (FGD4, intron 1 of 16)	57131	FGD4	FGD4	NM_139241			FGD4			NA
Interval_2850	chr16	15248623	15248823	+	0	NA	TTS (MIR3180-4)	-TTS (MIR3180-4)	136	MIR3180-4	MIR3180-4	NR_037466			MIR3180-4			NA
Interval_3587	chr18	23747546	23747982	+	0	NA	intron (PSMA8, intron 4 of 6)	-intron (PSMA8, intron 4 of 6)	33948	PSMA8	PSMA8	NM_001308188			PSMA8			NA
Interval_4559	chr2	170249587	170249793	+	0	NA	Intergenic	Intergenic	-30568	LRP2	LRP2	NM_004525			LRP2			NA
Interval_154	chr1	27791918	27792164	+	0	NA	intron (WASF2, intron 1 of 8)	-intron (WASF2, intron 1 of 7)	24657	WASF2	WASF2	NM_001201404			WASF2			NA
Interval_8533	chrX	153775620	153775861	+	0	NA	promoter-TSS (G6PD)	-promoter-TSS (G6PD)	61	G6PD	G6PD	NM_001042351			G6PD			NA
Interval_4657	chr2	204891859	204892174	+	0	NA	Intergenic	Intergenic	90545	ICOS	ICOS	NM_012092			ICOS			NA
Interval_7043	chr6	108885496	108885709	+	0	NA	intron (FOXO3, intron 2 of 3)	-intron (FOXO3, intron 1 of 2)	4576	FOXO3	FOXO3	NM_001455			FOXO3			NA
Interval_6951	chr6	56631628	56631969	+	0	NA	intron (DST, intron 2 of 94)	-intron (DST, intron 4 of 96)	-16660	RNU6-71P	RNU6-71P	NR_046940			RNU6-71P			NA
Interval_2895	chr16	27265627	27265852	+	0	NA	intron (NSMCE1, intron 2 of 7)	-intron (NSMCE1, intron 2 of 7)	-13787	FLJ21408	FLJ21408	NR_037184			FLJ21408			NA
Interval_4808	chr20	5672651	5672934	+	0	NA	Intergenic	Intergenic	-58241	C20orf196	C20orf196	NM_001303477			C20orf196			NA
Interval_2469	chr14	106995813	106996015	+	0	NA	Intergenic	Intergenic	57469	LINC00221	LINC00221	NR_027457			LINC00221			NA
Interval_2748	chr16	2390545	2391028	+	0	NA	promoter-TSS (ABCA3)	-promoter-TSS (ABCA3)	-39	ABCA3	ABCA3	NM_001089			ABCA3			NA
Interval_6854	chr6	32590767	32591034	+	0	NA	Intergenic	Intergenic	-14283	HLA-DQA1	HLA-DQA1	NM_002122			HLA-DQA1			NA
Interval_1175	chr11	1875838	1876501	+	0	NA	intron (LSP1, intron 1 of 10)	-intron (LSP1, intron 1 of 10)	1969	LSP1	LSP1	NM_001013255			LSP1			NA
Interval_4540	chr2	157383823	157384113	+	0	NA	intron (GPD2, intron 6 of 16)	-intron (GPD2, intron 6 of 16)	92003	GPD2	GPD2	NM_001083112			GPD2			NA
Interval_4973	chr20	51970919	51971163	+	0	NA	intron (TSHZ2, intron 2 of 2)	-intron (TSHZ2, intron 2 of 2)	-198268	LOC101927770	LOC101927770	NR_110051			LOC101927770			NA
Interval_5535	chr3	57001935	57002139	+	0	NA	intron (ARHGEF3, intron 2 of 12)	-intron (ARHGEF3, intron 2 of 12)	27969	ARHGEF3-AS1	ARHGEF3-AS1	NR_046572			ARHGEF3-AS1			NA
Interval_441	chr1	153895439	153895743	+	0	NA	promoter-TSS (GATAD2B)	-promoter-TSS (GATAD2B)	-140	GATAD2B	GATAD2B	NM_020699			GATAD2B			NA
Interval_8498	chrX	106709222	106709489	+	0	NA	Intergenic	Intergenic	-56325	FRMPD3	FRMPD3	NM_032428			FRMPD3			NA
Interval_5864	chr3	195443844	195444073	+	0	NA	Intergenic	Intergenic	-3795	MUC20	MUC20	NM_001291833			MUC20			NA
Interval_4988	chr20	52620945	52621265	+	0	NA	intron (BCAS1, intron 4 of 11)	-intron (BCAS1, intron 4 of 11)	63919	MIR4756	MIR4756	NR_039913			MIR4756			NA
Interval_3579	chr18	20821884	20822546	+	0	NA	intron (CABLES1, intron 7 of 9)	-intron (CABLES1, intron 7 of 9)	107687	CABLES1	CABLES1	NM_001100619			CABLES1			NA
Interval_2955	chr16	56944661	56945054	+	0	NA	intron (SLC12A3, intron 25 of 25)	-intron (SLC12A3, intron 25 of 25)	6681	MIR6863	MIR6863	NR_106923			MIR6863			NA
Interval_5279	chr22	39870353	39870560	+	0	NA	intron (MGAT3, intron 1 of 1)	-intron (MGAT3, intron 1 of 1)	2371	MGAT3-AS1	MGAT3-AS1	NR_126469			MGAT3-AS1			NA
Interval_4757	chr2	236489782	236490112	+	0	NA	intron (AGAP1, intron 1 of 16)	-intron (AGAP1, intron 1 of 17)	75552	AGAP1-IT1	AGAP1-IT1	NR_131900			AGAP1-IT1			NA
Interval_1525	chr11	128763847	128764076	+	0	NA	intron (KCNJ5, intron 1 of 2)	-intron (KCNJ5, intron 1 of 2)	2648	KCNJ5	KCNJ5	NM_000890			KCNJ5			NA
Interval_8322	chr9	131902360	131902588	+	0	NA	intron (PPP2R4, intron 7 of 8)	-intron (PPP2R4, intron 8 of 9)	28881	PPP2R4	PPP2R4	NM_178000			PPP2R4			NA
Interval_389	chr1	117604627	117604893	+	0	NA	intron (TTF2, intron 2 of 22)	-intron (TTF2, intron 2 of 22)	1811	TTF2	TTF2	NM_003594			TTF2			NA
Interval_5523	chr3	52931529	52931736	+	0	NA	promoter-TSS (TMEM110-MUSTN1)	-promoter-TSS (TMEM110-MUSTN1)	-35	TMEM110-MUSTN1	TMEM110-MUSTN1	NM_001198974			TMEM110-MUSTN1			NA
Interval_2641	chr15	75417528	75417882	+	0	NA	Intergenic	Intergenic	-76516	C15orf39	C15orf39	NM_015492			C15orf39			NA
Interval_174	chr1	31971563	31971957	+	0	NA	promoter-TSS (LINC01225)	-promoter-TSS (LINC01225)	-79	LINC01225	LINC01225	NR_034112			LINC01225			NA
Interval_3714	chr18	74836442	74836660	+	0	NA	intron (MBP, intron 1 of 8)	-intron (MBP, intron 1 of 3)	-107496	MBP	MBP	NM_001025100			MBP			NA
Interval_5197	chr22	24142565	24142785	+	0	NA	intron (SMARCB1, intron 3 of 8)	-intron (SMARCB1, intron 3 of 8)	13525	SMARCB1	SMARCB1	NM_001007468			SMARCB1			NA
Interval_7484	chr7	77427637	77428169	+	0	NA	promoter-TSS (PHTF2)	-promoter-TSS (PHTF2)	-156	TMEM60	TMEM60	NM_032936			TMEM60			NA
Interval_548	chr1	178575080	178575558	+	0	NA	Intergenic	Intergenic	63388	C1orf220	C1orf220	NR_033186			C1orf220			NA
Interval_6194	chr4	153618128	153618334	+	0	NA	Intergenic	Intergenic	-16914	TMEM154	TMEM154	NM_152680			TMEM154			NA
Interval_7787	chr8	37756777	37757023	+	0	NA	exon (RAB11FIP1, exon 1 of 6)	-exon (RAB11FIP1, exon 1 of 6)	115	RAB11FIP1	RAB11FIP1	NM_025151			RAB11FIP1			NA
Interval_1511	chr11	126081346	126081734	+	0	NA	promoter-TSS (RPUSD4)	-promoter-TSS (RPUSD4)	47	RPUSD4	RPUSD4	NM_001144827			RPUSD4			NA
Interval_7578	chr7	113440134	113440400	+	0	NA	Intergenic	Intergenic	118815	PPP1R3A	PPP1R3A	NM_002711			PPP1R3A			NA
Interval_3350	chr17	55433868	55434456	+	0	NA	intron (MSI2, intron 4 of 9)	-intron (MSI2, intron 5 of 13)	99788	MSI2	MSI2	NM_138962			MSI2			NA
Interval_222	chr1	42194327	42194809	+	0	NA	intron (HIVEP3, intron 1 of 8)	-intron (HIVEP3, intron 1 of 7)	-244214	EDN2	EDN2	NM_001956			EDN2			NA
Interval_5978	chr4	37717424	37717935	+	0	NA	Intergenic	Intergenic	-29680	RELL1	RELL1	NM_001085399			RELL1			NA
Interval_7212	chr6	158653130	158653345	+	0	NA	Intergenic	Intergenic	63858	GTF2H5	GTF2H5	NM_207118			GTF2H5			NA
Interval_5876	chr4	124189	124386	+	0	NA	promoter-TSS (ZNF718)	-promoter-TSS (ZNF718)	-71	ZNF718	ZNF718	NR_110528			ZNF718			NA
Interval_4957	chr20	48419015	48419369	+	0	NA	Intergenic	Intergenic	-10058	SLC9A8	SLC9A8	NM_001260491			SLC9A8			NA
Interval_3206	chr17	21231349	21231575	+	0	NA	Intergenic	Intergenic	43494	MAP2K3	MAP2K3	NM_145109			MAP2K3			NA
Interval_4154	chr2	10952799	10953114	+	0	NA	promoter-TSS (PDIA6)	-promoter-TSS (PDIA6)	9	PDIA6	PDIA6	NM_001282705			PDIA6			NA
Interval_1760	chr12	78139996	78140243	+	0	NA	Intergenic	Intergenic	-84950	NAV3	NAV3	NM_001024383			NAV3			NA
Interval_6728	chr6	6407585	6407900	+	0	NA	intron (LY86-AS1, intron 4 of 7)	-intron (LY86-AS1, intron 4 of 7)	-86818	F13A1	F13A1	NM_000129			F13A1			NA
Interval_6453	chr5	106812551	106812785	+	0	NA	intron (EFNA5, intron 1 of 4)	-intron (EFNA5, intron 1 of 4)	193928	EFNA5	EFNA5	NM_001962			EFNA5			NA
Interval_3883	chr19	14130088	14130303	+	0	NA	Intergenic	Intergenic	-8822	RLN3	RLN3	NM_080864			RLN3			NA
Interval_6027	chr4	59320212	59320413	+	0	NA	Intergenic	Intergenic	1028274	LOC101928851	LOC101928851	NR_125907			LOC101928851			NA
Interval_4423	chr2	109855095	109855334	+	0	NA	intron (SH3RF3, intron 1 of 9)	-intron (SH3RF3, intron 1 of 9)	74867	MIR4266	MIR4266	NR_036224			MIR4266			NA
Interval_1862	chr12	108727997	108728252	+	0	NA	intron (CMKLR1, intron 1 of 2)	-intron (CMKLR1, intron 1 of 3)	4970	CMKLR1	CMKLR1	NM_004072			CMKLR1			NA
Interval_1567	chr12	8801156	8801626	+	0	NA	intron (MFAP5, intron 8 of 9)	-intron (MFAP5, intron 8 of 8)	14093	MFAP5	MFAP5	NM_001297709			MFAP5			NA
Interval_6601	chr5	149160264	149160489	+	0	NA	intron (PPARGC1B, intron 1 of 10)	-intron (PPARGC1B, intron 1 of 10)	47988	MIR378A	MIR378A	NR_029870			MIR378A			NA
Interval_308	chr1	82618246	82619253	+	0	NA	Intergenic	Intergenic	352667	ADGRL2	ADGRL2	NM_012302			ADGRL2			NA
Interval_4354	chr2	79204752	79205163	+	0	NA	Intergenic	Intergenic	-47855	REG3G	REG3G	NM_001270040			REG3G			NA
Interval_7078	chr6	122010179	122010402	+	0	NA	Intergenic	Intergenic	253567	GJA1	GJA1	NM_000165			GJA1			NA
Interval_238	chr1	45285183	45285627	+	0	NA	TTS (PTCH2)	-TTS (PTCH2)	11251	BTBD19	BTBD19	NM_001136537			BTBD19			NA
Interval_5581	chr3	71613058	71613379	+	0	NA	intron (FOXP1, intron 2 of 20)	-intron (FOXP1, intron 2 of 6)	19922	FOXP1	FOXP1	NM_001244810			FOXP1			NA
Interval_5200	chr22	24823806	24824058	+	0	NA	intron (ADORA2A, intron 1 of 1)	-intron (ADORA2A, intron 1 of 2)	402	ADORA2A	ADORA2A	NM_001278497			ADORA2A			NA
Interval_6118	chr4	105316312	105316528	+	0	NA	Intergenic	Intergenic	-95702	LOC101929468	LOC101929468	NR_125926			LOC101929468			NA
Interval_5578	chr3	69813418	69813724	+	0	NA	intron (MITF, intron 1 of 9)	-intron (MITF, intron 1 of 9)	-172180	MITF	MITF	NM_001184967			MITF			NA
Interval_6283	chr5	10607198	10607692	+	0	NA	intron (ANKRD33B, intron 1 of 3)	-intron (ANKRD33B, intron 1 of 3)	43010	ANKRD33B	ANKRD33B	NM_001164440			ANKRD33B			NA
Interval_303	chr1	78469785	78470472	+	0	NA	promoter-TSS (DNAJB4)	-promoter-TSS (DNAJB4)	-508	DNAJB4	DNAJB4	NM_007034			DNAJB4			NA
Interval_5612	chr3	98275157	98275490	+	0	NA	Intergenic	Intergenic	24580	GPR15	GPR15	NM_005290			GPR15			NA
Interval_2610	chr15	69972004	69972273	+	0	NA	intron (PCAT29, intron 3 of 3)	-intron (PCAT29, intron 4 of 5)	87599	PCAT29	PCAT29	NR_126438			PCAT29			NA
Interval_6813	chr6	24883906	24884210	+	0	NA	intron (FAM65B, intron 1 of 13)	-intron (FAM65B, intron 1 of 21)	-6465	FAM65B	FAM65B	NM_001286446			FAM65B			NA
Interval_4387	chr2	97202293	97202521	+	0	NA	promoter-TSS (ARID5A)	-promoter-TSS (ARID5A)	-57	ARID5A	ARID5A	NM_212481			ARID5A			NA
Interval_6782	chr6	15880302	15880495	+	0	NA	Intergenic	Intergenic	-217109	DTNBP1	DTNBP1	NM_183040			DTNBP1			NA
Interval_2482	chr15	31528364	31528772	+	0	NA	Intergenic	Intergenic	-5518	LOC283710	LOC283710	NM_001243538			LOC283710			NA
Interval_2548	chr15	54379121	54379410	+	0	NA	intron (UNC13C, intron 1 of 30)	-intron (UNC13C, intron 1 of 30)	74164	UNC13C	UNC13C	NM_001080534			UNC13C			NA
Interval_1880	chr12	111522050	111522297	+	0	NA	intron (CUX2, intron 1 of 21)	-intron (CUX2, intron 1 of 21)	50345	CUX2	CUX2	NM_015267			CUX2			NA
Interval_5415	chr3	17223647	17224023	+	0	NA	intron (TBC1D5, intron 19 of 21)	-intron (TBC1D5, intron 21 of 23)	249147	MIR3714	MIR3714	NR_037465			MIR3714			NA
Interval_6977	chr6	84480746	84480957	+	0	NA	Intergenic	Intergenic	-61724	SNAP91	SNAP91	NM_001256717			SNAP91			NA
Interval_509	chr1	168436896	168437100	+	0	NA	intron (LOC101928565, intron 4 of 4)	-intron (LOC101928565, intron 4 of 4)	27884	LOC101928565	LOC101928565	NR_125956			LOC101928565			NA
Interval_4911	chr20	42310685	42311109	+	0	NA	intron (MYBL2, intron 3 of 13)	-intron (MYBL2, intron 2 of 12)	15238	MYBL2	MYBL2	NM_002466			MYBL2			NA
Interval_2788	chr16	10400294	10400497	+	0	NA	Intergenic	Intergenic	-79517	ATF7IP2	ATF7IP2	NM_024997			ATF7IP2			NA
Interval_1346	chr11	67254095	67254500	+	0	NA	intron (AIP, intron 1 of 5)	-intron (AIP, intron 1 of 5)	-3419	MIR6752	MIR6752	NR_106810			MIR6752			NA
Interval_1309	chr11	65122062	65122301	+	0	NA	promoter-TSS (TIGD3)	-promoter-TSS (TIGD3)	-101	TIGD3	TIGD3	NM_145719			TIGD3			NA
Interval_1529	chr11	130048494	130048704	+	0	NA	intron (ST14, intron 1 of 18)	-intron (ST14, intron 1 of 18)	18917	ST14	ST14	NM_021978			ST14			NA
Interval_8503	chrX	108525154	108525653	+	0	NA	Intergenic	Intergenic	199882	GUCY2F	GUCY2F	NM_001522			GUCY2F			NA
Interval_2710	chr15	96630971	96631180	+	0	NA	Intergenic	Intergenic	239272	NR2F2-AS1	NR2F2-AS1	NR_102744			NR2F2-AS1			NA
Interval_4321	chr2	68592363	68592611	+	0	NA	exon (PLEK, exon 1 of 9)	-exon (PLEK, exon 1 of 9)	165	PLEK	PLEK	NM_002664			PLEK			NA
Interval_175	chr1	31974447	31975203	+	0	NA	TTS (LINC01225)	-TTS (LINC01225)	2986	LINC01225	LINC01225	NR_034112			LINC01225			NA
Interval_110	chr1	21620949	21621264	+	0	NA	intron (LOC100506801, intron 2 of 2)	-intron (ECE1, intron 1 of 18)	1323	LOC100506801	LOC100506801	NR_038404			LOC100506801			NA
Interval_2487	chr15	31621094	31621332	+	0	NA	intron (KLF13, intron 1 of 1)	-intron (KLF13, intron 1 of 1)	2155	KLF13	KLF13	NM_001302461			KLF13			NA
Interval_6807	chr6	21264261	21264488	+	0	NA	Intergenic	Intergenic	247749	LINC00581	LINC00581	NR_103790			LINC00581			NA
Interval_961	chr10	64441143	64441541	+	0	NA	Intergenic	Intergenic	-123174	ADO	ADO	NM_032804			ADO			NA
Interval_4060	chr19	49843655	49843923	+	0	NA	TTS (CD37)	-TTS (CD37)	5112	CD37	CD37	NM_001774			CD37			NA
Interval_1551	chr12	6276979	6277263	+	0	NA	Intergenic	Intergenic	-32361	CD9	CD9	NM_001769			CD9			NA
Interval_4035	chr19	46296011	46296254	+	0	NA	promoter-TSS (DMWD)	-promoter-TSS (DMWD)	-72	DMWD	DMWD	NM_004943			DMWD			NA
Interval_7703	chr8	8564362	8564766	+	0	NA	Intergenic	Intergenic	4898	CLDN23	CLDN23	NM_194284			CLDN23			NA
Interval_8107	chr9	34989368	34989854	+	0	NA	promoter-TSS (DNAJB5)	-promoter-TSS (DNAJB5)	-27	DNAJB5	DNAJB5	NM_001135004			DNAJB5			NA
Interval_1474	chr11	118763160	118763435	+	0	NA	promoter-TSS (CXCR5)	-promoter-TSS (CXCR5)	-804	CXCR5	CXCR5	NM_001716			CXCR5			NA
Interval_3875	chr19	13275366	13275588	+	0	NA	Intergenic	Intergenic	14195	IER2	IER2	NM_004907			IER2			NA
Interval_6984	chr6	88433112	88433401	+	0	NA	Intergenic	Intergenic	-21271	AKIRIN2	AKIRIN2	NM_018064			AKIRIN2			NA
Interval_1099	chr10	115613833	115614176	+	0	NA	promoter-TSS (DCLRE1A)	-promoter-TSS (DCLRE1A)	-29	DCLRE1A	DCLRE1A	NM_001271816			DCLRE1A			NA
Interval_2243	chr14	50459908	50460135	+	0	NA	promoter-TSS (LINC01588)	-promoter-TSS (LINC01588)	13360	LINC01588	LINC01588	NR_126498			LINC01588			NA
Interval_7463	chr7	74013603	74013969	+	0	NA	intron (GTF2IRD1, intron 25 of 26)	-intron (GTF2IRD1, intron 25 of 26)	-58205	GTF2I	GTF2I	NM_001163636			GTF2I			NA
Interval_2716	chr15	97687012	97687643	+	0	NA	Intergenic	Intergenic	360690	SPATA8	SPATA8	NM_001304805			SPATA8			NA
Interval_694	chr1	217200802	217201032	+	0	NA	intron (ESRRG, intron 1 of 8)	-intron (ESRRG, intron 1 of 8)	62070	ESRRG	ESRRG	NM_001134285			ESRRG			NA
Interval_7972	chr8	126711039	126711377	+	0	NA	Intergenic	Intergenic	252233	LINC00861	LINC00861	NR_038446			LINC00861			NA
Interval_2166	chr13	114145154	114145396	+	0	NA	promoter-TSS (DCUN1D2)	-promoter-TSS (DCUN1D2)	-33	TMCO3	TMCO3	NM_017905			TMCO3			NA
Interval_6498	chr5	123981248	123981586	+	0	NA	intron (ZNF608, intron 4 of 8)	-intron (ZNF608, intron 4 of 8)	99388	ZNF608	ZNF608	NM_020747			ZNF608			NA
Interval_7098	chr6	131184734	131184945	+	0	NA	exon (EPB41L2, exon 13 of 15)	-exon (EPB41L2, exon 13 of 15)	36294	SMLR1	SMLR1	NM_001195597			SMLR1			NA
Interval_5797	chr3	171988680	171988914	+	0	NA	intron (FNDC3B, intron 6 of 25)	-intron (FNDC3B, intron 6 of 25)	177449	GHSR	GHSR	NM_198407			GHSR			NA
