PeakID (cmd=annotatePeaks.pl GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_9117	chr2	64372762	64373035	+	0	NA	Intergenic	Intergenic	-1293	PELI1	PELI1	NM_020651			PELI1			NA
Interval_13346	chr4	154033846	154034274	+	0	NA	Intergenic	Intergenic	-91506	TRIM2	TRIM2	NM_001130067			TRIM2			NA
Interval_15233	chr6	106136619	106136812	+	0	NA	Intergenic	Intergenic	-285716	PREP	PREP	NM_002726			PREP			NA
Interval_3821	chr12	13690679	13691034	+	0	NA	Intergenic	Intergenic	-161177	LINC01559	LINC01559	NR_036555			LINC01559			NA
Interval_16504	chr8	9009953	9010150	+	0	NA	promoter-TSS (PPP1R3B)	-promoter-TSS (PPP1R3B)	-1831	PPP1R3B	PPP1R3B	NM_001201329			PPP1R3B			NA
Interval_16374	chr7	151364194	151364696	+	0	NA	intron (PRKAG2, intron 4 of 15)	-intron (PRKAG2, intron 4 of 15)	-35101	PRKAG2	PRKAG2	NM_016203			PRKAG2			NA
Interval_10968	chr21	40310499	40310826	+	0	NA	promoter-TSS (LOC400867)	-promoter-TSS (LOC400867)	-309	LOC400867	LOC400867	NR_120405			LOC400867			NA
Interval_1223	chr1	172881939	172882382	+	0	NA	Intergenic	Intergenic	137943	TNFSF18	TNFSF18	NM_005092			TNFSF18			NA
Interval_11013	chr21	44103917	44104521	+	0	NA	intron (PDE9A, intron 1 of 13)	-intron (PDE9A, intron 1 of 18)	30357	PDE9A	PDE9A	NM_001001567			PDE9A			NA
Interval_11678	chr3	31503684	31504240	+	0	NA	Intergenic	Intergenic	-70031	STT3B	STT3B	NM_178862			STT3B			NA
Interval_5512	chr14	82881277	82881522	+	0	NA	Intergenic	Intergenic	-791994	LINC01467	LINC01467	NR_110074			LINC01467			NA
Interval_8058	chr18	49123970	49124489	+	0	NA	Intergenic	Intergenic	205817	LOC100287225	LOC100287225	NR_040074			LOC100287225			NA
Interval_16868	chr8	81348335	81348617	+	0	NA	Intergenic	Intergenic	-49972	ZBTB10	ZBTB10	NM_001105539			ZBTB10			NA
Interval_7408	chr17	46566152	46566468	+	0	NA	Intergenic	Intergenic	41962	HOXB1	HOXB1	NM_002144			HOXB1			NA
Interval_6873	chr16	81348284	81348491	+	0	NA	promoter-TSS (GAN)	-promoter-TSS (GAN)	-184	GAN	GAN	NM_022041			GAN			NA
Interval_16530	chr8	11489143	11489342	+	0	NA	Intergenic	Intergenic	55198	LINC00208	LINC00208	NR_040035			LINC00208			NA
Interval_10799	chr20	62270608	62270955	+	0	NA	TTS (STMN3)	-TTS (STMN3)	-12400	GMEB2	GMEB2	NM_012384			GMEB2			NA
Interval_15877	chr7	37430290	37430490	+	0	NA	intron (ELMO1, intron 1 of 21)	-intron (ELMO1, intron 1 of 21)	-349606	GPR141	GPR141	NM_181791			GPR141			NA
Interval_9126	chr2	65224048	65224567	+	0	NA	intron (SLC1A4, intron 1 of 7)	-intron (SLC1A4, intron 1 of 6)	7812	SLC1A4	SLC1A4	NM_001193493			SLC1A4			NA
Interval_6937	chr16	87736131	87736369	+	0	NA	Intergenic	Intergenic	63348	KLHDC4	KLHDC4	NM_001184854			KLHDC4			NA
Interval_18068	chrX	24171248	24171505	+	0	NA	intron (ZFX, intron 3 of 9)	-intron (ZFX, intron 1 of 7)	3522	ZFX	ZFX	NM_003410			ZFX			NA
Interval_14224	chr5	134181531	134181708	+	0	NA	promoter-TSS (C5orf24)	-promoter-TSS (C5orf24)	249	C5orf24	C5orf24	NM_001300894			C5orf24			NA
Interval_761	chr1	95909891	95910239	+	0	NA	Intergenic	Intergenic	-30228	FLJ31662	FLJ31662	NR_033966			FLJ31662			NA
Interval_2867	chr11	8836941	8837261	+	0	NA	intron (ST5, intron 3 of 22)	-intron (ST5, intron 3 of 22)	-4877	ST5	ST5	NM_005418			ST5			NA
Interval_13704	chr5	52549062	52549793	+	0	NA	Intergenic	Intergenic	143755	LOC257396	LOC257396	NR_034107			LOC257396			NA
Interval_7235	chr17	29637337	29637602	+	0	NA	intron (EVI2B, intron 1 of 1)	-intron (NF1, intron 35 of 56)	3661	EVI2B	EVI2B	NM_006495			EVI2B			NA
Interval_8708	chr19	56653027	56653533	+	0	NA	intron (ZNF444, intron 1 of 4)	-intron (ZNF444, intron 1 of 4)	745	ZNF444	ZNF444	NM_001253792			ZNF444			NA
Interval_812	chr1	108377853	108378220	+	0	NA	intron (VAV3, intron 2 of 26)	-intron (VAV3, intron 2 of 26)	-61809	MIR7852	MIR7852	NR_107006			MIR7852			NA
Interval_12548	chr3	186819271	186819836	+	0	NA	Intergenic	Intergenic	37710	RPL39L	RPL39L	NM_052969			RPL39L			NA
Interval_15454	chr6	139267910	139268289	+	0	NA	intron (REPS1, intron 2 of 19)	-intron (REPS1, intron 2 of 18)	41299	REPS1	REPS1	NM_001286611			REPS1			NA
Interval_7373	chr17	43303359	43303873	+	0	NA	intron (FMNL1, intron 1 of 26)	-intron (FMNL1, intron 1 of 26)	4324	FMNL1	FMNL1	NM_005892			FMNL1			NA
Interval_6508	chr16	16134857	16135367	+	0	NA	intron (ABCC1, intron 7 of 30)	-intron (ABCC1, intron 7 of 30)	91678	ABCC1	ABCC1	NM_004996			ABCC1			NA
Interval_15540	chr6	151802862	151803307	+	0	NA	Intergenic	Intergenic	-12091	CCDC170	CCDC170	NM_025059			CCDC170			NA
Interval_5233	chr14	52785549	52785789	+	0	NA	intron (PTGER2, intron 1 of 1)	-intron (PTGER2, intron 1 of 1)	4653	PTGER2	PTGER2	NM_000956			PTGER2			NA
Interval_4224	chr12	93639284	93639689	+	0	NA	intron (LOC643339, intron 2 of 4)	-intron (LOC643339, intron 2 of 4)	71344	LOC102724933	LOC102724933	NR_120492			LOC102724933			NA
Interval_4877	chr13	64106385	64106678	+	0	NA	Intergenic	Intergenic	-204304	LINC00376	LINC00376	NR_126409			LINC00376			NA
Interval_16891	chr8	85864246	85864579	+	0	NA	Intergenic	Intergenic	-154911	LRRCC1	LRRCC1	NM_033402			LRRCC1			NA
Interval_12150	chr3	111260857	111261106	+	0	NA	promoter-TSS (CD96)	-promoter-TSS (CD96)	55	CD96	CD96	NM_198196			CD96			NA
Interval_14847	chr6	33148069	33148362	+	0	NA	intron (COL11A2, intron 9 of 63)	-intron (COL11A2, intron 8 of 62)	12030	COL11A2	COL11A2	NM_080681			COL11A2			NA
Interval_16298	chr7	139967159	139967430	+	0	NA	Intergenic	Intergenic	90233	JHDM1D-AS1	JHDM1D-AS1	NR_024451			JHDM1D-AS1			NA
Interval_15167	chr6	88617358	88617611	+	0	NA	intron (LOC101928911, intron 2 of 4)	-intron (LOC101928911, intron 2 of 4)	122906	LOC101928911	LOC101928911	NR_110869			LOC101928911			NA
Interval_5388	chr14	70168634	70168955	+	0	NA	intron (SUSD6, intron 2 of 5)	-intron (SUSD6, intron 2 of 5)	-65040	SRSF5	SRSF5	NM_001039465			SRSF5			NA
Interval_55	chr1	8532673	8533095	+	0	NA	intron (RERE, intron 11 of 23)	-intron (RERE, intron 10 of 22)	48179	LOC102724552	LOC102724552	NR_125999			LOC102724552			NA
Interval_13291	chr4	145568140	145568666	+	0	NA	intron (HHIP, intron 1 of 12)	-intron (HHIP, intron 1 of 12)	-1232	HHIP-AS1	HHIP-AS1	NR_037595			HHIP-AS1			NA
Interval_5698	chr14	106586961	106587217	+	0	NA	Intergenic	Intergenic	-148731	ADAM6	ADAM6	NR_002224			ADAM6			NA
Interval_2273	chr10	65460306	65460661	+	0	NA	Intergenic	Intergenic	179360	REEP3	REEP3	NM_001001330			REEP3			NA
Interval_811	chr1	108371950	108372357	+	0	NA	intron (VAV3, intron 2 of 26)	-intron (VAV3, intron 2 of 26)	-67692	MIR7852	MIR7852	NR_107006			MIR7852			NA
Interval_17232	chr8	140986731	140986964	+	0	NA	intron (TRAPPC9, intron 19 of 22)	-intron (TRAPPC9, intron 19 of 22)	-271548	KCNK9	KCNK9	NM_001282534			KCNK9			NA
Interval_5112	chr14	23327818	23328058	+	0	NA	Intergenic	Intergenic	-13022	LRP10	LRP10	NM_014045			LRP10			NA
Interval_16213	chr7	129933774	129934746	+	0	NA	intron (CPA4, intron 1 of 10)	-intron (CPA4, intron 1 of 9)	1286	CPA4	CPA4	NM_001163446			CPA4			NA
Interval_1398	chr1	202131011	202131732	+	0	NA	promoter-TSS (PTPN7)	-promoter-TSS (PTPN7)	-655	PTPN7	PTPN7	NM_001199797			PTPN7			NA
Interval_8660	chr19	50072343	50072616	+	0	NA	intron (NOSIP, intron 1 of 8)	-intron (NOSIP, intron 1 of 8)	11350	NOSIP	NOSIP	NM_015953			NOSIP			NA
Interval_8620	chr19	47217041	47217511	+	0	NA	exon (PRKD2, exon 1 of 17)	-exon (PRKD2, exon 1 of 17)	3108	PRKD2	PRKD2	NM_001079881			PRKD2			NA
Interval_5243	chr14	54583171	54583464	+	0	NA	Intergenic	Intergenic	-162047	BMP4	BMP4	NM_130850			BMP4			NA
Interval_10013	chr2	208248995	208249182	+	0	NA	Intergenic	Intergenic	-114940	MIR1302-4	MIR1302-4	NR_031633			MIR1302-4			NA
Interval_8547	chr19	39471272	39471526	+	0	NA	Intergenic	Intergenic	-4946	FBXO17	FBXO17	NM_024907			FBXO17			NA
Interval_6625	chr16	30470062	30470420	+	0	NA	Intergenic	Intergenic	-12945	SEPHS2	SEPHS2	NM_012248			SEPHS2			NA
Interval_2019	chr10	17620666	17621115	+	0	NA	Intergenic	Intergenic	38483	HACD1	HACD1	NM_014241			HACD1			NA
Interval_8035	chr18	46482197	46482393	+	0	NA	Intergenic	Intergenic	-5214	SMAD7	SMAD7	NM_001190821			SMAD7			NA
Interval_6184	chr15	78295399	78295622	+	0	NA	intron (TBC1D2B, intron 11 of 12)	-intron (TBC1D2B, intron 11 of 12)	-8943	LOC91450	LOC91450	NR_026998			LOC91450			NA
Interval_3275	chr11	71749052	71749380	+	0	NA	intron (NUMA1, intron 2 of 24)	-intron (NUMA1, intron 3 of 26)	23879	LOC100128494	LOC100128494	NR_104178			LOC100128494			NA
Interval_12491	chr3	181034292	181034702	+	0	NA	intron (SOX2-OT, intron 2 of 4)	-intron (SOX2-OT, intron 3 of 7)	84972	RNU6-2	RNU6-2	NR_125730_10			RNU6-2			NA
Interval_11694	chr3	33064548	33065079	+	0	NA	intron (GLB1, intron 8 of 12)	-intron (GLB1, intron 11 of 15)	71747	CCR4	CCR4	NM_005508			CCR4			NA
Interval_16439	chr8	834220	834481	+	0	NA	intron (ERICH1-AS1, intron 2 of 3)	-intron (ERICH1-AS1, intron 2 of 3)	146745	ERICH1-AS1	ERICH1-AS1	NR_073397			ERICH1-AS1			NA
Interval_14956	chr6	41528512	41529058	+	0	NA	intron (FOXP4, intron 1 of 16)	-intron (FOXP4, intron 1 of 16)	14621	FOXP4	FOXP4	NM_138457			FOXP4			NA
Interval_14645	chr6	13448533	13448826	+	0	NA	intron (GFOD1, intron 1 of 1)	-intron (GFOD1, intron 1 of 1)	23616	GFOD1	GFOD1	NM_018988			GFOD1			NA
Interval_11639	chr3	27811817	27812324	+	0	NA	Intergenic	Intergenic	-47864	EOMES	EOMES	NM_001278183			EOMES			NA
Interval_729	chr1	93685192	93685387	+	0	NA	intron (CCDC18, intron 14 of 27)	-intron (CCDC18, intron 14 of 28)	39016	CCDC18	CCDC18	NM_206886			CCDC18			NA
Interval_12236	chr3	126630480	126630922	+	0	NA	intron (CHCHD6, intron 5 of 7)	-intron (CHCHD6, intron 5 of 7)	-76736	PLXNA1	PLXNA1	NM_032242			PLXNA1			NA
Interval_8095	chr18	57590461	57590784	+	0	NA	Intergenic	Intergenic	23430	PMAIP1	PMAIP1	NM_021127			PMAIP1			NA
Interval_1112	chr1	160363196	160363489	+	0	NA	Intergenic	Intergenic	-7022	VANGL2	VANGL2	NM_020335			VANGL2			NA
Interval_9159	chr2	68433267	68433683	+	0	NA	intron (PPP3R1, intron 2 of 5)	-intron (PPP3R1, intron 2 of 5)	46176	PPP3R1	PPP3R1	NM_000945			PPP3R1			NA
Interval_16071	chr7	93968959	93969143	+	0	NA	Intergenic	Intergenic	-54822	COL1A2	COL1A2	NM_000089			COL1A2			NA
Interval_15293	chr6	111854380	111854592	+	0	NA	intron (TRAF3IP2-AS1, intron 1 of 1)	-intron (TRAF3IP2-AS1, intron 1 of 3)	-49568	REV3L	REV3L	NM_001286431			REV3L			NA
Interval_5780	chr15	31618605	31619101	+	0	NA	promoter-TSS (KLF13)	-promoter-TSS (KLF13)	-205	KLF13	KLF13	NM_001302461			KLF13			NA
Interval_9823	chr2	179937316	179937650	+	0	NA	Intergenic	Intergenic	-22697	CCDC141	CCDC141	NM_173648			CCDC141			NA
Interval_7939	chr18	22803099	22803675	+	0	NA	intron (ZNF521, intron 4 of 7)	-intron (ZNF521, intron 3 of 6)	128827	ZNF521	ZNF521	NM_015461			ZNF521			NA
Interval_14766	chr6	23906432	23906911	+	0	NA	Intergenic	Intergenic	-219743	NRSN1	NRSN1	NM_080723			NRSN1			NA
Interval_14119	chr5	126015958	126016239	+	0	NA	Intergenic	Intergenic	48684	TEX43	TEX43	NM_207408			TEX43			NA
Interval_15252	chr6	107820874	107821173	+	0	NA	intron (SOBP, intron 1 of 6)	-intron (SOBP, intron 1 of 6)	9706	SOBP	SOBP	NM_018013			SOBP			NA
Interval_14557	chr6	2989661	2989905	+	0	NA	exon (LINC01011, exon 2 of 2)	-exon (LINC01011, exon 2 of 2)	1582	LINC01011	LINC01011	NR_026856			LINC01011			NA
Interval_14254	chr5	138725549	138725915	+	0	NA	promoter-TSS (MZB1)	-promoter-TSS (MZB1)	-127	MZB1	MZB1	NM_016459			MZB1			NA
Interval_18257	chrX	123015243	123015557	+	0	NA	intron (XIAP, intron 1 of 5)	-intron (XIAP, intron 1 of 6)	21383	XIAP	XIAP	NM_001204401			XIAP			NA
Interval_4806	chr13	49136275	49137219	+	0	NA	Intergenic	Intergenic	18290	LINC00462	LINC00462	NR_051983			LINC00462			NA
Interval_1895	chr10	6925674	6926048	+	0	NA	Intergenic	Intergenic	104301	LINC00707	LINC00707	NR_038291			LINC00707			NA
Interval_6606	chr16	29663298	29663501	+	0	NA	Intergenic	Intergenic	-11141	SPN	SPN	NM_003123			SPN			NA
Interval_12461	chr3	176919517	176919772	+	0	NA	Intergenic	Intergenic	-4596	TBL1XR1	TBL1XR1	NM_024665			TBL1XR1			NA
Interval_4286	chr12	104502794	104503378	+	0	NA	Intergenic	Intergenic	-15967	MIR7641-2	MIR7641-2	NR_106988_26			MIR7641-2			NA
Interval_6122	chr15	73379458	73379762	+	0	NA	intron (NEO1, intron 1 of 28)	-intron (NEO1, intron 1 of 27)	34785	NEO1	NEO1	NM_002499			NEO1			NA
Interval_10125	chr2	231735490	231736009	+	0	NA	intron (ITM2C, intron 1 of 4)	-intron (ITM2C, intron 1 of 4)	6139	ITM2C	ITM2C	NM_030926			ITM2C			NA
Interval_6123	chr15	73989387	73989814	+	0	NA	intron (CD276, intron 1 of 7)	-intron (CD276, intron 1 of 9)	12978	CD276	CD276	NM_001024736			CD276			NA
Interval_17100	chr8	126446100	126446837	+	0	NA	intron (TRIB1, intron 2 of 2)	-intron (TRIB1, intron 2 of 2)	3905	TRIB1	TRIB1	NM_001282985			TRIB1			NA
Interval_16402	chr7	155532390	155532642	+	0	NA	exon (RBM33, exon 12 of 18)	-exon (RBM33, exon 12 of 18)	72451	SHH	SHH	NM_000193			SHH			NA
Interval_13715	chr5	54284718	54285003	+	0	NA	Intergenic	Intergenic	-3446	ESM1	ESM1	NM_001135604			ESM1			NA
Interval_2808	chr11	330954	331323	+	0	NA	Intergenic	Intergenic	-10224	IFITM3	IFITM3	NM_021034			IFITM3			NA
Interval_14370	chr5	154682655	154682917	+	0	NA	Intergenic	Intergenic	289526	KIF4B	KIF4B	NM_001099293			KIF4B			NA
Interval_1458	chr1	206305656	206305833	+	0	NA	Intergenic	Intergenic	-11715	CTSE	CTSE	NM_148964			CTSE			NA
Interval_11156	chr22	25752960	25753274	+	0	NA	intron (LRP5L, intron 2 of 3)	-intron (LRP5L, intron 4 of 5)	5407	LRP5L	LRP5L	NM_001135772			LRP5L			NA
Interval_5131	chr14	25045427	25045770	+	0	NA	promoter-TSS (CTSG)	-promoter-TSS (CTSG)	-132	CTSG	CTSG	NM_001911			CTSG			NA
Interval_7771	chr17	78765265	78765539	+	0	NA	intron (RPTOR, intron 7 of 33)	-intron (RPTOR, intron 7 of 29)	14030	LOC101928855	LOC101928855	NR_110852			LOC101928855			NA
Interval_6306	chr15	92587345	92587773	+	0	NA	intron (SLCO3A1, intron 2 of 9)	-intron (SLCO3A1, intron 2 of 10)	190621	SLCO3A1	SLCO3A1	NM_001145044			SLCO3A1			NA
Interval_16957	chr8	102120916	102121440	+	0	NA	Intergenic	Intergenic	56896	FLJ42969	FLJ42969	NR_033962			FLJ42969			NA
Interval_2952	chr11	18639574	18639867	+	0	NA	intron (SPTY2D1, intron 1 of 5)	-intron (SPTY2D1, intron 1 of 5)	16300	SPTY2D1	SPTY2D1	NM_194285			SPTY2D1			NA
Interval_111	chr1	12664401	12664579	+	0	NA	intron (DHRS3, intron 1 of 5)	-intron (DHRS3, intron 1 of 5)	13247	DHRS3	DHRS3	NM_004753			DHRS3			NA
Interval_14980	chr6	42896817	42897087	+	0	NA	promoter-TSS (CNPY3)	-promoter-TSS (CNPY3)	92	CNPY3	CNPY3	NM_006586			CNPY3			NA
Interval_7384	chr17	44361928	44362298	+	0	NA	Intergenic	Intergenic	-10384	LRRC37A	LRRC37A	NM_014834_1			LRRC37A			NA
Interval_2473	chr10	92690824	92691163	+	0	NA	Intergenic	Intergenic	-9961	ANKRD1	ANKRD1	NM_014391			ANKRD1			NA
Interval_8640	chr19	48233234	48233615	+	0	NA	intron (EHD2, intron 4 of 5)	-intron (EHD2, intron 4 of 5)	-15369	GLTSCR2	GLTSCR2	NM_015710			GLTSCR2			NA
Interval_7146	chr17	16192538	16192785	+	0	NA	intron (PIGL, intron 2 of 6)	-intron (PIGL, intron 2 of 6)	7333	MIR1288	MIR1288	NR_031698			MIR1288			NA
Interval_7612	chr17	66083230	66083750	+	0	NA	Intergenic	Intergenic	-14206	LINC00674	LINC00674	NR_027418			LINC00674			NA
Interval_1309	chr1	186317376	186317848	+	0	NA	intron (TPR, intron 21 of 50)	-intron (TPR, intron 21 of 50)	26845	TPR	TPR	NM_003292			TPR			NA
Interval_12617	chr3	197186560	197186738	+	0	NA	Intergenic	Intergenic	113545	BDH1	BDH1	NM_203315			BDH1			NA
Interval_11039	chr21	46347387	46347800	+	0	NA	intron (ITGB2-AS1, intron 3 of 3)	-intron (ITGB2, intron 1 of 15)	6643	ITGB2-AS1	ITGB2-AS1	NR_038312			ITGB2-AS1			NA
Interval_11438	chr3	4872750	4873175	+	0	NA	intron (ITPR1, intron 56 of 57)	-intron (ITPR1, intron 57 of 58)	-79688	EGOT	EGOT	NR_004428			EGOT			NA
Interval_8578	chr19	42083496	42083857	+	0	NA	exon (CEACAM21, exon 2 of 7)	-exon (CEACAM21, exon 2 of 7)	1145	CEACAM21	CEACAM21	NM_033543			CEACAM21			NA
Interval_6062	chr15	67837001	67837557	+	0	NA	intron (MAP2K5, intron 1 of 21)	-intron (MAP2K5, intron 1 of 20)	2258	MAP2K5	MAP2K5	NM_001206804			MAP2K5			NA
Interval_13948	chr5	87673976	87674167	+	0	NA	intron (TMEM161B-AS1, intron 6 of 7)	-intron (TMEM161B-AS1, intron 2 of 3)	-13941	TMEM161B-AS1	TMEM161B-AS1	NR_039995			TMEM161B-AS1			NA
Interval_974	chr1	145004368	145004589	+	0	NA	intron (PDE4DIP, intron 3 of 6)	-intron (PDE4DIP, intron 3 of 45)	71708	PDE4DIP	PDE4DIP	NM_022359			PDE4DIP			NA
Interval_8568	chr19	41036222	41036706	+	0	NA	promoter-TSS (SPTBN4)	-promoter-TSS (SPTBN4)	69	SPTBN4	SPTBN4	NM_020971			SPTBN4			NA
Interval_5127	chr14	24932970	24933312	+	0	NA	intron (LOC101927045, intron 2 of 2)	-intron (LOC101927045, intron 2 of 2)	20982	LOC101927045	LOC101927045	NR_110032			LOC101927045			NA
Interval_17041	chr8	119189884	119190385	+	0	NA	Intergenic	Intergenic	-66076	EXT1	EXT1	NM_000127			EXT1			NA
Interval_10810	chr21	15918491	15918915	+	0	NA	promoter-TSS (SAMSN1)	-promoter-TSS (SAMSN1)	-22	SAMSN1	SAMSN1	NM_001256370			SAMSN1			NA
Interval_8143	chr18	71426831	71427218	+	0	NA	Intergenic	Intergenic	387975	FBXO15	FBXO15	NM_001142958			FBXO15			NA
Interval_13381	chr4	159795272	159795629	+	0	NA	intron (FNIP2, intron 14 of 16)	-intron (FNIP2, intron 14 of 16)	105268	FNIP2	FNIP2	NM_020840			FNIP2			NA
Interval_1754	chr1	235147702	235148165	+	0	NA	Intergenic	Intergenic	-48187	LOC101927851	LOC101927851	NR_125945			LOC101927851			NA
Interval_13906	chr5	80849401	80849632	+	0	NA	intron (SSBP2, intron 4 of 16)	-intron (SSBP2, intron 4 of 16)	-159528	ACOT12	ACOT12	NM_130767			ACOT12			NA
Interval_4563	chr12	133237418	133237899	+	0	NA	exon (POLE, exon 25 of 49)	-exon (POLE, exon 25 of 49)	26452	POLE	POLE	NM_006231			POLE			NA
Interval_2137	chr10	34659135	34659377	+	0	NA	intron (PARD3, intron 11 of 19)	-intron (PARD3, intron 12 of 24)	444997	PARD3	PARD3	NM_019619			PARD3			NA
Interval_15882	chr7	38384368	38384757	+	0	NA	intron (TRG-AS1, intron 1 of 3)	-intron (TRG-AS1, intron 1 of 3)	3384	TRG-AS1	TRG-AS1	NR_040085			TRG-AS1			NA
Interval_6626	chr16	30482262	30482512	+	0	NA	Intergenic	Intergenic	-1596	ITGAL	ITGAL	NM_001114380			ITGAL			NA
Interval_8986	chr2	43286415	43286780	+	0	NA	Intergenic	Intergenic	-19915	LOC102723854	LOC102723854	NR_110585			LOC102723854			NA
Interval_12679	chr4	6692202	6692503	+	0	NA	Intergenic	Intergenic	-3214	S100P	S100P	NM_005980			S100P			NA
Interval_11486	chr3	11685422	11685652	+	0	NA	promoter-TSS (VGLL4)	-promoter-TSS (VGLL4)	76705	VGLL4	VGLL4	NM_014667			VGLL4			NA
Interval_9008	chr2	46658759	46658947	+	0	NA	intron (LOC101805491, intron 1 of 3)	-intron (LOC101805491, intron 1 of 3)	2524	LOC101805491	LOC101805491	NR_103805			LOC101805491			NA
Interval_1209	chr1	172276361	172276570	+	0	NA	intron (DNM3, intron 15 of 20)	-intron (DNM3, intron 15 of 19)	-113363	C1orf105	C1orf105	NM_139240			C1orf105			NA
Interval_15824	chr7	29383040	29383465	+	0	NA	intron (CHN2, intron 2 of 13)	-intron (CHN2, intron 2 of 13)	-134666	LOC102724484	LOC102724484	NR_120522			LOC102724484			NA
Interval_15481	chr6	143264822	143265166	+	0	NA	intron (HIVEP2, intron 1 of 9)	-intron (HIVEP2, intron 1 of 9)	1344	HIVEP2	HIVEP2	NM_006734			HIVEP2			NA
Interval_2939	chr11	16215680	16215946	+	0	NA	intron (SOX6, intron 4 of 15)	-intron (SOX6, intron 4 of 14)	-224646	MIR6073	MIR6073	NR_106721			MIR6073			NA
Interval_6405	chr16	1440297	1440523	+	0	NA	intron (UNKL, intron 9 of 14)	-intron (UNKL, intron 9 of 14)	-10726	UNKL	UNKL	NM_001037125			UNKL			NA
Interval_14696	chr6	15433436	15433720	+	0	NA	intron (JARID2, intron 3 of 17)	-intron (JARID2, intron 3 of 17)	-184651	JARID2-AS1	JARID2-AS1	NR_120502			JARID2-AS1			NA
Interval_5375	chr14	68954386	68954724	+	0	NA	intron (RAD51B, intron 10 of 10)	-intron (RAD51B, intron 10 of 10)	306076	ZFP36L1	ZFP36L1	NM_001244701			ZFP36L1			NA
Interval_18216	chrX	97119787	97120081	+	0	NA	Intergenic	Intergenic	-300400	DIAPH2-AS1	DIAPH2-AS1	NR_125391			DIAPH2-AS1			NA
Interval_15408	chr6	135601938	135603087	+	0	NA	Intergenic	Intergenic	100059	MYB	MYB	NM_001130172			MYB			NA
Interval_5636	chr14	100908387	100908688	+	0	NA	intron (WDR25, intron 2 of 6)	-intron (WDR25, intron 2 of 6)	65704	WDR25	WDR25	NM_024515			WDR25			NA
Interval_2398	chr10	81077437	81077810	+	0	NA	Intergenic	Intergenic	-29597	PPIF	PPIF	NM_005729			PPIF			NA
Interval_14714	chr6	17600433	17600629	+	0	NA	promoter-TSS (FAM8A1)	-promoter-TSS (FAM8A1)	13	FAM8A1	FAM8A1	NM_016255			FAM8A1			NA
Interval_1295	chr1	184613946	184614195	+	0	NA	Intergenic	Intergenic	109971	EDEM3	EDEM3	NM_025191			EDEM3			NA
Interval_7789	chr17	80084741	80084990	+	0	NA	intron (CCDC57, intron 16 of 16)	-intron (CCDC57, intron 16 of 16)	-28759	FASN	FASN	NM_004104			FASN			NA
Interval_14488	chr5	175322524	175323166	+	0	NA	Intergenic	Intergenic	72473	THOC3	THOC3	NM_032361			THOC3			NA
Interval_3795	chr12	11931701	11932062	+	0	NA	intron (ETV6, intron 2 of 7)	-intron (ETV6, intron 2 of 7)	129093	ETV6	ETV6	NM_001987			ETV6			NA
Interval_9688	chr2	160042267	160042599	+	0	NA	promoter-TSS (MIR6888)	-promoter-TSS (MIR6888)	-913	MIR6888	MIR6888	NR_106948			MIR6888			NA
Interval_10917	chr21	36308575	36309058	+	0	NA	intron (RUNX1, intron 2 of 8)	-intron (RUNX1, intron 2 of 8)	102907	RUNX1-IT1	RUNX1-IT1	NR_026812			RUNX1-IT1			NA
Interval_11289	chr22	37976125	37976365	+	0	NA	promoter-TSS (LGALS2)	-promoter-TSS (LGALS2)	-221	LGALS2	LGALS2	NM_006498			LGALS2			NA
Interval_8285	chr19	6891916	6892478	+	0	NA	intron (ADGRE1, intron 2 of 20)	-intron (ADGRE1, intron 2 of 19)	4637	ADGRE1	ADGRE1	NM_001974			ADGRE1			NA
Interval_11664	chr3	31091920	31092240	+	0	NA	Intergenic	Intergenic	111199	MIR466	MIR466	NR_130459			MIR466			NA
Interval_12296	chr3	134298169	134298446	+	0	NA	Intergenic	Intergenic	71557	KY	KY	NM_178554			KY			NA
Interval_13457	chr4	184429100	184429393	+	0	NA	intron (ING2, intron 1 of 1)	-intron (ING2, intron 1 of 1)	3043	ING2	ING2	NM_001564			ING2			NA
Interval_9864	chr2	191067407	191067926	+	0	NA	exon (C2orf88, exon 2 of 2)	-exon (C2orf88, exon 2 of 2)	21985	C2orf88	C2orf88	NM_032321			C2orf88			NA
Interval_13078	chr4	103537690	103538251	+	0	NA	exon (NFKB1, exon 24 of 24)	-exon (NFKB1, exon 24 of 24)	115484	NFKB1	NFKB1	NM_001165412			NFKB1			NA
Interval_3431	chr11	108815241	108815554	+	0	NA	Intergenic	Intergenic	279645	DDX10	DDX10	NM_004398			DDX10			NA
Interval_10092	chr2	224514681	224514898	+	0	NA	Intergenic	Intergenic	-47572	SCG2	SCG2	NM_003469			SCG2			NA
Interval_9738	chr2	170295986	170296284	+	0	NA	Intergenic	Intergenic	-39871	BBS5	BBS5	NM_152384			BBS5			NA
Interval_3642	chr11	133904676	133904930	+	0	NA	intron (LOC100128239, intron 1 of 2)	-intron (LOC100128239, intron 1 of 2)	2636	LOC100128239	LOC100128239	NR_027276			LOC100128239			NA
