PeakID (cmd=annotatePeaks.pl POU5F1_IP_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
POU5F1_IP_R1_peak_146	chr5	96658755	96659164	+	18	NA	Intergenic	Intergenic	-139954	RIOK2	RIOK2	NM_018343			RIOK2			NA
POU5F1_IP_R1_peak_36	chr11	134665532	134665940	+	18	NA	Intergenic	Intergenic	359360	LOC283177	LOC283177	NR_033852			LOC283177			NA
POU5F1_IP_R1_peak_130	chr4	123648295	123648719	+	18	NA	Intergenic	Intergenic	5106	CETN4P	CETN4P	NR_024041			CETN4P			NA
POU5F1_IP_R1_peak_88	chr19	42307391	42307808	+	18	NA	intron (CEACAM3, intron 2 of 6)	-intron (CEACAM3, intron 2 of 5)	7077	CEACAM3	CEACAM3	NM_001815			CEACAM3			NA
POU5F1_IP_R1_peak_145	chr5	95904272	95904792	+	18	NA	intron (LOC101929710, intron 4 of 4)	-intron (LOC101929710, intron 4 of 4)	-136669	PCSK1	PCSK1	NM_000439			PCSK1			NA
POU5F1_IP_R1_peak_45	chr12	71643011	71643409	+	18	NA	Intergenic	Intergenic	-91431	TSPAN8	TSPAN8	NM_004616			TSPAN8			NA
POU5F1_IP_R1_peak_10	chr1	120648423	120648862	+	18	NA	Intergenic	Intergenic	-36325	NOTCH2	NOTCH2	NM_024408			NOTCH2			NA
POU5F1_IP_R1_peak_151	chr5	165195568	165196043	+	18	NA	Intergenic	Intergenic	1157570	CTB-7E3.1	CTB-7E3	NR_108020			CTB-7E3.1			NA
POU5F1_IP_R1_peak_42	chr12	40816456	40816770	+	18	NA	intron (MUC19, intron 17 of 172)	-intron (MUC19, intron 17 of 172)	29417	MUC19	MUC19	NM_173600			MUC19			NA
POU5F1_IP_R1_peak_21	chr1	240102367	240102722	+	18	NA	Intergenic	Intergenic	-39372	CHRM3-AS1	CHRM3-AS1	NR_046582			CHRM3-AS1			NA
POU5F1_IP_R1_peak_75	chr17	66889420	66889875	+	18	NA	intron (ABCA8, intron 21 of 37)	-intron (ABCA8, intron 23 of 39)	61886	ABCA8	ABCA8	NM_001288986			ABCA8			NA
POU5F1_IP_R1_peak_114	chr3	59163161	59163609	+	18	NA	Intergenic	Intergenic	-127670	C3orf67	C3orf67	NM_198463			C3orf67			NA
POU5F1_IP_R1_peak_163	chr6	103746810	103747251	+	18	NA	Intergenic	Intergenic	1560764	HACE1	HACE1	NM_020771			HACE1			NA
POU5F1_IP_R1_peak_50	chr12	131740456	131740947	+	18	NA	Intergenic	Intergenic	91145	LINC01257	LINC01257	NR_026670			LINC01257			NA
POU5F1_IP_R1_peak_89	chr2	9853114	9853503	+	18	NA	Intergenic	Intergenic	-82124	YWHAQ	YWHAQ	NM_006826			YWHAQ			NA
POU5F1_IP_R1_peak_131	chr4	141126073	141126507	+	18	NA	Intergenic	Intergenic	-51057	MAML3	MAML3	NM_018717			MAML3			NA
POU5F1_IP_R1_peak_35	chr11	95868294	95868726	+	18	NA	intron (MAML2, intron 1 of 4)	-intron (MAML2, intron 1 of 4)	-206092	MIR1260B	MIR1260B	NR_036125			MIR1260B			NA
POU5F1_IP_R1_peak_124	chr4	9059051	9059429	+	18	NA	Intergenic	Intergenic	107763	LOC650293	LOC650293	NM_001040071			LOC650293			NA
POU5F1_IP_R1_peak_201	chrX	78295444	78295792	+	18	NA	Intergenic	Intergenic	94789	P2RY10	P2RY10	NM_198333			P2RY10			NA
POU5F1_IP_R1_peak_73	chr17	56792864	56793317	+	18	NA	intron (RAD51C, intron 4 of 7)	-intron (RAD51C, intron 5 of 8)	23156	RAD51C	RAD51C	NM_058216			RAD51C			NA
POU5F1_IP_R1_peak_15	chr1	178047743	178048131	+	18	NA	Intergenic	Intergenic	-14927	RASAL2	RASAL2	NM_170692			RASAL2			NA
POU5F1_IP_R1_peak_5	chr1	43179984	43180385	+	18	NA	Intergenic	Intergenic	25741	CLDN19	CLDN19	NM_001185117			CLDN19			NA
POU5F1_IP_R1_peak_120	chr3	140728839	140729174	+	18	NA	Intergenic	Intergenic	-41238	SPSB4	SPSB4	NM_080862			SPSB4			NA
POU5F1_IP_R1_peak_64	chr15	42781276	42781786	+	18	NA	intron (ZNF106, intron 1 of 19)	-intron (ZNF106, intron 1 of 19)	-5973	SNAP23	SNAP23	NM_130798			SNAP23			NA
POU5F1_IP_R1_peak_112	chr3	51798371	51798768	+	17	NA	Intergenic	Intergenic	14634	IQCF6	IQCF6	NM_001143833			IQCF6			NA
POU5F1_IP_R1_peak_52	chr13	68435356	68435760	+	17	NA	Intergenic	Intergenic	489039	LINC00364	LINC00364	NR_130792			LINC00364			NA
POU5F1_IP_R1_peak_47	chr12	106675949	106676348	+	17	NA	Intergenic	Intergenic	-20421	TCP11L2	TCP11L2	NM_152772			TCP11L2			NA
POU5F1_IP_R1_peak_142	chr5	65181446	65181866	+	17	NA	Intergenic	Intergenic	-40726	ERBB2IP	ERBB2IP	NM_001006600			ERBB2IP			NA
POU5F1_IP_R1_peak_103	chr2	222442442	222442926	+	17	NA	Intergenic	Intergenic	-5606	EPHA4	EPHA4	NM_001304536			EPHA4			NA
POU5F1_IP_R1_peak_177	chr7	107054541	107055164	+	16	NA	intron (COG5, intron 6 of 20)	-intron (COG5, intron 6 of 20)	-55650	GPR22	GPR22	NM_005295			GPR22			NA
POU5F1_IP_R1_peak_76	chr17	79478026	79478568	+	16	NA	exon (ACTG1, exon 4 of 6)	-exon (ACTG1, exon 4 of 6)	1595	ACTG1	ACTG1	NM_001614			ACTG1			NA
POU5F1_IP_R1_peak_105	chr2	235216348	235216891	+	16	NA	Intergenic	Intergenic	189074	ARL4C	ARL4C	NM_005737			ARL4C			NA
POU5F1_IP_R1_peak_17	chr1	181990328	181990658	+	16	NA	Intergenic	Intergenic	40354	ZNF648	ZNF648	NM_001009992			ZNF648			NA
POU5F1_IP_R1_peak_116	chr3	84614894	84615287	+	16	NA	Intergenic	Intergenic	303636	LINC00971	LINC00971	NR_033860			LINC00971			NA
POU5F1_IP_R1_peak_140	chr5	42464158	42464500	+	16	NA	intron (GHR, intron 1 of 10)	-intron (GHR, intron 1 of 9)	-101637	GHR	GHR	NM_001242399			GHR			NA
POU5F1_IP_R1_peak_196	chr9	84738503	84739046	+	16	NA	Intergenic	Intergenic	135087	SPATA31D1	SPATA31D1	NM_001001670			SPATA31D1			NA
POU5F1_IP_R1_peak_66	chr16	87901722	87902076	+	15	NA	intron (SLC7A5, intron 1 of 9)	-intron (SLC7A5, intron 1 of 9)	1201	SLC7A5	SLC7A5	NM_003486			SLC7A5			NA
POU5F1_IP_R1_peak_53	chr13	95871829	95872291	+	15	NA	intron (ABCC4, intron 3 of 19)	-intron (ABCC4, intron 4 of 20)	81640	ABCC4	ABCC4	NM_005845			ABCC4			NA
POU5F1_IP_R1_peak_16	chr1	178194900	178195437	+	15	NA	intron (RASAL2, intron 1 of 17)	-intron (RASAL2, intron 1 of 17)	-132040	RASAL2-AS1	RASAL2-AS1	NR_027982			RASAL2-AS1			NA
POU5F1_IP_R1_peak_96	chr2	61826837	61827228	+	15	NA	Intergenic	Intergenic	-61614	XPO1	XPO1	NM_003400			XPO1			NA
POU5F1_IP_R1_peak_101	chr2	202867849	202868193	+	15	NA	Intergenic	Intergenic	-31289	FZD7	FZD7	NM_003507			FZD7			NA
POU5F1_IP_R1_peak_56	chr14	58574484	58574836	+	15	NA	intron (C14orf37, intron 4 of 7)	-intron (C14orf37, intron 4 of 7)	44187	C14orf37	C14orf37	NM_001001872			C14orf37			NA
POU5F1_IP_R1_peak_118	chr3	124758362	124758693	+	15	NA	intron (HEG1, intron 1 of 16)	-intron (HEG1, intron 1 of 16)	16275	HEG1	HEG1	NM_020733			HEG1			NA
POU5F1_IP_R1_peak_165	chr6	122827539	122827861	+	15	NA	intron (PKIB, intron 3 of 7)	-intron (PKIB, intron 3 of 7)	-34748	SERINC1	SERINC1	NM_020755			SERINC1			NA
POU5F1_IP_R1_peak_113	chr3	54738506	54738898	+	15	NA	intron (CACNA2D3, intron 11 of 37)	-intron (CACNA2D3, intron 11 of 37)	-64818	ESRG	ESRG	NR_027122			ESRG			NA
POU5F1_IP_R1_peak_143	chr5	67466811	67467358	+	15	NA	Intergenic	Intergenic	-18620	LOC102467655	LOC102467655	NR_105003			LOC102467655			NA
POU5F1_IP_R1_peak_67	chr17	2685169	2685474	+	15	NA	Intergenic	Intergenic	-14411	RAP1GAP2	RAP1GAP2	NM_015085			RAP1GAP2			NA
POU5F1_IP_R1_peak_181	chr8	31764862	31765243	+	15	NA	intron (NRG1, intron 1 of 4)	-intron (NRG1, intron 1 of 4)	-118200	NRG1-IT1	NRG1-IT1	NR_104158			NRG1-IT1			NA
POU5F1_IP_R1_peak_197	chr9	127383883	127384184	+	15	NA	intron (NR6A1, intron 2 of 9)	-intron (NR6A1, intron 2 of 9)	-36682	MIR181A2HG	MIR181A2HG	NR_038975			MIR181A2HG			NA
POU5F1_IP_R1_peak_200	chrX	41325529	41326057	+	15	NA	intron (NYX, intron 1 of 1)	-intron (NYX, intron 1 of 1)	19080	NYX	NYX	NM_022567			NYX			NA
POU5F1_IP_R1_peak_1	chr1	8022393	8022810	+	15	NA	intron (PARK7, intron 1 of 6)	-intron (PARK7, intron 1 of 6)	887	PARK7	PARK7	NM_007262			PARK7			NA
POU5F1_IP_R1_peak_173	chr7	75536510	75536818	+	15	NA	Intergenic	Intergenic	-7756	POR	POR	NM_000941			POR			NA
POU5F1_IP_R1_peak_138	chr5	5692671	5693042	+	15	NA	Intergenic	Intergenic	270070	ICE1	ICE1	NM_015325			ICE1			NA
POU5F1_IP_R1_peak_195	chr9	81643513	81643913	+	15	NA	Intergenic	Intergenic	116868	LOC101927450	LOC101927450	NR_109771			LOC101927450			NA
POU5F1_IP_R1_peak_39	chr12	10850420	10850784	+	15	NA	Intergenic	Intergenic	-23711	STYK1	STYK1	NM_018423			STYK1			NA
POU5F1_IP_R1_peak_167	chr6	139637084	139637459	+	13	NA	Intergenic	Intergenic	-24063	TXLNB	TXLNB	NM_153235			TXLNB			NA
