PeakID (cmd=annotatePeaks.pl PRDM1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_509	chr13	110521926	110522195	+	0	NA	Intergenic	Intergenic	-83146	IRS2	IRS2	NM_003749			IRS2			NA
Interval_881	chr19	4077816	4078164	+	0	NA	Intergenic	Intergenic	-11174	ZBTB7A	ZBTB7A	NM_015898			ZBTB7A			NA
Interval_1714	chr7	133931110	133931460	+	0	NA	intron (LRGUK, intron 16 of 19)	-intron (LRGUK, intron 16 of 19)	70542	SLC35B4	SLC35B4	NM_032826			SLC35B4			NA
Interval_641	chr15	76349385	76349875	+	0	NA	Intergenic	Intergenic	-2669	C15orf27	C15orf27	NM_152335			C15orf27			NA
Interval_1191	chr21	30785459	30785757	+	0	NA	Intergenic	Intergenic	40787	BACH1-IT2	BACH1-IT2	NR_046564			BACH1-IT2			NA
Interval_1103	chr2	202645822	202646190	+	0	NA	promoter-TSS (ALS2)	-promoter-TSS (ALS2)	-111	ALS2	ALS2	NM_020919			ALS2			NA
Interval_1	chr1	926812	927247	+	0	NA	Intergenic	Intergenic	8523	HES4	HES4	NM_001142467			HES4			NA
Interval_736	chr16	88622814	88623359	+	0	NA	Intergenic	Intergenic	-13703	ZC3H18	ZC3H18	NM_001294340			ZC3H18			NA
Interval_797	chr17	57232513	57233010	+	0	NA	promoter-TSS (SKA2)	-promoter-TSS (SKA2)	39	SKA2	SKA2	NM_182620			SKA2			NA
Interval_1285	chr3	44481148	44481470	+	0	NA	TTS (ZNF445)	-TTS (ZNF445)	37853	ZNF445	ZNF445	NM_181489			ZNF445			NA
Interval_1757	chr8	42912665	42913329	+	0	NA	intron (FNTA, intron 1 of 7)	-intron (FNTA, intron 1 of 8)	1555	FNTA	FNTA	NM_002027			FNTA			NA
Interval_721	chr16	69458212	69458609	+	0	NA	promoter-TSS (CYB5B)	-promoter-TSS (CYB5B)	-88	CYB5B	CYB5B	NM_030579			CYB5B			NA
Interval_1476	chr5	130172517	130172826	+	0	NA	Intergenic	Intergenic	328370	HINT1	HINT1	NM_005340			HINT1			NA
Interval_1666	chr7	46174279	46174611	+	0	NA	Intergenic	Intergenic	-213574	IGFBP3	IGFBP3	NM_000598			IGFBP3			NA
Interval_12	chr1	11422104	11422632	+	0	NA	Intergenic	Intergenic	89113	UBIAD1	UBIAD1	NM_013319			UBIAD1			NA
Interval_1002	chr2	27338592	27338997	+	0	NA	intron (CGREF1, intron 1 of 5)	-intron (CGREF1, intron 1 of 5)	3201	CGREF1	CGREF1	NM_001301324			CGREF1			NA
Interval_335	chr11	18289466	18289932	+	0	NA	intron (SAA1, intron 2 of 3)	-intron (SAA1, intron 2 of 3)	1891	SAA1	SAA1	NM_199161			SAA1			NA
Interval_1185	chr20	62285129	62285418	+	0	NA	promoter-TSS (STMN3)	-promoter-TSS (STMN3)	-310	STMN3	STMN3	NM_015894			STMN3			NA
Interval_345	chr11	28129223	28129816	+	0	NA	promoter-TSS (METTL15)	-promoter-TSS (METTL15)	227	KIF18A	KIF18A	NM_031217			KIF18A			NA
Interval_429	chr12	48065592	48066096	+	0	NA	intron (RPAP3, intron 11 of 15)	-intron (RPAP3, intron 11 of 15)	34000	RPAP3	RPAP3	NM_024604			RPAP3			NA
Interval_725	chr16	73939202	73939530	+	0	NA	Intergenic	Intergenic	310054	LOC101928035	LOC101928035	NR_104657			LOC101928035			NA
Interval_1302	chr3	99678669	99678946	+	0	NA	intron (FILIP1L, intron 1 of 5)	-intron (FILIP1L, intron 1 of 4)	4435	MIR3921	MIR3921	NR_037486			MIR3921			NA
Interval_1696	chr7	100765401	100765670	+	0	NA	Intergenic	Intergenic	-4835	SERPINE1	SERPINE1	NM_000602			SERPINE1			NA
Interval_546	chr14	69821092	69821573	+	0	NA	TTS (GALNT16)	-TTS (GALNT16)	43689	ERH	ERH	NM_004450			ERH			NA
Interval_502	chr13	99856817	99857249	+	0	NA	intron (UBAC2, intron 1 of 8)	-intron (UBAC2, intron 1 of 8)	3870	UBAC2	UBAC2	NM_177967			UBAC2			NA
Interval_1183	chr20	57579783	57580082	+	0	NA	intron (CTSZ, intron 2 of 5)	-intron (CTSZ, intron 2 of 5)	2377	CTSZ	CTSZ	NM_001336			CTSZ			NA
Interval_1653	chr7	29153113	29153500	+	0	NA	intron (CPVL, intron 2 of 12)	-intron (CPVL, intron 2 of 12)	-11343	LOC101928168	LOC101928168	NR_120523			LOC101928168			NA
Interval_1664	chr7	43528259	43528988	+	0	NA	intron (HECW1, intron 17 of 29)	-intron (HECW1, intron 15 of 27)	33518	LOC100506895	LOC100506895	NR_038276			LOC100506895			NA
Interval_1293	chr3	52908399	52908716	+	0	NA	intron (TMEM110, intron 1 of 8)	-intron (TMEM110-MUSTN1, intron 1 of 9)	23040	TMEM110	TMEM110	NM_198563			TMEM110			NA
Interval_447	chr12	83080153	83080525	+	0	NA	promoter-TSS (TMTC2)	-promoter-TSS (TMTC2)	-595	TMTC2	TMTC2	NM_152588			TMTC2			NA
Interval_1429	chr4	177738341	177738666	+	0	NA	Intergenic	Intergenic	-24604	VEGFC	VEGFC	NM_005429			VEGFC			NA
Interval_1113	chr2	228906195	228906894	+	0	NA	intron (SPHKAP, intron 3 of 10)	-intron (SPHKAP, intron 3 of 11)	139817	SPHKAP	SPHKAP	NM_030623			SPHKAP			NA
Interval_1600	chr6	134629849	134630159	+	0	NA	intron (SGK1, intron 1 of 13)	-intron (SGK1, intron 1 of 13)	-129524	LINC01010	LINC01010	NR_038218			LINC01010			NA
Interval_7	chr1	6419695	6420126	+	0	NA	promoter-TSS (ACOT7)	-promoter-TSS (ACOT7)	-906	ACOT7	ACOT7	NM_007274			ACOT7			NA
Interval_572	chr14	96571127	96571410	+	0	NA	Intergenic	Intergenic	65607	C14orf132	C14orf132	NM_001282464			C14orf132			NA
Interval_316	chr11	3836161	3836646	+	0	NA	intron (PGAP2, intron 3 of 5)	-intron (PGAP2, intron 3 of 5)	6637	PGAP2	PGAP2	NM_001145438			PGAP2			NA
Interval_273	chr10	69543201	69543892	+	0	NA	Intergenic	Intergenic	54391	DNAJC12	DNAJC12	NM_021800			DNAJC12			NA
Interval_841	chr18	9095639	9096126	+	0	NA	Intergenic	Intergenic	-6746	NDUFV2	NDUFV2	NM_021074			NDUFV2			NA
Interval_812	chr17	66082201	66082634	+	0	NA	Intergenic	Intergenic	-15279	LINC00674	LINC00674	NR_027418			LINC00674			NA
Interval_102	chr1	143744283	143744565	+	0	NA	promoter-TSS (LINC01138)	-promoter-TSS (LINC01138)	95	LINC01138	LINC01138	NR_027468			LINC01138			NA
Interval_1875	chr9	116343852	116344609	+	0	NA	intron (RGS3, intron 1 of 7)	-intron (RGS3, intron 1 of 6)	-11970	RGS3	RGS3	NM_001282923			RGS3			NA
Interval_946	chr19	47049700	47049997	+	0	NA	intron (PPP5D1, intron 1 of 3)	-intron (PPP5D1, intron 1 of 3)	-50679	PNMAL2	PNMAL2	NM_020709			PNMAL2			NA
Interval_955	chr19	50093968	50094366	+	0	NA	promoter-TSS (PRR12)	-promoter-TSS (PRR12)	-745	PRR12	PRR12	NM_020719			PRR12			NA
Interval_256	chr10	15833348	15833863	+	0	NA	intron (FAM188A, intron 11 of 14)	-intron (FAM188A, intron 11 of 14)	68914	FAM188A	FAM188A	NM_024948			FAM188A			NA
Interval_348	chr11	31834566	31834859	+	0	NA	promoter-TSS (PAX6)	-promoter-TSS (PAX6)	-1811	PAX6	PAX6	NM_001258462			PAX6			NA
Interval_598	chr15	40388403	40388694	+	0	NA	intron (BMF, intron 3 of 3)	-intron (BMF, intron 4 of 4)	10091	BMF	BMF	NM_001003943			BMF			NA
Interval_225	chr1	239431929	239432296	+	0	NA	Intergenic	Intergenic	-360261	CHRM3	CHRM3	NM_000740			CHRM3			NA
Interval_365	chr11	59522246	59522593	+	0	NA	promoter-TSS (STX3)	-promoter-TSS (STX3)	-113	STX3	STX3	NM_001178040			STX3			NA
Interval_1340	chr3	150928513	150929750	+	0	NA	TTS (P2RY14)	-TTS (P2RY14)	-8143	GPR171	GPR171	NM_013308			GPR171			NA
Interval_378	chr11	64822862	64823542	+	0	NA	intron (NAALADL1, intron 4 of 17)	-intron (NAALADL1, intron 4 of 17)	2807	NAALADL1	NAALADL1	NM_005468			NAALADL1			NA
Interval_977	chr2	9803265	9803886	+	0	NA	Intergenic	Intergenic	-32391	YWHAQ	YWHAQ	NM_006826			YWHAQ			NA
Interval_1826	chr9	19551266	19551664	+	0	NA	intron (SLC24A2, intron 6 of 9)	-intron (SLC24A2, intron 5 of 8)	142540	ACER2	ACER2	NM_001010887			ACER2			NA
Interval_700	chr16	28030969	28031282	+	0	NA	intron (GSG1L, intron 1 of 6)	-intron (GSG1L, intron 1 of 6)	-131647	GSG1L	GSG1L	NM_001109763			GSG1L			NA
Interval_610	chr15	45011850	45012127	+	0	NA	Intergenic	Intergenic	8303	B2M	B2M	NM_004048			B2M			NA
Interval_297	chr10	112618193	112618953	+	0	NA	Intergenic	Intergenic	12089	PDCD4-AS1	PDCD4-AS1	NR_026932			PDCD4-AS1			NA
Interval_1899	chr9	134281777	134282701	+	0	NA	Intergenic	Intergenic	-23238	PRRC2B	PRRC2B	NM_013318			PRRC2B			NA
Interval_1347	chr3	169763683	169764272	+	0	NA	intron (GPR160, intron 2 of 3)	-intron (GPR160, intron 2 of 3)	8242	GPR160	GPR160	NM_014373			GPR160			NA
Interval_501	chr13	97618933	97619455	+	0	NA	intron (LINC00359, intron 1 of 2)	-intron (LINC00359, intron 1 of 2)	17232	LINC00359	LINC00359	NR_051966			LINC00359			NA
Interval_1519	chr6	510839	511292	+	0	NA	intron (EXOC2, intron 25 of 29)	-intron (EXOC2, intron 23 of 27)	119326	IRF4	IRF4	NM_001195286			IRF4			NA
Interval_204	chr1	229163406	229163724	+	0	NA	Intergenic	Intergenic	146983	MIR4454	MIR4454	NR_039659_3			MIR4454			NA
Interval_195	chr1	213243748	213244198	+	0	NA	intron (RPS6KC1, intron 1 of 13)	-intron (RPS6KC1, intron 1 of 13)	19398	RPS6KC1	RPS6KC1	NM_001287218			RPS6KC1			NA
Interval_1749	chr8	21867401	21867733	+	0	NA	Intergenic	Intergenic	-14787	NPM2	NPM2	NM_001286680			NPM2			NA
Interval_1775	chr8	98651838	98652332	+	0	NA	Intergenic	Intergenic	-4322	MTDH	MTDH	NM_178812			MTDH			NA
Interval_729	chr16	80998363	80998717	+	0	NA	Intergenic	Intergenic	-41563	CENPN	CENPN	NM_001100625			CENPN			NA
Interval_1475	chr5	127211100	127211806	+	0	NA	Intergenic	Intergenic	207313	LINC01184	LINC01184	NR_015360			LINC01184			NA
Interval_594	chr15	38717411	38717815	+	0	NA	Intergenic	Intergenic	-28715	FAM98B	FAM98B	NM_173611			FAM98B			NA
Interval_1782	chr8	102914970	102915410	+	0	NA	intron (NCALD, intron 3 of 6)	-intron (NCALD, intron 4 of 7)	-81470	LOC104054148	LOC104054148	NR_126152			LOC104054148			NA
Interval_1532	chr6	18053883	18054165	+	0	NA	Intergenic	Intergenic	-66170	KIF13A	KIF13A	NM_022113			KIF13A			NA
Interval_856	chr18	46382392	46382743	+	0	NA	intron (CTIF, intron 10 of 11)	-intron (CTIF, intron 11 of 12)	94514	SMAD7	SMAD7	NM_001190821			SMAD7			NA
Interval_1456	chr5	74955873	74956226	+	0	NA	intron (ANKDD1B, intron 10 of 13)	-intron (ANKDD1B, intron 10 of 13)	48748	ANKDD1B	ANKDD1B	NM_001276713			ANKDD1B			NA
Interval_1109	chr2	214018359	214018724	+	0	NA	Intergenic	Intergenic	-3483	IKZF2	IKZF2	NM_001079526			IKZF2			NA
Interval_127	chr1	155267732	155268018	+	0	NA	intron (PKLR, intron 2 of 10)	-intron (PKLR, intron 2 of 10)	2917	PKLR	PKLR	NM_000298			PKLR			NA
Interval_1629	chr7	3755327	3755626	+	0	NA	intron (SDK1, intron 4 of 44)	-intron (SDK1, intron 4 of 44)	414396	SDK1	SDK1	NM_001079653			SDK1			NA
Interval_350	chr11	32797546	32798050	+	0	NA	intron (CCDC73, intron 1 of 17)	-intron (CCDC73, intron 1 of 17)	18406	CCDC73	CCDC73	NM_001008391			CCDC73			NA
Interval_506	chr13	103456040	103456689	+	0	NA	intron (BIVM, intron 1 of 8)	-intron (BIVM, intron 1 of 8)	-3132	BIVM-ERCC5	BIVM-ERCC5	NM_001204425			BIVM-ERCC5			NA
Interval_161	chr1	174756060	174756790	+	0	NA	intron (RABGAP1L, intron 18 of 20)	-intron (RABGAP1L, intron 18 of 20)	166973	LOC101928696	LOC101928696	NR_121196			LOC101928696			NA
Interval_1841	chr9	37302337	37302625	+	0	NA	intron (ZCCHC7, intron 2 of 7)	-intron (ZCCHC7, intron 3 of 8)	-120226	GRHPR	GRHPR	NM_012203			GRHPR			NA
Interval_1623	chr6	170580950	170581266	+	0	NA	promoter-TSS (FLJ38122)	-promoter-TSS (FLJ38122)	-454	FLJ38122	FLJ38122	NR_104177			FLJ38122			NA
Interval_716	chr16	58277322	58277788	+	0	NA	Intergenic	Intergenic	-6285	CCDC113	CCDC113	NM_014157			CCDC113			NA
Interval_1741	chr7	157912519	157912832	+	0	NA	intron (PTPRN2, intron 8 of 21)	-intron (PTPRN2, intron 8 of 21)	265398	LOC100506585	LOC100506585	NR_038966			LOC100506585			NA
Interval_1926	chrX	129218569	129218942	+	0	NA	intron (ELF4, intron 1 of 8)	-intron (ELF4, intron 1 of 8)	25720	ELF4	ELF4	NM_001127197			ELF4			NA
Interval_1194	chr21	33144734	33145385	+	0	NA	Intergenic	Intergenic	-40628	SCAF4	SCAF4	NM_020706			SCAF4			NA
Interval_925	chr19	36681451	36681847	+	0	NA	intron (ZNF565, intron 4 of 4)	-intron (ZNF565, intron 4 of 4)	-23855	ZNF146	ZNF146	NM_001099639			ZNF146			NA
Interval_1271	chr3	15671671	15671953	+	0	NA	intron (BTD, intron 2 of 5)	-intron (BTD, intron 1 of 3)	-28453	HACL1	HACL1	NM_001284415			HACL1			NA
Interval_871	chr18	74116489	74116794	+	0	NA	intron (ZNF516, intron 3 of 7)	-intron (ZNF516, intron 3 of 7)	90505	ZNF516	ZNF516	NM_014643			ZNF516			NA
Interval_23	chr1	17646002	17646497	+	0	NA	intron (PADI4, intron 1 of 15)	-intron (PADI4, intron 1 of 15)	11559	PADI4	PADI4	NM_012387			PADI4			NA
Interval_530	chr14	33743166	33743468	+	0	NA	intron (NPAS3, intron 3 of 11)	-intron (NPAS3, intron 3 of 11)	334858	NPAS3	NPAS3	NM_001165893			NPAS3			NA
Interval_938	chr19	41803584	41804192	+	0	NA	intron (HNRNPUL1, intron 10 of 14)	-intron (HNRNPUL1, intron 10 of 14)	-12206	CCDC97	CCDC97	NM_052848			CCDC97			NA
Interval_480	chr12	124252069	124252576	+	0	NA	intron (DNAH10, intron 2 of 77)	-intron (DNAH10, intron 2 of 77)	5280	DNAH10	DNAH10	NM_207437			DNAH10			NA
Interval_939	chr19	41815976	41816601	+	0	NA	intron (CCDC97, intron 1 of 4)	-intron (CCDC97, intron 1 of 4)	194	CCDC97	CCDC97	NM_052848			CCDC97			NA
Interval_1052	chr2	110927308	110927651	+	0	NA	exon (NPHP1, exon 5 of 20)	-exon (NPHP1, exon 5 of 20)	35160	NPHP1	NPHP1	NM_000272			NPHP1			NA
Interval_481	chr12	127256630	127257170	+	0	NA	promoter-TSS (LINC00944)	-promoter-TSS (LINC00944)	-92	LINC00944	LINC00944	NR_033878			LINC00944			NA
Interval_1240	chr22	35695788	35696464	+	0	NA	intron (TOM1, intron 1 of 13)	-intron (TOM1, intron 1 of 14)	329	TOM1	TOM1	NM_001135730			TOM1			NA
Interval_890	chr19	7197394	7197928	+	0	NA	intron (INSR, intron 2 of 20)	-intron (INSR, intron 2 of 21)	96350	INSR	INSR	NM_000208			INSR			NA
Interval_1045	chr2	99071980	99072297	+	0	NA	intron (INPP4A, intron 1 of 25)	-intron (INPP4A, intron 1 of 25)	10817	INPP4A	INPP4A	NM_001134224			INPP4A			NA
Interval_1349	chr3	169976388	169977076	+	0	NA	intron (PRKCI, intron 2 of 17)	-intron (PRKCI, intron 2 of 17)	36512	PRKCI	PRKCI	NM_002740			PRKCI			NA
Interval_1111	chr2	219554555	219554860	+	0	NA	intron (STK36, intron 13 of 26)	-intron (STK36, intron 13 of 26)	-17926	RNF25	RNF25	NM_022453			RNF25			NA
Interval_103	chr1	143913083	143913749	+	0	NA	promoter-TSS (FAM72C)	-promoter-TSS (FAM72C)	-256	FAM72C	FAM72C	NM_001287385			FAM72C			NA
Interval_1537	chr6	24929519	24929855	+	0	NA	intron (FAM65B, intron 1 of 13)	-intron (FAM65B, intron 1 of 21)	-52094	FAM65B	FAM65B	NM_001286446			FAM65B			NA
Interval_212	chr1	232732457	232733196	+	0	NA	Intergenic	Intergenic	-81583	SIPA1L2	SIPA1L2	NM_020808			SIPA1L2			NA
Interval_1921	chrX	56839074	56840130	+	0	NA	intron (LINC01420, intron 2 of 2)	-intron (LINC01420, intron 2 of 2)	-75585	UQCRBP1	UQCRBP1	NR_002308			UQCRBP1			NA
Interval_511	chr13	112773742	112774031	+	0	NA	Intergenic	Intergenic	12453	LINC00403	LINC00403	NR_120394			LINC00403			NA
Interval_1169	chr20	48236381	48237650	+	0	NA	Intergenic	Intergenic	-52308	PTGIS	PTGIS	NM_000961			PTGIS			NA
Interval_120	chr1	153918101	153918821	+	0	NA	intron (DENND4B, intron 1 of 27)	-intron (DENND4B, intron 1 of 27)	693	DENND4B	DENND4B	NM_014856			DENND4B			NA
Interval_1657	chr7	32782263	32782895	+	0	NA	Intergenic	Intergenic	-9890	MIR550B2	MIR550B2	NR_037514			MIR550B2			NA
Interval_1582	chr6	71295710	71296482	+	0	NA	intron (SDHAF4, intron 2 of 2)	-intron (SDHAF4, intron 2 of 2)	19471	SDHAF4	SDHAF4	NM_145267			SDHAF4			NA
Interval_1779	chr8	101450285	101450716	+	0	NA	Intergenic	Intergenic	55509	MIR4471	MIR4471	NR_039681			MIR4471			NA
Interval_638	chr15	75422934	75424049	+	0	NA	Intergenic	Intergenic	-70730	C15orf39	C15orf39	NM_015492			C15orf39			NA
Interval_290	chr10	101781138	101781703	+	0	NA	Intergenic	Intergenic	-11744	DNMBP	DNMBP	NM_015221			DNMBP			NA
Interval_827	chr17	78237140	78237470	+	0	NA	intron (RNF213, intron 1 of 16)	-intron (RNF213, intron 1 of 67)	2645	RNF213	RNF213	NM_001256071			RNF213			NA
Interval_596	chr15	40346546	40347122	+	0	NA	intron (SRP14-AS1, intron 2 of 2)	-intron (SRP14-AS1, intron 2 of 3)	15322	SRP14-AS1	SRP14-AS1	NR_040059			SRP14-AS1			NA
Interval_344	chr11	27496243	27496728	+	0	NA	intron (LOC105376671, intron 4 of 4)	-intron (LOC105376671, intron 4 of 4)	-2151	LGR4	LGR4	NM_018490			LGR4			NA
Interval_57	chr1	42192996	42193335	+	0	NA	intron (HIVEP3, intron 1 of 8)	-intron (HIVEP3, intron 1 of 7)	-242811	EDN2	EDN2	NM_001956			EDN2			NA
Interval_47	chr1	37880883	37881435	+	0	NA	Intergenic	Intergenic	58885	LINC01137	LINC01137	NR_038842			LINC01137			NA
Interval_1735	chr7	150118084	150118479	+	0	NA	Intergenic	Intergenic	-12461	LINC00996	LINC00996	NR_034033			LINC00996			NA
Interval_1778	chr8	101440683	101441391	+	0	NA	Intergenic	Intergenic	46046	MIR4471	MIR4471	NR_039681			MIR4471			NA
Interval_260	chr10	22972458	22972750	+	0	NA	intron (PIP4K2A, intron 1 of 9)	-intron (PIP4K2A, intron 1 of 9)	30899	PIP4K2A	PIP4K2A	NM_005028			PIP4K2A			NA
Interval_380	chr11	65893483	65893825	+	0	NA	intron (PACS1, intron 1 of 23)	-intron (PACS1, intron 1 of 23)	55830	PACS1	PACS1	NM_018026			PACS1			NA
Interval_172	chr1	195435674	195436165	+	0	NA	Intergenic	Intergenic	1115692	MIR4735	MIR4735	NR_039888			MIR4735			NA
Interval_1165	chr20	43922265	43922535	+	0	NA	exon (MATN4, exon 11 of 11)	-exon (MATN4, exon 11 of 11)	-13083	RBPJL	RBPJL	NM_014276			RBPJL			NA
Interval_908	chr19	14318450	14318847	+	0	NA	Intergenic	Intergenic	-1651	ADGRL1	ADGRL1	NM_001008701			ADGRL1			NA
Interval_1934	chrY	10020659	10021583	+	0	NA	Intergenic	Intergenic	272714	TTTY23B	TTTY23B	NR_003593_1			TTTY23B			NA
Interval_1726	chr7	139888749	139889055	+	0	NA	Intergenic	Intergenic	11841	JHDM1D-AS1	JHDM1D-AS1	NR_024451			JHDM1D-AS1			NA
Interval_158	chr1	172852744	172853446	+	0	NA	Intergenic	Intergenic	167008	TNFSF18	TNFSF18	NM_005092			TNFSF18			NA
Interval_1038	chr2	85166008	85166834	+	0	NA	Intergenic	Intergenic	-31810	KCMF1	KCMF1	NM_020122			KCMF1			NA
Interval_1179	chr20	52383765	52384282	+	0	NA	Intergenic	Intergenic	108225	SUMO1P1	SUMO1P1	NR_002189			SUMO1P1			NA
Interval_436	chr12	58087317	58087748	+	0	NA	promoter-TSS (OS9)	-promoter-TSS (OS9)	-206	OS9	OS9	NM_001261421			OS9			NA
Interval_1065	chr2	128602773	128603091	+	0	NA	TTS (POLR2D)	-TTS (POLR2D)	12797	POLR2D	POLR2D	NM_004805			POLR2D			NA
Interval_291	chr10	101930252	101930531	+	0	NA	intron (ERLIN1, intron 6 of 10)	-intron (ERLIN1, intron 7 of 11)	15343	ERLIN1	ERLIN1	NM_001100626			ERLIN1			NA
Interval_1253	chr22	43064640	43064990	+	0	NA	Intergenic	Intergenic	-21820	CYB5R3	CYB5R3	NM_000398			CYB5R3			NA
Interval_1609	chr6	150553472	150553767	+	0	NA	intron (PPP1R14C, intron 3 of 3)	-intron (PPP1R14C, intron 3 of 3)	89431	PPP1R14C	PPP1R14C	NM_030949			PPP1R14C			NA
Interval_1783	chr8	103251725	103252178	+	0	NA	promoter-TSS (RRM2B)	-promoter-TSS (RRM2B)	272	UBR5-AS1	UBR5-AS1	NR_125415			UBR5-AS1			NA
Interval_1279	chr3	36949305	36949588	+	0	NA	intron (TRANK1, intron 1 of 22)	-intron (TRANK1, intron 1 of 22)	37102	TRANK1	TRANK1	NM_014831			TRANK1			NA
Interval_518	chr14	23031251	23031586	+	0	NA	Intergenic	Intergenic	26725	DAD1	DAD1	NM_001344			DAD1			NA
Interval_586	chr15	31342512	31343696	+	0	NA	intron (TRPM1, intron 10 of 26)	-intron (TRPM1, intron 10 of 26)	14240	MIR211	MIR211	NR_029624			MIR211			NA
Interval_1423	chr4	148471516	148472238	+	0	NA	Intergenic	Intergenic	-66662	TMEM184C	TMEM184C	NM_018241			TMEM184C			NA
Interval_560	chr14	77429411	77429755	+	0	NA	Intergenic	Intergenic	65459	IRF2BPL	IRF2BPL	NM_024496			IRF2BPL			NA
Interval_390	chr11	75247804	75248160	+	0	NA	Intergenic	Intergenic	-11383	GDPD5	GDPD5	NM_030792			GDPD5			NA
Interval_1273	chr3	17791141	17791509	+	0	NA	Intergenic	Intergenic	-8926	TBC1D5	TBC1D5	NM_014744			TBC1D5			NA
Interval_1488	chr5	143217389	143217842	+	0	NA	Intergenic	Intergenic	25889	HMHB1	HMHB1	NM_021182			HMHB1			NA
Interval_263	chr10	35012647	35013026	+	0	NA	intron (PARD3, intron 1 of 24)	-intron (PARD3, intron 1 of 24)	91417	PARD3	PARD3	NM_019619			PARD3			NA
Interval_321	chr11	6627051	6627523	+	0	NA	intron (ILK, intron 2 of 11)	-intron (ILK, intron 2 of 12)	2349	ILK	ILK	NM_004517			ILK			NA
Interval_1897	chr9	132801709	132802054	+	0	NA	intron (FNBP1, intron 1 of 16)	-intron (FNBP1, intron 1 of 16)	3592	FNBP1	FNBP1	NM_015033			FNBP1			NA
Interval_1208	chr21	39809172	39809505	+	0	NA	intron (ERG, intron 2 of 8)	-intron (ERG, intron 4 of 11)	-91340	LINC01423	LINC01423	NR_110545			LINC01423			NA
Interval_298	chr10	112643677	112643952	+	0	NA	intron (PDCD4, intron 5 of 12)	-intron (PDCD4, intron 4 of 11)	12261	PDCD4	PDCD4	NM_014456			PDCD4			NA
Interval_1917	chrX	49023703	49024004	+	0	NA	exon (MAGIX, exon 5 of 5)	-exon (MAGIX, exon 5 of 5)	-4331	PLP2	PLP2	NM_002668			PLP2			NA
Interval_398	chr11	88138891	88139557	+	0	NA	Intergenic	Intergenic	-68283	CTSC	CTSC	NM_001814			CTSC			NA
Interval_1140	chr20	8583398	8584069	+	0	NA	intron (PLCB1, intron 3 of 32)	-intron (PLCB1, intron 3 of 31)	470821	PLCB1	PLCB1	NM_015192			PLCB1			NA
Interval_115	chr1	151956826	151957895	+	0	NA	intron (S100A10, intron 2 of 2)	-intron (S100A10, intron 2 of 2)	9354	S100A10	S100A10	NM_002966			S100A10			NA
Interval_1835	chr9	34646361	34647103	+	0	NA	exon (GALT, exon 1 of 11)	-exon (GALT, exon 1 of 11)	146	GALT	GALT	NM_000155			GALT			NA
Interval_1281	chr3	38206703	38207414	+	0	NA	promoter-TSS (OXSR1)	-promoter-TSS (OXSR1)	32	OXSR1	OXSR1	NM_005109			OXSR1			NA
Interval_1450	chr5	71078246	71078555	+	0	NA	Intergenic	Intergenic	63410	CARTPT	CARTPT	NM_004291			CARTPT			NA
Interval_484	chr12	129849082	129849354	+	0	NA	intron (TMEM132D, intron 3 of 8)	-intron (TMEM132D, intron 3 of 8)	156072	LOC101927735	LOC101927735	NR_110058			LOC101927735			NA
Interval_196	chr1	213580781	213581234	+	0	NA	Intergenic	Intergenic	356432	RPS6KC1	RPS6KC1	NM_001287218			RPS6KC1			NA
Interval_1373	chr4	3039825	3040453	+	0	NA	exon (GRK4, exon 14 of 15)	-exon (GRK4, exon 14 of 15)	-36098	HTT	HTT	NM_002111			HTT			NA
Interval_469	chr12	117760375	117760696	+	0	NA	intron (NOS1, intron 2 of 29)	-intron (NOS1, intron 2 of 28)	39072	NOS1	NOS1	NM_000620			NOS1			NA
Interval_188	chr1	211503090	211503601	+	0	NA	intron (TRAF5, intron 1 of 10)	-intron (TRAF5, intron 1 of 10)	-16361	TRAF5	TRAF5	NM_004619			TRAF5			NA
Interval_239	chr10	5904340	5904821	+	0	NA	exon (ANKRD16, exon 8 of 8)	-exon (ANKRD16, exon 8 of 8)	27280	ANKRD16	ANKRD16	NM_019046			ANKRD16			NA
Interval_858	chr18	47013081	47013397	+	0	NA	promoter-TSS (MIR1539)	-promoter-TSS (MIR1539)	405	C18orf32	C18orf32	NM_001199346			C18orf32			NA
Interval_1669	chr7	50108806	50109518	+	0	NA	intron (ZPBP, intron 3 of 7)	-intron (ZPBP, intron 3 of 7)	23698	ZPBP	ZPBP	NM_001159878			ZPBP			NA
Interval_1153	chr20	33463781	33464290	+	0	NA	promoter-TSS (ACSS2)	-promoter-TSS (ACSS2)	-293	ACSS2	ACSS2	NM_001242393			ACSS2			NA
Interval_1527	chr6	10902122	10902437	+	0	NA	intron (SYCP2L, intron 6 of 29)	-intron (SYCP2L, intron 6 of 29)	15215	SYCP2L	SYCP2L	NM_001040274			SYCP2L			NA
Interval_863	chr18	55598293	55598592	+	0	NA	Intergenic	Intergenic	-113168	NEDD4L	NEDD4L	NM_015277			NEDD4L			NA
Interval_97	chr1	117457629	117458138	+	0	NA	intron (PTGFRN, intron 1 of 8)	-intron (PTGFRN, intron 1 of 8)	5338	PTGFRN	PTGFRN	NM_020440			PTGFRN			NA
