PeakID (cmd=annotatePeaks.pl anti-GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4461	chr15	22443390	22443587	+	0	NA	Intergenic	Intergenic	30026	OR4N3P	OR4N3P	NR_028067			OR4N3P			NA
Interval_3940	chr13	111527667	111527832	+	0	NA	Intergenic	Intergenic	-5094	LINC00346	LINC00346	NR_027701			LINC00346			NA
Interval_2074	chr10	127120709	127120868	+	0	NA	Intergenic	Intergenic	-142152	TEX36-AS1	TEX36-AS1	NR_023362			TEX36-AS1			NA
Interval_4388	chr14	99131277	99131604	+	0	NA	Intergenic	Intergenic	-46510	C14orf177	C14orf177	NM_182560			C14orf177			NA
Interval_11387	chr6	7805811	7805970	+	0	NA	intron (BMP6, intron 1 of 6)	-intron (BMP6, intron 1 of 6)	78879	BMP6	BMP6	NM_001718			BMP6			NA
Interval_12799	chr7	121072233	121072413	+	0	NA	Intergenic	Intergenic	-35901	FAM3C	FAM3C	NM_001040020			FAM3C			NA
Interval_7904	chr20	13619591	13619939	+	0	NA	promoter-TSS (TASP1)	-promoter-TSS (TASP1)	-182	TASP1	TASP1	NM_017714			TASP1			NA
Interval_11192	chr5	148619875	148620177	+	0	NA	intron (ABLIM3, intron 10 of 18)	-intron (ABLIM3, intron 12 of 22)	-31375	AFAP1L1	AFAP1L1	NM_152406			AFAP1L1			NA
Interval_12434	chr7	24267162	24267481	+	0	NA	Intergenic	Intergenic	-56486	NPY	NPY	NM_000905			NPY			NA
Interval_13272	chr8	63961619	63961778	+	0	NA	Intergenic	Intergenic	-10088	GGH	GGH	NM_003878			GGH			NA
Interval_4903	chr15	98182745	98182953	+	0	NA	Intergenic	Intergenic	-78921	LOC101927310	LOC101927310	NR_110756			LOC101927310			NA
Interval_2150	chr11	10012240	10012449	+	0	NA	intron (SBF2, intron 12 of 39)	-intron (SBF2, intron 12 of 39)	151655	LOC101928008	LOC101928008	NR_120539			LOC101928008			NA
Interval_10068	chr4	90213948	90214181	+	0	NA	intron (GPRIN3, intron 1 of 1)	-intron (GPRIN3, intron 1 of 1)	15097	GPRIN3	GPRIN3	NM_198281			GPRIN3			NA
Interval_14076	chr9	113411768	113411927	+	0	NA	Intergenic	Intergenic	-19204	MUSK	MUSK	NM_005592			MUSK			NA
Interval_13496	chr8	118456158	118456317	+	0	NA	Intergenic	Intergenic	-76715	MED30	MED30	NM_080651			MED30			NA
Interval_585	chr1	107773062	107773236	+	0	NA	intron (NTNG1, intron 2 of 5)	-intron (NTNG1, intron 2 of 7)	90404	NTNG1	NTNG1	NM_001113226			NTNG1			NA
Interval_13692	chr9	629009	629345	+	0	NA	intron (KANK1, intron 2 of 12)	-intron (KANK1, intron 5 of 15)	-77629	KANK1	KANK1	NM_015158			KANK1			NA
Interval_13300	chr8	71125145	71125428	+	0	NA	intron (NCOA2, intron 4 of 22)	-intron (NCOA2, intron 4 of 22)	-141724	PRDM14	PRDM14	NM_024504			PRDM14			NA
Interval_5940	chr18	12882993	12883312	+	0	NA	intron (PTPN2, intron 1 of 8)	-intron (PTPN2, intron 1 of 10)	1182	PTPN2	PTPN2	NM_080422			PTPN2			NA
Interval_177	chr1	31373102	31373250	+	0	NA	intron (SDC3, intron 1 of 4)	-intron (SDC3, intron 1 of 4)	8304	SDC3	SDC3	NM_014654			SDC3			NA
Interval_934	chr1	180477023	180477259	+	0	NA	Intergenic	Intergenic	-5119	ACBD6	ACBD6	NM_032360			ACBD6			NA
Interval_12969	chr7	155088810	155089106	+	0	NA	promoter-TSS (INSIG1)	-promoter-TSS (INSIG1)	-528	INSIG1	INSIG1	NM_198336			INSIG1			NA
Interval_3485	chr12	126262811	126262970	+	0	NA	Intergenic	Intergenic	205030	LINC00939	LINC00939	NR_034132			LINC00939			NA
Interval_13262	chr8	61841810	61842075	+	0	NA	Intergenic	Intergenic	38365	LOC100130298	LOC100130298	NR_034003			LOC100130298			NA
Interval_12226	chr6	157126249	157126408	+	0	NA	intron (ARID1B, intron 1 of 19)	-intron (ARID1B, intron 1 of 18)	-25463	MIR4466	MIR4466	NR_039676			MIR4466			NA
Interval_13559	chr8	126293097	126293294	+	0	NA	intron (NSMCE2, intron 5 of 7)	-intron (NSMCE2, intron 5 of 7)	-149368	TRIB1	TRIB1	NM_001282985			TRIB1			NA
Interval_8408	chr22	23285141	23285317	+	0	NA	Intergenic	Intergenic	55269	IGLL5	IGLL5	NM_001178126			IGLL5			NA
Interval_8550	chr22	40929681	40929960	+	0	NA	intron (MKL1, intron 3 of 14)	-intron (MKL1, intron 3 of 13)	12016	LOC101927257	LOC101927257	NR_109965			LOC101927257			NA
Interval_4311	chr14	89028962	89029277	+	0	NA	promoter-TSS (ZC3H14)	-promoter-TSS (ZC3H14)	-7996	PTPN21	PTPN21	NM_007039			PTPN21			NA
Interval_12548	chr7	47079196	47079492	+	0	NA	Intergenic	Intergenic	542398	TNS3	TNS3	NM_022748			TNS3			NA
Interval_7973	chr20	30268179	30268466	+	0	NA	intron (BCL2L1, intron 2 of 2)	-intron (BCL2L1, intron 2 of 2)	-40988	ABALON	ABALON	NR_131907			ABALON			NA
Interval_4690	chr15	63656615	63656984	+	0	NA	intron (CA12, intron 2 of 9)	-intron (CA12, intron 2 of 10)	17510	CA12	CA12	NM_001218			CA12			NA
Interval_11657	chr6	41383915	41384206	+	0	NA	Intergenic	Intergenic	80532	NCR2	NCR2	NM_004828			NCR2			NA
Interval_11274	chr5	170154746	170154906	+	0	NA	intron (KCNIP1, intron 5 of 7)	-intron (KCNIP1, intron 6 of 8)	-55897	GABRP	GABRP	NM_014211			GABRP			NA
Interval_12797	chr7	120311409	120311568	+	0	NA	intron (KCND2, intron 1 of 5)	-intron (KCND2, intron 1 of 5)	186689	TSPAN12	TSPAN12	NM_012338			TSPAN12			NA
Interval_6313	chr19	15441177	15441336	+	0	NA	Intergenic	Intergenic	49356	AKAP8	AKAP8	NM_005858			AKAP8			NA
Interval_2224	chr11	32442403	32442678	+	0	NA	intron (WT1, intron 3 of 9)	-intron (WT1, intron 3 of 8)	-14524	WT1-AS	WT1-AS	NR_120548			WT1-AS			NA
Interval_12225	chr6	157101627	157101806	+	0	NA	promoter-TSS (MIR4466)	-promoter-TSS (MIR4466)	-851	MIR4466	MIR4466	NR_039676			MIR4466			NA
Interval_3742	chr13	53226875	53227103	+	0	NA	exon (SUGT1, exon 1 of 14)	-exon (SUGT1, exon 1 of 14)	158	SUGT1	SUGT1	NM_001130912			SUGT1			NA
Interval_7544	chr2	193115769	193115916	+	0	NA	Intergenic	Intergenic	-56183	TMEFF2	TMEFF2	NM_001305134			TMEFF2			NA
Interval_2441	chr11	75408955	75409114	+	0	NA	Intergenic	Intergenic	-19900	MOGAT2	MOGAT2	NM_025098			MOGAT2			NA
Interval_8624	chr3	3272347	3272550	+	0	NA	Intergenic	Intergenic	-51047	CRBN	CRBN	NM_001173482			CRBN			NA
Interval_8170	chr21	15459304	15459463	+	0	NA	Intergenic	Intergenic	-106618	ANKRD20A11P	ANKRD20A11P	NR_027270			ANKRD20A11P			NA
Interval_10852	chr5	81883850	81884009	+	0	NA	Intergenic	Intergenic	-252045	MIR3977	MIR3977	NR_039773			MIR3977			NA
Interval_11592	chr6	33842578	33842740	+	0	NA	Intergenic	Intergenic	22025	LINC01016	LINC01016	NR_038989			LINC01016			NA
Interval_5732	chr17	63746766	63746960	+	0	NA	intron (CEP112, intron 19 of 24)	-intron (CEP112, intron 1 of 6)	75798	CEP112	CEP112	NM_001199165			CEP112			NA
Interval_4627	chr15	53569288	53569447	+	0	NA	Intergenic	Intergenic	263682	WDR72	WDR72	NR_102334			WDR72			NA
Interval_4035	chr14	35592345	35592520	+	0	NA	promoter-TSS (PPP2R3C)	-promoter-TSS (PPP2R3C)	-683	PPP2R3C	PPP2R3C	NM_001305156			PPP2R3C			NA
Interval_4260	chr14	76781910	76782069	+	0	NA	Intergenic	Intergenic	-44513	RNU6-19P	RNU6-19P	NR_046487_1			RNU6-19P			NA
Interval_7206	chr2	129170621	129170874	+	0	NA	Intergenic	Intergenic	-94576	HS6ST1	HS6ST1	NM_004807			HS6ST1			NA
Interval_11561	chr6	30496864	30497023	+	0	NA	Intergenic	Intergenic	-27543	PRR3	PRR3	NM_001077497			PRR3			NA
Interval_2491	chr11	85776134	85776293	+	0	NA	intron (PICALM, intron 1 of 18)	-intron (PICALM, intron 1 of 19)	3926	PICALM	PICALM	NM_001206947			PICALM			NA
Interval_10344	chr4	152523905	152524137	+	0	NA	intron (FAM160A1, intron 7 of 13)	-intron (FAM160A1, intron 7 of 13)	158154	GATB	GATB	NM_004564			GATB			NA
Interval_5169	chr16	59709880	59710039	+	0	NA	Intergenic	Intergenic	79136	APOOP5	APOOP5	NR_028471			APOOP5			NA
Interval_719	chr1	149998367	149998526	+	0	NA	Intergenic	Intergenic	-15760	OTUD7B	OTUD7B	NM_020205			OTUD7B			NA
Interval_4157	chr14	62217723	62217882	+	0	NA	Intergenic	Intergenic	-1995	HIF1A-AS2	HIF1A-AS2	NR_045406			HIF1A-AS2			NA
Interval_4973	chr16	8910908	8911102	+	0	NA	intron (PMM2, intron 7 of 7)	-intron (PMM2, intron 7 of 7)	19335	PMM2	PMM2	NM_000303			PMM2			NA
Interval_11539	chr6	27112842	27113001	+	0	NA	intron (HIST1H2BK, intron 1 of 1)	-intron (HIST1H2BK, intron 1 of 1)	1716	HIST1H2BK	HIST1H2BK	NM_080593			HIST1H2BK			NA
Interval_1697	chr10	57253108	57253270	+	0	NA	Intergenic	Intergenic	-105561	MTRNR2L5	MTRNR2L5	NM_001190478			MTRNR2L5			NA
Interval_10576	chr5	27510399	27510559	+	0	NA	Intergenic	Intergenic	38080	LINC01021	LINC01021	NR_038848			LINC01021			NA
Interval_5751	chr17	67158266	67158425	+	0	NA	intron (ABCA10, intron 28 of 39)	-intron (ABCA10, intron 28 of 39)	-20330	ABCA6	ABCA6	NM_080284			ABCA6			NA
Interval_882	chr1	169235189	169235348	+	0	NA	intron (NME7, intron 7 of 12)	-intron (NME7, intron 7 of 11)	-101926	BLZF1	BLZF1	NM_003666			BLZF1			NA
Interval_9109	chr3	80783282	80783441	+	0	NA	Intergenic	Intergenic	1027589	GBE1	GBE1	NM_000158			GBE1			NA
Interval_5402	chr17	7783472	7783677	+	0	NA	Intergenic	Intergenic	-8595	CHD3	CHD3	NM_001005271			CHD3			NA
Interval_10504	chr5	1448033	1448199	+	0	NA	Intergenic	Intergenic	-2573	SLC6A3	SLC6A3	NM_001044			SLC6A3			NA
Interval_4214	chr14	71029041	71029200	+	0	NA	Intergenic	Intergenic	-27388	ADAM20	ADAM20	NM_003814			ADAM20			NA
Interval_3891	chr13	99829052	99829385	+	0	NA	Intergenic	Intergenic	23791	UBAC2-AS1	UBAC2-AS1	NR_036532			UBAC2-AS1			NA
Interval_5069	chr16	28936730	28936903	+	0	NA	promoter-TSS (RABEP2)	-promoter-TSS (RABEP2)	-284	RABEP2	RABEP2	NM_024816			RABEP2			NA
Interval_4765	chr15	72878124	72878352	+	0	NA	exon (ARIH1, exon 14 of 14)	-exon (ARIH1, exon 14 of 14)	-1320	MIR630	MIR630	NR_030359			MIR630			NA
Interval_11059	chr5	128324068	128324323	+	0	NA	intron (SLC27A6, intron 3 of 10)	-intron (SLC27A6, intron 2 of 9)	22985	SLC27A6	SLC27A6	NM_001017372			SLC27A6			NA
Interval_9836	chr4	28261371	28261530	+	0	NA	Intergenic	Intergenic	-559754	MIR4275	MIR4275	NR_036237			MIR4275			NA
Interval_4257	chr14	76250017	76250302	+	0	NA	intron (TTLL5, intron 26 of 31)	-intron (TTLL5, intron 26 of 31)	122608	TTLL5	TTLL5	NM_015072			TTLL5			NA
Interval_9050	chr3	66271192	66271351	+	0	NA	exon (SLC25A26, exon 1 of 9)	-exon (SLC25A26, exon 1 of 9)	103	SLC25A26	SLC25A26	NM_173471			SLC25A26			NA
Interval_6739	chr2	41096338	41096577	+	0	NA	Intergenic	Intergenic	-439013	SLC8A1	SLC8A1	NM_001112802			SLC8A1			NA
Interval_10365	chr4	154038055	154038229	+	0	NA	Intergenic	Intergenic	-87424	TRIM2	TRIM2	NM_001130067			TRIM2			NA
Interval_12357	chr7	7978110	7978301	+	0	NA	Intergenic	Intergenic	-30169	GLCCI1	GLCCI1	NM_138426			GLCCI1			NA
Interval_6916	chr2	65661483	65661755	+	0	NA	Intergenic	Intergenic	-1963	SPRED2	SPRED2	NM_181784			SPRED2			NA
Interval_5431	chr17	14222207	14222451	+	0	NA	intron (HS3ST3B1, intron 1 of 2)	-intron (HS3ST3B1, intron 1 of 1)	15272	MGC12916	MGC12916	NR_026880			MGC12916			NA
Interval_10299	chr4	140997406	140997708	+	0	NA	intron (MAML3, intron 1 of 5)	-intron (MAML3, intron 1 of 5)	77676	MAML3	MAML3	NM_018717			MAML3			NA
Interval_4205	chr14	69093057	69093225	+	0	NA	Intergenic	Intergenic	167490	ZFP36L1	ZFP36L1	NM_001244701			ZFP36L1			NA
Interval_7290	chr2	144019629	144020019	+	0	NA	intron (ARHGAP15, intron 6 of 13)	-intron (ARHGAP15, intron 6 of 13)	132925	ARHGAP15	ARHGAP15	NM_018460			ARHGAP15			NA
Interval_13790	chr9	20505062	20505242	+	0	NA	intron (MLLT3, intron 2 of 10)	-intron (MLLT3, intron 2 of 10)	-2812	MIR4474	MIR4474	NR_039685			MIR4474			NA
Interval_1376	chr10	419704	420099	+	0	NA	intron (DIP2C, intron 17 of 36)	-intron (DIP2C, intron 17 of 36)	-91875	MIR7641-2	MIR7641-2	NR_106988_26			MIR7641-2			NA
Interval_2534	chr11	95332483	95332642	+	0	NA	Intergenic	Intergenic	190392	FAM76B	FAM76B	NM_144664			FAM76B			NA
Interval_7054	chr2	99101649	99101985	+	0	NA	intron (INPP4A, intron 1 of 25)	-intron (INPP4A, intron 1 of 25)	40496	INPP4A	INPP4A	NM_001134224			INPP4A			NA
Interval_14572	chrY	14775162	14775381	+	0	NA	intron (TTTY15, intron 1 of 3)	-intron (TTTY15, intron 1 of 3)	973	TTTY15	TTTY15	NR_001545			TTTY15			NA
Interval_2168	chr11	13280988	13281257	+	0	NA	Intergenic	Intergenic	-18152	ARNTL	ARNTL	NM_001178			ARNTL			NA
Interval_2285	chr11	45072009	45072326	+	0	NA	Intergenic	Intergenic	-43397	PRDM11	PRDM11	NM_001256695			PRDM11			NA
Interval_6520	chr2	2527857	2528016	+	0	NA	Intergenic	Intergenic	-192851	MYT1L	MYT1L	NM_015025			MYT1L			NA
Interval_10178	chr4	110482199	110482594	+	0	NA	intron (CCDC109B, intron 1 of 7)	-intron (CCDC109B, intron 1 of 7)	1041	CCDC109B	CCDC109B	NM_017918			CCDC109B			NA
Interval_3612	chr13	39945607	39945766	+	0	NA	intron (LHFP, intron 3 of 3)	-intron (LHFP, intron 3 of 3)	231670	LHFP	LHFP	NM_005780			LHFP			NA
Interval_10423	chr4	169534357	169534648	+	0	NA	intron (PALLD, intron 2 of 20)	-intron (PALLD, intron 2 of 21)	116285	PALLD	PALLD	NM_001166110			PALLD			NA
Interval_13896	chr9	77604778	77604971	+	0	NA	intron (C9orf41, intron 6 of 7)	-intron (C9orf41, intron 6 of 7)	36993	C9orf41-AS1	C9orf41-AS1	NR_121183			C9orf41-AS1			NA
Interval_13521	chr8	120993014	120993161	+	0	NA	intron (DEPTOR, intron 4 of 8)	-intron (DEPTOR, intron 2 of 6)	107192	DEPTOR	DEPTOR	NM_022783			DEPTOR			NA
Interval_3745	chr13	55605136	55605356	+	0	NA	Intergenic	Intergenic	-143343	MIR5007	MIR5007	NR_049804			MIR5007			NA
Interval_1683	chr10	52327275	52327468	+	0	NA	intron (SGMS1, intron 2 of 10)	-intron (SGMS1, intron 2 of 10)	56366	SGMS1	SGMS1	NM_147156			SGMS1			NA
Interval_13016	chr8	5750369	5750541	+	0	NA	Intergenic	Intergenic	513614	LOC100287015	LOC100287015	NR_040040			LOC100287015			NA
Interval_6027	chr18	33710198	33710345	+	0	NA	promoter-TSS (SLC39A6)	-promoter-TSS (SLC39A6)	434	ELP2	ELP2	NM_018255			ELP2			NA
Interval_13070	chr8	17737651	17737864	+	0	NA	intron (FGL1, intron 4 of 8)	-intron (FGL1, intron 3 of 7)	15156	FGL1	FGL1	NM_004467			FGL1			NA
Interval_6282	chr19	11852385	11852544	+	0	NA	Intergenic	Intergenic	-2640	ZNF823	ZNF823	NM_001080493			ZNF823			NA
Interval_9824	chr4	26611180	26611350	+	0	NA	intron (TBC1D19, intron 1 of 17)	-intron (TBC1D19, intron 1 of 17)	25719	TBC1D19	TBC1D19	NM_018317			TBC1D19			NA
Interval_1127	chr1	208199629	208199901	+	0	NA	exon (PLXNA2, exon 32 of 32)	-exon (PLXNA2, exon 32 of 32)	-115082	CD34	CD34	NM_001773			CD34			NA
Interval_14457	chrX	102114721	102114921	+	0	NA	intron (LINC00630, intron 6 of 7)	-intron (LINC00630, intron 6 of 7)	-77379	RAB40AL	RAB40AL	NM_001031834			RAB40AL			NA
Interval_8809	chr3	31503840	31504180	+	0	NA	Intergenic	Intergenic	-69983	STT3B	STT3B	NM_178862			STT3B			NA
Interval_7074	chr2	100900305	100900481	+	0	NA	exon (LONRF2, exon 12 of 12)	-exon (LONRF2, exon 12 of 12)	38802	LONRF2	LONRF2	NM_198461			LONRF2			NA
Interval_1608	chr10	31426027	31426320	+	0	NA	Intergenic	Intergenic	-105307	ZNF438	ZNF438	NM_182755			ZNF438			NA
Interval_3716	chr13	51087295	51087593	+	0	NA	intron (DLEU1, intron 5 of 6)	-intron (DLEU1, intron 5 of 6)	14141	DLEU1-AS1	DLEU1-AS1	NR_125753			DLEU1-AS1			NA
Interval_13035	chr8	8726607	8726884	+	0	NA	intron (MFHAS1, intron 1 of 2)	-intron (MFHAS1, intron 1 of 2)	24386	MFHAS1	MFHAS1	NM_004225			MFHAS1			NA
Interval_8866	chr3	37114206	37114439	+	0	NA	exon (LRRFIP2, exon 13 of 19)	-exon (LRRFIP2, exon 13 of 19)	79054	MLH1	MLH1	NM_001258273			MLH1			NA
Interval_7437	chr2	173777000	173777322	+	0	NA	intron (RAPGEF4, intron 1 of 26)	-intron (RAPGEF4, intron 1 of 27)	-163404	ZAK	ZAK	NM_016653			ZAK			NA
Interval_6150	chr18	61515656	61515836	+	0	NA	Intergenic	Intergenic	-39193	SERPINB2	SERPINB2	NM_001143818			SERPINB2			NA
Interval_4161	chr14	63978374	63978631	+	0	NA	intron (PPP2R5E, intron 2 of 13)	-intron (PPP2R5E, intron 2 of 13)	31577	PPP2R5E	PPP2R5E	NM_001282180			PPP2R5E			NA
Interval_13611	chr8	133592437	133592653	+	0	NA	intron (LRRC6, intron 11 of 12)	-intron (LRRC6, intron 11 of 11)	-18819	HPYR1	HPYR1	NR_026684			HPYR1			NA
Interval_13244	chr8	59720687	59720934	+	0	NA	exon (TOX, exon 8 of 9)	-exon (TOX, exon 8 of 9)	-148406	NSMAF	NSMAF	NM_003580			NSMAF			NA
Interval_7248	chr2	135169260	135169497	+	0	NA	intron (MGAT5, intron 11 of 15)	-intron (MGAT5, intron 11 of 15)	157548	MGAT5	MGAT5	NM_002410			MGAT5			NA
Interval_10797	chr5	74669679	74669954	+	0	NA	exon (COL4A3BP, exon 19 of 19)	-exon (COL4A3BP, exon 19 of 19)	36823	HMGCR	HMGCR	NM_000859			HMGCR			NA
Interval_4859	chr15	90437769	90437928	+	0	NA	promoter-TSS (AP3S2)	-promoter-TSS (AP3S2)	-231	AP3S2	AP3S2	NM_005829			AP3S2			NA
Interval_6558	chr2	9609168	9609327	+	0	NA	intron (CPSF3, intron 16 of 17)	-intron (CPSF3, intron 16 of 17)	-5423	IAH1	IAH1	NM_001039613			IAH1			NA
Interval_7636	chr2	205252678	205252849	+	0	NA	Intergenic	Intergenic	-157753	PARD3B	PARD3B	NM_152526			PARD3B			NA
Interval_4009	chr14	31091824	31091975	+	0	NA	intron (SCFD1, intron 1 of 22)	-intron (SCFD1, intron 1 of 22)	439	SCFD1	SCFD1	NM_001283032			SCFD1			NA
Interval_5010	chr16	14580790	14580963	+	0	NA	intron (PARN, intron 21 of 23)	-intron (PARN, intron 21 of 23)	-116753	LOC105447648	LOC105447648	NR_131191			LOC105447648			NA
Interval_118	chr1	24129196	24129359	+	0	NA	intron (HMGCL, intron 6 of 6)	-intron (HMGCL, intron 8 of 8)	-3217	GALE	GALE	NM_001008216			GALE			NA
Interval_12331	chr7	2561651	2561838	+	0	NA	intron (LFNG, intron 1 of 7)	-intron (LFNG, intron 1 of 7)	4247	LFNG	LFNG	NM_001040168			LFNG			NA
Interval_12471	chr7	29995831	29996088	+	0	NA	intron (SCRN1, intron 1 of 6)	-intron (SCRN1, intron 2 of 7)	33466	SCRN1	SCRN1	NM_001145514			SCRN1			NA
Interval_7989	chr20	31560005	31560415	+	0	NA	Intergenic	Intergenic	32029	SUN5	SUN5	NM_080675			SUN5			NA
Interval_9312	chr3	132071446	132071688	+	0	NA	exon (ACPP, exon 9 of 10)	-exon (ACPP, exon 9 of 10)	35356	ACPP	ACPP	NM_001134194			ACPP			NA
Interval_7227	chr2	133025665	133025864	+	0	NA	Intergenic	Intergenic	-10222	ANKRD30BL	ANKRD30BL	NR_027020			ANKRD30BL			NA
Interval_2707	chr11	128194504	128194818	+	0	NA	Intergenic	Intergenic	197544	ETS1	ETS1	NM_001143820			ETS1			NA
Interval_12019	chr6	124828311	124828590	+	0	NA	intron (NKAIN2, intron 4 of 7)	-intron (NKAIN2, intron 3 of 6)	455723	RNF217-AS1	RNF217-AS1	NR_026876			RNF217-AS1			NA
Interval_8346	chr21	45909659	45909932	+	0	NA	Intergenic	Intergenic	-16132	TSPEAR-AS1	TSPEAR-AS1	NR_103707			TSPEAR-AS1			NA
Interval_3289	chr12	94376619	94376968	+	0	NA	Intergenic	Intergenic	-245194	LOC101928731	LOC101928731	NR_110092			LOC101928731			NA
Interval_1607	chr10	31409385	31409655	+	0	NA	Intergenic	Intergenic	-88654	ZNF438	ZNF438	NM_182755			ZNF438			NA
Interval_10363	chr4	154033088	154033345	+	0	NA	Intergenic	Intergenic	-92350	TRIM2	TRIM2	NM_001130067			TRIM2			NA
Interval_1031	chr1	198611424	198611596	+	0	NA	intron (PTPRC, intron 2 of 2)	-intron (PTPRC, intron 2 of 3)	3412	PTPRC	PTPRC	NM_002838			PTPRC			NA
Interval_13738	chr9	8719808	8720066	+	0	NA	intron (PTPRD, intron 1 of 28)	-intron (PTPRD, intron 1 of 29)	14009	PTPRD	PTPRD	NM_002839			PTPRD			NA
Interval_4195	chr14	68611012	68611460	+	0	NA	intron (RAD51B, intron 7 of 10)	-intron (RAD51B, intron 7 of 10)	324740	RAD51B	RAD51B	NM_133509			RAD51B			NA
Interval_12204	chr6	152419773	152420184	+	0	NA	exon (ESR1, exon 8 of 8)	-exon (ESR1, exon 8 of 8)	-49784	MIR3163	MIR3163	NR_036121_1			MIR3163			NA
Interval_57	chr1	11800904	11801211	+	0	NA	intron (AGTRAP, intron 1 of 3)	-intron (AGTRAP, intron 1 of 4)	4915	AGTRAP	AGTRAP	NM_020350			AGTRAP			NA
Interval_12908	chr7	142246013	142246206	+	0	NA	Intergenic	Intergenic	-128022	MTRNR2L6	MTRNR2L6	NM_001190487			MTRNR2L6			NA
Interval_14528	chrX	135713108	135713299	+	0	NA	Intergenic	Intergenic	-8499	LINC00892	LINC00892	NR_038462			LINC00892			NA
Interval_4073	chr14	50329558	50329898	+	0	NA	Intergenic	Intergenic	-9937	NEMF	NEMF	NM_004713			NEMF			NA
Interval_9349	chr3	140395059	140395218	+	0	NA	Intergenic	Intergenic	-1728	TRIM42	TRIM42	NM_152616			TRIM42			NA
Interval_7460	chr2	177149429	177149769	+	0	NA	intron (MTX2, intron 2 of 10)	-intron (MTX2, intron 1 of 9)	15476	MTX2	MTX2	NM_006554			MTX2			NA
Interval_5773	chr17	72869332	72869566	+	0	NA	promoter-TSS (FDXR)	-promoter-TSS (FDXR)	-293	FDXR	FDXR	NM_004110			FDXR			NA
Interval_8290	chr21	40041600	40041768	+	0	NA	Intergenic	Intergenic	-7980	ERG	ERG	NM_001243432			ERG			NA
Interval_13238	chr8	58638398	58638663	+	0	NA	Intergenic	Intergenic	-252387	LINC01602	LINC01602	NR_130934			LINC01602			NA
Interval_6144	chr18	60529597	60529865	+	0	NA	intron (PHLPP1, intron 4 of 16)	-intron (PHLPP1, intron 4 of 16)	147059	PHLPP1	PHLPP1	NM_194449			PHLPP1			NA
Interval_14311	chrX	17021498	17021657	+	0	NA	intron (REPS2, intron 1 of 17)	-intron (REPS2, intron 1 of 17)	56763	REPS2	REPS2	NM_001080975			REPS2			NA
Interval_10786	chr5	73672302	73672462	+	0	NA	intron (LINC01331, intron 2 of 2)	-intron (LINC01331, intron 2 of 2)	54071	LINC01333	LINC01333	NR_105010			LINC01333			NA
Interval_13576	chr8	128213479	128213638	+	0	NA	Intergenic	Intergenic	-3686	CASC19	CASC19	NR_120364			CASC19			NA
Interval_9361	chr3	141095736	141095906	+	0	NA	intron (ZBTB38, intron 3 of 7)	-intron (ZBTB38, intron 3 of 7)	52766	ZBTB38	ZBTB38	NM_001080412			ZBTB38			NA
Interval_7089	chr2	102332830	102333104	+	0	NA	intron (MAP4K4, intron 2 of 30)	-intron (MAP4K4, intron 2 of 29)	18429	MAP4K4	MAP4K4	NM_004834			MAP4K4			NA
Interval_4661	chr15	58556262	58556614	+	0	NA	Intergenic	Intergenic	126030	AQP9	AQP9	NM_020980			AQP9			NA
Interval_13022	chr8	6801225	6801377	+	0	NA	Intergenic	Intergenic	-5441	DEFA4	DEFA4	NM_001925			DEFA4			NA
Interval_13401	chr8	98608201	98608451	+	0	NA	Intergenic	Intergenic	-48081	MTDH	MTDH	NM_178812			MTDH			NA
Interval_4694	chr15	63732897	63733196	+	0	NA	Intergenic	Intergenic	50617	LOC102723344	LOC102723344	NR_120375			LOC102723344			NA
Interval_1296	chr1	234821866	234822025	+	0	NA	Intergenic	Intergenic	-37844	LINC01132	LINC01132	NR_038856			LINC01132			NA
Interval_13017	chr8	6026704	6026906	+	0	NA	Intergenic	Intergenic	237264	LOC100287015	LOC100287015	NR_040040			LOC100287015			NA
Interval_9111	chr3	81394568	81394728	+	0	NA	Intergenic	Intergenic	416302	GBE1	GBE1	NM_000158			GBE1			NA
Interval_2669	chr11	122714574	122714809	+	0	NA	intron (CRTAM, intron 1 of 9)	-intron (CRTAM, intron 1 of 9)	5485	CRTAM	CRTAM	NM_001304782			CRTAM			NA
Interval_12236	chr6	157807545	157807714	+	0	NA	intron (ZDHHC14, intron 1 of 8)	-intron (ZDHHC14, intron 1 of 8)	5072	ZDHHC14	ZDHHC14	NM_024630			ZDHHC14			NA
Interval_2391	chr11	66035320	66035562	+	0	NA	promoter-TSS (RAB1B)	-promoter-TSS (RAB1B)	-615	RAB1B	RAB1B	NM_030981			RAB1B			NA
Interval_2754	chr12	392644	392803	+	0	NA	exon (KDM5A, exon 28 of 28)	-exon (KDM5A, exon 28 of 28)	-20684	SLC6A13	SLC6A13	NM_001243392			SLC6A13			NA
Interval_11352	chr6	2908738	2908985	+	0	NA	Intergenic	Intergenic	-5315	SERPINB9	SERPINB9	NM_004155			SERPINB9			NA
Interval_13149	chr8	29797675	29797834	+	0	NA	intron (FAM183CP, intron 2 of 2)	-intron (FAM183CP, intron 2 of 2)	17110	MIR3148	MIR3148	NR_036104			MIR3148			NA
