PeakID (cmd=annotatePeaks.pl ENCAB606JHO.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_5385	chr15	81388112	81388478	+	0	NA	Intergenic	Intergenic	-38349	C15orf26	C15orf26	NM_173528			C15orf26			NA
Interval_4709	chr14	35590963	35592035	+	0	NA	promoter-TSS (KIAA0391)	-promoter-TSS (KIAA0391)	-28	KIAA0391	KIAA0391	NM_014672			KIAA0391			NA
Interval_16231	chrX	49056790	49057054	+	0	NA	promoter-TSS (SYP)	-promoter-TSS (SYP)	-261	SYP	SYP	NM_003179			SYP			NA
Interval_15797	chr9	111894901	111895185	+	0	NA	Intergenic	Intergenic	-12818	TMEM245	TMEM245	NM_032012			TMEM245			NA
Interval_2020	chr10	17620638	17620879	+	0	NA	Intergenic	Intergenic	38615	HACD1	HACD1	NM_014241			HACD1			NA
Interval_10563	chr3	9931933	9932530	+	0	NA	promoter-TSS (JAGN1)	-promoter-TSS (JAGN1)	-40	JAGN1	JAGN1	NM_032492			JAGN1			NA
Interval_14140	chr7	29838087	29838544	+	0	NA	Intergenic	Intergenic	-7855	WIPF3	WIPF3	NM_001080529			WIPF3			NA
Interval_3886	chr12	58040467	58040747	+	0	NA	Intergenic	Intergenic	-13585	B4GALNT1	B4GALNT1	NM_001276469			B4GALNT1			NA
Interval_10103	chr21	37431846	37433069	+	0	NA	intron (SETD4, intron 1 of 11)	-intron (SETD4, intron 1 of 6)	659	SETD4	SETD4	NM_017438			SETD4			NA
Interval_10835	chr3	52025032	52026476	+	0	NA	Intergenic	Intergenic	4204	RPL29	RPL29	NM_000992			RPL29			NA
Interval_11181	chr3	156833008	156833639	+	0	NA	intron (LINC00880, intron 1 of 3)	-intron (LINC00880, intron 1 of 3)	7468	LINC00880	LINC00880	NR_034007			LINC00880			NA
Interval_4208	chr12	118454348	118454618	+	0	NA	promoter-TSS (RFC5)	-promoter-TSS (RFC5)	-23	RFC5	RFC5	NM_007370			RFC5			NA
Interval_9155	chr2	157196761	157197239	+	0	NA	Intergenic	Intergenic	-7713	NR4A2	NR4A2	NM_006186			NR4A2			NA
Interval_1541	chr1	201449419	201449660	+	0	NA	Intergenic	Intergenic	-11240	PHLDA3	PHLDA3	NM_012396			PHLDA3			NA
Interval_11774	chr4	107290517	107290762	+	0	NA	Intergenic	Intergenic	-2047	GIMD1	GIMD1	NM_001195138			GIMD1			NA
Interval_9698	chr20	31340249	31340813	+	0	NA	Intergenic	Intergenic	-8717	COMMD7	COMMD7	NM_001099339			COMMD7			NA
Interval_8806	chr2	70363008	70363404	+	0	NA	Intergenic	Intergenic	-10758	LOC100133985	LOC100133985	NR_024444			LOC100133985			NA
Interval_321	chr1	26615012	26615276	+	0	NA	intron (UBXN11, intron 4 of 10)	-intron (UBXN11, intron 4 of 10)	8931	SH3BGRL3	SH3BGRL3	NM_031286			SH3BGRL3			NA
Interval_1797	chr1	235276435	235277103	+	0	NA	intron (TOMM20, intron 4 of 4)	-intron (TOMM20, intron 4 of 4)	14483	SNORA14B	SNORA14B	NR_002956			SNORA14B			NA
Interval_13983	chr7	2109675	2110000	+	0	NA	intron (MAD1L1, intron 11 of 18)	-intron (MAD1L1, intron 11 of 18)	162746	MAD1L1	MAD1L1	NM_001013836			MAD1L1			NA
Interval_3305	chr11	96240360	96240633	+	0	NA	promoter-TSS (JRKL-AS1)	-promoter-TSS (JRKL-AS1)	-455	JRKL-AS1	JRKL-AS1	NR_047481			JRKL-AS1			NA
Interval_12270	chr5	79106819	79107217	+	0	NA	Intergenic	Intergenic	121359	CMYA5	CMYA5	NM_153610			CMYA5			NA
Interval_6644	chr17	43695568	43695892	+	0	NA	Intergenic	Intergenic	-2251	MGC57346	MGC57346	NR_026680_1			MGC57346			NA
Interval_9614	chr20	4654318	4654637	+	0	NA	Intergenic	Intergenic	-12320	PRNP	PRNP	NM_183079			PRNP			NA
Interval_7024	chr17	80245461	80246124	+	0	NA	Intergenic	Intergenic	-14174	CSNK1D	CSNK1D	NM_001893			CSNK1D			NA
Interval_12213	chr5	67720847	67721162	+	0	NA	Intergenic	Intergenic	136752	PIK3R1	PIK3R1	NM_181523			PIK3R1			NA
Interval_1516	chr1	194829827	194830090	+	0	NA	Intergenic	Intergenic	1556083	LINC01031	LINC01031	NR_125789			LINC01031			NA
Interval_14474	chr7	99746122	99746774	+	0	NA	promoter-TSS (LAMTOR4)	-promoter-TSS (LAMTOR4)	-82	LAMTOR4	LAMTOR4	NM_001008395			LAMTOR4			NA
Interval_7948	chr19	42748568	42749271	+	0	NA	Intergenic	Intergenic	-2183	GSK3A	GSK3A	NM_019884			GSK3A			NA
Interval_6011	chr16	71924451	71924739	+	0	NA	Intergenic	Intergenic	-4801	IST1	IST1	NM_001270979			IST1			NA
Interval_9968	chr20	60982461	60982934	+	0	NA	promoter-TSS (CABLES2)	-promoter-TSS (CABLES2)	-358	CABLES2	CABLES2	NM_031215			CABLES2			NA
Interval_9526	chr2	234074191	234074606	+	0	NA	intron (INPP5D, intron 12 of 25)	-intron (INPP5D, intron 12 of 25)	-85819	ATG16L1	ATG16L1	NM_030803			ATG16L1			NA
Interval_11089	chr3	139108254	139108751	+	0	NA	promoter-TSS (COPB2)	-promoter-TSS (COPB2)	20	COPB2	COPB2	NM_004766			COPB2			NA
Interval_15205	chr8	86971398	86971653	+	0	NA	Intergenic	Intergenic	110326	PSKH2	PSKH2	NM_033126			PSKH2			NA
Interval_7097	chr18	9475146	9475537	+	0	NA	promoter-TSS (RALBP1)	-promoter-TSS (RALBP1)	-189	RALBP1	RALBP1	NM_006788			RALBP1			NA
Interval_4621	chr14	21788048	21788534	+	0	NA	exon (RPGRIP1, exon 11 of 24)	-exon (RPGRIP1, exon 11 of 24)	32155	RPGRIP1	RPGRIP1	NM_020366			RPGRIP1			NA
Interval_10121	chr21	38847469	38847700	+	0	NA	intron (DYRK1A, intron 2 of 10)	-intron (DYRK1A, intron 2 of 10)	54983	DYRK1A	DYRK1A	NM_001396			DYRK1A			NA
Interval_10516	chr3	4676539	4676872	+	0	NA	intron (ITPR1, intron 5 of 57)	-intron (ITPR1, intron 5 of 58)	116569	EGOT	EGOT	NR_004428			EGOT			NA
Interval_13803	chr6	147202731	147203227	+	0	NA	intron (STXBP5-AS1, intron 7 of 10)	-intron (STXBP5-AS1, intron 7 of 10)	-78019	KATNBL1P6	KATNBL1P6	NR_003954			KATNBL1P6			NA
Interval_7792	chr19	31711483	31711871	+	0	NA	Intergenic	Intergenic	128513	TSHZ3	TSHZ3	NM_020856			TSHZ3			NA
Interval_3698	chr12	49412392	49412861	+	0	NA	promoter-TSS (PRKAG1)	-promoter-TSS (PRKAG1)	3	PRKAG1	PRKAG1	NM_001206709			PRKAG1			NA
Interval_10514	chr3	4508737	4509149	+	0	NA	promoter-TSS (SUMF1)	-promoter-TSS (SUMF1)	23	SUMF1	SUMF1	NM_001164674			SUMF1			NA
Interval_1540	chr1	200988597	200989022	+	0	NA	intron (KIF21B, intron 1 of 33)	-intron (KIF21B, intron 1 of 34)	4019	KIF21B	KIF21B	NM_001252102			KIF21B			NA
Interval_4891	chr14	76308987	76309217	+	0	NA	intron (TTLL5, intron 28 of 31)	-intron (TTLL5, intron 28 of 31)	139263	TGFB3	TGFB3	NM_003239			TGFB3			NA
Interval_3085	chr11	67008141	67008413	+	0	NA	intron (KDM2A, intron 1 of 9)	-intron (KDM2A, intron 1 of 9)	-25628	ADRBK1	ADRBK1	NM_001619			ADRBK1			NA
Interval_54	chr1	3566567	3566948	+	0	NA	promoter-TSS (WRAP73)	-promoter-TSS (WRAP73)	-86	WRAP73	WRAP73	NM_017818			WRAP73			NA
Interval_10726	chr3	42845766	42846058	+	0	NA	promoter-TSS (HIGD1A)	-promoter-TSS (HIGD1A)	115	HIGD1A	HIGD1A	NM_014056			HIGD1A			NA
Interval_9085	chr2	132426660	132426908	+	0	NA	Intergenic	Intergenic	32186	LINC01087	LINC01087	NR_108087			LINC01087			NA
Interval_2911	chr11	61055262	61055668	+	0	NA	intron (VWCE, intron 4 of 19)	-intron (VWCE, intron 4 of 19)	7323	VWCE	VWCE	NM_152718			VWCE			NA
Interval_16437	chrX	130086315	130086694	+	0	NA	Intergenic	Intergenic	-49213	ENOX2	ENOX2	NM_001281736			ENOX2			NA
Interval_11927	chr4	156463542	156463850	+	0	NA	Intergenic	Intergenic	-124419	GUCY1A3	GUCY1A3	NM_000856			GUCY1A3			NA
Interval_10360	chr22	36654861	36655292	+	0	NA	intron (APOL1, intron 5 of 6)	-intron (APOL1, intron 4 of 5)	5959	APOL1	APOL1	NM_003661			APOL1			NA
Interval_14594	chr7	107220042	107220593	+	0	NA	promoter-TSS (BCAP29)	-promoter-TSS (BCAP29)	-105	BCAP29	BCAP29	NM_001008405			BCAP29			NA
Interval_9969	chr20	61175362	61175597	+	0	NA	Intergenic	Intergenic	13360	MIR133A2	MIR133A2	NR_029676			MIR133A2			NA
Interval_7299	chr19	1872374	1872689	+	0	NA	Intergenic	Intergenic	-8967	KLF16	KLF16	NM_031918			KLF16			NA
Interval_5985	chr16	70285735	70285993	+	0	NA	promoter-TSS (EXOSC6)	-promoter-TSS (EXOSC6)	-31	EXOSC6	EXOSC6	NM_058219			EXOSC6			NA
Interval_6036	chr16	75681322	75681773	+	0	NA	promoter-TSS (KARS)	-promoter-TSS (KARS)	38	KARS	KARS	NM_005548			KARS			NA
Interval_4749	chr14	50697501	50697866	+	0	NA	intron (SOS2, intron 1 of 22)	-intron (SOS2, intron 1 of 22)	416	SOS2	SOS2	NM_006939			SOS2			NA
Interval_4303	chr12	124744324	124744687	+	0	NA	intron (ZNF664-FAM101A, intron 3 of 4)	-intron (ZNF664-FAM101A, intron 3 of 4)	-29205	FAM101A	FAM101A	NM_181709			FAM101A			NA
Interval_115	chr1	11113133	11113643	+	0	NA	Intergenic	Intergenic	-6092	MASP2	MASP2	NM_006610			MASP2			NA
Interval_4102	chr12	106709359	106709666	+	0	NA	intron (TCP11L2, intron 3 of 9)	-intron (TCP11L2, intron 3 of 6)	12943	TCP11L2	TCP11L2	NM_152772			TCP11L2			NA
Interval_3287	chr11	94800196	94800572	+	0	NA	exon (SRSF8, exon 1 of 1)	-exon (SRSF8, exon 1 of 1)	343	SRSF8	SRSF8	NR_103726			SRSF8			NA
Interval_5158	chr15	49912928	49913419	+	0	NA	promoter-TSS (DTWD1)	-promoter-TSS (DTWD1)	-53	DTWD1	DTWD1	NM_001144955			DTWD1			NA
Interval_13791	chr6	144409019	144409359	+	0	NA	Intergenic	Intergenic	7565	SF3B5	SF3B5	NM_031287			SF3B5			NA
Interval_5282	chr15	67230577	67231136	+	0	NA	Intergenic	Intergenic	-127339	SMAD3	SMAD3	NM_005902			SMAD3			NA
Interval_15537	chr9	14993008	14993620	+	0	NA	promoter-TSS (LOC389705)	-promoter-TSS (LOC389705)	-11	LOC389705	LOC389705	NR_003920			LOC389705			NA
Interval_5622	chr16	9207488	9207984	+	0	NA	intron (C16orf72, intron 3 of 3)	-intron (C16orf72, intron 3 of 3)	22199	C16orf72	C16orf72	NM_014117			C16orf72			NA
Interval_2626	chr11	3578390	3578865	+	0	NA	intron (LOC101927708, intron 1 of 2)	-intron (LOC101927708, intron 1 of 2)	14590	LOC101927708	LOC101927708	NR_126335			LOC101927708			NA
Interval_11229	chr3	170247674	170248126	+	0	NA	intron (SLC7A14, intron 1 of 7)	-intron (SLC7A14, intron 1 of 7)	55963	SLC7A14	SLC7A14	NM_020949			SLC7A14			NA
Interval_6344	chr17	25393335	25394106	+	0	NA	Intergenic	Intergenic	227302	MIR4522	MIR4522	NR_039748			MIR4522			NA
Interval_278	chr1	24285381	24285934	+	0	NA	promoter-TSS (PNRC2)	-promoter-TSS (PNRC2)	-644	PNRC2	PNRC2	NM_017761			PNRC2			NA
Interval_14453	chr7	99063582	99064104	+	0	NA	promoter-TSS (ATP5J2)	-promoter-TSS (ATP5J2)	-19	ATP5J2	ATP5J2	NM_001039178			ATP5J2			NA
Interval_7138	chr18	23588537	23588947	+	0	NA	Intergenic	Intergenic	81869	SS18	SS18	NM_001308201			SS18			NA
Interval_7150	chr18	32820687	32821233	+	0	NA	promoter-TSS (ZNF397)	-promoter-TSS (ZNF397)	-34	ZNF397	ZNF397	NM_032347			ZNF397			NA
Interval_3714	chr12	49666926	49668739	+	0	NA	TTS (TUBA1C)	-TTS (TUBA1C)	9050	TUBA1C	TUBA1C	NM_001303117			TUBA1C			NA
Interval_13447	chr6	45413619	45413883	+	0	NA	intron (RUNX2, intron 3 of 5)	-intron (RUNX2, intron 5 of 7)	-67963	SUPT3H	SUPT3H	NM_181356			SUPT3H			NA
Interval_4592	chr14	20645439	20645756	+	0	NA	Intergenic	Intergenic	-19898	OR11G2	OR11G2	NM_001005503			OR11G2			NA
Interval_14832	chr7	149658879	149659287	+	0	NA	Intergenic	Intergenic	-88132	ATP6V0E2-AS1	ATP6V0E2-AS1	NR_027040			ATP6V0E2-AS1			NA
Interval_13330	chr6	36952805	36953398	+	0	NA	intron (MTCH1, intron 1 of 11)	-intron (MTCH1, intron 1 of 11)	1226	MTCH1	MTCH1	NM_014341			MTCH1			NA
Interval_15109	chr8	56792091	56792417	+	0	NA	promoter-TSS (LYN)	-promoter-TSS (LYN)	-132	LYN	LYN	NM_002350			LYN			NA
Interval_193	chr1	17061794	17062171	+	0	NA	Intergenic	Intergenic	-1026	FAM231C	FAM231C	NM_001310138_1			FAM231C			NA
Interval_1042	chr1	144994443	144995310	+	0	NA	exon (PDE4DIP, exon 1 of 4)	-exon (PDE4DIP, exon 1 of 4)	81310	PDE4DIP	PDE4DIP	NM_022359			PDE4DIP			NA
Interval_14519	chr7	101724069	101724662	+	0	NA	intron (CUX1, intron 4 of 21)	-intron (CUX1, intron 4 of 23)	-203988	SH2B2	SH2B2	NM_020979			SH2B2			NA
Interval_12967	chr6	26051908	26052447	+	0	NA	Intergenic	Intergenic	4522	HIST1H1C	HIST1H1C	NM_005319			HIST1H1C			NA
Interval_13096	chr6	28109370	28109926	+	0	NA	promoter-TSS (ZKSCAN8)	-promoter-TSS (ZKSCAN8)	-40	ZKSCAN8	ZKSCAN8	NM_006298			ZKSCAN8			NA
Interval_14080	chr7	21225482	21225912	+	0	NA	Intergenic	Intergenic	-241992	SP4	SP4	NM_003112			SP4			NA
Interval_3415	chr11	119993972	119994406	+	0	NA	intron (TRIM29, intron 4 of 8)	-intron (TRIM29, intron 4 of 8)	14674	TRIM29	TRIM29	NM_012101			TRIM29			NA
Interval_818	chr1	84962099	84962337	+	0	NA	intron (RPF1, intron 8 of 8)	-intron (RPF1, intron 8 of 8)	-9766	SPATA1	SPATA1	NM_001310156			SPATA1			NA
Interval_5791	chr16	30134708	30135192	+	0	NA	promoter-TSS (MAPK3)	-promoter-TSS (MAPK3)	-320	MAPK3	MAPK3	NM_002746			MAPK3			NA
Interval_8895	chr2	86851204	86851453	+	0	NA	promoter-TSS (RNF103)	-promoter-TSS (RNF103)	-328	RNF103	RNF103	NM_001198951			RNF103			NA
Interval_3392	chr11	118788885	118789218	+	0	NA	Intergenic	Intergenic	-7438	BCL9L	BCL9L	NM_182557			BCL9L			NA
Interval_13804	chr6	147204868	147206129	+	0	NA	intron (STXBP5-AS1, intron 7 of 10)	-intron (STXBP5-AS1, intron 7 of 10)	-80538	KATNBL1P6	KATNBL1P6	NR_003954			KATNBL1P6			NA
Interval_1587	chr1	205126327	205126601	+	0	NA	exon (DSTYK, exon 10 of 13)	-exon (DSTYK, exon 10 of 13)	-35314	RBBP5	RBBP5	NM_005057			RBBP5			NA
Interval_14970	chr8	20081388	20081709	+	0	NA	Intergenic	Intergenic	26844	ATP6V1B2	ATP6V1B2	NM_001693			ATP6V1B2			NA
Interval_7697	chr19	18385324	18385747	+	0	NA	promoter-TSS (KIAA1683)	-promoter-TSS (KIAA1683)	-216	KIAA1683	KIAA1683	NM_001145304			KIAA1683			NA
Interval_7438	chr19	7805590	7805829	+	0	NA	exon (CD209, exon 5 of 5)	-exon (CD209, exon 5 of 5)	6755	CD209	CD209	NM_021155			CD209			NA
Interval_3583	chr12	21810853	21811176	+	0	NA	promoter-TSS (LDHB)	-promoter-TSS (LDHB)	-225	LDHB	LDHB	NM_002300			LDHB			NA
Interval_2466	chr10	104004784	104005637	+	0	NA	promoter-TSS (GBF1)	-promoter-TSS (GBF1)	-45	GBF1	GBF1	NM_001199379			GBF1			NA
Interval_2519	chr10	114206572	114207252	+	0	NA	promoter-TSS (ZDHHC6)	-promoter-TSS (ZDHHC6)	156	VTI1A	VTI1A	NM_145206			VTI1A			NA
Interval_7945	chr19	42721962	42722310	+	0	NA	promoter-TSS (DEDD2)	-promoter-TSS (DEDD2)	-192	DEDD2	DEDD2	NM_001270614			DEDD2			NA
Interval_12935	chr6	20292042	20292398	+	0	NA	Intergenic	Intergenic	-79525	MBOAT1	MBOAT1	NM_001080480			MBOAT1			NA
Interval_8438	chr19	59086484	59086848	+	0	NA	promoter-TSS (CENPBD1P1)	-promoter-TSS (CENPBD1P1)	-100	CENPBD1P1	CENPBD1P1	NR_026052			CENPBD1P1			NA
Interval_13909	chr6	160340845	160341214	+	0	NA	Intergenic	Intergenic	13055	MAS1	MAS1	NM_002377			MAS1			NA
Interval_15095	chr8	54857543	54858162	+	0	NA	intron (RGS20, intron 3 of 5)	-intron (RGS20, intron 2 of 4)	64420	RGS20	RGS20	NM_170587			RGS20			NA
Interval_8724	chr2	58798246	58798661	+	0	NA	intron (LINC01122, intron 1 of 13)	-intron (LINC01122, intron 1 of 13)	50565	LINC01122	LINC01122	NR_033873			LINC01122			NA
Interval_8243	chr19	51640434	51640714	+	0	NA	Intergenic	Intergenic	-4984	SIGLEC7	SIGLEC7	NM_016543			SIGLEC7			NA
Interval_7430	chr19	7197194	7198095	+	0	NA	intron (INSR, intron 2 of 20)	-intron (INSR, intron 2 of 21)	96367	INSR	INSR	NM_000208			INSR			NA
Interval_5754	chr16	28505665	28506386	+	0	NA	promoter-TSS (APOBR)	-promoter-TSS (APOBR)	55	APOBR	APOBR	NM_018690			APOBR			NA
Interval_12227	chr5	69696922	69697178	+	0	NA	intron (GUSBP3, intron 3 of 5)	-intron (GUSBP3, intron 3 of 5)	-14147	GTF2H2B	GTF2H2B	NR_033417			GTF2H2B			NA
Interval_1058	chr1	145455167	145455833	+	0	NA	TTS (POLR3GL)	-TTS (POLR3GL)	14887	POLR3GL	POLR3GL	NM_032305			POLR3GL			NA
Interval_8158	chr19	49463081	49463347	+	0	NA	intron (BAX, intron 4 of 5)	-intron (BAX, intron 4 of 5)	5097	BAX	BAX	NM_001291428			BAX			NA
Interval_6835	chr17	62918752	62919506	+	0	NA	Intergenic	Intergenic	-3531	LRRC37A3	LRRC37A3	NM_199340			LRRC37A3			NA
Interval_7671	chr19	17561588	17561869	+	0	NA	Intergenic	Intergenic	-2352	TMEM221	TMEM221	NM_001190844			TMEM221			NA
Interval_1015	chr1	117636582	117636876	+	0	NA	promoter-TSS (MIR942)	-promoter-TSS (MIR942)	-536	MIR942	MIR942	NR_030640			MIR942			NA
Interval_9881	chr20	48532025	48532611	+	0	NA	promoter-TSS (SPATA2)	-promoter-TSS (SPATA2)	-238	SPATA2	SPATA2	NM_006038			SPATA2			NA
Interval_1594	chr1	205719285	205719967	+	0	NA	promoter-TSS (NUCKS1)	-promoter-TSS (NUCKS1)	-254	NUCKS1	NUCKS1	NM_022731			NUCKS1			NA
Interval_1977	chr10	12824473	12824984	+	0	NA	intron (CAMK1D, intron 5 of 10)	-intron (CAMK1D, intron 5 of 9)	-129532	MIR4481	MIR4481	NR_039701			MIR4481			NA
Interval_3896	chr12	58359609	58360005	+	0	NA	Intergenic	Intergenic	24362	XRCC6BP1	XRCC6BP1	NM_033276			XRCC6BP1			NA
Interval_6379	chr17	26973447	26974284	+	0	NA	Intergenic	Intergenic	-1688	KIAA0100	KIAA0100	NM_014680			KIAA0100			NA
Interval_4896	chr14	76724004	76724706	+	0	NA	Intergenic	Intergenic	13121	RNU6-31P	RNU6-31P	NR_046482			RNU6-31P			NA
Interval_15503	chr9	272790	273242	+	0	NA	promoter-TSS (DOCK8)	-promoter-TSS (DOCK8)	-57123	C9orf66	C9orf66	NM_152569			C9orf66			NA
Interval_9	chr1	797204	797490	+	0	NA	Intergenic	Intergenic	14835	FAM41C	FAM41C	NR_027055			FAM41C			NA
Interval_11802	chr4	113218236	113218731	+	0	NA	promoter-TSS (ALPK1)	-promoter-TSS (ALPK1)	-16	ALPK1	ALPK1	NM_001253884			ALPK1			NA
Interval_9240	chr2	172778794	172779361	+	0	NA	intron (HAT1, intron 1 of 9)	-intron (HAT1, intron 1 of 10)	142	HAT1	HAT1	NM_003642			HAT1			NA
Interval_15250	chr8	99052215	99052970	+	0	NA	Intergenic	Intergenic	1853	SNORA72	SNORA72	NR_002581			SNORA72			NA
Interval_7049	chr18	830361	831332	+	0	NA	Intergenic	Intergenic	-18519	YES1	YES1	NM_005433			YES1			NA
Interval_2154	chr10	49678132	49678446	+	0	NA	intron (ARHGAP22, intron 5 of 10)	-intron (ARHGAP22, intron 4 of 9)	68634	MAPK8	MAPK8	NM_139049			MAPK8			NA
Interval_10089	chr21	35402404	35402673	+	0	NA	Intergenic	Intergenic	-43285	SLC5A3	SLC5A3	NM_006933			SLC5A3			NA
Interval_15957	chr9	132586226	132586777	+	0	NA	promoter-TSS (TOR1A)	-promoter-TSS (TOR1A)	-60	TOR1A	TOR1A	NM_000113			TOR1A			NA
Interval_5	chr1	540450	540756	+	0	NA	Intergenic	Intergenic	23786	LOC101928626	LOC101928626	NR_125957			LOC101928626			NA
Interval_5969	chr16	69165438	69166093	+	0	NA	promoter-TSS (CIRH1A)	-promoter-TSS (CIRH1A)	728	CHTF8	CHTF8	NM_001039690			CHTF8			NA
Interval_11082	chr3	138312754	138313016	+	0	NA	intron (CEP70, intron 1 of 17)	-intron (CEP70, intron 1 of 17)	340	CEP70	CEP70	NM_001288965			CEP70			NA
Interval_1474	chr1	182307126	182307651	+	0	NA	Intergenic	Intergenic	-24192	LINC01344	LINC01344	NR_104175			LINC01344			NA
Interval_2083	chr10	31555316	31555640	+	0	NA	Intergenic	Intergenic	52546	ZEB1-AS1	ZEB1-AS1	NR_024284			ZEB1-AS1			NA
Interval_6623	chr17	42588604	42589202	+	0	NA	Intergenic	Intergenic	-45909	FZD2	FZD2	NM_001466			FZD2			NA
Interval_4735	chr14	50065606	50065935	+	0	NA	exon (LRR1, exon 1 of 4)	-exon (LRR1, exon 1 of 4)	355	LRR1	LRR1	NM_152329			LRR1			NA
Interval_14731	chr7	134001561	134002080	+	0	NA	promoter-TSS (SLC35B4)	-promoter-TSS (SLC35B4)	7	SLC35B4	SLC35B4	NM_032826			SLC35B4			NA
Interval_4225	chr12	120663645	120664064	+	0	NA	intron (PXN, intron 1 of 10)	-intron (PXN, intron 1 of 11)	24110	PXN	PXN	NM_001080855			PXN			NA
Interval_16505	chrX	153191130	153191538	+	0	NA	intron (ARHGAP4, intron 1 of 21)	-intron (ARHGAP4, intron 1 of 22)	380	ARHGAP4	ARHGAP4	NM_001666			ARHGAP4			NA
Interval_13482	chr6	52929492	52929918	+	0	NA	promoter-TSS (FBXO9)	-promoter-TSS (FBXO9)	-91	FBXO9	FBXO9	NM_012347			FBXO9			NA
Interval_11071	chr3	133144336	133144620	+	0	NA	intron (BFSP2, intron 1 of 6)	-intron (BFSP2, intron 1 of 6)	25639	BFSP2	BFSP2	NM_003571			BFSP2			NA
Interval_13782	chr6	143521318	143521938	+	0	NA	intron (AIG1, intron 3 of 5)	-intron (AIG1, intron 4 of 6)	139649	AIG1	AIG1	NM_001286587			AIG1			NA
Interval_8366	chr19	55963701	55963994	+	0	NA	TTS (ISOC2)	-TTS (ISOC2)	9202	ISOC2	ISOC2	NM_001136201			ISOC2			NA
Interval_2266	chr10	73648373	73648846	+	0	NA	Intergenic	Intergenic	-37527	PSAP	PSAP	NM_002778			PSAP			NA
Interval_10414	chr22	39615340	39615709	+	0	NA	Intergenic	Intergenic	21390	PDGFB	PDGFB	NM_002608			PDGFB			NA
Interval_8591	chr2	28589672	28590141	+	0	NA	Intergenic	Intergenic	-25873	FOSL2	FOSL2	NM_005253			FOSL2			NA
Interval_7507	chr19	10728477	10728710	+	0	NA	intron (SLC44A2, intron 1 of 21)	-intron (SLC44A2, intron 1 of 21)	-7578	SLC44A2	SLC44A2	NM_001145056			SLC44A2			NA
Interval_4625	chr14	21945137	21945591	+	0	NA	promoter-TSS (RAB2B)	-promoter-TSS (RAB2B)	29	TOX4	TOX4	NM_014828			TOX4			NA
Interval_5296	chr15	68573944	68574288	+	0	NA	intron (FEM1B, intron 1 of 1)	-intron (FEM1B, intron 1 of 1)	3975	FEM1B	FEM1B	NM_015322			FEM1B			NA
Interval_6850	chr17	65362503	65363045	+	0	NA	promoter-TSS (PSMD12)	-promoter-TSS (PSMD12)	-53	PSMD12	PSMD12	NM_174871			PSMD12			NA
Interval_7082	chr18	3653993	3654328	+	0	NA	intron (DLGAP1, intron 7 of 12)	-intron (DLGAP1, intron 4 of 9)	50425	DLGAP1-AS2	DLGAP1-AS2	NR_119377			DLGAP1-AS2			NA
Interval_13048	chr6	27219536	27219825	+	0	NA	exon (PRSS16, exon 8 of 12)	-exon (PRSS16, exon 8 of 12)	4178	PRSS16	PRSS16	NM_005865			PRSS16			NA
Interval_14258	chr7	63386396	63386922	+	0	NA	Intergenic	Intergenic	103821	LINC01005	LINC01005	NR_039987			LINC01005			NA
Interval_912	chr1	108743026	108743371	+	0	NA	promoter-TSS (SLC25A24)	-promoter-TSS (SLC25A24)	-7767	SLC25A24	SLC25A24	NM_013386			SLC25A24			NA
Interval_14873	chr7	154468350	154468663	+	0	NA	intron (DPP6, intron 7 of 25)	-intron (DPP6, intron 7 of 25)	-251721	PAXIP1-AS2	PAXIP1-AS2	NR_024476			PAXIP1-AS2			NA
Interval_4379	chr13	25507652	25508091	+	0	NA	exon (TPTE2P1, exon 5 of 5)	-exon (TPTE2P1, exon 5 of 5)	-10844	CENPJ	CENPJ	NR_047594			CENPJ			NA
Interval_6025	chr16	74729718	74730102	+	0	NA	intron (MLKL, intron 1 of 10)	-intron (MLKL, intron 1 of 5)	4879	MLKL	MLKL	NM_001142497			MLKL			NA
Interval_4332	chr12	130144555	130144801	+	0	NA	intron (TMEM132D, intron 2 of 8)	-intron (TMEM132D, intron 2 of 8)	243534	TMEM132D	TMEM132D	NM_133448			TMEM132D			NA
Interval_14310	chr7	72195933	72196202	+	0	NA	intron (TYW1B, intron 9 of 14)	-intron (TYW1B, intron 9 of 14)	33193	MIR4650-2	MIR4650-2	NR_039794_1			MIR4650-2			NA
Interval_14384	chr7	77619325	77619697	+	0	NA	Intergenic	Intergenic	150064	PHTF2	PHTF2	NM_020432			PHTF2			NA
Interval_4325	chr12	127544804	127545422	+	0	NA	promoter-TSS (LOC101927592)	-promoter-TSS (LOC101927592)	-171	LOC101927592	LOC101927592	NR_104646			LOC101927592			NA
Interval_5556	chr16	2723527	2724242	+	0	NA	promoter-TSS (ERVK13-1)	-promoter-TSS (ERVK13-1)	-444	ERVK13-1	ERVK13-1	NR_040023			ERVK13-1			NA
Interval_7318	chr19	2427405	2427896	+	0	NA	TTS (LMNB2)	-TTS (LMNB2)	264	TIMM13	TIMM13	NM_012458			TIMM13			NA
