PeakID (cmd=annotatePeaks.pl ENCAB521XDP.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4954	chr16	30056580	30057078	+	0	NA	Intergenic	Intergenic	-14643	FAM57B	FAM57B	NM_031478			FAM57B			NA
Interval_9185	chr20	45993557	45994091	+	0	NA	Intergenic	Intergenic	-8191	ZMYND8	ZMYND8	NM_001281769			ZMYND8			NA
Interval_7935	chr2	120183316	120183889	+	0	NA	Intergenic	Intergenic	-5844	TMEM37	TMEM37	NM_183240			TMEM37			NA
Interval_13197	chr7	99756728	99757057	+	0	NA	promoter-TSS (C7orf43)	-promoter-TSS (C7orf43)	-548	C7orf43	C7orf43	NM_001303470			C7orf43			NA
Interval_3185	chr12	123449337	123449583	+	0	NA	intron (ABCB9, intron 1 of 11)	-intron (ABCB9, intron 1 of 10)	1596	ABCB9	ABCB9	NM_019624			ABCB9			NA
Interval_5034	chr16	47888152	47888958	+	0	NA	intron (LOC100507534, intron 1 of 1)	-intron (LOC100507534, intron 1 of 1)	-3937	LOC101927132	LOC101927132	NR_110650			LOC101927132			NA
Interval_8074	chr2	152639220	152639464	+	0	NA	Intergenic	Intergenic	45667	ARL5A	ARL5A	NM_177985			ARL5A			NA
Interval_1815	chr10	116249278	116249660	+	0	NA	intron (ABLIM1, intron 2 of 16)	-intron (ABLIM1, intron 7 of 21)	37216	ABLIM1	ABLIM1	NM_001003407			ABLIM1			NA
Interval_7617	chr2	68791587	68791921	+	0	NA	intron (APLF, intron 8 of 9)	-intron (APLF, intron 8 of 9)	-81200	PROKR1	PROKR1	NM_138964			PROKR1			NA
Interval_3687	chr14	24794565	24795115	+	0	NA	intron (ADCY4, intron 14 of 25)	-intron (ADCY4, intron 13 of 24)	9437	ADCY4	ADCY4	NM_139247			ADCY4			NA
Interval_6379	chr18	43578274	43578506	+	0	NA	intron (PSTPIP2, intron 8 of 14)	-intron (PSTPIP2, intron 8 of 14)	-31085	EPG5	EPG5	NM_020964			EPG5			NA
Interval_8236	chr2	197041651	197042206	+	0	NA	Intergenic	Intergenic	-5592	STK17B	STK17B	NM_004226			STK17B			NA
Interval_6349	chr18	21002804	21003085	+	0	NA	intron (TMEM241, intron 2 of 14)	-intron (TMEM241, intron 2 of 14)	14981	TMEM241	TMEM241	NM_032933			TMEM241			NA
Interval_3998	chr14	72217995	72218262	+	0	NA	Intergenic	Intergenic	-181658	RGS6	RGS6	NM_001204422			RGS6			NA
Interval_11156	chr4	129438982	129439316	+	0	NA	intron (LOC100507487, intron 8 of 8)	-intron (LOC100507487, intron 8 of 8)	89978	LOC100507487	LOC100507487	NR_125882			LOC100507487			NA
Interval_12829	chr7	1001256	1001734	+	0	NA	Intergenic	Intergenic	-7176	ADAP1	ADAP1	NM_001284308			ADAP1			NA
Interval_7228	chr2	4131516	4131741	+	0	NA	Intergenic	Intergenic	-110006	LINC01304	LINC01304	NR_037881			LINC01304			NA
Interval_828	chr1	153539004	153539266	+	0	NA	promoter-TSS (S100A2)	-promoter-TSS (S100A2)	-829	S100A2	S100A2	NM_005978			S100A2			NA
Interval_1223	chr1	230849793	230850296	+	0	NA	exon (AGT, exon 1 of 5)	-exon (AGT, exon 1 of 5)	292	AGT	AGT	NM_000029			AGT			NA
Interval_14831	chrX	117654953	117655186	+	0	NA	intron (DOCK11, intron 1 of 52)	-intron (DOCK11, intron 1 of 52)	25197	DOCK11	DOCK11	NM_144658			DOCK11			NA
Interval_1027	chr1	201547494	201547813	+	0	NA	Intergenic	Intergenic	58621	RPS10P7	RPS10P7	NR_026667			RPS10P7			NA
Interval_7942	chr2	120916239	120916513	+	0	NA	intron (EPB41L5, intron 20 of 24)	-intron (EPB41L5, intron 20 of 23)	64608	TMEM185B	TMEM185B	NM_024121			TMEM185B			NA
Interval_6679	chr19	5894446	5894676	+	0	NA	TTS (NDUFA11)	-TTS (NDUFA11)	9463	NDUFA11	NDUFA11	NM_175614			NDUFA11			NA
Interval_1051	chr1	203650745	203651186	+	0	NA	intron (ATP2B4, intron 1 of 20)	-intron (ATP2B4, intron 1 of 21)	-47744	SNORA77	SNORA77	NR_003019			SNORA77			NA
Interval_3502	chr13	114074073	114074467	+	0	NA	Intergenic	Intergenic	-5562	LOC101928841	LOC101928841	NM_001304433			LOC101928841			NA
Interval_4378	chr15	67698719	67699044	+	0	NA	exon (IQCH-AS1, exon 6 of 6)	-exon (IQCH-AS1, exon 6 of 6)	114519	IQCH-AS1	IQCH-AS1	NR_040051			IQCH-AS1			NA
Interval_12807	chr7	10012	10237	+	0	NA	Intergenic	Intergenic	-139594	LOC100507642	LOC100507642	NR_108064			LOC100507642			NA
Interval_13817	chr8	94564173	94564433	+	0	NA	intron (LINC00535, intron 6 of 10)	-intron (LINC00535, intron 6 of 10)	148358	LINC00535	LINC00535	NR_033858			LINC00535			NA
Interval_11475	chr5	55606649	55607034	+	0	NA	Intergenic	Intergenic	-77655	ANKRD55	ANKRD55	NM_024669			ANKRD55			NA
Interval_11412	chr5	33440733	33441327	+	0	NA	exon (TARS, exon 1 of 20)	-exon (TARS, exon 1 of 20)	148	TARS	TARS	NM_001258438			TARS			NA
Interval_7643	chr2	72108074	72108322	+	0	NA	Intergenic	Intergenic	266793	CYP26B1	CYP26B1	NM_001277742			CYP26B1			NA
Interval_8483	chr2	235596689	235596998	+	0	NA	Intergenic	Intergenic	-191150	ARL4C	ARL4C	NM_005737			ARL4C			NA
Interval_5100	chr16	57313800	57314191	+	0	NA	intron (PLLP, intron 1 of 3)	-intron (PLLP, intron 1 of 3)	4589	PLLP	PLLP	NM_015993			PLLP			NA
Interval_1390	chr10	12307852	12308208	+	0	NA	Intergenic	Intergenic	-69887	NUDT5	NUDT5	NM_014142			NUDT5			NA
Interval_11290	chr4	184501603	184501853	+	0	NA	Intergenic	Intergenic	75525	ING2	ING2	NM_001564			ING2			NA
Interval_13094	chr7	70033801	70034157	+	0	NA	intron (AUTS2, intron 5 of 18)	-intron (AUTS2, intron 5 of 17)	-563544	WBSCR17	WBSCR17	NM_022479			WBSCR17			NA
Interval_11259	chr4	169490176	169490420	+	0	NA	intron (PALLD, intron 2 of 20)	-intron (PALLD, intron 2 of 21)	72081	PALLD	PALLD	NM_001166110			PALLD			NA
Interval_12826	chr7	766023	766353	+	0	NA	promoter-TSS (DNAAF5)	-promoter-TSS (DNAAF5)	-150	DNAAF5	DNAAF5	NM_017802			DNAAF5			NA
Interval_12668	chr6	158987456	158987744	+	0	NA	intron (TMEM181, intron 1 of 16)	-intron (TMEM181, intron 1 of 16)	30132	TMEM181	TMEM181	NM_020823			TMEM181			NA
Interval_8094	chr2	157909148	157909384	+	0	NA	Intergenic	Intergenic	-205074	GALNT5	GALNT5	NM_014568			GALNT5			NA
Interval_3129	chr12	119063153	119063473	+	0	NA	Intergenic	Intergenic	248955	SUDS3	SUDS3	NM_022491			SUDS3			NA
Interval_12470	chr6	112126013	112126586	+	0	NA	intron (FYN, intron 2 of 13)	-intron (FYN, intron 2 of 13)	-45965	FYN	FYN	NM_002037			FYN			NA
Interval_8194	chr2	187749342	187749640	+	0	NA	Intergenic	Intergenic	-35594	ZSWIM2	ZSWIM2	NM_182521			ZSWIM2			NA
Interval_9223	chr20	48200133	48200571	+	0	NA	Intergenic	Intergenic	-15645	PTGIS	PTGIS	NM_000961			PTGIS			NA
Interval_9001	chr20	35724414	35724668	+	0	NA	promoter-TSS (RBL1)	-promoter-TSS (RBL1)	-138	RBL1	RBL1	NM_183404			RBL1			NA
Interval_13199	chr7	100108383	100108869	+	0	NA	Intergenic	Intergenic	27076	NYAP1	NYAP1	NM_173564			NYAP1			NA
Interval_7959	chr2	121830878	121831563	+	0	NA	Intergenic	Intergenic	211558	TFCP2L1	TFCP2L1	NM_014553			TFCP2L1			NA
Interval_13835	chr8	97656578	97657010	+	0	NA	promoter-TSS (CPQ)	-promoter-TSS (CPQ)	-661	CPQ	CPQ	NM_016134			CPQ			NA
Interval_12790	chr6	169785760	169786019	+	0	NA	Intergenic	Intergenic	-131680	THBS2	THBS2	NM_003247			THBS2			NA
Interval_2442	chr11	93779575	93779882	+	0	NA	intron (HEPHL1, intron 2 of 19)	-intron (HEPHL1, intron 2 of 19)	25350	HEPHL1	HEPHL1	NM_001098672			HEPHL1			NA
Interval_7715	chr2	86161065	86161814	+	0	NA	Intergenic	Intergenic	45036	ST3GAL5-AS1	ST3GAL5-AS1	NR_110569			ST3GAL5-AS1			NA
Interval_14536	chr9	133871597	133872019	+	0	NA	Intergenic	Intergenic	-12696	LAMC3	LAMC3	NM_006059			LAMC3			NA
Interval_2423	chr11	85887211	85887602	+	0	NA	Intergenic	Intergenic	-68020	EED	EED	NM_003797			EED			NA
Interval_11337	chr5	1105513	1106028	+	0	NA	intron (SLC12A7, intron 1 of 23)	-intron (SLC12A7, intron 1 of 23)	6402	SLC12A7	SLC12A7	NM_006598			SLC12A7			NA
Interval_2714	chr12	27702676	27702952	+	0	NA	intron (PPFIBP1, intron 1 of 28)	-intron (PPFIBP1, intron 1 of 26)	25769	PPFIBP1	PPFIBP1	NM_003622			PPFIBP1			NA
Interval_9069	chr20	39131459	39131733	+	0	NA	Intergenic	Intergenic	186284	MAFB	MAFB	NM_005461			MAFB			NA
Interval_5844	chr17	46949065	46949360	+	0	NA	Intergenic	Intergenic	-20936	ATP5G1	ATP5G1	NM_001002027			ATP5G1			NA
Interval_1316	chr10	1278123	1278838	+	0	NA	intron (ADARB2, intron 6 of 9)	-intron (ADARB2, intron 6 of 9)	72772	LINC00200	LINC00200	NR_015376			LINC00200			NA
Interval_7271	chr2	9138614	9139237	+	0	NA	intron (MBOAT2, intron 1 of 12)	-intron (MBOAT2, intron 1 of 12)	4951	MBOAT2	MBOAT2	NM_138799			MBOAT2			NA
Interval_7451	chr2	33185763	33186134	+	0	NA	intron (LTBP1, intron 2 of 33)	-intron (LTBP1, intron 2 of 33)	13579	LTBP1	LTBP1	NM_000627			LTBP1			NA
Interval_12450	chr6	108880277	108880655	+	0	NA	promoter-TSS (FOXO3)	-promoter-TSS (FOXO3)	-560	FOXO3	FOXO3	NM_001455			FOXO3			NA
Interval_2974	chr12	93964622	93964924	+	0	NA	promoter-TSS (SOCS2)	-promoter-TSS (SOCS2)	401	SOCS2-AS1	SOCS2-AS1	NR_038263			SOCS2-AS1			NA
Interval_3365	chr13	41863694	41863991	+	0	NA	Intergenic	Intergenic	-21499	NAA16	NAA16	NM_024561			NAA16			NA
Interval_13710	chr8	41680603	41680878	+	0	NA	intron (ANK1, intron 1 of 42)	-intron (ANK1, intron 1 of 42)	-157936	ANK1	ANK1	NM_001142446			ANK1			NA
Interval_4762	chr16	16139557	16139805	+	0	NA	intron (ABCC1, intron 8 of 30)	-intron (ABCC1, intron 8 of 30)	96247	ABCC1	ABCC1	NM_004996			ABCC1			NA
Interval_4561	chr16	909050	909511	+	0	NA	intron (LMF1, intron 12 of 12)	-intron (LMF1, intron 10 of 10)	53837	PRR25	PRR25	NM_001013638			PRR25			NA
Interval_4907	chr16	27482053	27482559	+	0	NA	intron (GTF3C1, intron 30 of 36)	-intron (GTF3C1, intron 30 of 36)	-17592	IL21R-AS1	IL21R-AS1	NR_037158			IL21R-AS1			NA
Interval_5161	chr16	68147001	68147234	+	0	NA	intron (NFATC3, intron 1 of 9)	-intron (NFATC3, intron 1 of 10)	27848	NFATC3	NFATC3	NM_173165			NFATC3			NA
Interval_13005	chr7	43026356	43026822	+	0	NA	Intergenic	Intergenic	54650	MRPL32	MRPL32	NM_031903			MRPL32			NA
Interval_6748	chr19	10727630	10728449	+	0	NA	intron (SLC44A2, intron 1 of 21)	-intron (SLC44A2, intron 1 of 21)	-8132	SLC44A2	SLC44A2	NM_001145056			SLC44A2			NA
Interval_9641	chr21	40357529	40357948	+	0	NA	Intergenic	Intergenic	-8038	LOC101928435	LOC101928435	NR_109962			LOC101928435			NA
Interval_6619	chr19	3322545	3323115	+	0	NA	Intergenic	Intergenic	-36731	NFIC	NFIC	NM_005597			NFIC			NA
Interval_12938	chr7	25236060	25236360	+	0	NA	Intergenic	Intergenic	-16393	C7orf31	C7orf31	NM_138811			C7orf31			NA
Interval_6962	chr19	39309982	39310206	+	0	NA	intron (ECH1, intron 3 of 9)	-intron (ECH1, intron 3 of 9)	-6354	LGALS4	LGALS4	NM_006149			LGALS4			NA
Interval_10616	chr3	158125953	158126322	+	0	NA	intron (RSRC1, intron 6 of 9)	-intron (RSRC1, intron 5 of 8)	162718	LOC100996447	LOC100996447	NR_104147			LOC100996447			NA
Interval_507	chr1	53587326	53587564	+	0	NA	intron (SLC1A7, intron 2 of 10)	-intron (SLC1A7, intron 2 of 10)	20859	SLC1A7	SLC1A7	NM_001287595			SLC1A7			NA
Interval_9276	chr20	50063259	50063523	+	0	NA	intron (NFATC2, intron 6 of 9)	-intron (NFATC2, intron 6 of 10)	6123	MIR3194	MIR3194	NR_036162			MIR3194			NA
Interval_10834	chr4	3470576	3470861	+	0	NA	intron (DOK7, intron 2 of 6)	-intron (DOK7, intron 2 of 6)	5685	DOK7	DOK7	NM_001301071			DOK7			NA
Interval_9985	chr22	45032636	45032976	+	0	NA	Intergenic	Intergenic	-11507	LINC00229	LINC00229	NR_044991			LINC00229			NA
Interval_8038	chr2	138700304	138701002	+	0	NA	Intergenic	Intergenic	-15151	LOC101928273	LOC101928273	NR_120402			LOC101928273			NA
Interval_12681	chr6	160147932	160148374	+	0	NA	promoter-TSS (WTAP)	-promoter-TSS (WTAP)	123	WTAP	WTAP	NM_004906			WTAP			NA
Interval_7530	chr2	46567053	46567500	+	0	NA	intron (EPAS1, intron 1 of 15)	-intron (EPAS1, intron 1 of 15)	42735	EPAS1	EPAS1	NM_001430			EPAS1			NA
Interval_14260	chr9	90329788	90330252	+	0	NA	Intergenic	Intergenic	-10954	CTSL	CTSL	NM_001912			CTSL			NA
Interval_3740	chr14	31507609	31508717	+	0	NA	intron (AP4S1, intron 1 of 5)	-intron (AP4S1, intron 1 of 5)	-12556	STRN3	STRN3	NM_001083893			STRN3			NA
Interval_10004	chr22	47034801	47035304	+	0	NA	intron (GRAMD4, intron 2 of 17)	-intron (GRAMD4, intron 2 of 17)	12394	GRAMD4	GRAMD4	NM_015124			GRAMD4			NA
Interval_99	chr1	8800229	8800453	+	0	NA	intron (RERE, intron 1 of 22)	-intron (RERE, intron 1 of 22)	77358	RERE	RERE	NM_012102			RERE			NA
Interval_1246	chr1	234748367	234748653	+	0	NA	Intergenic	Intergenic	-3239	IRF2BP2	IRF2BP2	NM_001077397			IRF2BP2			NA
Interval_3224	chr12	126811717	126812060	+	0	NA	Intergenic	Intergenic	-115139	LOC100128554	LOC100128554	NR_130748			LOC100128554			NA
Interval_12110	chr6	25698843	25699276	+	0	NA	intron (SCGN, intron 10 of 10)	-intron (SCGN, intron 10 of 10)	27731	HIST1H2AA	HIST1H2AA	NM_170745			HIST1H2AA			NA
Interval_11578	chr5	88365464	88365708	+	0	NA	Intergenic	Intergenic	-186303	MEF2C	MEF2C	NM_001193347			MEF2C			NA
Interval_3512	chr13	114753570	114753869	+	0	NA	intron (RASA3, intron 22 of 23)	-intron (RASA3, intron 22 of 23)	-121755	LINC00565	LINC00565	NR_047495			LINC00565			NA
Interval_4112	chr14	101337877	101338300	+	0	NA	Intergenic	Intergenic	2691	MIR493	MIR493	NR_030172			MIR493			NA
Interval_2950	chr12	89787311	89787893	+	0	NA	Intergenic	Intergenic	-40966	DUSP6	DUSP6	NM_022652			DUSP6			NA
Interval_8323	chr2	216633107	216633355	+	0	NA	intron (LINC00607, intron 1 of 9)	-intron (LINC00607, intron 1 of 9)	75028	LINC00607	LINC00607	NR_037195			LINC00607			NA
Interval_4250	chr15	41552095	41552334	+	0	NA	intron (CHP1, intron 3 of 6)	-intron (CHP1, intron 3 of 6)	-23987	OIP5-AS1	OIP5-AS1	NR_026757			OIP5-AS1			NA
Interval_382	chr1	38465204	38465576	+	0	NA	intron (FHL3, intron 1 of 5)	-intron (FHL3, intron 1 of 4)	5797	FHL3	FHL3	NM_001243878			FHL3			NA
Interval_14410	chr9	116266998	116267687	+	0	NA	intron (RGS3, intron 1 of 15)	-intron (RGS3, intron 1 of 14)	-88858	RGS3	RGS3	NM_001282923			RGS3			NA
Interval_11858	chr5	173119005	173119283	+	0	NA	Intergenic	Intergenic	54068	LINC01484	LINC01484	NR_108027			LINC01484			NA
Interval_14896	chrX	151612886	151613181	+	0	NA	intron (GABRA3, intron 1 of 9)	-intron (GABRA3, intron 1 of 9)	6798	GABRA3	GABRA3	NM_000808			GABRA3			NA
Interval_13119	chr7	73464435	73464840	+	0	NA	intron (ELN, intron 15 of 33)	-intron (ELN, intron 15 of 32)	22518	ELN	ELN	NM_001081755			ELN			NA
Interval_6154	chr17	76588261	76588928	+	0	NA	Intergenic	Intergenic	-15118	DNAH17	DNAH17	NM_173628			DNAH17			NA
Interval_2089	chr11	32471942	32472236	+	0	NA	intron (WT1-AS, intron 1 of 4)	-intron (WT1-AS, intron 1 of 4)	-15008	WT1	WT1	NM_000378			WT1			NA
Interval_2180	chr11	57668810	57669104	+	0	NA	Intergenic	Intergenic	-122396	OR9Q1	OR9Q1	NM_001005212			OR9Q1			NA
Interval_4633	chr16	8962040	8962797	+	0	NA	promoter-TSS (CARHSP1)	-promoter-TSS (CARHSP1)	451	CARHSP1	CARHSP1	NM_014316			CARHSP1			NA
Interval_1194	chr1	228556772	228557129	+	0	NA	intron (OBSCN, intron 101 of 115)	-intron (OBSCN, intron 90 of 104)	27860	MIR6742	MIR6742	NR_106800			MIR6742			NA
Interval_13338	chr7	131020797	131021061	+	0	NA	intron (MKLN1, intron 1 of 17)	-intron (MKLN1, intron 2 of 18)	8334	MKLN1	MKLN1	NM_013255			MKLN1			NA
Interval_9407	chr20	60100886	60101225	+	0	NA	intron (CDH4, intron 1 of 14)	-intron (CDH4, intron 1 of 14)	273573	CDH4	CDH4	NM_001794			CDH4			NA
Interval_9405	chr20	60093533	60094056	+	0	NA	intron (CDH4, intron 1 of 14)	-intron (CDH4, intron 1 of 14)	266312	CDH4	CDH4	NM_001794			CDH4			NA
Interval_14769	chrX	67808839	67809154	+	0	NA	Intergenic	Intergenic	-58515	STARD8	STARD8	NM_001142503			STARD8			NA
Interval_13617	chr8	22077395	22077672	+	0	NA	exon (PHYHIP, exon 6 of 6)	-exon (PHYHIP, exon 6 of 6)	12318	PHYHIP	PHYHIP	NM_001099335			PHYHIP			NA
Interval_10578	chr3	151603271	151603607	+	0	NA	intron (AADACL2-AS1, intron 1 of 2)	-intron (AADACL2-AS1, intron 1 of 3)	12008	SUCNR1	SUCNR1	NM_033050			SUCNR1			NA
Interval_2857	chr12	57770883	57771199	+	0	NA	Intergenic	Intergenic	-57427	INHBC	INHBC	NM_005538			INHBC			NA
Interval_1000	chr1	192077245	192077617	+	0	NA	Intergenic	Intergenic	-50161	RGS18	RGS18	NM_130782			RGS18			NA
Interval_11493	chr5	64785036	64785261	+	0	NA	Intergenic	Intergenic	-7444	ADAMTS6	ADAMTS6	NM_197941			ADAMTS6			NA
Interval_6338	chr18	13542127	13542422	+	0	NA	intron (LDLRAD4, intron 4 of 5)	-intron (LDLRAD4, intron 3 of 5)	-68839	MIR4526	MIR4526	NR_039752			MIR4526			NA
Interval_7635	chr2	71127340	71127665	+	0	NA	promoter-TSS (VAX2)	-promoter-TSS (VAX2)	-218	VAX2	VAX2	NM_012476			VAX2			NA
Interval_9147	chr20	44792638	44792892	+	0	NA	Intergenic	Intergenic	45872	CD40	CD40	NM_001250			CD40			NA
Interval_13114	chr7	73172951	73173219	+	0	NA	Intergenic	Intergenic	11515	CLDN3	CLDN3	NM_001306			CLDN3			NA
Interval_9222	chr20	48158394	48158671	+	0	NA	intron (PTGIS, intron 4 of 9)	-intron (PTGIS, intron 4 of 9)	26175	PTGIS	PTGIS	NM_000961			PTGIS			NA
Interval_10039	chr22	49989154	49989689	+	0	NA	intron (C22orf34, intron 1 of 4)	-intron (C22orf34, intron 1 of 2)	-52307	MIR3667	MIR3667	NR_037440			MIR3667			NA
Interval_10674	chr3	179092832	179093280	+	0	NA	exon (MFN1, exon 10 of 18)	-exon (MFN1, exon 10 of 18)	27576	MFN1	MFN1	NM_033540			MFN1			NA
Interval_3466	chr13	108594346	108594896	+	0	NA	Intergenic	Intergenic	-75161	FAM155A	FAM155A	NM_001080396			FAM155A			NA
Interval_8241	chr2	198317648	198317975	+	0	NA	promoter-TSS (COQ10B)	-promoter-TSS (COQ10B)	-420	COQ10B	COQ10B	NM_025147			COQ10B			NA
Interval_11530	chr5	73936512	73936766	+	0	NA	exon (ENC1, exon 1 of 4)	-exon (ENC1, exon 1 of 4)	610	ENC1	ENC1	NM_003633			ENC1			NA
Interval_13585	chr8	13134110	13134416	+	0	NA	intron (DLC1, intron 5 of 17)	-intron (DLC1, intron 5 of 17)	238166	DLC1	DLC1	NM_182643			DLC1			NA
Interval_4195	chr15	27332801	27333185	+	0	NA	intron (GABRG3, intron 3 of 9)	-intron (GABRG3, intron 3 of 5)	73473	GABRG3-AS1	GABRG3-AS1	NR_120343			GABRG3-AS1			NA
Interval_11533	chr5	74906532	74907090	+	0	NA	promoter-TSS (ANKDD1B)	-promoter-TSS (ANKDD1B)	-490	ANKDD1B	ANKDD1B	NM_001276713			ANKDD1B			NA
Interval_13818	chr8	94678678	94678920	+	0	NA	intron (LINC00535, intron 3 of 10)	-intron (LINC00535, intron 3 of 10)	33862	LINC00535	LINC00535	NR_033858			LINC00535			NA
Interval_4350	chr15	65223065	65223307	+	0	NA	intron (ANKDD1A, intron 7 of 14)	-intron (ANKDD1A, intron 7 of 14)	19085	ANKDD1A	ANKDD1A	NM_182703			ANKDD1A			NA
Interval_498	chr1	52648069	52648408	+	0	NA	intron (ZFYVE9, intron 1 of 17)	-intron (ZFYVE9, intron 1 of 18)	40472	ZFYVE9	ZFYVE9	NM_007324			ZFYVE9			NA
Interval_9153	chr20	44906348	44906717	+	0	NA	intron (CDH22, intron 1 of 11)	-intron (CDH22, intron 1 of 11)	30605	CDH22	CDH22	NM_021248			CDH22			NA
Interval_427	chr1	43418135	43418562	+	0	NA	intron (SLC2A1, intron 1 of 9)	-intron (SLC2A1, intron 1 of 9)	-6372	SLC2A1-AS1	SLC2A1-AS1	NR_033967			SLC2A1-AS1			NA
Interval_13403	chr7	142540109	142540539	+	0	NA	Intergenic	Intergenic	-19451	EPHB6	EPHB6	NM_001280794			EPHB6			NA
Interval_8644	chr20	2082758	2083581	+	0	NA	intron (STK35, intron 1 of 3)	-intron (STK35, intron 1 of 3)	641	STK35	STK35	NM_080836			STK35			NA
Interval_1404	chr10	14227571	14227984	+	0	NA	intron (FRMD4A, intron 2 of 24)	-intron (FRMD4A, intron 2 of 24)	111494	LOC101928453	LOC101928453	NR_120638			LOC101928453			NA
Interval_14372	chr9	108409796	108410189	+	0	NA	Intergenic	Intergenic	-14746	TAL2	TAL2	NM_005421			TAL2			NA
Interval_8491	chr2	236352897	236353285	+	0	NA	Intergenic	Intergenic	-49642	AGAP1	AGAP1	NM_001037131			AGAP1			NA
Interval_14202	chr9	69735316	69735838	+	0	NA	Intergenic	Intergenic	84216	LOC100133920	LOC100133920	NR_024443			LOC100133920			NA
Interval_4462	chr15	83518249	83518672	+	0	NA	exon (HOMER2, exon 9 of 9)	-exon (HOMER2, exon 9 of 9)	40080	WHAMM	WHAMM	NM_001080435			WHAMM			NA
Interval_8393	chr2	220425559	220425961	+	0	NA	TTS (OBSL1)	-TTS (OBSL1)	10508	OBSL1	OBSL1	NM_001173431			OBSL1			NA
Interval_10832	chr4	3230838	3231331	+	0	NA	intron (HTT, intron 59 of 66)	-intron (HTT, intron 59 of 66)	-19683	MSANTD1	MSANTD1	NM_001042690			MSANTD1			NA
Interval_440	chr1	44014037	44014453	+	0	NA	intron (PTPRF, intron 3 of 32)	-intron (PTPRF, intron 3 of 33)	17698	PTPRF	PTPRF	NM_130440			PTPRF			NA
Interval_10285	chr3	52334122	52334481	+	0	NA	Intergenic	Intergenic	-5977	MIR135A1	MIR135A1	NR_029677			MIR135A1			NA
Interval_5270	chr16	84001475	84001704	+	0	NA	promoter-TSS (NECAB2)	-promoter-TSS (NECAB2)	-648	NECAB2	NECAB2	NM_019065			NECAB2			NA
Interval_10454	chr3	127404838	127405305	+	0	NA	Intergenic	Intergenic	13290	ABTB1	ABTB1	NM_172027			ABTB1			NA
Interval_7120	chr19	53439470	53440077	+	0	NA	intron (ZNF816-ZNF321P, intron 3 of 3)	-intron (ZNF816-ZNF321P, intron 3 of 3)	6074	ZNF321P	ZNF321P	NR_037805			ZNF321P			NA
Interval_7248	chr2	7329223	7329583	+	0	NA	Intergenic	Intergenic	-111392	LOC101929452	LOC101929452	NR_110252			LOC101929452			NA
Interval_8264	chr2	201995300	201995690	+	0	NA	intron (CFLAR, intron 2 of 9)	-intron (CFLAR, intron 2 of 9)	14618	CFLAR	CFLAR	NM_003879			CFLAR			NA
Interval_4114	chr14	101692991	101693328	+	0	NA	Intergenic	Intergenic	156911	MEG9	MEG9	NR_047664			MEG9			NA
Interval_8023	chr2	132402975	132403230	+	0	NA	intron (LINC01087, intron 1 of 1)	-intron (LINC01087, intron 1 of 1)	8504	LINC01087	LINC01087	NR_108087			LINC01087			NA
Interval_11140	chr4	124521163	124521495	+	0	NA	Intergenic	Intergenic	-174090	LINC01091	LINC01091	NR_027105			LINC01091			NA
Interval_14161	chr9	35731369	35731622	+	0	NA	promoter-TSS (CREB3)	-promoter-TSS (CREB3)	-822	CREB3	CREB3	NM_006368			CREB3			NA
Interval_10906	chr4	13527610	13527868	+	0	NA	TTS (LINC01097)	-TTS (LINC01097)	5302	LINC01097	LINC01097	NR_034054			LINC01097			NA
Interval_8634	chr20	1257995	1258941	+	0	NA	intron (SNPH, intron 2 of 5)	-intron (SNPH, intron 2 of 5)	11508	SNPH	SNPH	NM_014723			SNPH			NA
Interval_9075	chr20	39662938	39663251	+	0	NA	intron (TOP1, intron 2 of 20)	-intron (TOP1, intron 2 of 20)	5632	TOP1	TOP1	NM_003286			TOP1			NA
Interval_3003	chr12	104860932	104861576	+	0	NA	intron (CHST11, intron 1 of 2)	-intron (CHST11, intron 1 of 2)	10562	CHST11	CHST11	NM_018413			CHST11			NA
Interval_11957	chr6	3777138	3777575	+	0	NA	Intergenic	Intergenic	-25110	PXDC1	PXDC1	NM_183373			PXDC1			NA
Interval_11313	chr4	190512692	190513158	+	0	NA	Intergenic	Intergenic	-67835	LINC01262	LINC01262	NR_121679			LINC01262			NA
Interval_1431	chr10	18410199	18410700	+	0	NA	Intergenic	Intergenic	-19157	CACNB2	CACNB2	NM_001167945			CACNB2			NA
Interval_4732	chr16	14493353	14493645	+	0	NA	Intergenic	Intergenic	-29376	LOC105447648	LOC105447648	NR_131191			LOC105447648			NA
Interval_13033	chr7	47332465	47332706	+	0	NA	intron (TNS3, intron 25 of 30)	-intron (TNS3, intron 25 of 30)	289157	TNS3	TNS3	NM_022748			TNS3			NA
Interval_11952	chr6	3355154	3355600	+	0	NA	intron (SLC22A23, intron 3 of 11)	-intron (SLC22A23, intron 3 of 9)	89870	SLC22A23	SLC22A23	NM_015482			SLC22A23			NA
Interval_13455	chr7	154674937	154675709	+	0	NA	intron (DPP6, intron 21 of 25)	-intron (DPP6, intron 21 of 25)	-44904	PAXIP1-AS2	PAXIP1-AS2	NR_024476			PAXIP1-AS2			NA
