Chr	Start	End	Entrez ID
chr8	43132188	43132620	POTEA
chr21	30670755	30671281	BACH1
chr14	68762096	68762481	RAD51B
chr22	39688560	39688982	SNORD83B
chr3	50645044	50645510	CISH
chr7	151587091	151587704	PRKAG2-AS1
chr3	8543115	8543781	LMCD1
chr19	50321104	50321912	MED25
chr3	13652643	13652999	LINC00620
chr11	64240424	64240881	LOC100996455
chr3	139238774	139239077	RBP1
chr4	3676878	3677318	LOC100133461
chr7	138793803	138794827	ZC3HAV1
chr16	25026556	25026904	ARHGAP17
chr12	50016775	50017448	PRPF40B
chr2	179344575	179346111	PLEKHA3
chr3	47866210	47866733	DHX30
chr11	46368436	46369000	DGKZ
chr20	32077271	32078492	SNTA1
chr1	156594062	156594540	HAPLN2
chr19	13944256	13944870	LOC284454
chr15	69754563	69755635	RPLP1
chrX	39966477	39967063	BCOR
chr16	12552323	12552935	MIR4718
chr6	160390350	160391441	IGF2R
chr16	85279377	85279682	LINC00311
chr15	40649984	40650765	DISP2
chr1	206628919	206629500	IKBKE
chr22	50437327	50437795	IL17REL
chr12	6579505	6580623	VAMP1
chr17	72731532	72732010	SLC9A3R1
chr6	88793882	88794242	SPACA1
chr9	97488477	97489238	C9orf3
chr17	76164357	76164983	SYNGR2
chr9	132439142	132439652	PRRX2
chr4	120548240	120549105	PDE5A
chr18	77264087	77264895	NFATC1
chr22	37252281	37252692	NCF4
chr13	73355644	73356369	PIBF1
chr8	144853241	144854546	FAM83H-AS1
chr3	41240600	41241213	CTNNB1
chr17	76182899	76183699	TK1
chr19	14585972	14586490	PTGER1
chrX	135229216	135229927	FHL1
chr20	60757616	60758349	MTG2
chr3	11760893	11761377	VGLL4
chr19	36048346	36049483	ATP4A
chr3	130745409	130745916	NEK11
chr21	44735716	44736155	LINC00322
chr21	44726842	44727261	LINC00322
chr2	217420571	217420967	LINC01280
chr14	64804632	64806093	TEX21P
chr1	181451617	181452195	CACNA1E
chr10	52039280	52039727	ASAH2
chr12	187232	187552	IQSEC3
chr5	61519679	61520261	KIF2A
chr8	15439377	15439910	TUSC3
chr2	220378812	220379416	ASIC4
chr20	44506811	44507512	ZSWIM1
chr18	43547041	43547737	EPG5
chr17	170775	171217	LOC100506388
chr19	45972225	45972883	FOSB
chr5	68530331	68530980	CDK7
chr2	33823739	33824949	FAM98A
chr18	9474739	9475872	RALBP1
chr12	29219129	29219436	FAR2
chr14	74226629	74227278	ELMSAN1
chr6	170231516	170232159	LINC00242
chr21	15068948	15069864	MIR8069-1
chr1	29211150	29211690	EPB41
chr1	173445699	173447494	PRDX6
chr19	40854220	40854998	PLD3
chr20	30945820	30946141	ASXL1
chr16	31891862	31892195	ZNF267
chr1	151547359	151547878	MIR554
chr19	38145765	38147385	ZFP30
chr10	126109749	126110060	OAT
chr16	89070436	89071309	CBFA2T3
chr2	108363364	108364861	GACAT1
chr11	66112215	66112904	BRMS1
chr1	32801755	32802272	MARCKSL1
chr13	53029285	53030514	CKAP2
chr8	67341015	67341334	RRS1-AS1
chr2	223182772	223183346	PAX3
chr5	105489837	105490320	LOC102467213
chr17	17875646	17876259	TOM1L2
chr8	21966463	21967506	NUDT18
chr5	32444454	32445289	ZFR
chr21	40759156	40761025	WRB
chr17	66201300	66201827	LOC440461
chr6	35310125	35310529	PPARD
chr5	148831831	148832154	MIR145
chr3	50487941	50488432	CACNA2D2
chr3	10412154	10412464	MIR885
chr10	25921675	25922214	LINC00836
chr1	999364	1000025	RNF223
chr19	18707509	18708122	C19orf60
chr2	89929098	89929473	MIR4436A
chr6	35139935	35140321	TCP11
chr1	64658078	64658395	UBE2U
chr13	23733523	23733946	SGCG
chrX	52964024	52964801	FAM156B
chr19	41256250	41257378	SNRPA
chr10	9867465	9867813	LOC101928298
chr3	15228114	15228677	COL6A4P1
chr13	76111952	76112477	COMMD6
chr17	79875439	79876409	SIRT7
chr17	26925703	26926393	SPAG5
chr1	10490132	10491245	APITD1
chrX	134137818	134138675	SMIM10
chr9	36190397	36191195	CLTA
chr16	53133531	53133886	CHD9
chr20	36722663	36723109	RPRD1B
chr13	42614095	42614752	VWA8-AS1
chr17	685152	685813	RNMTL1
chr6	30525053	30525739	GNL1
chr17	27918617	27918966	ANKRD13B
chr16	75681251	75682770	TERF2IP
chr12	117627979	117628727	FBXO21
chr17	48201958	48202261	SAMD14
chr1	223316157	223316889	TLR5
chr4	115519523	115520135	UGT8
chrX	153193006	153194276	ARHGAP4
chr1	226001112	226001599	EPHX1
chr6	95967231	95968088	MANEA-AS1
chr4	25989646	25990142	SMIM20
chr10	90640170	90640623	STAMBPL1
chr8	56685538	56686319	TMEM68
chr12	54069418	54070490	ATP5G2
chr13	41706677	41707175	KBTBD6
chr8	124084592	124085145	TBC1D31
chr19	33071595	33072662	PDCD5
chr7	1500841	1501189	MICALL2
chr18	31020344	31020864	CCDC178
chr16	1248816	1249360	TPSG1
chr2	28790026	28790357	PLB1
chr5	1171519	1171840	CTD-3080P12
chr8	27449832	27450303	MIR6843
chr22	43926787	43927197	EFCAB6-AS1
chr15	83763466	83763843	TM6SF1
chr2	28974063	28974999	PPP1CB
chr3	196254502	196255068	SMCO1
chr2	97426218	97426582	CNNM4
chr3	38028356	38028694	VILL
chr17	77770554	77771362	CBX8
chr5	139943644	139944809	APBB3
chr3	183734838	183736444	ABCC5
chr20	2644780	2645316	IDH3B
chr17	56406808	56407524	BZRAP1
chr11	66139909	66140261	SLC29A2
chr17	64299249	64299603	PRKCA
chr16	29143707	29144319	RRN3P2
chr8	81397793	81398096	ZBTB10
chr19	1479205	1479607	C19orf25
chr10	81200499	81200831	ZCCHC24
chr3	11138112	11138495	HRH1
chr13	80915366	80915780	SPRY2
chr7	156684813	156686311	LMBR1
chr21	9881391	9881964	MIR3687-1
chr1	40997055	40997607	ZNF684
chr1	203247395	203247965	LINC01353
chr6	96969280	96969982	UFL1
chr17	26300998	26301523	NLK
chr8	38007953	38008663	STAR
chr17	43508817	43509360	ARHGAP27
chr6	38607124	38608170	BTBD9
chr19	36485814	36486765	SDHAF1
chr8	26456254	26456660	DPYSL2
chr16	1001665	1002192	LMF1
chr12	8379747	8380204	FAM90A1
chr12	50435786	50436173	ASIC1
chr2	201729131	201729890	CLK1
chr17	43472499	43472901	ARHGAP27
chr9	140134541	140136601	TUBB4B
chr11	46633304	46633997	HARBI1
chr1	205419631	205419942	MIR135B
chr22	19929240	19929622	TXNRD2
chr18	77711462	77712297	PQLC1
chr10	50887438	50887865	C10orf53
chr14	76027130	76027648	FLVCR2
chr3	187455532	187456689	BCL6
chr8	144107603	144108063	LY6E
chr21	45187848	45188393	CSTB
chr2	179387744	179388112	TTN-AS1
chr1	23894653	23895116	ID3
chr6	110011791	110012895	AK9
chr22	44420419	44420934	PARVB
chr14	37552825	37553240	SLC25A21-AS1
chr21	35553636	35554232	LINC00310
chr20	33158684	33159117	MAP1LC3A
chr3	15901101	15901454	ANKRD28
chr1	44569059	44569608	KLF17
chr5	140766943	140767511	PCDHGB4
chr20	16555221	16556064	KIF16B
chr15	76195927	76197035	FBXO22
chrX	134232228	134233282	SMIM10L2B
chr4	110052718	110053229	COL25A1
chr1	203456435	203457291	OPTC
chr12	123431327	123431685	ABCB9
chr21	39188028	39188393	KCNJ6
chr9	136191089	136191600	SURF6
chr5	172751054	172751518	STC2
chr2	201039291	201040118	SPATS2L
chr9	98272742	98273944	PTCH1
chr8	145049078	145049636	PARP10
chr8	103875186	103875594	AZIN1
chr6	170921432	170922004	PDCD2
chr9	116105922	116106292	WDR31
chr22	29278931	29279629	ZNRF3
chr6	28129214	28129736	ZNF192P1
chr16	70488164	70488768	FUK
chr5	95194523	95194834	LINC01554
chr16	66878554	66878988	CA7
chr16	57496328	57496773	POLR2C
chr1	3229629	3230145	ARHGEF16
chr7	44162831	44163612	POLD2
chr22	38793177	38793983	LOC400927-CSNK1E
chr7	73588133	73588930	EIF4H
chr15	75639362	75639901	NEIL1
chr13	27131550	27131927	WASF3
chr1	109618391	109618928	TAF13
chr1	1822380	1823214	GNB1
chr1	1136766	1137164	TNFRSF18
chr12	49483656	49484543	DHH
chr13	23489446	23490118	BASP1P1
chr19	19245484	19245850	TMEM161A
chr5	15927790	15928363	MIR887
chr5	26490501	26490846	CDH9
chr19	8386756	8387093	RPS28
chr12	96252354	96253007	SNRPF
chr7	112607776	112608212	HRAT17
chr13	95619834	95620279	LINC00557
chr5	145562079	145562753	LARS
chr15	49912874	49913468	FAM227B
chr2	200715219	200716153	FTCDNL1
chr19	3761254	3762115	APBA3
chr19	37328719	37329419	ZNF790
chr3	111393182	111393668	PLCXD2
chr9	123165640	123165993	MIR147A
chr6	7389540	7390177	CAGE1
chr19	47731572	47732982	MIR3191
chr12	95610900	95611665	FGD6
chr16	67875512	67877191	THAP11
chr22	20783682	20784136	SCARF2
chr14	58710670	58712095	PSMA3
chr6	1497154	1497608	MIR6720
chr11	65819210	65820073	SF3B2
chr8	74659182	74659848	STAU2
chr6	97742383	97742711	LOC101927314
chr6	26122031	26122343	HIST1H2BC
chr7	98990605	98990915	PDAP1
chr6	35361803	35362250	PPARD
chr2	238428919	238429332	MIR6811
chr21	15351977	15352802	ANKRD20A11P
chr7	75795569	75796495	SRRM3
chr16	88527713	88528644	MIR5189
chr7	90893479	90894308	FZD1
chr9	137539124	137539571	COL5A1
chr19	5622192	5623491	SAFB2
chr21	25644822	25645385	LOC101927869
chr6	27655103	27655674	LINC01012
chr19	1169816	1170348	SBNO2
chrX	119005428	119005906	NDUFA1
chr1	44501546	44502002	SLC6A9
chr11	71524524	71525231	ALG1L9P
chr12	12876726	12877304	CDKN1B
chr5	125758929	125759435	GRAMD3
chr11	33182835	33183324	CSTF3
chr20	44539318	44540160	PLTP
chr1	203764392	203764942	ZC3H11A
chr8	37336826	37337175	LINC01605
chr19	6737550	6738225	GPR108
chr7	72847647	72848360	FZD9
chr6	24668380	24669646	ACOT13
chr1	211871734	211872315	NEK2
chr1	2574030	2575026	MMEL1
chr17	61523116	61524034	CYB561
chr3	130612431	130613065	ATP2C1
chrX	106515576	106515993	PIH1D3
chr16	85686048	85686546	GINS2
chr19	38943241	38943972	RYR1
chr20	25228640	25229455	PYGB
chr3	50192450	50192751	SEMA3F
chr12	113375900	113376666	OAS3
chr19	49244409	49244973	RASIP1
chr19	39810988	39811417	LRFN1
chr12	33592528	33593008	SYT10
chr9	139084946	139085578	LHX3
chr8	38853760	38854726	TM2D2
chr17	7591289	7591885	WRAP53
chr1	245081934	245082481	EFCAB2
chr5	134801744	134802360	TIFAB
chr14	50087030	50088241	MGAT2
chr13	113859683	113860012	PCID2
chr4	39639180	39639560	SMIM14
chr7	150075939	150076556	ZNF775
chr15	88188974	88189340	LINC00052
chr6	33584607	33584966	ITPR3
chr3	156806375	156807938	LINC00881
chr1	99711619	99712208	LPPR4
chr3	21267706	21268049	VENTXP7
chr11	111944790	111945209	C11orf57
chr1	117424364	117424929	PTGFRN
chr14	67826310	67827541	EIF2S1
chr17	79368562	79369505	BAHCC1
chr10	11784518	11784829	ECHDC3
chr1	248100098	248100733	OR2L13
chr22	24384059	24384592	GSTT1
chr14	104313924	104314390	LINC00637
chr1	234679113	234679448	LINC01354
chr9	67899648	67900459	ANKRD20A1
chr2	71232681	71233225	TEX261
chr5	175874800	175875618	FAF2
chr7	419551	419883	LOC442497
chr1	20878586	20879216	FAM43B
chr3	113775027	113775802	KIAA1407
chr3	13853350	13853835	WNT7A
chr17	8213595	8214163	ARHGEF15
chr16	374229	375089	AXIN1
chr7	105752192	105753475	SYPL1
chrX	47180875	47181198	ZNF157
chr12	53440496	53440949	TNS2
chrX	135180341	135180763	FHL1
chr1	214776042	214776808	CENPF
chr15	90744453	90745121	SEMA4B
chr20	60797659	60798093	HRH3
chr5	103415523	103416149	NUDT12
chr14	71288637	71288963	MAP3K9
chrX	140271132	140271647	LDOC1
chr8	142089522	142089931	DENND3
chr1	174933554	174933982	LOC101928696
chr11	65264614	65265501	MALAT1
chr22	45064216	45064871	PRR5-ARHGAP8
chr19	59000508	59001006	ZNF446
chr19	3736327	3736758	MIR1268A
chr12	110056720	110057073	MVK
chr1	43988329	43988781	PTPRF
chr6	11537322	11538311	TMEM170B
chr2	242913131	242913463	LOC102723927
chr9	139025149	139025606	C9orf69
chr15	75315581	75316290	PPCDC
chr7	74572709	74573353	NCF1C
chr11	64123872	64124290	RPS6KA4
chr6	47445730	47446133	CD2AP
chr9	131872456	131874573	PPP2R4
chr12	22696474	22697880	C2CD5
chr2	239608741	239609111	LINC01107
chr12	113622182	113623560	DDX54
chr16	71659750	71660499	MARVELD3
chr19	57946441	57947006	ZNF749
chr15	51413378	51413699	TNFAIP8L3
chr11	74811186	74811680	OR2AT4
chr5	14011297	14012216	DNAH5
chr17	74721501	74723699	JMJD6
chr16	12831345	12831762	MIR4718
chr19	13905711	13906196	ZSWIM4
chr19	14606679	14607309	GIPC1
chr7	37308385	37308709	ELMO1-AS1
chr11	77010588	77011012	GDPD4
chr5	35162949	35163307	PRLR
chr6	150244078	150244644	RAET1G
chr13	114566392	114567311	GAS6
chr13	41495771	41496113	SUGT1P3
chr19	47962605	47962988	SLC8A2
chr21	33319077	33320087	HUNK
chr4	15655549	15655903	FBXL5
chr19	58668509	58668908	ZNF329
chr17	79451288	79451849	ACTG1
chr22	22019977	22020847	PPIL2
chr17	17743174	17743884	SREBF1
chr2	238383408	238383936	MLPH
chr19	18262938	18264461	PIK3R2
chr20	45398884	45399380	SLC2A10
chr12	75784502	75785259	GLIPR1L2
chr5	171839904	171840397	SH3PXD2B
chr13	69282343	69283062	LINC00550
chr17	77800022	77800538	CBX4
chr19	37018835	37019931	ZNF260
chr19	18528831	18530443	SSBP4
chr11	9385733	9386342	IPO7
chr7	128095445	128096367	HILPDA
chr19	3520450	3521237	FZR1
chr10	13142070	13142405	OPTN
chr9	95526868	95528137	BICD2
chr9	134225102	134225885	PPAPDC3
chr5	53813451	53814222	SNX18
chr13	43189764	43190353	TNFSF11
chr16	30582630	30583750	ZNF688
chr7	45613650	45613972	ADCY1
chrX	12980240	12980706	TMSB4X
chr15	99191679	99192459	IGF1R
chr10	64549143	64549549	ADO
chr11	63607192	63608328	C11orf84
chr11	64794606	64795275	SNX15
chrX	134478291	134479133	ZNF449
chr19	50886971	50888279	POLD1
chr7	2742318	2742616	AMZ1
chr13	46785362	46786462	LRRC63
chr20	62289638	62290225	RTEL1-TNFRSF6B
chr1	119682769	119684060	WARS2
chr5	159845755	159846557	SLU7
chr3	42003213	42003932	ULK4
chr1	201475798	201476535	CSRP1
chr5	36241911	36242615	NADK2
chr10	45932950	45933254	LOC102724323
chr5	112042720	112043653	APC
chr7	116593530	116594647	ST7-OT4
chr6	43244128	43244445	SLC22A7
chr19	12886470	12886835	HOOK2
chr9	74979777	74980382	ZFAND5
chr1	218518930	218519582	TGFB2-AS1
chr6	159274210	159274740	OSTCP1
chr10	49514257	49515036	MAPK8
chr9	138852790	138853504	UBAC1
chr2	69968734	69969503	ANXA4
chrX	123364116	123364540	SH2D1A
chr6	37070218	37070790	PIM1
chr16	230090	230771	HBQ1
chr6	111803466	111804176	TRAF3IP2-AS1
chr6	27509352	27509881	ZNF184
chrX	129116119	129116858	BCORL1
chr11	64739175	64740007	C11orf85
chr17	74732403	74734359	SRSF2
chr20	39317800	39318238	MAFB
chr10	71992144	71993716	PPA1
chr1	32253380	32254223	ADGRB2
chr10	17270481	17271014	VIM
chr1	45671752	45672278	ZSWIM5
chr5	67513286	67513688	LOC102467655
chr15	41708945	41710276	RTF1
chr4	56502101	56502824	NMU
chr19	51412540	51413559	KLK4
chr1	155231695	155232483	SCAMP3
chr19	56151310	56152010	ZNF580
chr19	16482208	16482628	KLF2
chr13	100377867	100378410	CLYBL-AS1
chr1	68962580	68963139	DEPDC1
chr2	114361020	114361885	DDX11L2
chr10	135030767	135031199	UTF1
chr14	105877510	105877854	LOC100507437
chr6	32013516	32013933	TNXB
chr1	89593852	89594315	GBP2
chr19	55849945	55851338	SUV420H2
chr11	118965702	118966554	H2AFX
chr17	47647197	47647639	LOC100288866
chr9	129485567	129486088	ZBTB43
chr16	75550933	75551731	CHST5
chr1	85086277	85086742	LINC01461
chr1	247274698	247275599	C1orf229
chr6	167368596	167369053	RNASET2
chr6	29599106	29599437	GABBR1
chr15	63481339	63481844	RAB8B
chr9	90214673	90215025	DAPK1
chr12	6648746	6649438	GAPDH
chr1	28285968	28286889	XKR8
chr2	113032628	113033675	ZC3H6
chr16	46655015	46655463	SHCBP1
chr2	71294953	71296198	NAGK
chr4	132645831	132646619	LOC101927305
chr2	238600829	238601521	LRRFIP1
chr15	74681783	74682332	MIR6881
chr12	69002759	69003202	RAP1B
chr12	5127071	5127594	KCNA5
chr16	66968110	66968627	CES2
chr4	187761909	187762305	FAT1
chr11	59312708	59313185	OR4D9
chrX	53713079	53713865	HUWE1
chr2	152117870	152118728	RBM43
chrX	108869938	108870394	KCNE5
chr6	35521004	35521300	TULP1
chr14	64108216	64109110	WDR89
chr10	38145929	38147458	ZNF248
chr1	156721619	156721937	HDGF
chr15	75287558	75288194	SCAMP5
chr1	76189787	76190611	ACADM
chr1	173399145	173399451	LOC101928673
chr3	14473822	14474299	SLC6A6
chr3	48130126	48130966	MAP4
chr12	52344910	52345715	ACVR1B
chr11	125772750	125773500	PUS3
chr1	113249469	113250127	RHOC
chr6	44011936	44012367	LOC101929705
chr6	31628228	31628903	C6orf47
chr3	158288562	158289295	MLF1
chr22	32026449	32026862	PISD
chr2	202898864	202899407	FZD7
chr12	123236966	123237636	DENR
chr1	1242742	1244612	PUSL1
chr14	53196428	53197029	STYX
chr19	40790544	40791890	AKT2
chr14	102975487	102975827	ANKRD9
chr12	122186441	122187204	TMEM120B
chr14	21979347	21979997	METTL3
chr19	58977966	58979005	ZNF324
chrX	55246380	55247127	PAGE5
chr19	55951687	55952395	SHISA7
chr2	24163012	24164106	UBXN2A
chr12	30988008	30988648	LINC00941
chr17	26361287	26361595	NLK
chr1	45139596	45140491	TMEM53
chr7	65839216	65839514	LINC00174
chr5	178157431	178157914	ZNF354A
chr9	130705938	130706466	DPM2
chr7	4814933	4815516	AP5Z1
chr1	16488796	16489227	EPHA2
chr5	171413782	171414353	FBXW11
chr1	211751822	211752546	SLC30A1
chr19	58330684	58331518	ZNF552
chr5	133861445	133863748	JADE2
chr2	101840170	101840611	CNOT11
chr19	39896906	39898025	ZFP36
chr22	36052311	36053046	APOL6
chr6	107780667	107781162	PDSS2
chr7	139477877	139478361	HIPK2
chr13	77398741	77399069	KCTD12
chr12	123450605	123451176	ABCB9
chr8	125462816	125463441	TRMT12
chr1	165567137	165567802	LOC400794
chr17	56161007	56161501	DYNLL2
chr9	37422247	37423025	GRHPR
chr13	20175820	20176411	LINC00350
chr16	4321202	4322682	TFAP4
chr1	6306244	6306540	HES3
chr3	194353659	194354721	TMEM44
chr11	819291	820349	PNPLA2
chr20	48200294	48200780	PTGIS
chr6	5996873	5997405	NRN1
chr18	45844194	45844608	ZBTB7C
chr16	29313804	29314158	SNX29P2
chr1	3712551	3713311	LRRC47
chr2	231456401	231456928	LOC151475
chr20	25965344	25966166	LOC100134868
chr17	45286122	45286617	MYL4
chr10	13344056	13344755	PHYH
chrY	13328793	13329127	GYG2P1
chr3	17175217	17175604	MIR3714
chr14	24898795	24899806	KHNYN
chr3	49823790	49824603	IP6K1
chr15	45314803	45315641	SORD
chr5	61708051	61709248	IPO11
chr19	46430749	46431451	NANOS2
chr11	77705499	77706405	INTS4
chr12	93834841	93836393	UBE2N
chr11	46615399	46615763	AMBRA1
chr8	12051550	12052460	FAM86B1
chr5	179127207	179127793	CANX
chrX	13416527	13416984	LINC01203
chr4	84838719	84839215	LOC101928978
chr12	25538727	25539582	KRAS
chr4	56719547	56719922	EXOC1
chr1	119529193	119529530	TBX15
chr17	41959000	41959772	MPP2
chr17	78662968	78663515	LOC101928855
chr9	36166464	36166944	CCIN
chr15	55610906	55611463	PIGB
chr10	103557006	103557572	NPM3
chr16	11035957	11036581	DEXI
chr1	151019868	151020513	C1orf56
chr8	28042839	28043232	ELP3
chr5	76011863	76013033	F2R
chr5	34914850	34915924	RAD1
chr1	25908254	25908743	MAN1C1
chr20	1165307	1165624	TMEM74B
chr3	184080713	184081546	POLR2H
chr9	128170736	128171102	GAPVD1
chr4	69215414	69216158	YTHDC1
chr15	95400660	95401171	LOC440311
chr7	50517628	50518495	FIGNL1
chr10	113943468	113943903	GPAM
chr16	57734566	57734949	DRC7
chr2	73297828	73299193	SFXN5
chr18	74204562	74205254	ZNF516
chr15	75417307	75417931	C15orf39
chr19	3500529	3501346	DOHH
chr2	217530443	217530777	IGFBP5
chr17	56381578	56382145	MPO
chr5	126408931	126409435	C5orf63
chr7	105028067	105029430	SRPK2
chr3	53799645	53800198	CHDH
chr12	57852922	57853340	GLI1
chr2	71191848	71192442	ANKRD53
chr19	41034750	41035605	SPTBN4
chr12	120632281	120632578	GCN1
chr1	112297875	112298454	DDX20
chr10	13628773	13629097	PRPF18
chr4	170678753	170679404	C4orf27
chr10	63348560	63348903	C10orf107
chr11	77899352	77900113	KCTD21
chr17	18549056	18549353	TBC1D28
chr3	150582975	150583702	SIAH2
chr1	154244737	154245486	HAX1
chr7	23509932	23511256	IGF2BP3
chr11	92930337	92931568	SLC36A4
chr2	28113048	28114028	BRE
chr9	101017748	101018758	TBC1D2
chr2	26414593	26415026	GAREML
chr10	96161821	96162960	TBC1D12
chr9	35657243	35658744	RMRP
chr7	3340548	3340874	SDK1
chr5	77590115	77591014	AP3B1
chr4	113066537	113067422	C4orf32
chr15	62352204	62353140	VPS13C
chr20	32273622	32274710	E2F1
chr17	72040573	72041069	RPL38
chr1	228401061	228401478	C1orf145
chr17	76373989	76375369	PGS1
chr20	4018596	4019103	RNF24
chr3	11910725	11911206	TAMM41
chr2	74554385	74554848	SLC4A5
chr16	84484940	84485293	TLDC1
chr5	5494762	5495227	ICE1
chr19	56630952	56631466	ZNF787
chr14	52455885	52456538	C14orf166
chr15	91537530	91538400	PRC1
chr19	13262641	13262974	IER2
chr1	28929355	28929735	RAB42
chr15	90358134	90358698	ANPEP
chr5	176789749	176790661	RGS14
chr19	33400141	33400575	SLC7A9
chr16	28081214	28081631	XPO6
chr3	101906196	101906625	LOC152225
chr1	168194897	168195648	SFT2D2
chr9	130624373	130625131	MIR4672
chr5	114631933	114632377	CCDC112
chr7	103815043	103815539	ORC5
chr4	90022851	90023340	TIGD2
chr12	1572303	1572601	LINC00942
chr2	65267689	65268165	CEP68
chr2	46567255	46567607	EPAS1
chr22	42228527	42229702	SREBF2
chr6	30646682	30647210	DHX16
chr15	75591333	75591808	GOLGA6D
chr7	95025466	95025907	PON3
chr14	91891862	91892436	CCDC88C
chr20	23113037	23113461	LINC00656
chr9	126067153	126067524	STRBP
chr2	11269735	11270434	FLJ33534
chr15	78933567	78934009	CHRNB4
chrX	139013322	139013766	MIR505
chr19	7459608	7460426	ARHGEF18
chr11	207068	208091	RIC8A
chr5	82770213	82770748	VCAN
chr10	102821919	102822807	KAZALD1
chr4	57773698	57775134	REST
chr3	49577187	49577692	BSN-AS2
chr21	45595121	45595681	C21orf33
chr3	13936693	13937161	WNT7A
chr16	49867013	49867458	ZNF423
chr9	108544821	108545332	TMEM38B
chr20	20693028	20693865	RALGAPA2
chrX	46404553	46405370	ZNF674-AS1
chr5	148533434	148533827	ABLIM3
chr19	47867437	47867743	DHX34
chr6	150067425	150067805	NUP43
chr17	43678978	43679414	LOC644172
chr19	4584795	4585289	SEMA6B
chr19	33667199	33668796	LRP3
chr4	166128353	166129362	KLHL2
chr6	4018499	4019358	PRPF4B
chr19	2841254	2841792	ZNF555
chr10	5590665	5591107	CALML3-AS1
chr12	298162	298711	LOC101929384
chr5	139525285	139526093	LOC101929719
chr15	33162713	33163073	LOC100131315
chr16	20911719	20912517	LYRM1
chr22	20724795	20725237	ZNF74
chr17	41150057	41150430	RPL27
chr18	19748291	19748668	GATA6-AS1
chr1	117601736	117603000	LOC101929099
chr3	183903341	183904505	ABCF3
chr16	85569259	85569590	GSE1
chr15	63449209	63449921	RPS27L
chr12	108306150	108306802	LOC728739
chr18	46986677	46987415	DYM
chr17	27467484	27467937	MYO18A
chr14	54976266	54976719	CGRRF1
chr16	10479684	10480030	ATF7IP2
chr2	86790091	86791068	CHMP3
chr8	61260223	61260534	LINC01301
chr9	99145913	99146355	SLC35D2
chr4	100867355	100868200	DNAJB14
chr11	34072971	34073366	CAPRIN1
chr10	102289261	102290022	NDUFB8
chr10	104263317	104264096	SUFU
chrX	40033606	40034121	BCOR
chr1	201617809	201618260	NAV1
chr1	752606	753002	FAM87B
chr10	71892142	71892770	AIFM2
chr2	220416125	220417783	MIR3132
chr3	119812798	119814982	GSK3B
chr14	24582984	24584431	DCAF11
chr19	14550759	14551247	PKN1
chr8	146000501	146000976	ZNF34
chr7	5609579	5610037	FSCN1
chr11	35645307	35645691	FJX1
chr19	13387712	13388414	IER2
chr6	42072179	42072500	C6orf132
chr16	68113789	68114397	NFATC3
chr10	75639348	75639791	CAMK2G
chr15	90792503	90792968	TTLL13P
chr17	42296112	42296962	UBTF
chrX	67718234	67718926	YIPF6
chr14	22581295	22581649	OR4E2
chr10	73020536	73020869	UNC5B-AS1
chr11	2028026	2028392	H19
chr4	40579137	40579509	RBM47
chr2	239048154	239048589	KLHL30
chr8	97656876	97657650	CPQ
chr6	111303054	111303446	RPF2
chr3	193720868	193721640	LOC647323
chr16	75861396	75861939	TERF2IP
chr19	6161333	6161980	ACSBG2
chr16	89092456	89092817	ACSF3
chr9	100685855	100686356	C9orf156
chr19	58666100	58666869	ZNF329
chr2	101618088	101619000	RPL31
chr3	171188045	171188438	TNIK
chr9	95639912	95640706	ZNF484
chr3	127348208	127348663	PODXL2
chr11	61249844	61250581	PPP1R32
chr16	30545519	30547562	ZNF747
chr15	22833070	22834088	TUBGCP5
chr19	47917696	47918021	MEIS3
chr8	103424912	103425268	UBR5
chr2	112945211	112945923	FBLN7
chr1	26826666	26827615	HMGN2
chr1	198048662	198048995	NEK7
chr1	151687877	151688203	CELF3
chr19	44123271	44124680	ZNF428
chr1	143467061	143468174	MIR6077
chr8	81034339	81034916	TPD52
chr11	64655285	64655739	MIR192
chr3	36897498	36897894	TRANK1
chr1	24164893	24165277	HMGCL
chr6	52368432	52369249	TRAM2
chr6	28907195	28907707	LINC01556
chr19	19570588	19571017	MIR640
chr5	139027468	139028356	CXXC5
chr1	212754343	212754811	ATF3
chr9	139294039	139294909	SNAPC4
chr15	83518192	83518594	WHAMM
chr1	184355831	184356306	C1orf21
chr10	134266514	134266879	C10orf91
chr4	139936259	139937474	NOCT
chr16	1428964	1430087	UNKL
chr17	15394021	15394377	CDRT4
chr4	73434709	73435343	ADAMTS3
chr19	46173937	46174699	GIPR
chr11	100557462	100558515	ARHGAP42
chr14	64970121	64971812	ZBTB1
chr2	226331524	226332214	NYAP2
chr13	49549559	49550723	FNDC3A
chr4	966444	968009	DGKQ
chr11	10477378	10477785	AMPD3
chr2	170430053	170430751	FASTKD1
chr6	30464259	30464670	HLA-E
chr5	79950062	79950714	MSH3
chr16	66730085	66730428	CMTM4
chr11	18417354	18418361	LDHA
chr15	34875350	34876432	GOLGA8B
chr12	4255696	4256031	CCND2
chrX	106984987	106985866	TSC22D3
chr15	44092634	44092963	HYPK
chr11	12188713	12189375	MIR6124
chr2	30453275	30454725	LBH
chr4	467178	468387	ABCA11P
chr4	980652	981238	IDUA
chr1	234859946	234860623	LINC01132
chr1	993509	995437	RNF223
chr4	83205721	83206457	HNRNPD
chr5	133859838	133860285	JADE2
chr5	133130776	133131139	WSPAR
chr19	1470960	1471271	C19orf25
chr20	2732711	2733388	CPXM1
