PeakID (cmd=annotatePeaks.pl ENCAB000BLK.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_12123	chr20	35202993	35203487	+	0	NA	intron (TGIF2-C20orf24, intron 1 of 4)	-intron (TGIF2, intron 1 of 2)	283	TGIF2-C20orf24	TGIF2-C20orf24	NM_001199535			TGIF2-C20orf24			NA
Interval_2290	chr10	32344256	32345815	+	0	NA	exon (KIF5B, exon 1 of 26)	-exon (KIF5B, exon 1 of 26)	336	KIF5B	KIF5B	NM_004521			KIF5B			NA
Interval_16180	chr6	32939343	32940300	+	0	NA	exon (BRD2, exon 2 of 13)	-exon (BRD2, exon 2 of 13)	3384	BRD2	BRD2	NM_001113182_6			BRD2			NA
Interval_9899	chr19	36822403	36822960	+	0	NA	promoter-TSS (LINC00665)	-promoter-TSS (LINC00665)	-61	LINC00665	LINC00665	NR_038279			LINC00665			NA
Interval_2380	chr10	51572155	51572697	+	0	NA	promoter-TSS (NCOA4)	-promoter-TSS (NCOA4)	62	NCOA4	NCOA4	NM_005437			NCOA4			NA
Interval_6581	chr16	1020343	1021479	+	0	NA	promoter-TSS (LMF1)	-promoter-TSS (LMF1)	10407	LMF1	LMF1	NR_033645			LMF1			NA
Interval_9030	chr19	459610	460454	+	0	NA	intron (SHC2, intron 1 of 12)	-intron (SHC2, intron 1 of 12)	964	SHC2	SHC2	NM_012435			SHC2			NA
Interval_5780	chr14	102592883	102593217	+	0	NA	intron (HSP90AA1, intron 1 of 11)	-intron (HSP90AA1, intron 1 of 11)	-13139	WDR20	WDR20	NM_001242416			WDR20			NA
Interval_11626	chr2	202315952	202317082	+	0	NA	promoter-TSS (TRAK2)	-promoter-TSS (TRAK2)	125	STRADB	STRADB	NM_018571			STRADB			NA
Interval_17368	chr7	75114967	75115997	+	0	NA	promoter-TSS (POM121C)	-promoter-TSS (POM121C)	83	POM121C	POM121C	NM_001099415			POM121C			NA
Interval_12914	chr22	29811164	29811677	+	0	NA	Intergenic	Intergenic	-23152	RFPL1	RFPL1	NM_021026			RFPL1			NA
Interval_6822	chr16	18347043	18347360	+	0	NA	Intergenic	Intergenic	79318	NPIPA7	NPIPA7	NM_001282507_1			NPIPA7			NA
Interval_9636	chr19	17346143	17346903	+	0	NA	exon (NR2F6, exon 3 of 4)	-exon (NR2F6, exon 3 of 4)	9510	OCEL1	OCEL1	NM_024578			OCEL1			NA
Interval_10754	chr2	27309140	27310046	+	0	NA	promoter-TSS (KHK)	-promoter-TSS (KHK)	-18	KHK	KHK	NM_006488			KHK			NA
Interval_4576	chr12	80775930	80776459	+	0	NA	Intergenic	Intergenic	-61932	PTPRQ	PTPRQ	NM_001145026			PTPRQ			NA
Interval_3743	chr11	78128916	78129380	+	0	NA	promoter-TSS (GAB2)	-promoter-TSS (GAB2)	-280	GAB2	GAB2	NM_080491			GAB2			NA
Interval_2758	chr10	105156162	105156623	+	0	NA	promoter-TSS (USMG5)	-promoter-TSS (USMG5)	-20	PDCD11	PDCD11	NM_014976			PDCD11			NA
Interval_5924	chr15	32933926	32934271	+	0	NA	intron (SCG5, intron 1 of 5)	-intron (SCG5, intron 1 of 5)	228	SCG5	SCG5	NM_003020			SCG5			NA
Interval_5140	chr13	51796062	51796463	+	0	NA	promoter-TSS (FAM124A)	-promoter-TSS (FAM124A)	-208	FAM124A	FAM124A	NM_001242312			FAM124A			NA
Interval_1023	chr1	90228410	90229151	+	0	NA	Intergenic	Intergenic	-58700	LRRC8D	LRRC8D	NM_018103			LRRC8D			NA
Interval_16806	chr6	158125510	158125888	+	0	NA	Intergenic	Intergenic	-118504	SNX9	SNX9	NM_016224			SNX9			NA
Interval_9552	chr19	13952041	13952409	+	0	NA	Intergenic	Intergenic	-4752	MIR23A	MIR23A	NR_029495			MIR23A			NA
Interval_8698	chr17	80419632	80420094	+	0	NA	intron (NARF, intron 2 of 9)	-intron (NARF, intron 2 of 10)	3323	NARF	NARF	NM_001083608			NARF			NA
Interval_19934	chrX	135527945	135528540	+	0	NA	Intergenic	Intergenic	-41883	BRS3	BRS3	NM_001727			BRS3			NA
Interval_250	chr1	11968783	11969266	+	0	NA	Intergenic	Intergenic	17461	KIAA2013	KIAA2013	NM_138346			KIAA2013			NA
Interval_11589	chr2	197036074	197036526	+	0	NA	promoter-TSS (STK17B)	-promoter-TSS (STK17B)	36	STK17B	STK17B	NM_004226			STK17B			NA
Interval_12598	chr21	44630134	44630649	+	0	NA	Intergenic	Intergenic	41273	CRYAA	CRYAA	NM_000394			CRYAA			NA
Interval_18863	chr9	77385765	77386243	+	0	NA	intron (TRPM6, intron 25 of 38)	-intron (TRPM6, intron 25 of 38)	117006	TRPM6	TRPM6	NM_017662			TRPM6			NA
Interval_16302	chr6	38670706	38671361	+	0	NA	promoter-TSS (GLO1)	-promoter-TSS (GLO1)	-81	GLO1	GLO1	NM_006708			GLO1			NA
Interval_12038	chr20	30192000	30192330	+	0	NA	promoter-TSS (ID1)	-promoter-TSS (ID1)	-921	ID1	ID1	NM_002165			ID1			NA
Interval_765	chr1	43824091	43824689	+	0	NA	promoter-TSS (CDC20)	-promoter-TSS (CDC20)	-236	CDC20	CDC20	NM_001255			CDC20			NA
Interval_15602	chr5	157158405	157159067	+	0	NA	intron (THG1L, intron 1 of 5)	-intron (THG1L, intron 1 of 5)	413	THG1L	THG1L	NM_017872			THG1L			NA
Interval_2569	chr10	80938460	80938882	+	0	NA	intron (ZMIZ1, intron 4 of 24)	-intron (ZMIZ1, intron 4 of 24)	109879	ZMIZ1	ZMIZ1	NM_020338			ZMIZ1			NA
Interval_7739	chr17	15861734	15862305	+	0	NA	intron (ADORA2B, intron 1 of 1)	-intron (ADORA2B, intron 1 of 1)	13788	ADORA2B	ADORA2B	NM_000676			ADORA2B			NA
Interval_13894	chr3	128880047	128880832	+	0	NA	promoter-TSS (ISY1)	-promoter-TSS (ISY1)	-366	ISY1	ISY1	NM_020701			ISY1			NA
Interval_5832	chr14	105281695	105282857	+	0	NA	Intergenic	Intergenic	-5262	LINC00638	LINC00638	NR_024396			LINC00638			NA
Interval_6273	chr15	74838410	74839019	+	0	NA	intron (ARID3B, intron 2 of 8)	-intron (ARID3B, intron 2 of 8)	5196	ARID3B	ARID3B	NM_001307939			ARID3B			NA
Interval_4277	chr12	48226656	48227302	+	0	NA	Intergenic	Intergenic	-13216	HDAC7	HDAC7	NM_001308090			HDAC7			NA
Interval_11584	chr2	192710975	192711456	+	0	NA	exon (SDPR, exon 1 of 2)	-exon (SDPR, exon 1 of 2)	791	SDPR	SDPR	NM_004657			SDPR			NA
Interval_11624	chr2	201990275	201990620	+	0	NA	intron (CFLAR, intron 1 of 9)	-intron (CFLAR, intron 1 of 9)	9570	CFLAR	CFLAR	NM_003879			CFLAR			NA
Interval_18422	chr8	103093574	103094147	+	0	NA	intron (NCALD, intron 1 of 7)	-intron (NCALD, intron 1 of 7)	-43800	MIR5680	MIR5680	NR_049859			MIR5680			NA
Interval_16410	chr6	44756022	44756372	+	0	NA	Intergenic	Intergenic	352819	MIR4642	MIR4642	NR_039785			MIR4642			NA
Interval_17115	chr7	30978054	30978823	+	0	NA	Intergenic	Intergenic	-25198	GHRHR	GHRHR	NM_000823			GHRHR			NA
Interval_10221	chr19	47775764	47776286	+	0	NA	TTS (CCDC9)	-TTS (CCDC9)	-1634	INAFM1	INAFM1	NM_178511			INAFM1			NA
Interval_13120	chr22	42342253	42343408	+	0	NA	promoter-TSS (CENPM)	-promoter-TSS (CENPM)	338	CENPM	CENPM	NM_024053			CENPM			NA
Interval_13494	chr3	45175380	45175677	+	0	NA	intron (CDCP1, intron 1 of 3)	-intron (CDCP1, intron 1 of 8)	12386	CDCP1	CDCP1	NM_022842			CDCP1			NA
Interval_13049	chr22	39189986	39190363	+	0	NA	promoter-TSS (DNAL4)	-promoter-TSS (DNAL4)	-13	DNAL4	DNAL4	NM_005740			DNAL4			NA
Interval_11491	chr2	172779637	172780121	+	0	NA	intron (HAT1, intron 1 of 9)	-intron (HAT1, intron 1 of 10)	944	HAT1	HAT1	NM_003642			HAT1			NA
Interval_7136	chr16	58535127	58535635	+	0	NA	intron (NDRG4, intron 2 of 14)	-intron (NDRG4, intron 3 of 15)	1334	NDRG4	NDRG4	NM_001242835			NDRG4			NA
Interval_6919	chr16	29335024	29335414	+	0	NA	intron (SNX29P2, intron 3 of 8)	-intron (SNX29P2, intron 3 of 8)	21611	SNX29P2	SNX29P2	NR_002939			SNX29P2			NA
Interval_3010	chr11	2399225	2399560	+	0	NA	promoter-TSS (CD81-AS1)	-promoter-TSS (CD81-AS1)	-170	CD81-AS1	CD81-AS1	NR_108080			CD81-AS1			NA
Interval_13278	chr3	10050576	10050992	+	0	NA	intron (LOC401052, intron 2 of 3)	-intron (LOC401052, intron 2 of 3)	1995	LOC401052	LOC401052	NM_001008737			LOC401052			NA
Interval_6687	chr16	3413877	3414192	+	0	NA	Intergenic	Intergenic	8145	OR2C1	OR2C1	NM_012368			OR2C1			NA
Interval_14095	chr3	180598908	180599364	+	0	NA	Intergenic	Intergenic	-11170	LOC101928882	LOC101928882	NR_109986			LOC101928882			NA
Interval_9208	chr19	3642795	3643457	+	0	NA	intron (PIP5K1C, intron 13 of 17)	-intron (PIP5K1C, intron 13 of 16)	-16313	CACTIN	CACTIN	NM_001080543			CACTIN			NA
Interval_1839	chr1	212874341	212874912	+	0	NA	Intergenic	Intergenic	-1299	BATF3	BATF3	NM_018664			BATF3			NA
Interval_15985	chr6	25992071	25993737	+	0	NA	Intergenic	Intergenic	25136	HIST1H1A	HIST1H1A	NM_005325			HIST1H1A			NA
Interval_6986	chr16	31084563	31086329	+	0	NA	promoter-TSS (ZNF668)	-promoter-TSS (ZNF668)	195	ZNF668	ZNF668	NM_024706			ZNF668			NA
Interval_17423	chr7	89967299	89967790	+	0	NA	exon (LOC101927446, exon 3 of 6)	-exon (LOC101927446, exon 3 of 6)	3007	LOC101927446	LOC101927446	NR_110085			LOC101927446			NA
Interval_1698	chr1	202779737	202780870	+	0	NA	exon (PCAT6, exon 1 of 2)	-exon (PCAT6, exon 1 of 2)	229	PCAT6	PCAT6	NR_046326			PCAT6			NA
Interval_801	chr1	45731789	45732215	+	0	NA	Intergenic	Intergenic	-37580	LINC01144	LINC01144	NR_024270			LINC01144			NA
Interval_1500	chr1	165362268	165362711	+	0	NA	Intergenic	Intergenic	-36537	LMX1A	LMX1A	NM_177398			LMX1A			NA
Interval_16250	chr6	35762287	35762930	+	0	NA	TTS (CLPS)	-TTS (CLPS)	2513	CLPS	CLPS	NM_001832			CLPS			NA
Interval_10327	chr19	50144805	50145623	+	0	NA	promoter-TSS (SCAF1)	-promoter-TSS (SCAF1)	-168	SCAF1	SCAF1	NM_021228			SCAF1			NA
Interval_15752	chr5	179245718	179246194	+	0	NA	intron (SQSTM1, intron 2 of 8)	-intron (SQSTM1, intron 2 of 8)	-1886	SQSTM1	SQSTM1	NM_001142298			SQSTM1			NA
Interval_17447	chr7	95064058	95064646	+	0	NA	promoter-TSS (PON2)	-promoter-TSS (PON2)	32	PON2	PON2	NM_000305			PON2			NA
Interval_15151	chr5	65018864	65019181	+	0	NA	intron (NLN, intron 1 of 12)	-intron (NLN, intron 1 of 12)	999	NLN	NLN	NM_020726			NLN			NA
Interval_11454	chr2	164846563	164846992	+	0	NA	Intergenic	Intergenic	-254264	FIGN	FIGN	NM_018086			FIGN			NA
Interval_2033	chr1	238027693	238027996	+	0	NA	intron (LOC100130331, intron 2 of 11)	-intron (LOC100130331, intron 2 of 11)	2369	LOC100130331	LOC100130331	NR_027247			LOC100130331			NA
Interval_18551	chr8	142318271	142318583	+	0	NA	Intergenic	Intergenic	-32221	LINC01300	LINC01300	NR_024441			LINC01300			NA
Interval_2216	chr10	18947994	18948818	+	0	NA	promoter-TSS (ARL5B)	-promoter-TSS (ARL5B)	93	ARL5B	ARL5B	NM_178815			ARL5B			NA
Interval_19106	chr9	122949858	122950518	+	0	NA	Intergenic	Intergenic	57140	MIR147A	MIR147A	NR_029604			MIR147A			NA
Interval_4329	chr12	50262750	50263189	+	0	NA	exon (FAIM2, exon 12 of 12)	-exon (FAIM2, exon 12 of 12)	-26057	BCDIN3D	BCDIN3D	NM_181708			BCDIN3D			NA
Interval_17094	chr7	26903818	26904789	+	0	NA	promoter-TSS (SKAP2)	-promoter-TSS (SKAP2)	59	SKAP2	SKAP2	NM_003930			SKAP2			NA
Interval_1595	chr1	181875624	181876249	+	0	NA	Intergenic	Intergenic	154911	ZNF648	ZNF648	NM_001009992			ZNF648			NA
Interval_15074	chr5	38660317	38660740	+	0	NA	intron (LIFR-AS1, intron 8 of 8)	-intron (LIFR-AS1, intron 8 of 8)	59847	LINC01265	LINC01265	NR_104631			LINC01265			NA
Interval_10476	chr19	55470437	55470788	+	0	NA	TTS (RNU6-35P)	-TTS (RNU6-35P)	430	RNU6-35P	RNU6-35P	NR_046493			RNU6-35P			NA
Interval_12757	chr22	19868612	19869175	+	0	NA	intron (TXNRD2, intron 12 of 17)	-intron (TXNRD2, intron 12 of 17)	-26431	GNB1L	GNB1L	NM_053004			GNB1L			NA
Interval_15209	chr5	76114461	76115036	+	0	NA	promoter-TSS (F2RL1)	-promoter-TSS (F2RL1)	-85	F2RL1	F2RL1	NM_005242			F2RL1			NA
Interval_8624	chr17	78865657	78866151	+	0	NA	intron (RPTOR, intron 18 of 33)	-intron (RPTOR, intron 14 of 29)	-86472	LOC101928855	LOC101928855	NR_110852			LOC101928855			NA
Interval_18588	chr8	144467377	144467886	+	0	NA	Intergenic	Intergenic	16606	RHPN1	RHPN1	NM_052924			RHPN1			NA
Interval_9678	chr19	18053361	18053886	+	0	NA	exon (CCDC124, exon 3 of 5)	-exon (CCDC124, exon 3 of 5)	7718	CCDC124	CCDC124	NM_138442			CCDC124			NA
Interval_4980	chr13	21750149	21751441	+	0	NA	promoter-TSS (SKA3)	-promoter-TSS (SKA3)	-54	SKA3	SKA3	NM_145061			SKA3			NA
Interval_4921	chr12	131812080	131812585	+	0	NA	Intergenic	Intergenic	-19683	LOC338797	LOC338797	NR_103736			LOC338797			NA
Interval_7270	chr16	74729802	74730192	+	0	NA	intron (MLKL, intron 1 of 10)	-intron (MLKL, intron 1 of 5)	4792	MLKL	MLKL	NM_001142497			MLKL			NA
Interval_7155	chr16	67047776	67048395	+	0	NA	Intergenic	Intergenic	-14965	CBFB	CBFB	NM_022845			CBFB			NA
Interval_18599	chr8	144661687	144662144	+	0	NA	TTS (EEF1D)	-TTS (EEF1D)	-1394	NAPRT	NAPRT	NM_145201			NAPRT			NA
Interval_10356	chr19	50676524	50676902	+	0	NA	Intergenic	Intergenic	-10175	IZUMO2	IZUMO2	NM_152358			IZUMO2			NA
Interval_18987	chr9	99185942	99186642	+	0	NA	Intergenic	Intergenic	-5623	ZNF367	ZNF367	NM_153695			ZNF367			NA
Interval_5269	chr13	114085591	114086021	+	0	NA	intron (ADPRHL1, intron 3 of 6)	-intron (ADPRHL1, intron 3 of 6)	-17098	LOC101928841	LOC101928841	NM_001304433			LOC101928841			NA
Interval_516	chr1	27481617	27482079	+	0	NA	promoter-TSS (SLC9A1)	-promoter-TSS (SLC9A1)	-227	SLC9A1	SLC9A1	NM_003047			SLC9A1			NA
Interval_19242	chr9	131464750	131465124	+	0	NA	exon (PKN3, exon 1 of 22)	-exon (PKN3, exon 1 of 22)	135	PKN3	PKN3	NM_013355			PKN3			NA
Interval_17316	chr7	72321390	72321755	+	0	NA	Intergenic	Intergenic	18084	SPDYE7P	SPDYE7P	NR_003666			SPDYE7P			NA
Interval_2277	chr10	30725945	30726768	+	0	NA	intron (MAP3K8, intron 2 of 8)	-intron (MAP3K8, intron 1 of 7)	3406	MAP3K8	MAP3K8	NM_005204			MAP3K8			NA
Interval_5945	chr15	35280117	35281211	+	0	NA	promoter-TSS (ZNF770)	-promoter-TSS (ZNF770)	-167	ZNF770	ZNF770	NM_014106			ZNF770			NA
Interval_8155	chr17	43227225	43227785	+	0	NA	exon (HEXIM1, exon 1 of 1)	-exon (HEXIM1, exon 1 of 1)	2821	HEXIM1	HEXIM1	NM_006460			HEXIM1			NA
Interval_8076	chr17	40463513	40464989	+	0	NA	TTS (STAT5A)	-TTS (STAT5A)	24686	STAT5A	STAT5A	NM_001288718			STAT5A			NA
Interval_5591	chr14	73084281	73084870	+	0	NA	Intergenic	Intergenic	101047	MIR7843	MIR7843	NR_106994			MIR7843			NA
Interval_6515	chr15	100273324	100274026	+	0	NA	promoter-TSS (LYSMD4)	-promoter-TSS (LYSMD4)	-26	LYSMD4	LYSMD4	NM_001284420			LYSMD4			NA
Interval_15179	chr5	70751432	70751821	+	0	NA	exon (BDP1, exon 1 of 39)	-exon (BDP1, exon 1 of 39)	184	BDP1	BDP1	NM_018429			BDP1			NA
Interval_12621	chr21	45433751	45434851	+	0	NA	intron (TRAPPC10, intron 1 of 22)	-intron (TRAPPC10, intron 1 of 22)	2095	TRAPPC10	TRAPPC10	NM_003274			TRAPPC10			NA
Interval_14259	chr3	197517696	197518763	+	0	NA	exon (LRCH3, exon 1 of 19)	-exon (LRCH3, exon 1 of 19)	132	LRCH3	LRCH3	NM_032773			LRCH3			NA
Interval_17680	chr7	127983627	127984103	+	0	NA	promoter-TSS (RBM28)	-promoter-TSS (RBM28)	97	RBM28	RBM28	NM_018077			RBM28			NA
Interval_3822	chr11	107328359	107328966	+	0	NA	promoter-TSS (CWF19L2)	-promoter-TSS (CWF19L2)	-90	CWF19L2	CWF19L2	NM_152434			CWF19L2			NA
Interval_19867	chrX	118826197	118826789	+	0	NA	intron (SEPT6, intron 1 of 9)	-intron (SEPT6, intron 1 of 9)	840	SEPT6	SEPT6	NM_145800			SEPT6			NA
Interval_9607	chr19	16186730	16187659	+	0	NA	promoter-TSS (TPM4)	-promoter-TSS (TPM4)	59	TPM4	TPM4	NM_001145160			TPM4			NA
Interval_16726	chr6	146055694	146056843	+	0	NA	intron (LOC100507557, intron 1 of 2)	-intron (EPM2A, intron 1 of 4)	263	LOC100507557	LOC100507557	NR_038244			LOC100507557			NA
Interval_12967	chr22	35746767	35747311	+	0	NA	Intergenic	Intergenic	-14247	MIR6069	MIR6069	NR_106717			MIR6069			NA
Interval_13170	chr22	46312034	46312435	+	0	NA	Intergenic	Intergenic	60774	WNT7B	WNT7B	NM_058238			WNT7B			NA
Interval_11873	chr20	278708	279217	+	0	NA	exon (ZCCHC3, exon 1 of 1)	-exon (ZCCHC3, exon 1 of 1)	758	ZCCHC3	ZCCHC3	NM_033089			ZCCHC3			NA
Interval_3146	chr11	17410388	17410685	+	0	NA	promoter-TSS (KCNJ11)	-promoter-TSS (KCNJ11)	342	KCNJ11	KCNJ11	NM_001166290			KCNJ11			NA
Interval_10433	chr19	53289776	53290333	+	0	NA	promoter-TSS (ZNF600)	-promoter-TSS (ZNF600)	-20	ZNF600	ZNF600	NM_198457			ZNF600			NA
Interval_6083	chr15	51369618	51370274	+	0	NA	intron (TNFAIP8L3, intron 2 of 2)	-intron (TNFAIP8L3, intron 2 of 2)	27527	TNFAIP8L3	TNFAIP8L3	NM_207381			TNFAIP8L3			NA
Interval_18290	chr8	67579115	67579978	+	0	NA	promoter-TSS (C8orf44-SGK3)	-promoter-TSS (C8orf44-SGK3)	-94	VCPIP1	VCPIP1	NM_025054			VCPIP1			NA
Interval_14560	chr4	68166177	68166520	+	0	NA	Intergenic	Intergenic	121370	LOC101927237	LOC101927237	NR_110747			LOC101927237			NA
Interval_12711	chr22	17652140	17653116	+	0	NA	Intergenic	Intergenic	12349	CECR5-AS1	CECR5-AS1	NR_024483			CECR5-AS1			NA
Interval_8094	chr17	40950464	40950945	+	0	NA	promoter-TSS (COA3)	-promoter-TSS (COA3)	39	COA3	COA3	NM_001040431			COA3			NA
Interval_1596	chr1	181998389	181999413	+	0	NA	Intergenic	Intergenic	31946	ZNF648	ZNF648	NM_001009992			ZNF648			NA
Interval_16920	chr7	1215703	1216128	+	0	NA	Intergenic	Intergenic	15494	LOC101927021	LOC101927021	NR_110065			LOC101927021			NA
Interval_15652	chr5	172297988	172298291	+	0	NA	intron (ERGIC1, intron 1 of 9)	-intron (ERGIC1, intron 1 of 9)	36916	ERGIC1	ERGIC1	NM_001031711			ERGIC1			NA
Interval_17317	chr7	72349468	72350447	+	0	NA	promoter-TSS (POM121)	-promoter-TSS (POM121)	-10301	SPDYE7P	SPDYE7P	NR_003666			SPDYE7P			NA
Interval_9226	chr19	4172824	4173211	+	0	NA	TTS (CREB3L3)	-TTS (CREB3L3)	9579	SIRT6	SIRT6	NM_001193285			SIRT6			NA
Interval_18283	chr8	66556206	66557797	+	0	NA	exon (MTFR1, exon 1 of 7)	-exon (MTFR1, exon 1 of 7)	113	MTFR1	MTFR1	NM_001145838			MTFR1			NA
Interval_17073	chr7	24796729	24797592	+	0	NA	promoter-TSS (DFNA5)	-promoter-TSS (DFNA5)	479	DFNA5	DFNA5	NM_001127454			DFNA5			NA
Interval_13795	chr3	112513492	112513905	+	0	NA	Intergenic	Intergenic	-45532	LOC101929694	LOC101929694	NR_110017			LOC101929694			NA
Interval_9379	chr19	8942694	8943697	+	0	NA	promoter-TSS (ZNF558)	-promoter-TSS (ZNF558)	-215	ZNF558	ZNF558	NM_144693			ZNF558			NA
Interval_9877	chr19	36334804	36335289	+	0	NA	exon (NPHS1, exon 16 of 29)	-exon (NPHS1, exon 16 of 29)	7849	NPHS1	NPHS1	NM_004646			NPHS1			NA
Interval_16121	chr6	30655103	30655477	+	0	NA	promoter-TSS (PPP1R18)	-promoter-TSS (PPP1R18)	382	PPP1R18	PPP1R18	NM_001134870_7			PPP1R18			NA
Interval_8794	chr18	12038877	12039434	+	0	NA	Intergenic	Intergenic	-54693	ANKRD62	ANKRD62	NM_001277333			ANKRD62			NA
Interval_638	chr1	33815663	33816301	+	0	NA	promoter-TSS (PHC2)	-promoter-TSS (PHC2)	29	LOC101929464	LOC101929464	NR_125978			LOC101929464			NA
Interval_605	chr1	32421576	32421892	+	0	NA	Intergenic	Intergenic	-17746	PTP4A2	PTP4A2	NM_080391			PTP4A2			NA
Interval_18398	chr8	99837493	99837898	+	0	NA	intron (STK3, intron 3 of 12)	-intron (STK3, intron 3 of 12)	214	STK3	STK3	NM_001256312			STK3			NA
Interval_8922	chr18	47833930	47834701	+	0	NA	Intergenic	Intergenic	-19623	CXXC1	CXXC1	NM_001101654			CXXC1			NA
Interval_1984	chr1	233085890	233086675	+	0	NA	promoter-TSS (NTPCR)	-promoter-TSS (NTPCR)	-88	NTPCR	NTPCR	NM_032324			NTPCR			NA
Interval_5597	chr14	73603507	73603846	+	0	NA	intron (PSEN1, intron 1 of 11)	-intron (PSEN1, intron 1 of 11)	533	PSEN1	PSEN1	NM_000021			PSEN1			NA
Interval_12017	chr20	25677064	25677906	+	0	NA	promoter-TSS (ZNF337)	-promoter-TSS (ZNF337)	55	ZNF337	ZNF337	NM_015655			ZNF337			NA
Interval_17332	chr7	72976509	72977068	+	0	NA	Intergenic	Intergenic	-5186	BCL7B	BCL7B	NM_001197244			BCL7B			NA
Interval_2428	chr10	69644141	69645299	+	0	NA	promoter-TSS (SIRT1)	-promoter-TSS (SIRT1)	293	SIRT1	SIRT1	NM_001142498			SIRT1			NA
Interval_12053	chr20	30795136	30795964	+	0	NA	promoter-TSS (PLAGL2)	-promoter-TSS (PLAGL2)	-4	PLAGL2	PLAGL2	NM_002657			PLAGL2			NA
Interval_9659	chr19	17633891	17634415	+	0	NA	promoter-TSS (FAM129C)	-promoter-TSS (FAM129C)	43	FAM129C	FAM129C	NM_173544			FAM129C			NA
Interval_5125	chr13	50178581	50179080	+	0	NA	Intergenic	Intergenic	-19111	RCBTB1	RCBTB1	NM_018191			RCBTB1			NA
Interval_16577	chr6	109703273	109704470	+	0	NA	promoter-TSS (CD164)	-promoter-TSS (CD164)	-109	CD164	CD164	NM_006016			CD164			NA
Interval_780	chr1	44457092	44457621	+	0	NA	promoter-TSS (CCDC24)	-promoter-TSS (CCDC24)	76	CCDC24	CCDC24	NM_152499			CCDC24			NA
Interval_6933	chr16	29836481	29837012	+	0	NA	intron (MVP, intron 1 of 14)	-intron (MVP, intron 1 of 14)	5031	MVP	MVP	NM_001293204			MVP			NA
Interval_12204	chr20	43935068	43935511	+	0	NA	promoter-TSS (RBPJL)	-promoter-TSS (RBPJL)	-194	RBPJL	RBPJL	NM_014276			RBPJL			NA
Interval_5105	chr13	46626466	46627212	+	0	NA	promoter-TSS (ZC3H13)	-promoter-TSS (ZC3H13)	57	ZC3H13	ZC3H13	NM_015070			ZC3H13			NA
Interval_14392	chr4	7104831	7105637	+	0	NA	promoter-TSS (FLJ36777)	-promoter-TSS (FLJ36777)	-131	FLJ36777	FLJ36777	NR_027441			FLJ36777			NA
Interval_7254	chr16	71648711	71649283	+	0	NA	Intergenic	Intergenic	-11059	MARVELD3	MARVELD3	NM_001017967			MARVELD3			NA
Interval_13339	chr3	14988547	14990610	+	0	NA	promoter-TSS (FGD5-AS1)	-promoter-TSS (FGD5-AS1)	-178	FGD5-AS1	FGD5-AS1	NR_046251			FGD5-AS1			NA
Interval_2905	chr10	134141488	134141872	+	0	NA	Intergenic	Intergenic	-8931	LRRC27	LRRC27	NM_030626			LRRC27			NA
Interval_16212	chr6	33955197	33955798	+	0	NA	Intergenic	Intergenic	12331	MIR1275	MIR1275	NR_031681			MIR1275			NA
Interval_16320	chr6	41701740	41702296	+	0	NA	intron (TFEB, intron 1 of 9)	-intron (TFEB, intron 1 of 8)	780	TFEB	TFEB	NM_001167827			TFEB			NA
Interval_19213	chr9	130856640	130857142	+	0	NA	intron (SLC25A25, intron 1 of 10)	-intron (SLC25A25, intron 1 of 9)	-3870	SLC25A25	SLC25A25	NM_001265614			SLC25A25			NA
Interval_8007	chr17	37607303	37607863	+	0	NA	promoter-TSS (MED1)	-promoter-TSS (MED1)	-56	MED1	MED1	NM_004774			MED1			NA
Interval_15540	chr5	145826389	145826776	+	0	NA	promoter-TSS (TCERG1)	-promoter-TSS (TCERG1)	-291	TCERG1	TCERG1	NM_001040006			TCERG1			NA
Interval_1905	chr1	226593081	226593486	+	0	NA	intron (PARP1, intron 1 of 22)	-intron (PARP1, intron 1 of 22)	2518	PARP1	PARP1	NM_001618			PARP1			NA
Interval_14421	chr4	10118178	10118978	+	0	NA	promoter-TSS (WDR1)	-promoter-TSS (WDR1)	-5	WDR1	WDR1	NM_017491			WDR1			NA
Interval_4426	chr12	55282210	55282641	+	0	NA	Intergenic	Intergenic	34126	MUCL1	MUCL1	NM_058173			MUCL1			NA
Interval_14420	chr4	10098172	10098571	+	0	NA	intron (WDR1, intron 2 of 11)	-intron (WDR1, intron 2 of 11)	-18055	MIR3138	MIR3138	NR_036090			MIR3138			NA
Interval_11313	chr2	127729497	127729933	+	0	NA	Intergenic	Intergenic	135188	BIN1	BIN1	NM_004305			BIN1			NA
Interval_8085	chr17	40729607	40730230	+	0	NA	promoter-TSS (PSMC3IP)	-promoter-TSS (PSMC3IP)	-184	PSMC3IP	PSMC3IP	NM_016556			PSMC3IP			NA
Interval_5841	chr14	105553013	105554470	+	0	NA	Intergenic	Intergenic	-6743	LOC102723354	LOC102723354	NR_110546			LOC102723354			NA
Interval_19955	chrX	149268813	149269244	+	0	NA	Intergenic	Intergenic	-127211	MIR2114	MIR2114	NR_031748			MIR2114			NA
