PeakID (cmd=annotatePeaks.pl ENCAB000AIL.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_8211	chr2	55496319	55496607	+	0	NA	promoter-TSS (MTIF2)	-promoter-TSS (MTIF2)	-79	MTIF2	MTIF2	NM_002453			MTIF2			NA
Interval_7156	chr19	12792071	12792351	+	0	NA	promoter-TSS (DHPS)	-promoter-TSS (DHPS)	490	DHPS	DHPS	NM_001930			DHPS			NA
Interval_3643	chr13	50018423	50018593	+	0	NA	promoter-TSS (CAB39L)	-promoter-TSS (CAB39L)	79	SETDB2	SETDB2	NM_031915			SETDB2			NA
Interval_4441	chr15	49913038	49913362	+	0	NA	promoter-TSS (DTWD1)	-promoter-TSS (DTWD1)	-26	DTWD1	DTWD1	NM_001144955			DTWD1			NA
Interval_5949	chr17	35849023	35849144	+	0	NA	promoter-TSS (DUSP14)	-promoter-TSS (DUSP14)	-868	DUSP14	DUSP14	NM_007026			DUSP14			NA
Interval_2601	chr11	94800244	94800378	+	0	NA	exon (SRSF8, exon 1 of 1)	-exon (SRSF8, exon 1 of 1)	270	SRSF8	SRSF8	NR_103726			SRSF8			NA
Interval_2864	chr12	12877931	12878059	+	0	NA	promoter-TSS (APOLD1)	-promoter-TSS (APOLD1)	7791	CDKN1B	CDKN1B	NM_004064			CDKN1B			NA
Interval_14040	chr9	19230444	19230843	+	0	NA	promoter-TSS (DENND4C)	-promoter-TSS (DENND4C)	-120	DENND4C	DENND4C	NM_017925			DENND4C			NA
Interval_8301	chr2	70520474	70520787	+	0	NA	intron (SNRPG, intron 1 of 3)	-intron (SNRPG, intron 1 of 3)	239	SNRPG	SNRPG	NM_003096			SNRPG			NA
Interval_6634	chr18	31939049	31939233	+	0	NA	Intergenic	Intergenic	-135626	NOL4	NOL4	NM_003787			NOL4			NA
Interval_5739	chr17	8093456	8093617	+	0	NA	promoter-TSS (C17orf59)	-promoter-TSS (C17orf59)	28	C17orf59	C17orf59	NM_017622			C17orf59			NA
Interval_1131	chr1	202585198	202585329	+	0	NA	intron (SYT2, intron 1 of 8)	-intron (SYT2, intron 1 of 8)	94288	SYT2	SYT2	NM_177402			SYT2			NA
Interval_3579	chr13	37393320	37393471	+	0	NA	promoter-TSS (RFXAP)	-promoter-TSS (RFXAP)	56	RFXAP	RFXAP	NM_000538			RFXAP			NA
Interval_13669	chr8	72755981	72756255	+	0	NA	promoter-TSS (MSC-AS1)	-promoter-TSS (MSC-AS1)	613	MSC	MSC	NM_005098			MSC			NA
Interval_10973	chr4	48271097	48271253	+	0	NA	intron (TEC, intron 1 of 17)	-intron (TEC, intron 1 of 17)	639	TEC	TEC	NM_003215			TEC			NA
Interval_6562	chr18	3450559	3450881	+	0	NA	promoter-TSS (TGIF1)	-promoter-TSS (TGIF1)	-15528	GAPLINC	GAPLINC	NR_110429			GAPLINC			NA
Interval_7340	chr19	18942584	18942821	+	0	NA	promoter-TSS (UPF1)	-promoter-TSS (UPF1)	-42	UPF1	UPF1	NM_001297549			UPF1			NA
Interval_6756	chr18	77220480	77220774	+	0	NA	intron (NFATC1, intron 6 of 7)	-intron (NFATC1, intron 6 of 9)	64855	NFATC1	NFATC1	NM_172387			NFATC1			NA
Interval_3009	chr12	53400930	53401104	+	0	NA	intron (EIF4B, intron 1 of 14)	-intron (EIF4B, intron 1 of 14)	975	EIF4B	EIF4B	NM_001417			EIF4B			NA
Interval_8774	chr2	207630268	207630469	+	0	NA	promoter-TSS (MDH1B)	-promoter-TSS (MDH1B)	-95	MDH1B	MDH1B	NM_001282940			MDH1B			NA
Interval_9914	chr22	42665946	42666086	+	0	NA	exon (OGFRP1, exon 1 of 2)	-exon (OGFRP1, exon 1 of 2)	257	OGFRP1	OGFRP1	NR_036498			OGFRP1			NA
Interval_13222	chr7	111846657	111846819	+	0	NA	promoter-TSS (DOCK4)	-promoter-TSS (DOCK4)	95	ZNF277	ZNF277	NM_021994			ZNF277			NA
Interval_6966	chr19	5031387	5031565	+	0	NA	intron (KDM4B, intron 2 of 22)	-intron (KDM4B, intron 2 of 22)	62352	KDM4B	KDM4B	NM_015015			KDM4B			NA
Interval_12596	chr6	143207983	143208296	+	0	NA	intron (HIVEP2, intron 1 of 9)	-intron (HIVEP2, intron 1 of 9)	58199	HIVEP2	HIVEP2	NM_006734			HIVEP2			NA
Interval_8728	chr2	196933079	196933283	+	0	NA	intron (DNAH7, intron 1 of 64)	-intron (DNAH7, intron 1 of 64)	355	DNAH7	DNAH7	NM_018897			DNAH7			NA
Interval_1087	chr1	185286211	185286543	+	0	NA	promoter-TSS (IVNS1ABP)	-promoter-TSS (IVNS1ABP)	84	IVNS1ABP	IVNS1ABP	NM_006469			IVNS1ABP			NA
Interval_2914	chr12	31812015	31812373	+	0	NA	promoter-TSS (METTL20)	-promoter-TSS (METTL20)	73	METTL20	METTL20	NM_173802			METTL20			NA
Interval_12953	chr7	44836518	44836822	+	0	NA	intron (PPIA, intron 1 of 4)	-intron (PPIA, intron 1 of 5)	435	PPIA	PPIA	NM_021130			PPIA			NA
Interval_7257	chr19	16734472	16734637	+	0	NA	intron (MED26, intron 1 of 2)	-intron (MED26, intron 1 of 2)	4461	MED26	MED26	NM_004831			MED26			NA
Interval_13229	chr7	116151678	116152060	+	0	NA	Intergenic	Intergenic	12214	CAV2	CAV2	NM_198212			CAV2			NA
Interval_5445	chr16	85590470	85590653	+	0	NA	Intergenic	Intergenic	-56281	GSE1	GSE1	NM_014615			GSE1			NA
Interval_2734	chr11	125932755	125932910	+	0	NA	intron (CDON, intron 1 of 19)	-intron (CDON, intron 1 of 19)	355	CDON	CDON	NM_016952			CDON			NA
Interval_8378	chr2	85664656	85664977	+	0	NA	TTS (SH2D6)	-TTS (SH2D6)	2898	SH2D6	SH2D6	NM_198482			SH2D6			NA
Interval_1987	chr10	131908440	131909225	+	0	NA	intron (LINC00959, intron 1 of 7)	-intron (LINC00959, intron 1 of 7)	249	LINC00959	LINC00959	NR_034125			LINC00959			NA
Interval_8893	chr2	232477253	232477509	+	0	NA	Intergenic	Intergenic	19806	C2orf57	C2orf57	NM_152614			C2orf57			NA
Interval_2320	chr11	63953593	63953769	+	0	NA	promoter-TSS (STIP1)	-promoter-TSS (STIP1)	94	STIP1	STIP1	NM_001282653			STIP1			NA
Interval_10128	chr3	20082986	20083195	+	0	NA	intron (KAT2B, intron 1 of 17)	-intron (KAT2B, intron 1 of 17)	1566	KAT2B	KAT2B	NM_003884			KAT2B			NA
Interval_486	chr1	40997141	40997320	+	0	NA	promoter-TSS (ZNF684)	-promoter-TSS (ZNF684)	-3	ZNF684	ZNF684	NM_152373			ZNF684			NA
Interval_14099	chr9	35812053	35812357	+	0	NA	promoter-TSS (SPAG8)	-promoter-TSS (SPAG8)	54	SPAG8	SPAG8	NM_001039592			SPAG8			NA
Interval_4930	chr16	4475783	4475987	+	0	NA	promoter-TSS (DNAJA3)	-promoter-TSS (DNAJA3)	79	DNAJA3	DNAJA3	NM_001286516			DNAJA3			NA
Interval_7086	chr19	10363086	10363211	+	0	NA	intron (MRPL4, intron 2 of 7)	-intron (MRPL4, intron 2 of 8)	508	MRPL4	MRPL4	NM_015956			MRPL4			NA
Interval_12246	chr6	35420215	35420357	+	0	NA	exon (FANCE, exon 1 of 10)	-exon (FANCE, exon 1 of 10)	148	FANCE	FANCE	NM_021922			FANCE			NA
Interval_10327	chr3	51428446	51428737	+	0	NA	promoter-TSS (RBM15B)	-promoter-TSS (RBM15B)	-108	RBM15B	RBM15B	NM_013286			RBM15B			NA
Interval_3058	chr12	56862167	56862483	+	0	NA	promoter-TSS (SPRYD4)	-promoter-TSS (SPRYD4)	24	SPRYD4	SPRYD4	NM_207344			SPRYD4			NA
Interval_4154	chr14	91580522	91580668	+	0	NA	promoter-TSS (C14orf159)	-promoter-TSS (C14orf159)	238	C14orf159	C14orf159	NM_001286471			C14orf159			NA
Interval_9099	chr20	26189792	26190229	+	0	NA	promoter-TSS (MIR663AHG)	-promoter-TSS (MIR663AHG)	-141	MIR663AHG	MIR663AHG	NR_040095			MIR663AHG			NA
Interval_4734	chr15	91565754	91565948	+	0	NA	promoter-TSS (VPS33B)	-promoter-TSS (VPS33B)	0	VPS33B	VPS33B	NM_018668			VPS33B			NA
Interval_5325	chr16	68271124	68271336	+	0	NA	Intergenic	Intergenic	-1094	ESRP2	ESRP2	NM_024939			ESRP2			NA
Interval_7669	chr19	47615420	47615600	+	0	NA	intron (ZC3H4, intron 2 of 14)	-intron (ZC3H4, intron 2 of 14)	1499	ZC3H4	ZC3H4	NM_015168			ZC3H4			NA
Interval_13258	chr7	128573255	128573540	+	0	NA	Intergenic	Intergenic	-4874	IRF5	IRF5	NM_032643			IRF5			NA
Interval_13017	chr7	72722673	72723057	+	0	NA	promoter-TSS (NSUN5)	-promoter-TSS (NSUN5)	-1	NSUN5	NSUN5	NM_018044			NSUN5			NA
Interval_3935	chr14	53019464	53019618	+	0	NA	promoter-TSS (GPR137C)	-promoter-TSS (GPR137C)	-240	TXNDC16	TXNDC16	NM_020784			TXNDC16			NA
Interval_8022	chr2	20423118	20423276	+	0	NA	intron (SDC1, intron 1 of 4)	-intron (SDC1, intron 2 of 5)	1730	SDC1	SDC1	NM_001006946			SDC1			NA
Interval_1969	chr10	126377507	126377739	+	0	NA	intron (FAM53B, intron 3 of 4)	-intron (FAM53B, intron 3 of 4)	-14974	FAM53B-AS1	FAM53B-AS1	NR_120631			FAM53B-AS1			NA
Interval_2184	chr11	44578534	44578676	+	0	NA	Intergenic	Intergenic	-8536	CD82	CD82	NM_001024844			CD82			NA
Interval_1296	chr1	228269930	228270471	+	0	NA	promoter-TSS (ARF1)	-promoter-TSS (ARF1)	-161	ARF1	ARF1	NM_001024226			ARF1			NA
Interval_9069	chr20	18547803	18548142	+	0	NA	promoter-TSS (LINC00493)	-promoter-TSS (LINC00493)	-101	LINC00493	LINC00493	NR_015432			LINC00493			NA
Interval_2486	chr11	68606762	68606915	+	0	NA	intron (CPT1A, intron 1 of 18)	-intron (CPT1A, intron 1 of 18)	2561	CPT1A	CPT1A	NM_001031847			CPT1A			NA
Interval_4799	chr16	691670	692045	+	0	NA	promoter-TSS (FAM195A)	-promoter-TSS (FAM195A)	8	FAM195A	FAM195A	NM_138418			FAM195A			NA
Interval_6459	chr17	78010277	78010452	+	0	NA	promoter-TSS (CCDC40)	-promoter-TSS (CCDC40)	-67	CCDC40	CCDC40	NM_017950			CCDC40			NA
Interval_11510	chr5	88185243	88185432	+	0	NA	intron (MEF2C-AS1, intron 1 of 3)	-intron (MEF2C, intron 1 of 10)	-6054	MEF2C	MEF2C	NM_001193347			MEF2C			NA
Interval_7562	chr19	42637379	42637497	+	0	NA	promoter-TSS (POU2F2)	-promoter-TSS (POU2F2)	227	MIR4323	MIR4323	NR_036208			MIR4323			NA
Interval_9142	chr20	33735118	33735254	+	0	NA	promoter-TSS (EDEM2)	-promoter-TSS (EDEM2)	-25	EDEM2	EDEM2	NM_001145025			EDEM2			NA
Interval_14294	chr9	113018664	113018846	+	0	NA	exon (TXN, exon 1 of 4)	-exon (TXN, exon 1 of 4)	165	TXN	TXN	NM_003329			TXN			NA
Interval_5961	chr17	36886336	36886534	+	0	NA	promoter-TSS (CISD3)	-promoter-TSS (CISD3)	-75	CISD3	CISD3	NM_001136498			CISD3			NA
Interval_14366	chr9	126959761	126959933	+	0	NA	Intergenic	Intergenic	-60349	NEK6	NEK6	NM_014397			NEK6			NA
Interval_3051	chr12	56660569	56660738	+	0	NA	promoter-TSS (COQ10A)	-promoter-TSS (COQ10A)	11	COQ10A	COQ10A	NM_144576			COQ10A			NA
Interval_5691	chr17	7184671	7184939	+	0	NA	promoter-TSS (SLC2A4)	-promoter-TSS (SLC2A4)	-249	SLC2A4	SLC2A4	NM_001042			SLC2A4			NA
Interval_720	chr1	109505761	109506167	+	0	NA	intron (CLCC1, intron 1 of 11)	-intron (CLCC1, intron 1 of 11)	157	CLCC1	CLCC1	NM_001048210			CLCC1			NA
Interval_8707	chr2	190539117	190539512	+	0	NA	Intergenic	Intergenic	-1397	ANKAR	ANKAR	NM_144708			ANKAR			NA
Interval_6905	chr19	2785225	2785559	+	0	NA	promoter-TSS (THOP1)	-promoter-TSS (THOP1)	-114	THOP1	THOP1	NM_003249			THOP1			NA
Interval_4746	chr15	99190651	99190804	+	0	NA	exon (IRAIN, exon 1 of 1)	-exon (IRAIN, exon 1 of 1)	-1041	IGF1R	IGF1R	NM_000875			IGF1R			NA
Interval_11910	chr5	176943963	176944450	+	0	NA	promoter-TSS (DDX41)	-promoter-TSS (DDX41)	-239	DDX41	DDX41	NM_016222			DDX41			NA
Interval_1809	chr10	98592619	98592863	+	0	NA	promoter-TSS (LCOR)	-promoter-TSS (LCOR)	29	LCOR	LCOR	NM_001170766			LCOR			NA
Interval_2976	chr12	50222480	50222651	+	0	NA	promoter-TSS (NCKAP5L)	-promoter-TSS (NCKAP5L)	239	BCDIN3D-AS1	BCDIN3D-AS1	NR_027500			BCDIN3D-AS1			NA
Interval_1356	chr1	236030284	236030442	+	0	NA	promoter-TSS (LYST)	-promoter-TSS (LYST)	-14003	MIR1537	MIR1537	NR_031718			MIR1537			NA
Interval_14767	chrX	77359602	77359766	+	0	NA	promoter-TSS (PGK1)	-promoter-TSS (PGK1)	18	PGK1	PGK1	NM_000291			PGK1			NA
Interval_3724	chr13	99940518	99940649	+	0	NA	intron (UBAC2, intron 4 of 8)	-intron (UBAC2, intron 4 of 8)	19166	GPR183	GPR183	NM_004951			GPR183			NA
Interval_382	chr1	32404075	32404368	+	0	NA	promoter-TSS (PTP4A2)	-promoter-TSS (PTP4A2)	-233	PTP4A2	PTP4A2	NM_080391			PTP4A2			NA
Interval_13267	chr7	129074281	129074419	+	0	NA	promoter-TSS (STRIP2)	-promoter-TSS (STRIP2)	76	STRIP2	STRIP2	NM_020704			STRIP2			NA
Interval_11316	chr5	6496374	6496587	+	0	NA	exon (UBE2QL1, exon 2 of 2)	-exon (UBE2QL1, exon 2 of 2)	47744	UBE2QL1	UBE2QL1	NM_001145161			UBE2QL1			NA
Interval_13329	chr7	148638127	148638444	+	0	NA	Intergenic	Intergenic	-46334	GHET1	GHET1	NR_130107			GHET1			NA
Interval_4554	chr15	67413584	67413763	+	0	NA	intron (SMAD3, intron 1 of 8)	-intron (SMAD3, intron 1 of 8)	55478	SMAD3	SMAD3	NM_005902			SMAD3			NA
Interval_10831	chr4	1283456	1283748	+	0	NA	promoter-TSS (MAEA)	-promoter-TSS (MAEA)	-37	MAEA	MAEA	NM_001297432			MAEA			NA
Interval_3085	chr12	58145718	58145910	+	0	NA	intron (CDK4, intron 1 of 7)	-intron (CDK4, intron 1 of 7)	416	CDK4	CDK4	NM_000075			CDK4			NA
Interval_6682	chr18	47018682	47018909	+	0	NA	promoter-TSS (RPL17)	-promoter-TSS (RPL17)	140	RPL17-C18orf32	RPL17-C18orf32	NM_001199356			RPL17-C18orf32			NA
Interval_3551	chr13	30969632	30969952	+	0	NA	Intergenic	Intergenic	-21741	LINC00426	LINC00426	NR_024464			LINC00426			NA
Interval_13274	chr7	130581884	130582042	+	0	NA	intron (LINC-PINT, intron 2 of 3)	-intron (LINC-PINT, intron 2 of 3)	16106	LINC-PINT	LINC-PINT	NR_109855			LINC-PINT			NA
Interval_721	chr1	109584637	109584811	+	0	NA	exon (WDR47, exon 1 of 15)	-exon (WDR47, exon 1 of 15)	126	WDR47	WDR47	NM_014969			WDR47			NA
Interval_11112	chr4	110736809	110737128	+	0	NA	intron (GAR1, intron 1 of 6)	-intron (GAR1, intron 1 of 6)	302	GAR1	GAR1	NM_032993			GAR1			NA
Interval_13924	chr8	144976786	144977046	+	0	NA	Intergenic	Intergenic	-24284	EPPK1	EPPK1	NM_031308			EPPK1			NA
Interval_11097	chr4	103940748	103940918	+	0	NA	promoter-TSS (SLC9B1)	-promoter-TSS (SLC9B1)	63	SLC9B1	SLC9B1	NR_047515			SLC9B1			NA
Interval_12417	chr6	73332151	73332574	+	0	NA	intron (KCNQ5, intron 1 of 13)	-intron (KCNQ5, intron 1 of 12)	791	KCNQ5	KCNQ5	NM_019842			KCNQ5			NA
Interval_14671	chrX	24168514	24168721	+	0	NA	promoter-TSS (ZFX-AS1)	-promoter-TSS (ZFX-AS1)	763	ZFX	ZFX	NM_003410			ZFX			NA
Interval_5349	chr16	70285099	70285237	+	0	NA	exon (EXOSC6, exon 1 of 1)	-exon (EXOSC6, exon 1 of 1)	665	EXOSC6	EXOSC6	NM_058219			EXOSC6			NA
Interval_3309	chr12	112846972	112847355	+	0	NA	intron (RPL6, intron 1 of 6)	-intron (RPL6, intron 1 of 6)	280	RPL6	RPL6	NM_000970			RPL6			NA
Interval_11582	chr5	118323875	118324046	+	0	NA	promoter-TSS (DTWD2)	-promoter-TSS (DTWD2)	340	DTWD2	DTWD2	NM_173666			DTWD2			NA
Interval_8111	chr2	37193692	37193856	+	0	NA	promoter-TSS (STRN)	-promoter-TSS (STRN)	-159	STRN	STRN	NM_003162			STRN			NA
Interval_1188	chr1	207098770	207098992	+	0	NA	Intergenic	Intergenic	-3503	FCMR	FCMR	NM_005449			FCMR			NA
Interval_9302	chr20	50807314	50807541	+	0	NA	intron (ZFP64, intron 1 of 8)	-intron (ZFP64, intron 1 of 5)	1097	ZFP64	ZFP64	NM_018197			ZFP64			NA
Interval_12830	chr7	7680219	7680429	+	0	NA	promoter-TSS (UMAD1)	-promoter-TSS (UMAD1)	57	UMAD1	UMAD1	NM_001302348			UMAD1			NA
Interval_2044	chr11	827515	827693	+	0	NA	promoter-TSS (CRACR2B)	-promoter-TSS (CRACR2B)	-656	CRACR2B	CRACR2B	NM_001286606			CRACR2B			NA
Interval_8644	chr2	170441049	170441167	+	0	NA	intron (PPIG, intron 1 of 13)	-intron (PPIG, intron 1 of 13)	258	PPIG	PPIG	NM_004792			PPIG			NA
Interval_8248	chr2	63815512	63815951	+	0	NA	promoter-TSS (MDH1)	-promoter-TSS (MDH1)	-12	MDH1	MDH1	NM_001199111			MDH1			NA
Interval_14610	chr9	140319421	140319599	+	0	NA	intron (NOXA1, intron 1 of 13)	-intron (NOXA1, intron 1 of 13)	1663	NOXA1	NOXA1	NM_006647			NOXA1			NA
Interval_14863	chrX	153249967	153250165	+	0	NA	Intergenic	Intergenic	-3439	MIR3202-2	MIR3202-2	NR_036175			MIR3202-2			NA
Interval_4896	chr16	3109317	3109561	+	0	NA	promoter-TSS (MMP25-AS1)	-promoter-TSS (MMP25-AS1)	-68	MMP25-AS1	MMP25-AS1	NR_123723			MMP25-AS1			NA
Interval_6440	chr17	76313352	76313524	+	0	NA	Intergenic	Intergenic	-38865	LOC100996291	LOC100996291	NR_073178			LOC100996291			NA
Interval_10231	chr3	46951207	46951354	+	0	NA	Intergenic	Intergenic	27541	PTH1R	PTH1R	NM_001184744			PTH1R			NA
Interval_8913	chr2	233561934	233562125	+	0	NA	promoter-TSS (GIGYF2)	-promoter-TSS (GIGYF2)	14	GIGYF2	GIGYF2	NM_001103146			GIGYF2			NA
Interval_12728	chr7	913053	913295	+	0	NA	exon (SUN1, exon 19 of 19)	-exon (SUN1, exon 19 of 19)	-3017	GET4	GET4	NM_015949			GET4			NA
Interval_1278	chr1	226250003	226250277	+	0	NA	promoter-TSS (H3F3A)	-promoter-TSS (H3F3A)	-268	H3F3A	H3F3A	NM_002107			H3F3A			NA
Interval_42	chr1	1709824	1710047	+	0	NA	promoter-TSS (NADK)	-promoter-TSS (NADK)	-26	NADK	NADK	NM_001198994			NADK			NA
Interval_6596	chr18	12948347	12948775	+	0	NA	intron (SEH1L, intron 1 of 8)	-intron (SEH1L, intron 1 of 8)	578	SEH1L	SEH1L	NM_001013437			SEH1L			NA
Interval_9682	chr22	24256047	24256322	+	0	NA	Intergenic	Intergenic	-15067	MIF-AS1	MIF-AS1	NR_038911			MIF-AS1			NA
Interval_4169	chr14	91884396	91884655	+	0	NA	promoter-TSS (CCDC88C)	-promoter-TSS (CCDC88C)	-337	CCDC88C	CCDC88C	NM_001080414			CCDC88C			NA
Interval_7336	chr19	18682337	18682769	+	0	NA	promoter-TSS (UBA52)	-promoter-TSS (UBA52)	-61	UBA52	UBA52	NM_003333			UBA52			NA
Interval_4043	chr14	71132146	71132375	+	0	NA	intron (TTC9, intron 1 of 2)	-intron (TTC9, intron 1 of 2)	23756	TTC9	TTC9	NM_015351			TTC9			NA
Interval_3262	chr12	109490233	109490366	+	0	NA	promoter-TSS (USP30)	-promoter-TSS (USP30)	-76	USP30	USP30	NM_001301175			USP30			NA
Interval_1728	chr10	81107710	81108124	+	0	NA	intron (PPIF, intron 1 of 5)	-intron (PPIF, intron 1 of 5)	697	PPIF	PPIF	NM_005729			PPIF			NA
Interval_1571	chr10	43915883	43916169	+	0	NA	Intergenic	Intergenic	-11370	HNRNPF	HNRNPF	NM_001098204			HNRNPF			NA
Interval_12985	chr7	56118953	56119621	+	0	NA	promoter-TSS (CCT6A)	-promoter-TSS (CCT6A)	-19	PSPH	PSPH	NM_004577			PSPH			NA
Interval_13495	chr8	26429695	26429919	+	0	NA	intron (DPYSL2, intron 1 of 13)	-intron (DPYSL2, intron 1 of 13)	-5533	DPYSL2	DPYSL2	NM_001244604			DPYSL2			NA
Interval_4331	chr15	31619068	31619221	+	0	NA	promoter-TSS (KLF13)	-promoter-TSS (KLF13)	86	KLF13	KLF13	NM_001302461			KLF13			NA
Interval_2415	chr11	66080060	66080195	+	0	NA	Intergenic	Intergenic	4388	CD248	CD248	NM_020404			CD248			NA
Interval_11982	chr6	3068615	3068754	+	0	NA	Intergenic	Intergenic	-8374	RIPK1	RIPK1	NM_003804			RIPK1			NA
Interval_11812	chr5	157023577	157023730	+	0	NA	Intergenic	Intergenic	-20822	ADAM19	ADAM19	NM_033274			ADAM19			NA
Interval_11201	chr4	154388347	154388694	+	0	NA	intron (KIAA0922, intron 2 of 34)	-intron (KIAA0922, intron 2 of 34)	1022	KIAA0922	KIAA0922	NM_015196			KIAA0922			NA
Interval_10017	chr22	50982717	50982835	+	0	NA	Intergenic	Intergenic	-3686	KLHDC7B	KLHDC7B	NM_138433			KLHDC7B			NA
Interval_8779	chr2	208489906	208490437	+	0	NA	promoter-TSS (METTL21A)	-promoter-TSS (METTL21A)	-475	METTL21A	METTL21A	NM_001308021			METTL21A			NA
Interval_5368	chr16	71518513	71518658	+	0	NA	exon (ZNF19, exon 2 of 6)	-exon (ZNF19, exon 2 of 6)	4669	ZNF19	ZNF19	NM_006961			ZNF19			NA
Interval_7571	chr19	42772310	42772729	+	0	NA	promoter-TSS (CIC)	-promoter-TSS (CIC)	-13203	ERF	ERF	NM_006494			ERF			NA
Interval_11552	chr5	107716386	107716609	+	0	NA	exon (FBXL17, exon 1 of 9)	-exon (FBXL17, exon 1 of 9)	1302	FBXL17	FBXL17	NM_001163315			FBXL17			NA
Interval_1097	chr1	192578302	192578561	+	0	NA	Intergenic	Intergenic	-26837	RGS13	RGS13	NM_144766			RGS13			NA
Interval_4228	chr14	100680447	100680566	+	0	NA	Intergenic	Intergenic	-24596	YY1	YY1	NM_003403			YY1			NA
Interval_4657	chr15	78832559	78832791	+	0	NA	promoter-TSS (PSMA4)	-promoter-TSS (PSMA4)	-72	PSMA4	PSMA4	NM_001102667			PSMA4			NA
Interval_10333	chr3	51705475	51705617	+	0	NA	promoter-TSS (TEX264)	-promoter-TSS (TEX264)	-97	TEX264	TEX264	NM_001129884			TEX264			NA
Interval_8624	chr2	158300477	158300729	+	0	NA	promoter-TSS (CYTIP)	-promoter-TSS (CYTIP)	1	CYTIP	CYTIP	NM_004288			CYTIP			NA
Interval_988	chr1	162531622	162531814	+	0	NA	intron (UAP1, intron 1 of 9)	-intron (UAP1, intron 1 of 9)	422	UAP1	UAP1	NM_003115			UAP1			NA
Interval_21	chr1	1186341	1186663	+	0	NA	Intergenic	Intergenic	-4400	FAM132A	FAM132A	NM_001014980			FAM132A			NA
Interval_13163	chr7	100797510	100797721	+	0	NA	promoter-TSS (AP1S1)	-promoter-TSS (AP1S1)	-71	AP1S1	AP1S1	NM_001283			AP1S1			NA
Interval_7729	chr19	49482131	49482360	+	0	NA	intron (GYS1, intron 7 of 14)	-intron (GYS1, intron 7 of 14)	13679	FTL	FTL	NM_000146			FTL			NA
Interval_4188	chr14	93241723	93241941	+	0	NA	Intergenic	Intergenic	-18744	GOLGA5	GOLGA5	NM_005113			GOLGA5			NA
Interval_82	chr1	3541252	3541524	+	0	NA	promoter-TSS (TPRG1L)	-promoter-TSS (TPRG1L)	-168	TPRG1L	TPRG1L	NM_182752			TPRG1L			NA
Interval_8511	chr2	114384647	114384924	+	0	NA	promoter-TSS (RABL2A)	-promoter-TSS (RABL2A)	-21	RABL2A	RABL2A	NM_001306159			RABL2A			NA
Interval_7306	chr19	18210416	18210574	+	0	NA	promoter-TSS (IL12RB1)	-promoter-TSS (IL12RB1)	1892	MAST3	MAST3	NM_015016			MAST3			NA
Interval_10840	chr4	1724949	1725121	+	0	NA	intron (TACC3, intron 1 of 15)	-intron (TACC3, intron 1 of 15)	1818	TACC3	TACC3	NM_006342			TACC3			NA
Interval_9186	chr20	36325854	36326007	+	0	NA	intron (CTNNBL1, intron 1 of 15)	-intron (CTNNBL1, intron 1 of 16)	3573	CTNNBL1	CTNNBL1	NM_030877			CTNNBL1			NA
Interval_1268	chr1	225614718	225614836	+	0	NA	intron (LBR, intron 1 of 13)	-intron (LBR, intron 1 of 13)	1780	LBR	LBR	NM_194442			LBR			NA
Interval_4325	chr15	31555590	31555796	+	0	NA	Intergenic	Intergenic	-32643	LOC283710	LOC283710	NM_001243538			LOC283710			NA
Interval_12916	chr7	38351054	38351246	+	0	NA	Intergenic	Intergenic	-30028	TRG-AS1	TRG-AS1	NR_040085			TRG-AS1			NA
Interval_11250	chr4	185249257	185249512	+	0	NA	Intergenic	Intergenic	25746	LOC728175	LOC728175	NR_040108			LOC728175			NA
Interval_2010	chr11	267564	267736	+	0	NA	Intergenic	Intergenic	-10920	NLRP6	NLRP6	NM_001276700			NLRP6			NA
Interval_2133	chr11	18732218	18732363	+	0	NA	exon (IGSF22, exon 16 of 23)	-exon (IGSF22, exon 16 of 23)	12008	TMEM86A	TMEM86A	NM_153347			TMEM86A			NA
Interval_6202	chr17	54985693	54985883	+	0	NA	intron (TRIM25, intron 2 of 8)	-intron (TRIM25, intron 2 of 8)	5621	TRIM25	TRIM25	NM_005082			TRIM25			NA
Interval_13096	chr7	92861485	92861798	+	0	NA	promoter-TSS (VPS50)	-promoter-TSS (VPS50)	-12	VPS50	VPS50	NM_001257998			VPS50			NA
Interval_8922	chr2	233989457	233989691	+	0	NA	intron (INPP5D, intron 3 of 25)	-intron (INPP5D, intron 3 of 25)	64897	INPP5D	INPP5D	NM_001017915			INPP5D			NA
Interval_6614	chr18	20811258	20811609	+	0	NA	intron (CABLES1, intron 4 of 6)	-intron (CABLES1, intron 4 of 9)	96905	CABLES1	CABLES1	NM_001100619			CABLES1			NA
Interval_2203	chr11	47270325	47270470	+	0	NA	promoter-TSS (NR1H3)	-promoter-TSS (NR1H3)	1	ACP2	ACP2	NM_001302490			ACP2			NA
Interval_7838	chr19	54704603	54704909	+	0	NA	promoter-TSS (RPS9)	-promoter-TSS (RPS9)	30	RPS9	RPS9	NM_001013			RPS9			NA
