PeakID (cmd=annotatePeaks.pl TCF12_IP_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
TCF12_IP_R1_peak_391	chr11	88576939	88577378	+	137	NA	intron (GRM5, intron 2 of 8)	-intron (GRM5, intron 3 of 8)	204082	GRM5	GRM5	NM_000842			GRM5			NA
TCF12_IP_R1_peak_511	chr13	28982699	28983026	+	137	NA	intron (FLT1, intron 10 of 29)	-intron (FLT1, intron 10 of 12)	86403	FLT1	FLT1	NM_001159920			FLT1			NA
TCF12_IP_R1_peak_1513	chr4	153059601	153060031	+	136	NA	Intergenic	Intergenic	37911	LOC100996286	LOC100996286	NR_121627			LOC100996286			NA
TCF12_IP_R1_peak_1408	chr3	150853756	150854220	+	136	NA	intron (MED12L, intron 4 of 42)	-intron (MED12L, intron 4 of 42)	49403	MED12L	MED12L	NM_053002			MED12L			NA
TCF12_IP_R1_peak_1874	chr8	37749256	37749676	+	136	NA	intron (RAB11FIP1, intron 1 of 4)	-intron (RAB11FIP1, intron 1 of 5)	7549	RAB11FIP1	RAB11FIP1	NM_025151			RAB11FIP1			NA
TCF12_IP_R1_peak_1252	chr22	23207760	23208285	+	136	NA	Intergenic	Intergenic	-20425	MIR5571	MIR5571	NR_049835			MIR5571			NA
TCF12_IP_R1_peak_67	chr1	60433001	60433407	+	136	NA	Intergenic	Intergenic	-40781	CYP2J2	CYP2J2	NM_000775			CYP2J2			NA
TCF12_IP_R1_peak_824	chr17	19209601	19210025	+	136	NA	promoter-TSS (EPN2-AS1)	-promoter-TSS (EPN2-AS1)	-239	EPN2-AS1	EPN2-AS1	NR_048576			EPN2-AS1			NA
TCF12_IP_R1_peak_1621	chr5	156110066	156110408	+	136	NA	intron (SGCD, intron 7 of 7)	-intron (SGCD, intron 7 of 8)	-167312	PPP1R2P3	PPP1R2P3	NR_038443			PPP1R2P3			NA
TCF12_IP_R1_peak_1619	chr5	150594144	150594579	+	136	NA	intron (CCDC69, intron 1 of 8)	-intron (CCDC69, intron 1 of 8)	9293	CCDC69	CCDC69	NM_015621			CCDC69			NA
TCF12_IP_R1_peak_1526	chr4	186306090	186306403	+	136	NA	Intergenic	Intergenic	-6094	LRP2BP	LRP2BP	NM_018409			LRP2BP			NA
TCF12_IP_R1_peak_469	chr12	82819902	82820222	+	136	NA	intron (METTL25, intron 5 of 11)	-intron (METTL25, intron 5 of 11)	-67478	CCDC59	CCDC59	NR_033192			CCDC59			NA
TCF12_IP_R1_peak_865	chr17	54890090	54890541	+	136	NA	intron (C17orf67, intron 6 of 7)	-intron (C17orf67, intron 6 of 7)	20941	C17orf67	C17orf67	NM_001085430			C17orf67			NA
TCF12_IP_R1_peak_846	chr17	40285498	40285879	+	135	NA	intron (RAB5C, intron 1 of 6)	-intron (RAB5C, intron 1 of 6)	10932	HSPB9	HSPB9	NM_033194			HSPB9			NA
TCF12_IP_R1_peak_1944	chr9	7067239	7067508	+	135	NA	intron (KDM4C, intron 17 of 21)	-intron (KDM4C, intron 17 of 17)	309732	KDM4C	KDM4C	NM_015061			KDM4C			NA
TCF12_IP_R1_peak_295	chr10	115721317	115721863	+	135	NA	Intergenic	Intergenic	-82216	ADRB1	ADRB1	NM_000684			ADRB1			NA
TCF12_IP_R1_peak_564	chr14	36158167	36158539	+	135	NA	intron (RALGAPA1, intron 17 of 41)	-intron (RALGAPA1, intron 17 of 41)	119997	RALGAPA1P	RALGAPA1P	NR_104269			RALGAPA1P			NA
TCF12_IP_R1_peak_184	chr1	221881399	221881676	+	135	NA	intron (DUSP10, intron 1 of 2)	-intron (DUSP10, intron 2 of 3)	33981	DUSP10	DUSP10	NM_007207			DUSP10			NA
TCF12_IP_R1_peak_1701	chr6	41990164	41990548	+	135	NA	intron (CCND3, intron 1 of 4)	-intron (CCND3, intron 1 of 4)	-27895	TAF8	TAF8	NM_138572			TAF8			NA
TCF12_IP_R1_peak_2042	chrX	147391905	147392298	+	135	NA	Intergenic	Intergenic	-190038	AFF2	AFF2	NM_001169125			AFF2			NA
TCF12_IP_R1_peak_1324	chr3	34201367	34201656	+	135	NA	Intergenic	Intergenic	361448	PDCD6IP	PDCD6IP	NM_013374			PDCD6IP			NA
TCF12_IP_R1_peak_278	chr10	86414505	86414858	+	134	NA	Intergenic	Intergenic	326336	CCSER2	CCSER2	NM_001284240			CCSER2			NA
TCF12_IP_R1_peak_1501	chr4	124270644	124270900	+	134	NA	Intergenic	Intergenic	-47178	SPRY1	SPRY1	NM_005841			SPRY1			NA
TCF12_IP_R1_peak_436	chr12	14796302	14796592	+	134	NA	intron (GUCY2C, intron 17 of 26)	-intron (GUCY2C, intron 17 of 26)	53072	GUCY2C	GUCY2C	NM_004963			GUCY2C			NA
TCF12_IP_R1_peak_1123	chr2	196424266	196424614	+	134	NA	Intergenic	Intergenic	-97412	SLC39A10	SLC39A10	NM_020342			SLC39A10			NA
TCF12_IP_R1_peak_1444	chr4	10095459	10095843	+	134	NA	intron (WDR1, intron 2 of 11)	-intron (WDR1, intron 2 of 11)	-15335	MIR3138	MIR3138	NR_036090			MIR3138			NA
TCF12_IP_R1_peak_1968	chr9	84211949	84212314	+	134	NA	intron (TLE1, intron 14 of 19)	-intron (TLE1, intron 14 of 19)	92319	TLE1	TLE1	NM_005077			TLE1			NA
TCF12_IP_R1_peak_1839	chr7	150253786	150254070	+	134	NA	Intergenic	Intergenic	-10530	GIMAP4	GIMAP4	NM_018326			GIMAP4			NA
TCF12_IP_R1_peak_488	chr12	122087791	122088225	+	134	NA	Intergenic	Intergenic	19552	MORN3	MORN3	NM_173855			MORN3			NA
TCF12_IP_R1_peak_405	chr11	122541986	122542314	+	134	NA	intron (UBASH3B, intron 1 of 13)	-intron (UBASH3B, intron 1 of 13)	15752	UBASH3B	UBASH3B	NM_032873			UBASH3B			NA
TCF12_IP_R1_peak_1841	chr7	150657424	150657777	+	134	NA	intron (KCNH2, intron 2 of 8)	-intron (KCNH2, intron 2 of 14)	-4683	KCNH2	KCNH2	NM_000238			KCNH2			NA
TCF12_IP_R1_peak_695	chr15	81536613	81536922	+	134	NA	intron (IL16, intron 1 of 17)	-intron (IL16, intron 2 of 18)	19127	IL16	IL16	NM_001172128			IL16			NA
TCF12_IP_R1_peak_456	chr12	51777234	51777642	+	134	NA	intron (GALNT6, intron 2 of 11)	-intron (GALNT6, intron 2 of 11)	7762	GALNT6	GALNT6	NM_007210			GALNT6			NA
TCF12_IP_R1_peak_244	chr10	26971821	26972164	+	134	NA	Intergenic	Intergenic	-14603	PDSS1	PDSS1	NM_014317			PDSS1			NA
TCF12_IP_R1_peak_1897	chr8	85677180	85677664	+	134	NA	intron (RALYL, intron 1 of 7)	-intron (RALYL, intron 2 of 8)	-341901	LRRCC1	LRRCC1	NM_033402			LRRCC1			NA
TCF12_IP_R1_peak_1072	chr2	112463293	112463889	+	133	NA	Intergenic	Intergenic	65120	MIR4771-2	MIR4771-2	NR_039929_1			MIR4771-2			NA
TCF12_IP_R1_peak_1826	chr7	136767440	136767789	+	131	NA	intron (LOC349160, intron 1 of 3)	-intron (LOC349160, intron 1 of 3)	81474	LOC349160	LOC349160	NR_046103			LOC349160			NA
TCF12_IP_R1_peak_1857	chr8	11416198	11416491	+	131	NA	intron (BLK, intron 10 of 12)	-intron (BLK, intron 10 of 12)	-17700	LINC00208	LINC00208	NR_040035			LINC00208			NA
TCF12_IP_R1_peak_860	chr17	49734466	49734909	+	131	NA	intron (CA10, intron 4 of 8)	-intron (CA10, intron 5 of 9)	320611	LOC440446	LOC440446	NR_122104			LOC440446			NA
TCF12_IP_R1_peak_976	chr19	15985689	15986090	+	131	NA	Intergenic	Intergenic	-10175	LOC102724279	LOC102724279	NM_001302493			LOC102724279			NA
TCF12_IP_R1_peak_1339	chr3	46018304	46018719	+	131	NA	intron (FYCO1, intron 4 of 17)	-intron (FYCO1, intron 4 of 17)	18805	FYCO1	FYCO1	NM_024513			FYCO1			NA
TCF12_IP_R1_peak_1633	chr5	175956893	175957244	+	131	NA	intron (RNF44, intron 7 of 10)	-intron (RNF44, intron 7 of 10)	7353	RNF44	RNF44	NM_014901			RNF44			NA
TCF12_IP_R1_peak_549	chr13	87409574	87409958	+	131	NA	Intergenic	Intergenic	861229	MIR4500	MIR4500	NR_039722			MIR4500			NA
TCF12_IP_R1_peak_1310	chr3	22492386	22492941	+	131	NA	Intergenic	Intergenic	494032	ZNF385D-AS2	ZNF385D-AS2	NR_046876			ZNF385D-AS2			NA
TCF12_IP_R1_peak_270	chr10	73557551	73557827	+	131	NA	intron (CDH23, intron 47 of 67)	-intron (CDH23, intron 2 of 22)	7185	MIR7152	MIR7152	NR_106974			MIR7152			NA
TCF12_IP_R1_peak_561	chr14	26312926	26313432	+	131	NA	Intergenic	Intergenic	753781	NOVA1	NOVA1	NM_006489			NOVA1			NA
TCF12_IP_R1_peak_168	chr1	204490182	204490748	+	131	NA	intron (MDM4, intron 1 of 10)	-intron (MDM4, intron 1 of 9)	4958	MDM4	MDM4	NM_002393			MDM4			NA
TCF12_IP_R1_peak_951	chr18	77237150	77237521	+	131	NA	intron (NFATC1, intron 8 of 8)	-intron (NFATC1, intron 8 of 9)	81563	NFATC1	NFATC1	NM_172387			NFATC1			NA
TCF12_IP_R1_peak_444	chr12	32184125	32184433	+	131	NA	Intergenic	Intergenic	-37477	RNU6-78P	RNU6-78P	NR_046944			RNU6-78P			NA
TCF12_IP_R1_peak_1960	chr9	74512552	74512881	+	131	NA	intron (ABHD17B, intron 1 of 4)	-intron (ABHD17B, intron 1 of 3)	13432	ABHD17B	ABHD17B	NM_016014			ABHD17B			NA
TCF12_IP_R1_peak_1845	chr7	155062568	155062928	+	131	NA	Intergenic	Intergenic	-26738	INSIG1	INSIG1	NM_198336			INSIG1			NA
TCF12_IP_R1_peak_1293	chr3	5223455	5223793	+	131	NA	Intergenic	Intergenic	-5735	EDEM1	EDEM1	NM_014674			EDEM1			NA
TCF12_IP_R1_peak_1669	chr6	22063235	22063533	+	130	NA	intron (CASC15, intron 8 of 11)	-intron (CASC15, intron 8 of 11)	84038	NBAT1	NBAT1	NR_034143			NBAT1			NA
TCF12_IP_R1_peak_181	chr1	213843723	213844044	+	130	NA	Intergenic	Intergenic	-254209	LINC00538	LINC00538	NR_046189			LINC00538			NA
TCF12_IP_R1_peak_1687	chr6	35030525	35031268	+	130	NA	intron (ANKS1A, intron 13 of 23)	-intron (ANKS1A, intron 13 of 23)	78291	TCP11	TCP11	NM_001261818			TCP11			NA
TCF12_IP_R1_peak_1340	chr3	46019825	46020342	+	130	NA	intron (FYCO1, intron 4 of 17)	-intron (FYCO1, intron 4 of 17)	17233	FYCO1	FYCO1	NM_024513			FYCO1			NA
TCF12_IP_R1_peak_1532	chr5	1313025	1313317	+	129	NA	Intergenic	Intergenic	-3679	MIR4457	MIR4457	NR_039662			MIR4457			NA
TCF12_IP_R1_peak_293	chr10	104941046	104941294	+	128	NA	intron (NT5C2, intron 1 of 18)	-intron (NT5C2, intron 1 of 17)	11893	NT5C2	NT5C2	NM_001134373			NT5C2			NA
TCF12_IP_R1_peak_1460	chr4	40310217	40310539	+	128	NA	intron (LOC101060498, intron 2 of 3)	-intron (LOC101060498, intron 2 of 3)	1176	LOC101060498	LOC101060498	NR_121640			LOC101060498			NA
TCF12_IP_R1_peak_1974	chr9	90220120	90220473	+	128	NA	intron (DAPK1, intron 3 of 25)	-intron (DAPK1, intron 3 of 25)	107700	DAPK1	DAPK1	NM_001288731			DAPK1			NA
TCF12_IP_R1_peak_302	chr10	117968579	117968889	+	128	NA	intron (GFRA1, intron 3 of 8)	-intron (GFRA1, intron 4 of 9)	63085	GFRA1	GFRA1	NM_005264			GFRA1			NA
TCF12_IP_R1_peak_153	chr1	192485820	192486302	+	128	NA	Intergenic	Intergenic	-58796	RGS1	RGS1	NM_002922			RGS1			NA
TCF12_IP_R1_peak_1548	chr5	32505198	32505557	+	128	NA	Intergenic	Intergenic	-60533	ZFR	ZFR	NM_016107			ZFR			NA
TCF12_IP_R1_peak_327	chr11	3968255	3968583	+	128	NA	intron (STIM1, intron 1 of 11)	-intron (STIM1, intron 1 of 11)	91127	MIR4687	MIR4687	NR_039835			MIR4687			NA
TCF12_IP_R1_peak_493	chr12	124708330	124708690	+	127	NA	intron (ZNF664-FAM101A, intron 3 of 4)	-intron (ZNF664-FAM101A, intron 3 of 4)	-65200	FAM101A	FAM101A	NM_181709			FAM101A			NA
TCF12_IP_R1_peak_1547	chr5	16726851	16727166	+	127	NA	intron (MYO10, intron 19 of 40)	-intron (MYO10, intron 19 of 40)	110973	LOC101929524	LOC101929524	NR_109946			LOC101929524			NA
TCF12_IP_R1_peak_58	chr1	44428742	44429052	+	127	NA	intron (IPO13, intron 14 of 19)	-intron (IPO13, intron 14 of 19)	-6756	DPH2	DPH2	NM_001039589			DPH2			NA
TCF12_IP_R1_peak_1945	chr9	7879872	7880179	+	127	NA	Intergenic	Intergenic	-80226	TMEM261	TMEM261	NM_033428			TMEM261			NA
TCF12_IP_R1_peak_307	chr10	121238231	121238620	+	127	NA	Intergenic	Intergenic	57620	RGS10	RGS10	NM_001005339			RGS10			NA
TCF12_IP_R1_peak_1441	chr4	9703607	9703867	+	127	NA	Intergenic	Intergenic	-79521	DRD5	DRD5	NM_000798			DRD5			NA
TCF12_IP_R1_peak_2040	chrX	135713074	135713402	+	127	NA	Intergenic	Intergenic	-8464	LINC00892	LINC00892	NR_038462			LINC00892			NA
TCF12_IP_R1_peak_985	chr19	21785688	21785948	+	127	NA	Intergenic	Intergenic	97381	ZNF429	ZNF429	NM_001001415			ZNF429			NA
TCF12_IP_R1_peak_1085	chr2	133339469	133339913	+	127	NA	intron (GPR39, intron 1 of 1)	-intron (GPR39, intron 1 of 1)	88790	LYPD1	LYPD1	NM_001077427			LYPD1			NA
TCF12_IP_R1_peak_748	chr16	30142044	30142349	+	127	NA	Intergenic	Intergenic	-7566	MAPK3	MAPK3	NM_002746			MAPK3			NA
TCF12_IP_R1_peak_957	chr19	4878706	4879063	+	127	NA	Intergenic	Intergenic	-11104	PLIN3	PLIN3	NM_005817			PLIN3			NA
TCF12_IP_R1_peak_614	chr14	104102071	104102362	+	127	NA	intron (KLC1, intron 1 of 14)	-intron (KLC1, intron 1 of 15)	6691	KLC1	KLC1	NM_001130107			KLC1			NA
TCF12_IP_R1_peak_1994	chr9	115444412	115444781	+	127	NA	Intergenic	Intergenic	35791	INIP	INIP	NM_021218			INIP			NA
TCF12_IP_R1_peak_131	chr1	161974231	161974527	+	127	NA	intron (OLFML2B, intron 4 of 7)	-intron (OLFML2B, intron 4 of 7)	19876	OLFML2B	OLFML2B	NM_001297713			OLFML2B			NA
TCF12_IP_R1_peak_894	chr17	76721841	76722142	+	126	NA	intron (CYTH1, intron 1 of 12)	-intron (CYTH1, intron 1 of 12)	56433	CYTH1	CYTH1	NM_017456			CYTH1			NA
TCF12_IP_R1_peak_1404	chr3	141656332	141656606	+	126	NA	Intergenic	Intergenic	60999	ATP1B3	ATP1B3	NM_001679			ATP1B3			NA
TCF12_IP_R1_peak_1464	chr4	65748984	65749254	+	126	NA	Intergenic	Intergenic	121099	LOC401134	LOC401134	NR_033976			LOC401134			NA
TCF12_IP_R1_peak_931	chr18	47407078	47407389	+	125	NA	intron (MYO5B, intron 22 of 39)	-intron (MYO5B, intron 22 of 39)	66840	SCARNA17	SCARNA17	NR_003003			SCARNA17			NA
TCF12_IP_R1_peak_710	chr15	93382954	93383571	+	125	NA	Intergenic	Intergenic	-43264	LINC01578	LINC01578	NR_037601			LINC01578			NA
TCF12_IP_R1_peak_700	chr15	86125909	86126369	+	125	NA	intron (AKAP13, intron 7 of 36)	-intron (AKAP13, intron 7 of 36)	175817	LOC101929679	LOC101929679	NR_120366			LOC101929679			NA
TCF12_IP_R1_peak_916	chr18	13456014	13456377	+	125	NA	intron (LDLRAD4, intron 4 of 5)	-intron (LDLRAD4, intron 3 of 5)	-3751	MIR5190	MIR5190	NR_049822			MIR5190			NA
TCF12_IP_R1_peak_785	chr16	79897657	79898115	+	125	NA	Intergenic	Intergenic	68740	LINC01229	LINC01229	NR_104660			LINC01229			NA
TCF12_IP_R1_peak_118	chr1	154717842	154718147	+	125	NA	intron (KCNN3, intron 3 of 8)	-intron (KCNN3, intron 3 of 8)	114344	KCNN3	KCNN3	NM_002249			KCNN3			NA
TCF12_IP_R1_peak_1412	chr3	155271690	155271986	+	125	NA	intron (PLCH1, intron 8 of 21)	-intron (PLCH1, intron 8 of 22)	150159	PLCH1	PLCH1	NM_014996			PLCH1			NA
TCF12_IP_R1_peak_945	chr18	71749567	71749826	+	125	NA	intron (FBXO15, intron 8 of 9)	-intron (FBXO15, intron 8 of 9)	65303	FBXO15	FBXO15	NM_001142958			FBXO15			NA
TCF12_IP_R1_peak_1046	chr2	69135474	69135812	+	124	NA	Intergenic	Intergenic	-36994	BMP10	BMP10	NM_014482			BMP10			NA
TCF12_IP_R1_peak_1454	chr4	37750174	37750464	+	124	NA	Intergenic	Intergenic	-62320	RELL1	RELL1	NM_001085399			RELL1			NA
TCF12_IP_R1_peak_1376	chr3	107844421	107844783	+	124	NA	promoter-TSS (LINC01215)	-promoter-TSS (LINC01215)	691	LINC01215	LINC01215	NR_110030			LINC01215			NA
TCF12_IP_R1_peak_1325	chr3	35338030	35338422	+	124	NA	intron (LOC101928135, intron 2 of 3)	-intron (LOC101928135, intron 2 of 3)	97289	LOC101928135	LOC101928135	NR_110817			LOC101928135			NA
TCF12_IP_R1_peak_540	chr13	58448695	58448990	+	124	NA	Intergenic	Intergenic	243053	PCDH17	PCDH17	NM_001040429			PCDH17			NA
TCF12_IP_R1_peak_1831	chr7	142273486	142273881	+	123	NA	Intergenic	Intergenic	-100448	MTRNR2L6	MTRNR2L6	NM_001190487			MTRNR2L6			NA
TCF12_IP_R1_peak_616	chr14	104535919	104536196	+	123	NA	Intergenic	Intergenic	-15966	ASPG	ASPG	NM_001080464			ASPG			NA
TCF12_IP_R1_peak_625	chr14	107175126	107175445	+	123	NA	Intergenic	Intergenic	82569	MIR7641-2	MIR7641-2	NR_106988_26			MIR7641-2			NA
TCF12_IP_R1_peak_19	chr1	14619086	14619454	+	123	NA	Intergenic	Intergenic	-305943	KAZN	KAZN	NM_201628			KAZN			NA
TCF12_IP_R1_peak_918	chr18	13612119	13612615	+	123	NA	exon (LDLRAD4, exon 1 of 4)	-exon (LDLRAD4, exon 1 of 4)	1254	MIR4526	MIR4526	NR_039752			MIR4526			NA
TCF12_IP_R1_peak_876	chr17	64410584	64411011	+	123	NA	intron (PRKCA-AS1, intron 2 of 3)	-intron (PRKCA, intron 2 of 16)	2175	PRKCA-AS1	PRKCA-AS1	NR_110822			PRKCA-AS1			NA
TCF12_IP_R1_peak_1032	chr2	54862005	54862595	+	123	NA	intron (SPTBN1, intron 16 of 30)	-intron (SPTBN1, intron 17 of 35)	76769	SPTBN1	SPTBN1	NM_003128			SPTBN1			NA
TCF12_IP_R1_peak_1476	chr4	80599638	80599951	+	122	NA	Intergenic	Intergenic	-148831	PCAT4	PCAT4	NR_026555			PCAT4			NA
TCF12_IP_R1_peak_1834	chr7	148981490	148981844	+	122	NA	promoter-TSS (LOC155060)	-promoter-TSS (LOC155060)	-705	LOC155060	LOC155060	NR_036573			LOC155060			NA
TCF12_IP_R1_peak_706	chr15	92109525	92109773	+	122	NA	Intergenic	Intergenic	103080	CRAT37	CRAT37	NR_110106			CRAT37			NA
TCF12_IP_R1_peak_913	chr18	12750136	12750703	+	122	NA	promoter-TSS (LOC100996324)	-promoter-TSS (LOC100996324)	-998	LOC100996324	LOC100996324	NR_110763			LOC100996324			NA
TCF12_IP_R1_peak_1910	chr8	121929582	121929842	+	122	NA	Intergenic	Intergenic	-105403	SNTB1	SNTB1	NM_021021			SNTB1			NA
TCF12_IP_R1_peak_1480	chr4	99370016	99370276	+	122	NA	Intergenic	Intergenic	187619	RAP1GDS1	RAP1GDS1	NM_001100427			RAP1GDS1			NA
TCF12_IP_R1_peak_523	chr13	42076885	42077153	+	122	NA	Intergenic	Intergenic	45477	RGCC	RGCC	NM_014059			RGCC			NA
TCF12_IP_R1_peak_255	chr10	44226941	44227283	+	122	NA	Intergenic	Intergenic	58753	HNRNPA3P1	HNRNPA3P1	NR_002726			HNRNPA3P1			NA
TCF12_IP_R1_peak_1543	chr5	6104843	6105086	+	122	NA	Intergenic	Intergenic	232441	FLJ33360	FLJ33360	NR_028351			FLJ33360			NA
TCF12_IP_R1_peak_611	chr14	102474275	102474962	+	122	NA	exon (DYNC1H1, exon 29 of 78)	-exon (DYNC1H1, exon 29 of 78)	43753	DYNC1H1	DYNC1H1	NM_001376			DYNC1H1			NA
TCF12_IP_R1_peak_507	chr13	21792852	21793254	+	122	NA	Intergenic	Intergenic	-15654	LINC01046	LINC01046	NR_125745			LINC01046			NA
TCF12_IP_R1_peak_1221	chr21	27190870	27191194	+	122	NA	Intergenic	Intergenic	-83067	ATP5J	ATP5J	NM_001003697			ATP5J			NA
TCF12_IP_R1_peak_1714	chr6	53710097	53710536	+	122	NA	intron (LRRC1, intron 2 of 13)	-intron (LRRC1, intron 2 of 13)	50538	LRRC1	LRRC1	NM_018214			LRRC1			NA
TCF12_IP_R1_peak_1258	chr22	24823484	24824368	+	122	NA	intron (ADORA2A, intron 1 of 1)	-intron (ADORA2A, intron 1 of 2)	396	ADORA2A	ADORA2A	NM_001278497			ADORA2A			NA
TCF12_IP_R1_peak_559	chr14	23025184	23025533	+	122	NA	Intergenic	Intergenic	32785	DAD1	DAD1	NM_001344			DAD1			NA
TCF12_IP_R1_peak_773	chr16	70437886	70438145	+	122	NA	intron (ST3GAL2, intron 1 of 6)	-intron (ST3GAL2, intron 1 of 6)	34976	ST3GAL2	ST3GAL2	NM_006927			ST3GAL2			NA
TCF12_IP_R1_peak_1737	chr6	135409028	135409371	+	122	NA	Intergenic	Intergenic	-33163	HBS1L	HBS1L	NM_001145207			HBS1L			NA
TCF12_IP_R1_peak_877	chr17	64446583	64446998	+	122	NA	intron (PRKCA, intron 2 of 16)	-intron (PRKCA, intron 2 of 16)	-33818	PRKCA-AS1	PRKCA-AS1	NR_110822			PRKCA-AS1			NA
TCF12_IP_R1_peak_1322	chr3	33049662	33050170	+	122	NA	intron (GLB1, intron 12 of 12)	-intron (GLB1, intron 15 of 15)	56850	CCR4	CCR4	NM_005508			CCR4			NA
TCF12_IP_R1_peak_110	chr1	118201383	118201897	+	122	NA	Intergenic	Intergenic	53036	FAM46C	FAM46C	NM_017709			FAM46C			NA
TCF12_IP_R1_peak_566	chr14	48247817	48248202	+	122	NA	intron (LINC00648, intron 2 of 2)	-intron (LINC00648, intron 2 of 2)	16208	LINC00648	LINC00648	NR_039996			LINC00648			NA
TCF12_IP_R1_peak_1863	chr8	20350674	20351115	+	122	NA	Intergenic	Intergenic	217610	LZTS1-AS1	LZTS1-AS1	NR_047509			LZTS1-AS1			NA
TCF12_IP_R1_peak_1264	chr22	29188079	29188507	+	122	NA	Intergenic	Intergenic	8267	XBP1	XBP1	NM_001079539			XBP1			NA
TCF12_IP_R1_peak_855	chr17	47419448	47419793	+	122	NA	intron (ZNF652, intron 1 of 5)	-intron (ZNF652, intron 1 of 5)	-18907	LOC102724596	LOC102724596	NR_110883			LOC102724596			NA
TCF12_IP_R1_peak_1964	chr9	80515918	80516387	+	122	NA	intron (GNAQ, intron 2 of 6)	-intron (GNAQ, intron 2 of 6)	130213	GNAQ	GNAQ	NM_002072			GNAQ			NA
TCF12_IP_R1_peak_516	chr13	31078228	31078507	+	122	NA	Intergenic	Intergenic	-38286	HMGB1	HMGB1	NM_002128			HMGB1			NA
TCF12_IP_R1_peak_1459	chr4	40303614	40304207	+	121	NA	Intergenic	Intergenic	-5292	LOC101060498	LOC101060498	NR_121640			LOC101060498			NA
TCF12_IP_R1_peak_1039	chr2	60327195	60327605	+	121	NA	Intergenic	Intergenic	287180	MIR4432	MIR4432	NR_039631			MIR4432			NA
TCF12_IP_R1_peak_903	chr18	8744651	8744959	+	120	NA	intron (MTCL1, intron 4 of 16)	-intron (MTCL1, intron 4 of 16)	27436	MTCL1	MTCL1	NM_015210			MTCL1			NA
TCF12_IP_R1_peak_1573	chr5	80926829	80927196	+	120	NA	intron (SSBP2, intron 3 of 16)	-intron (SSBP2, intron 3 of 16)	120060	SSBP2	SSBP2	NM_001256736			SSBP2			NA
TCF12_IP_R1_peak_1486	chr4	109193750	109194102	+	120	NA	Intergenic	Intergenic	-103814	LEF1	LEF1	NM_016269			LEF1			NA
TCF12_IP_R1_peak_1398	chr3	134215316	134215690	+	120	NA	intron (CEP63, intron 3 of 15)	-intron (CEP63, intron 2 of 11)	10456	CEP63	CEP63	NM_001042384			CEP63			NA
TCF12_IP_R1_peak_180	chr1	213539552	213539868	+	119	NA	Intergenic	Intergenic	315135	RPS6KC1	RPS6KC1	NM_001287218			RPS6KC1			NA
TCF12_IP_R1_peak_486	chr12	120516706	120517055	+	118	NA	intron (CCDC64, intron 6 of 8)	-intron (CCDC64, intron 6 of 8)	37763	RAB35	RAB35	NM_001167606			RAB35			NA
TCF12_IP_R1_peak_335	chr11	12739474	12739763	+	118	NA	intron (TEAD1, intron 2 of 12)	-intron (TEAD1, intron 2 of 12)	43649	TEAD1	TEAD1	NM_021961			TEAD1			NA
TCF12_IP_R1_peak_1980	chr9	92444945	92445254	+	118	NA	Intergenic	Intergenic	190401	UNQ6494	UNQ6494	NR_024280			UNQ6494			NA
TCF12_IP_R1_peak_1876	chr8	38535907	38536346	+	118	NA	Intergenic	Intergenic	-77351	RNF5P1	RNF5P1	NR_003129_7			RNF5P1			NA
TCF12_IP_R1_peak_1312	chr3	27387035	27387321	+	118	NA	intron (NEK10, intron 5 of 24)	-intron (NEK10, intron 5 of 38)	23773	NEK10	NEK10	NM_152534			NEK10			NA
TCF12_IP_R1_peak_7	chr1	9466097	9466378	+	118	NA	Intergenic	Intergenic	22738	LOC100506022	LOC100506022	NR_104622			LOC100506022			NA
TCF12_IP_R1_peak_317	chr10	130856200	130856673	+	118	NA	Intergenic	Intergenic	-409018	MGMT	MGMT	NM_002412			MGMT			NA
TCF12_IP_R1_peak_2019	chrX	12188872	12189260	+	118	NA	intron (FRMPD4, intron 1 of 16)	-intron (FRMPD4, intron 1 of 16)	32481	FRMPD4	FRMPD4	NM_014728			FRMPD4			NA
TCF12_IP_R1_peak_1649	chr6	6384741	6385026	+	118	NA	intron (LY86-AS1, intron 4 of 7)	-intron (LY86-AS1, intron 4 of 7)	-63959	F13A1	F13A1	NM_000129			F13A1			NA
TCF12_IP_R1_peak_1896	chr8	82059536	82059844	+	118	NA	Intergenic	Intergenic	-35387	PAG1	PAG1	NM_018440			PAG1			NA
TCF12_IP_R1_peak_282	chr10	88705695	88705951	+	118	NA	intron (MMRN2, intron 1 of 6)	-intron (MMRN2, intron 1 of 6)	11602	MMRN2	MMRN2	NM_024756			MMRN2			NA
TCF12_IP_R1_peak_1915	chr8	125210279	125210586	+	117	NA	intron (LOC101927588, intron 2 of 2)	-intron (LOC101927588, intron 2 of 2)	-26669	FER1L6-AS2	FER1L6-AS2	NR_103547			FER1L6-AS2			NA
TCF12_IP_R1_peak_1327	chr3	35706052	35706469	+	117	NA	intron (ARPP21, intron 1 of 19)	-intron (ARPP21, intron 1 of 5)	-16169	ARPP21	ARPP21	NM_001267617			ARPP21			NA
