PeakID (cmd=annotatePeaks.pl GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2100	chr6	109119812	109120057	+	0	NA	Intergenic	Intergenic	47077	LINC00222	LINC00222	NR_033376			LINC00222			NA
Interval_2260	chr7	144214967	144215196	+	0	NA	intron (TPK1, intron 8 of 8)	-intron (TPK1, intron 7 of 7)	-107761	NOBOX	NOBOX	NM_001080413			NOBOX			NA
Interval_627	chr12	112432578	112432729	+	0	NA	intron (TMEM116, intron 2 of 8)	-intron (TMEM116, intron 3 of 9)	18370	TMEM116	TMEM116	NM_138341			TMEM116			NA
Interval_1998	chr5	158821023	158821298	+	0	NA	Intergenic	Intergenic	62634	LOC285626	LOC285626	NR_037889			LOC285626			NA
Interval_494	chr11	118111829	118112130	+	0	NA	intron (MPZL3, intron 1 of 4)	-intron (MPZL3, intron 1 of 5)	11104	MPZL3	MPZL3	NM_001286152			MPZL3			NA
Interval_1080	chr18	911162	911331	+	0	NA	exon (ADCYAP1, exon 5 of 5)	-exon (ADCYAP1, exon 5 of 5)	6049	ADCYAP1	ADCYAP1	NM_001099733			ADCYAP1			NA
Interval_1023	chr17	56413223	56413488	+	0	NA	promoter-TSS (MIR4736)	-promoter-TSS (MIR4736)	28	MIR4736	MIR4736	NR_039889			MIR4736			NA
Interval_2386	chr8	135605456	135605650	+	0	NA	intron (ZFAT, intron 7 of 16)	-intron (ZFAT, intron 8 of 16)	-4761	ZFAT-AS1	ZFAT-AS1	NR_002438			ZFAT-AS1			NA
Interval_2433	chr9	94546619	94546790	+	0	NA	intron (ROR2, intron 1 of 8)	-intron (ROR2, intron 1 of 8)	-148077	MIR3910-2	MIR3910-2	NR_037489			MIR3910-2			NA
Interval_1867	chr4	140340690	140340841	+	0	NA	Intergenic	Intergenic	-34196	RAB33B	RAB33B	NM_031296			RAB33B			NA
Interval_520	chr12	700742	701072	+	0	NA	intron (NINJ2, intron 1 of 3)	-intron (NINJ2, intron 1 of 3)	-39150	LOC100049716	LOC100049716	NR_122124			LOC100049716			NA
Interval_754	chr14	69031919	69032089	+	0	NA	intron (RAD51B, intron 10 of 10)	-intron (RAD51B, intron 10 of 10)	228627	ZFP36L1	ZFP36L1	NM_001244701			ZFP36L1			NA
Interval_2482	chr9	132650819	132651096	+	0	NA	exon (FNBP1, exon 17 of 17)	-exon (FNBP1, exon 17 of 17)	19073	MIR6855	MIR6855	NR_106914			MIR6855			NA
Interval_2303	chr8	33005697	33006132	+	0	NA	Intergenic	Intergenic	324750	FUT10	FUT10	NM_032664			FUT10			NA
Interval_2323	chr8	60444493	60444762	+	0	NA	Intergenic	Intergenic	-412860	TOX	TOX	NM_014729			TOX			NA
Interval_1897	chr4	185958170	185958324	+	0	NA	Intergenic	Intergenic	18252	HELT	HELT	NM_001300782			HELT			NA
Interval_574	chr12	54230176	54230435	+	0	NA	Intergenic	Intergenic	-84686	CISTR	CISTR	NR_104332			CISTR			NA
Interval_572	chr12	52979862	52980262	+	0	NA	intron (KRT72, intron 8 of 8)	-intron (KRT72, intron 8 of 9)	-12453	KRT74	KRT74	NM_175053			KRT74			NA
Interval_2055	chr6	31691046	31691197	+	0	NA	promoter-TSS (C6orf25)	-promoter-TSS (C6orf25)	0	C6orf25	C6orf25	NM_138273_6			C6orf25			NA
Interval_1979	chr5	138861968	138862119	+	0	NA	promoter-TSS (TMEM173)	-promoter-TSS (TMEM173)	332	TMEM173	TMEM173	NM_198282			TMEM173			NA
Interval_1830	chr4	84033374	84033558	+	0	NA	intron (PLAC8, intron 1 of 4)	-intron (PLAC8, intron 1 of 3)	2445	PLAC8	PLAC8	NM_016619			PLAC8			NA
Interval_21	chr1	13825149	13825342	+	0	NA	intron (LRRC38, intron 1 of 1)	-intron (LRRC38, intron 1 of 1)	14997	LRRC38	LRRC38	NM_001010847			LRRC38			NA
Interval_1901	chr5	1313167	1313318	+	0	NA	Intergenic	Intergenic	-3750	MIR4457	MIR4457	NR_039662			MIR4457			NA
Interval_203	chr1	212183022	212183214	+	0	NA	intron (INTS7, intron 6 of 20)	-intron (INTS7, intron 4 of 18)	-25777	DTL	DTL	NM_001286229			DTL			NA
Interval_2006	chr5	169705597	169705880	+	0	NA	intron (LCP2, intron 3 of 20)	-intron (LCP2, intron 3 of 20)	19084	LCP2	LCP2	NM_005565			LCP2			NA
Interval_735	chr14	49831150	49831381	+	0	NA	Intergenic	Intergenic	221869	RPS29	RPS29	NM_001030001			RPS29			NA
Interval_497	chr11	120165849	120166000	+	0	NA	intron (POU2F3, intron 3 of 12)	-intron (POU2F3, intron 3 of 12)	-29283	LOC649133	LOC649133	NR_038829			LOC649133			NA
Interval_1272	chr2	83103017	83103361	+	0	NA	Intergenic	Intergenic	19262	LOC1720	LOC1720	NR_033423			LOC1720			NA
Interval_1452	chr20	54987278	54987433	+	0	NA	promoter-TSS (CASS4)	-promoter-TSS (CASS4)	41	CASS4	CASS4	NM_001164114			CASS4			NA
Interval_882	chr16	23526223	23526404	+	0	NA	Intergenic	Intergenic	-4498	GGA2	GGA2	NM_015044			GGA2			NA
Interval_864	chr15	99319959	99320110	+	0	NA	intron (IGF1R, intron 2 of 20)	-intron (IGF1R, intron 2 of 20)	-7621	MIR4714	MIR4714	NR_039864			MIR4714			NA
Interval_1241	chr2	45490290	45490656	+	0	NA	Intergenic	Intergenic	-8393	LINC01121	LINC01121	NR_033831			LINC01121			NA
Interval_1769	chr3	196359118	196359592	+	0	NA	exon (LINC01063, exon 1 of 2)	-exon (LINC01063, exon 1 of 2)	103	LINC01063	LINC01063	NR_132101			LINC01063			NA
Interval_55	chr1	33190818	33190969	+	0	NA	Intergenic	Intergenic	-16619	KIAA1522	KIAA1522	NM_001198972			KIAA1522			NA
Interval_1292	chr2	109830646	109830797	+	0	NA	intron (SH3RF3, intron 1 of 9)	-intron (SH3RF3, intron 1 of 9)	-72677	MIR4265	MIR4265	NR_036223			MIR4265			NA
Interval_1478	chr21	29907454	29907628	+	0	NA	Intergenic	Intergenic	-4099	LINC00161	LINC00161	NR_026553			LINC00161			NA
Interval_148	chr1	154155093	154155244	+	0	NA	intron (TPM3, intron 2 of 9)	-intron (TPM3, intron 1 of 7)	557	TPM3	TPM3	NM_152263			TPM3			NA
Interval_2494	chr9	139550351	139550678	+	0	NA	Intergenic	Intergenic	-2794	EGFL7	EGFL7	NM_201446			EGFL7			NA
Interval_2291	chr8	25059221	25059464	+	0	NA	intron (DOCK5, intron 1 of 51)	-intron (DOCK5, intron 1 of 51)	17055	DOCK5	DOCK5	NM_024940			DOCK5			NA
Interval_650	chr12	127253190	127253421	+	0	NA	intron (LINC00944, intron 1 of 4)	-intron (LINC00944, intron 1 of 4)	3503	LINC00944	LINC00944	NR_033878			LINC00944			NA
Interval_1746	chr3	190164504	190164696	+	0	NA	intron (TMEM207, intron 2 of 4)	-intron (TMEM207, intron 2 of 4)	3065	TMEM207	TMEM207	NM_207316			TMEM207			NA
Interval_928	chr16	85436661	85436902	+	0	NA	Intergenic	Intergenic	-96850	MIR5093	MIR5093	NR_049816			MIR5093			NA
Interval_1755	chr3	194673725	194674004	+	0	NA	Intergenic	Intergenic	-141453	XXYLT1-AS1	XXYLT1-AS1	NR_104188			XXYLT1-AS1			NA
Interval_1195	chr19	54714653	54714886	+	0	NA	Intergenic	Intergenic	10043	RPS9	RPS9	NM_001013			RPS9			NA
Interval_198	chr1	208063686	208063913	+	0	NA	intron (CD34, intron 4 of 7)	-intron (CD34, intron 4 of 7)	20884	CD34	CD34	NM_001773			CD34			NA
Interval_2112	chr6	135642571	135642750	+	0	NA	intron (AHI1, intron 24 of 27)	-intron (AHI1, intron 23 of 26)	140207	MYB	MYB	NM_001130172			MYB			NA
Interval_108	chr1	92270302	92270462	+	0	NA	intron (TGFBR3, intron 2 of 17)	-intron (TGFBR3, intron 2 of 16)	81454	TGFBR3	TGFBR3	NM_001195684			TGFBR3			NA
Interval_605	chr12	94178281	94178523	+	0	NA	intron (CRADD, intron 2 of 2)	-intron (CRADD, intron 2 of 2)	-46803	LOC101928731	LOC101928731	NR_110092			LOC101928731			NA
Interval_2127	chr6	149461688	149461843	+	0	NA	Intergenic	Intergenic	-77295	TAB2	TAB2	NM_001292034			TAB2			NA
Interval_1228	chr2	30513731	30513904	+	0	NA	Intergenic	Intergenic	-55695	LOC285043	LOC285043	NR_122048			LOC285043			NA
Interval_505	chr11	128145030	128145181	+	0	NA	Intergenic	Intergenic	247100	ETS1	ETS1	NM_001143820			ETS1			NA
Interval_192	chr1	204430745	204431090	+	0	NA	intron (PIK3C2B, intron 6 of 33)	-intron (PIK3C2B, intron 6 of 33)	28557	PIK3C2B	PIK3C2B	NM_002646			PIK3C2B			NA
Interval_1074	chr17	76815082	76815405	+	0	NA	intron (USP36, intron 9 of 19)	-intron (USP36, intron 9 of 19)	21726	USP36	USP36	NM_025090			USP36			NA
Interval_2181	chr7	24768357	24768536	+	0	NA	intron (DFNA5, intron 3 of 9)	-intron (DFNA5, intron 3 of 9)	29193	DFNA5	DFNA5	NM_001127454			DFNA5			NA
Interval_2156	chr6	170813658	170813838	+	0	NA	Intergenic	Intergenic	48669	PSMB1	PSMB1	NM_002793			PSMB1			NA
Interval_152	chr1	156014922	156015169	+	0	NA	intron (UBQLN4, intron 5 of 10)	-intron (UBQLN4, intron 5 of 10)	8571	UBQLN4	UBQLN4	NM_020131			UBQLN4			NA
Interval_456	chr11	64267178	64267558	+	0	NA	Intergenic	Intergenic	50839	LOC100996455	LOC100996455	NR_073177			LOC100996455			NA
Interval_942	chr17	6544324	6544475	+	0	NA	promoter-TSS (KIAA0753)	-promoter-TSS (KIAA0753)	-152	KIAA0753	KIAA0753	NM_014804			KIAA0753			NA
Interval_1220	chr2	18495894	18496048	+	0	NA	Intergenic	Intergenic	245988	RDH14	RDH14	NM_020905			RDH14			NA
Interval_1916	chr5	31823751	31823959	+	0	NA	intron (PDZD2, intron 1 of 23)	-intron (PDZD2, intron 1 of 23)	24824	PDZD2	PDZD2	NM_178140			PDZD2			NA
Interval_1090	chr18	22803196	22803473	+	0	NA	intron (ZNF521, intron 4 of 7)	-intron (ZNF521, intron 3 of 6)	128880	ZNF521	ZNF521	NM_015461			ZNF521			NA
Interval_135	chr1	116044107	116044295	+	0	NA	Intergenic	Intergenic	-140373	VANGL1	VANGL1	NM_001172411			VANGL1			NA
Interval_524	chr12	904487	904786	+	0	NA	intron (WNK1, intron 1 of 27)	-intron (WNK1, intron 1 of 27)	42547	WNK1	WNK1	NM_014823			WNK1			NA
Interval_482	chr11	93254215	93254599	+	0	NA	intron (SMCO4, intron 1 of 2)	-intron (SMCO4, intron 1 of 2)	22139	SMCO4	SMCO4	NM_020179			SMCO4			NA
Interval_2376	chr8	130180330	130180698	+	0	NA	Intergenic	Intergenic	72972	LINC00977	LINC00977	NR_033916			LINC00977			NA
Interval_2464	chr9	124675162	124675349	+	0	NA	intron (TTLL11, intron 6 of 8)	-intron (TTLL11, intron 6 of 8)	170191	DAB2IP	DAB2IP	NM_032552			DAB2IP			NA
Interval_694	chr13	58660018	58660206	+	0	NA	Intergenic	Intergenic	-79849	LOC101926897	LOC101926897	NR_120416			LOC101926897			NA
Interval_682	chr13	45970326	45970485	+	0	NA	intron (SLC25A30, intron 9 of 9)	-intron (SLC25A30, intron 9 of 9)	-21892	SLC25A30-AS1	SLC25A30-AS1	NR_047031			SLC25A30-AS1			NA
Interval_677	chr13	40429291	40429570	+	0	NA	Intergenic	Intergenic	-191158	MIR4305	MIR4305	NR_036190			MIR4305			NA
Interval_1885	chr4	159748060	159748282	+	0	NA	intron (FNIP2, intron 2 of 16)	-intron (FNIP2, intron 2 of 16)	57989	FNIP2	FNIP2	NM_020840			FNIP2			NA
Interval_13	chr1	9486410	9486721	+	0	NA	exon (LOC100506022, exon 2 of 2)	-exon (LOC100506022, exon 2 of 2)	2410	LOC100506022	LOC100506022	NR_104622			LOC100506022			NA
Interval_1388	chr20	4850088	4850311	+	0	NA	intron (SLC23A2, intron 12 of 16)	-intron (SLC23A2, intron 12 of 16)	-54430	RASSF2	RASSF2	NM_014737			RASSF2			NA
Interval_2264	chr7	150373975	150374139	+	0	NA	Intergenic	Intergenic	-8737	GIMAP2	GIMAP2	NM_015660			GIMAP2			NA
Interval_2089	chr6	56584236	56584460	+	0	NA	intron (DST, intron 2 of 93)	-intron (DST, intron 5 of 96)	30790	RNU6-71P	RNU6-71P	NR_046940			RNU6-71P			NA
Interval_193	chr1	205861394	205861545	+	0	NA	intron (LOC284581, intron 2 of 2)	-intron (LOC284581, intron 2 of 2)	30262	LOC284581	LOC284581	NR_046097			LOC284581			NA
Interval_1471	chr21	16886509	16886830	+	0	NA	Intergenic	Intergenic	-215675	USP25	USP25	NM_013396			USP25			NA
Interval_1730	chr3	183273418	183273600	+	0	NA	promoter-TSS (KLHL6)	-promoter-TSS (KLHL6)	-10	KLHL6	KLHL6	NM_130446			KLHL6			NA
Interval_1655	chr3	107810749	107811096	+	0	NA	promoter-TSS (CD47)	-promoter-TSS (CD47)	-987	CD47	CD47	NM_001777			CD47			NA
Interval_1774	chr4	6280520	6280792	+	0	NA	intron (WFS1, intron 2 of 7)	-intron (WFS1, intron 2 of 7)	9079	WFS1	WFS1	NM_006005			WFS1			NA
Interval_2248	chr7	138309934	138310178	+	0	NA	intron (SVOPL, intron 9 of 11)	-intron (SVOPL, intron 12 of 14)	38913	SVOPL	SVOPL	NM_001139456			SVOPL			NA
Interval_881	chr16	21658695	21658846	+	0	NA	exon (IGSF6, exon 2 of 6)	-exon (IGSF6, exon 2 of 6)	5217	IGSF6	IGSF6	NM_005849			IGSF6			NA
Interval_1449	chr20	50702393	50702544	+	0	NA	intron (ZFP64, intron 8 of 8)	-intron (ZFP64, intron 8 of 8)	106056	ZFP64	ZFP64	NM_018197			ZFP64			NA
Interval_1186	chr19	47747380	47747633	+	0	NA	Intergenic	Intergenic	-12225	CCDC9	CCDC9	NM_015603			CCDC9			NA
Interval_969	chr17	29760199	29760433	+	0	NA	intron (RAB11FIP4, intron 2 of 14)	-intron (RAB11FIP4, intron 2 of 14)	41674	RAB11FIP4	RAB11FIP4	NM_001303542			RAB11FIP4			NA
Interval_2189	chr7	37396954	37397511	+	0	NA	intron (ELMO1, intron 1 of 21)	-intron (ELMO1, intron 1 of 21)	359831	ELMO1-AS1	ELMO1-AS1	NR_104120			ELMO1-AS1			NA
Interval_1809	chr4	62706465	62706616	+	0	NA	intron (ADGRL3, intron 6 of 22)	-intron (ADGRL3, intron 6 of 22)	320943	ADGRL3-AS1	ADGRL3-AS1	NR_110595			ADGRL3-AS1			NA
Interval_1330	chr2	173092535	173092859	+	0	NA	Intergenic	Intergenic	124963	DLX2-AS1	DLX2-AS1	NR_126376			DLX2-AS1			NA
Interval_2300	chr8	29886255	29886421	+	0	NA	Intergenic	Intergenic	54386	SARAF	SARAF	NM_016127			SARAF			NA
Interval_1114	chr18	60765900	60766052	+	0	NA	Intergenic	Intergenic	220637	BCL2	BCL2	NM_000657			BCL2			NA
Interval_1316	chr2	151306481	151306678	+	0	NA	Intergenic	Intergenic	37630	RND3	RND3	NM_005168			RND3			NA
Interval_737	chr14	52620832	52621021	+	0	NA	Intergenic	Intergenic	-84980	NID2	NID2	NM_007361			NID2			NA
Interval_562	chr12	48171608	48171763	+	0	NA	intron (SLC48A1, intron 1 of 2)	-intron (SLC48A1, intron 1 of 2)	4718	SLC48A1	SLC48A1	NM_017842			SLC48A1			NA
Interval_3	chr1	2207646	2207797	+	0	NA	intron (SKI, intron 1 of 6)	-intron (SKI, intron 1 of 6)	47587	SKI	SKI	NM_003036			SKI			NA
Interval_1084	chr18	13313328	13313606	+	0	NA	intron (LDLRAD4, intron 2 of 5)	-intron (LDLRAD4, intron 1 of 5)	94738	LDLRAD4	LDLRAD4	NM_001276249			LDLRAD4			NA
Interval_95	chr1	64047961	64048156	+	0	NA	Intergenic	Intergenic	-10889	PGM1	PGM1	NM_001172819			PGM1			NA
Interval_177	chr1	175448759	175448942	+	0	NA	intron (TNR, intron 2 of 22)	-intron (TNR, intron 2 of 22)	263902	TNR	TNR	NM_003285			TNR			NA
Interval_1285	chr2	102685875	102686081	+	0	NA	promoter-TSS (IL1R1)	-promoter-TSS (IL1R1)	-858	IL1R1	IL1R1	NM_000877			IL1R1			NA
Interval_955	chr17	17207837	17208080	+	0	NA	intron (NT5M, intron 1 of 4)	-intron (NT5M, intron 1 of 4)	1278	NT5M	NT5M	NM_020201			NT5M			NA
Interval_1383	chr20	3074626	3074815	+	0	NA	Intergenic	Intergenic	-9350	AVP	AVP	NM_000490			AVP			NA
Interval_435	chr11	40298588	40298823	+	0	NA	intron (LRRC4C, intron 4 of 6)	-intron (LRRC4C, intron 4 of 6)	15975	LRRC4C	LRRC4C	NM_001258419			LRRC4C			NA
Interval_274	chr10	26248895	26249091	+	0	NA	intron (MYO3A, intron 4 of 34)	-intron (MYO3A, intron 4 of 34)	25991	MYO3A	MYO3A	NM_017433			MYO3A			NA
Interval_1256	chr2	61067846	61068261	+	0	NA	Intergenic	Intergenic	40396	LINC01185	LINC01185	NR_033980			LINC01185			NA
Interval_2473	chr9	130150705	130150919	+	0	NA	intron (GARNL3, intron 25 of 27)	-intron (GARNL3, intron 26 of 28)	-8605	SLC2A8	SLC2A8	NM_001271712			SLC2A8			NA
Interval_501	chr11	126099803	126099972	+	0	NA	intron (FAM118B, intron 2 of 8)	-intron (FAM118B, intron 2 of 8)	18268	FAM118B	FAM118B	NM_024556			FAM118B			NA
Interval_837	chr15	74163400	74163648	+	0	NA	Intergenic	Intergenic	-2403	TBC1D21	TBC1D21	NM_001286434			TBC1D21			NA
Interval_2319	chr8	57967534	57967750	+	0	NA	Intergenic	Intergenic	-61212	IMPAD1	IMPAD1	NM_017813			IMPAD1			NA
Interval_2259	chr7	142633087	142633386	+	0	NA	Intergenic	Intergenic	-2416	TRPV5	TRPV5	NM_019841			TRPV5			NA
Interval_1696	chr3	154828750	154829099	+	0	NA	intron (MME, intron 3 of 22)	-intron (MME, intron 3 of 22)	30845	MME	MME	NM_007287			MME			NA
Interval_2371	chr8	126291339	126291575	+	0	NA	intron (NSMCE2, intron 5 of 7)	-intron (NSMCE2, intron 5 of 7)	-151106	TRIB1	TRIB1	NM_001282985			TRIB1			NA
Interval_2263	chr7	150365521	150365786	+	0	NA	Intergenic	Intergenic	-17141	GIMAP2	GIMAP2	NM_015660			GIMAP2			NA
Interval_760	chr14	73061162	73061406	+	0	NA	Intergenic	Intergenic	77756	MIR7843	MIR7843	NR_106994			MIR7843			NA
Interval_22	chr1	15744031	15744240	+	0	NA	intron (EFHD2, intron 1 of 3)	-intron (EFHD2, intron 1 of 3)	7744	EFHD2	EFHD2	NM_024329			EFHD2			NA
Interval_271	chr10	22535927	22536078	+	0	NA	Intergenic	Intergenic	-4999	LOC100130992	LOC100130992	NR_038921			LOC100130992			NA
Interval_1032	chr17	62250040	62250247	+	0	NA	intron (TEX2, intron 6 of 11)	-intron (TEX2, intron 6 of 11)	26444	SNORA76C	SNORA76C	NR_002995			SNORA76C			NA
Interval_2575	chrX	153192142	153192502	+	0	NA	promoter-TSS (ARHGAP4)	-promoter-TSS (ARHGAP4)	-608	ARHGAP4	ARHGAP4	NM_001666			ARHGAP4			NA
Interval_229	chr1	230223140	230223374	+	0	NA	intron (GALNT2, intron 1 of 15)	-intron (GALNT2, intron 1 of 15)	20315	GALNT2	GALNT2	NM_004481			GALNT2			NA
Interval_1259	chr2	62537054	62537269	+	0	NA	Intergenic	Intergenic	104200	MIR5192	MIR5192	NR_049824			MIR5192			NA
Interval_644	chr12	123518594	123518899	+	0	NA	intron (PITPNM2, intron 2 of 24)	-intron (PITPNM2, intron 2 of 24)	-23471	MIR4304	MIR4304	NR_036187			MIR4304			NA
Interval_1913	chr5	11174185	11174343	+	0	NA	intron (CTNND2, intron 9 of 21)	-intron (CTNND2, intron 10 of 20)	-412877	DAP	DAP	NM_001291963			DAP			NA
Interval_1356	chr2	224491571	224491724	+	0	NA	Intergenic	Intergenic	-24430	SCG2	SCG2	NM_003469			SCG2			NA
Interval_1594	chr3	38462348	38462538	+	0	NA	Intergenic	Intergenic	-33347	ACVR2B	ACVR2B	NM_001106			ACVR2B			NA
Interval_1174	chr19	35453336	35453664	+	0	NA	intron (ZNF792, intron 1 of 3)	-intron (ZNF792, intron 1 of 3)	1453	ZNF792	ZNF792	NM_175872			ZNF792			NA
Interval_2241	chr7	130034401	130034552	+	0	NA	exon (CEP41, exon 10 of 10)	-exon (CEP41, exon 10 of 10)	14264	CPA1	CPA1	NM_001868			CPA1			NA
Interval_1547	chr22	51110922	51111137	+	0	NA	Intergenic	Intergenic	-2041	SHANK3	SHANK3	NM_033517			SHANK3			NA
Interval_966	chr17	26366398	26366549	+	0	NA	Intergenic	Intergenic	-3215	NLK	NLK	NM_016231			NLK			NA
Interval_1117	chr18	68294577	68294797	+	0	NA	Intergenic	Intergenic	23406	GTSCR1	GTSCR1	NM_001278515			GTSCR1			NA
Interval_1128	chr19	2083611	2083782	+	0	NA	intron (MOB3A, intron 2 of 4)	-intron (MOB3A, intron 2 of 4)	12573	MOB3A	MOB3A	NM_130807			MOB3A			NA
Interval_888	chr16	29036657	29036848	+	0	NA	Intergenic	Intergenic	40365	LAT	LAT	NM_001014988			LAT			NA
Interval_120	chr1	104661390	104661578	+	0	NA	Intergenic	Intergenic	45839	LOC100129138	LOC100129138	NR_033990			LOC100129138			NA
Interval_181	chr1	197116133	197116315	+	0	NA	promoter-TSS (ASPM)	-promoter-TSS (ASPM)	-400	ASPM	ASPM	NM_001206846			ASPM			NA
Interval_2162	chr7	2774706	2774911	+	0	NA	intron (GNA12, intron 2 of 3)	-intron (GNA12, intron 1 of 2)	55652	AMZ1	AMZ1	NM_133463			AMZ1			NA
Interval_470	chr11	75012871	75013072	+	0	NA	intron (ARRB1, intron 1 of 14)	-intron (ARRB1, intron 1 of 15)	33259	MIR326	MIR326	NR_029891			MIR326			NA
Interval_2381	chr8	133997843	133998025	+	0	NA	intron (TG, intron 35 of 47)	-intron (TG, intron 35 of 47)	60892	MIR7848	MIR7848	NR_107002			MIR7848			NA
Interval_269	chr10	17620748	17620965	+	0	NA	Intergenic	Intergenic	38517	HACD1	HACD1	NM_014241			HACD1			NA
Interval_909	chr16	57923807	57923958	+	0	NA	intron (CNGB1, intron 31 of 32)	-intron (CNGB1, intron 31 of 32)	79333	LOC388282	LOC388282	NM_001278081			LOC388282			NA
Interval_1162	chr19	16479959	16480271	+	0	NA	intron (EPS15L1, intron 21 of 22)	-intron (EPS15L1, intron 22 of 23)	44464	KLF2	KLF2	NM_016270			KLF2			NA
Interval_1052	chr17	72223897	72224121	+	0	NA	intron (TTYH2, intron 2 of 13)	-intron (TTYH2, intron 2 of 13)	-14549	MGC16275	MGC16275	NR_026914			MGC16275			NA
Interval_17	chr1	10992287	10992560	+	0	NA	Intergenic	Intergenic	49671	C1orf127	C1orf127	NM_001170754			C1orf127			NA
Interval_2320	chr8	59713990	59714385	+	0	NA	Intergenic	Intergenic	-141783	NSMAF	NSMAF	NM_003580			NSMAF			NA
Interval_1283	chr2	102136816	102137162	+	0	NA	Intergenic	Intergenic	-45824	RFX8	RFX8	NM_001145664			RFX8			NA
Interval_2119	chr6	139434419	139434693	+	0	NA	Intergenic	Intergenic	-21693	HECA	HECA	NM_016217			HECA			NA
Interval_1609	chr3	47029325	47029525	+	0	NA	intron (NBEAL2, intron 1 of 53)	-intron (NBEAL2, intron 1 of 53)	8252	NBEAL2	NBEAL2	NM_015175			NBEAL2			NA
Interval_1941	chr5	78204082	78204254	+	0	NA	intron (ARSB, intron 5 of 7)	-intron (ARSB, intron 4 of 7)	77598	ARSB	ARSB	NM_198709			ARSB			NA
Interval_2125	chr6	148060097	148060248	+	0	NA	Intergenic	Intergenic	230344	SAMD5	SAMD5	NM_001030060			SAMD5			NA
Interval_96	chr1	64449457	64449643	+	0	NA	intron (ROR1, intron 1 of 8)	-intron (ROR1, intron 1 of 6)	128338	ROR1-AS1	ROR1-AS1	NR_110665			ROR1-AS1			NA
Interval_965	chr17	25929685	25929989	+	0	NA	intron (KSR1, intron 12 of 20)	-intron (KSR1, intron 12 of 20)	-28337	LGALS9	LGALS9	NM_009587			LGALS9			NA
Interval_705	chr13	87535099	87535412	+	0	NA	Intergenic	Intergenic	735740	MIR4500	MIR4500	NR_039722			MIR4500			NA
Interval_1380	chr2	242280247	242280530	+	0	NA	intron (SEPT2, intron 7 of 12)	-intron (SEPT2, intron 8 of 13)	-15276	FARP2	FARP2	NM_014808			FARP2			NA
Interval_1368	chr2	235602023	235602175	+	0	NA	Intergenic	Intergenic	-196406	ARL4C	ARL4C	NM_005737			ARL4C			NA
Interval_252	chr10	5521517	5521853	+	0	NA	Intergenic	Intergenic	19848	CALML5	CALML5	NM_017422			CALML5			NA
Interval_593	chr12	68759151	68759361	+	0	NA	Intergenic	Intergenic	-33095	MDM1	MDM1	NM_020128			MDM1			NA
Interval_2419	chr9	80647953	80648104	+	0	NA	Intergenic	Intergenic	-1663	GNAQ	GNAQ	NM_002072			GNAQ			NA
Interval_1303	chr2	127292133	127292284	+	0	NA	Intergenic	Intergenic	-121303	GYPC	GYPC	NM_001256584			GYPC			NA
Interval_1776	chr4	8230610	8230928	+	0	NA	intron (SH3TC1, intron 12 of 17)	-intron (SH3TC1, intron 12 of 17)	29709	SH3TC1	SH3TC1	NM_018986			SH3TC1			NA
Interval_507	chr11	128245937	128246211	+	0	NA	Intergenic	Intergenic	146131	ETS1	ETS1	NM_001143820			ETS1			NA
Interval_1615	chr3	52440259	52440410	+	0	NA	exon (BAP1, exon 9 of 17)	-exon (BAP1, exon 9 of 17)	3787	BAP1	BAP1	NM_004656			BAP1			NA
Interval_795	chr14	106852339	106852588	+	0	NA	Intergenic	Intergenic	-85982	LINC00221	LINC00221	NR_027457			LINC00221			NA
Interval_300	chr10	48611633	48611857	+	0	NA	Intergenic	Intergenic	-172607	GDF10	GDF10	NM_004962			GDF10			NA
Interval_176	chr1	175368766	175369120	+	0	NA	intron (TNR, intron 4 of 22)	-intron (TNR, intron 4 of 22)	-206994	KIAA0040	KIAA0040	NM_001162894			KIAA0040			NA
Interval_69	chr1	42706633	42706805	+	0	NA	intron (FOXJ3, intron 4 of 12)	-intron (FOXJ3, intron 4 of 12)	-76324	GUCA2A	GUCA2A	NM_033553			GUCA2A			NA
Interval_1574	chr3	16977805	16978040	+	0	NA	intron (PLCL2, intron 1 of 5)	-intron (PLCL2, intron 3 of 7)	3234	MIR3714	MIR3714	NR_037465			MIR3714			NA
Interval_1879	chr4	154001129	154001418	+	0	NA	Intergenic	Intergenic	-124293	TRIM2	TRIM2	NM_001130067			TRIM2			NA
Interval_2469	chr9	128348606	128348757	+	0	NA	intron (MAPKAP1, intron 4 of 10)	-intron (MAPKAP1, intron 4 of 11)	120832	MAPKAP1	MAPKAP1	NM_024117			MAPKAP1			NA
Interval_772	chr14	89631817	89632076	+	0	NA	intron (FOXN3, intron 5 of 5)	-intron (FOXN3, intron 6 of 6)	251508	FOXN3	FOXN3	NM_001085471			FOXN3			NA
Interval_294	chr10	45241331	45241731	+	0	NA	Intergenic	Intergenic	-165233	TMEM72	TMEM72	NM_001123376			TMEM72			NA
Interval_443	chr11	46692641	46692794	+	0	NA	intron (ATG13, intron 16 of 16)	-intron (ATG13, intron 17 of 17)	29498	ARHGAP1	ARHGAP1	NM_004308			ARHGAP1			NA
