PeakID (cmd=annotatePeaks.pl TCF12_IP_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
TCF12_IP_R1_peak_12563	chr4	14878792	14879323	+	502	NA	intron (LINC00504, intron 1 of 6)	-intron (LINC00504, intron 1 of 6)	10736	LINC00504	LINC00504	NR_126435			LINC00504			NA
TCF12_IP_R1_peak_17302	chrX	114556925	114557239	+	502	NA	Intergenic	Intergenic	32799	LUZP4	LUZP4	NM_016383			LUZP4			NA
TCF12_IP_R1_peak_14307	chr6	41168135	41169089	+	502	NA	intron (TREML2, intron 1 of 4)	-intron (TREML2, intron 1 of 4)	313	TREML2	TREML2	NM_024807			TREML2			NA
TCF12_IP_R1_peak_11176	chr22	42793157	42793702	+	502	NA	intron (NFAM1, intron 4 of 5)	-intron (NFAM1, intron 4 of 5)	-28215	LINC01315	LINC01315	NR_120597			LINC01315			NA
TCF12_IP_R1_peak_10394	chr20	48622204	48622589	+	502	NA	Intergenic	Intergenic	22883	SNAI1	SNAI1	NM_005985			SNAI1			NA
TCF12_IP_R1_peak_11930	chr3	123968849	123969326	+	502	NA	intron (KALRN, intron 3 of 33)	-intron (KALRN, intron 3 of 59)	117311	MIR5002	MIR5002	NR_049798			MIR5002			NA
TCF12_IP_R1_peak_9392	chr2	79854425	79854700	+	502	NA	intron (CTNNA2, intron 1 of 17)	-intron (CTNNA2, intron 1 of 16)	21923	MIR4264	MIR4264	NR_036231			MIR4264			NA
TCF12_IP_R1_peak_6904	chr17	46520113	46520542	+	502	NA	Intergenic	Intergenic	-1868	LOC101927166	LOC101927166	NR_110804			LOC101927166			NA
TCF12_IP_R1_peak_7657	chr18	22803204	22803489	+	502	NA	intron (ZNF521, intron 4 of 7)	-intron (ZNF521, intron 3 of 6)	128868	ZNF521	ZNF521	NM_015461			ZNF521			NA
TCF12_IP_R1_peak_12122	chr3	167659368	167659892	+	501	NA	Intergenic	Intergenic	45894	LINC01330	LINC01330	NR_033843			LINC01330			NA
TCF12_IP_R1_peak_6627	chr17	19290601	19291066	+	501	NA	promoter-TSS (MFAP4)	-promoter-TSS (MFAP4)	-301	MFAP4	MFAP4	NM_002404			MFAP4			NA
TCF12_IP_R1_peak_1356	chr1	221881404	221881753	+	501	NA	intron (DUSP10, intron 1 of 2)	-intron (DUSP10, intron 2 of 3)	33940	DUSP10	DUSP10	NM_007207			DUSP10			NA
TCF12_IP_R1_peak_11601	chr3	46736985	46737402	+	500	NA	Intergenic	Intergenic	-1999	ALS2CL	ALS2CL	NM_147129			ALS2CL			NA
TCF12_IP_R1_peak_1941	chr10	45915978	45916545	+	500	NA	intron (ALOX5, intron 4 of 12)	-intron (ALOX5, intron 4 of 13)	32308	LOC102724323	LOC102724323	NR_120674			LOC102724323			NA
TCF12_IP_R1_peak_13552	chr5	123392920	123393268	+	500	NA	Intergenic	Intergenic	381119	LINC01170	LINC01170	NR_125774			LINC01170			NA
TCF12_IP_R1_peak_12002	chr3	129812627	129813114	+	500	NA	intron (ALG1L2, intron 4 of 7)	-intron (ALG1L2, intron 4 of 7)	12196	ALG1L2	ALG1L2	NM_001136152			ALG1L2			NA
TCF12_IP_R1_peak_15604	chr7	152161082	152161788	+	499	NA	exon (LINC01003, exon 1 of 1)	-exon (LINC01003, exon 1 of 1)	226	LINC01003	LINC01003	NR_027387			LINC01003			NA
TCF12_IP_R1_peak_5793	chr16	4466371	4467240	+	499	NA	exon (CORO7, exon 1 of 28)	-exon (CORO7, exon 1 of 28)	157	CORO7	CORO7	NM_024535			CORO7			NA
TCF12_IP_R1_peak_2748	chr11	44590340	44591060	+	498	NA	intron (CD82, intron 1 of 9)	-intron (CD82, intron 1 of 8)	3559	CD82	CD82	NM_001024844			CD82			NA
TCF12_IP_R1_peak_7309	chr17	76126486	76126914	+	498	NA	promoter-TSS (TMC8)	-promoter-TSS (TMC8)	-159	TMC8	TMC8	NM_152468			TMC8			NA
TCF12_IP_R1_peak_14525	chr6	106533998	106534450	+	497	NA	promoter-TSS (PRDM1)	-promoter-TSS (PRDM1)	-12513	PRDM1	PRDM1	NM_182907			PRDM1			NA
TCF12_IP_R1_peak_354	chr1	26615535	26615999	+	496	NA	intron (UBXN11, intron 4 of 10)	-intron (UBXN11, intron 4 of 10)	9554	SH3BGRL3	SH3BGRL3	NM_031286			SH3BGRL3			NA
TCF12_IP_R1_peak_10342	chr20	42578801	42579324	+	496	NA	intron (TOX2, intron 1 of 7)	-intron (TOX2, intron 1 of 8)	34280	TOX2	TOX2	NM_001098798			TOX2			NA
TCF12_IP_R1_peak_16185	chr8	131449768	131450178	+	496	NA	intron (ASAP1, intron 1 of 29)	-intron (ASAP1, intron 1 of 30)	5933	ASAP1	ASAP1	NM_001247996			ASAP1			NA
TCF12_IP_R1_peak_14635	chr6	138724909	138725420	+	495	NA	promoter-TSS (HEBP2)	-promoter-TSS (HEBP2)	-172	HEBP2	HEBP2	NM_014320			HEBP2			NA
TCF12_IP_R1_peak_2069	chr10	74016788	74017061	+	495	NA	Intergenic	Intergenic	-16753	DDIT4	DDIT4	NM_019058			DDIT4			NA
TCF12_IP_R1_peak_7123	chr17	66255197	66255496	+	494	NA	promoter-TSS (ARSG)	-promoter-TSS (ARSG)	23	ARSG	ARSG	NM_014960			ARSG			NA
TCF12_IP_R1_peak_11303	chr22	50907898	50908859	+	494	NA	intron (SBF1, intron 1 of 40)	-intron (SBF1, intron 1 of 40)	5122	SBF1	SBF1	NM_002972			SBF1			NA
TCF12_IP_R1_peak_13468	chr5	94982344	94983156	+	494	NA	exon (RFESD, exon 1 of 6)	-exon (RFESD, exon 1 of 6)	167	RFESD	RFESD	NM_173362			RFESD			NA
TCF12_IP_R1_peak_16200	chr8	134087057	134087425	+	494	NA	exon (SLA, exon 2 of 9)	-exon (SLA, exon 2 of 9)	-14638	SLA	SLA	NM_001045557			SLA			NA
TCF12_IP_R1_peak_8229	chr19	10664518	10665115	+	494	NA	TTS (ATG4D)	-TTS (ATG4D)	2018	MIR1238	MIR1238	NR_031603			MIR1238			NA
TCF12_IP_R1_peak_12497	chr4	5872501	5872787	+	494	NA	intron (CRMP1, intron 1 of 13)	-intron (CRMP1, intron 1 of 13)	17699	CRMP1	CRMP1	NM_001014809			CRMP1			NA
TCF12_IP_R1_peak_14232	chr6	33813241	33813511	+	494	NA	Intergenic	Intergenic	-41583	MLN	MLN	NM_001040109			MLN			NA
TCF12_IP_R1_peak_8409	chr19	17201316	17201602	+	494	NA	intron (MYO9B, intron 1 of 39)	-intron (MYO9B, intron 1 of 39)	14868	MYO9B	MYO9B	NM_004145			MYO9B			NA
TCF12_IP_R1_peak_10135	chr20	12034070	12034351	+	494	NA	Intergenic	Intergenic	162839	BTBD3	BTBD3	NM_181443			BTBD3			NA
TCF12_IP_R1_peak_982	chr1	154154708	154155068	+	493	NA	intron (TPM3, intron 2 of 9)	-intron (TPM3, intron 1 of 7)	837	TPM3	TPM3	NM_152263			TPM3			NA
TCF12_IP_R1_peak_1239	chr1	202129082	202130066	+	493	NA	promoter-TSS (PTPN7)	-promoter-TSS (PTPN7)	1142	PTPN7	PTPN7	NM_001199797			PTPN7			NA
TCF12_IP_R1_peak_9255	chr2	55646747	55647412	+	492	NA	promoter-TSS (CCDC88A)	-promoter-TSS (CCDC88A)	-22	CCDC88A	CCDC88A	NM_001135597			CCDC88A			NA
TCF12_IP_R1_peak_14499	chr6	89855749	89856579	+	492	NA	exon (PM20D2, exon 1 of 7)	-exon (PM20D2, exon 1 of 7)	395	PM20D2	PM20D2	NM_001010853			PM20D2			NA
TCF12_IP_R1_peak_3089	chr11	71811561	71811889	+	492	NA	intron (LAMTOR1, intron 1 of 4)	-intron (LRTOMT, intron 3 of 6)	2708	LAMTOR1	LAMTOR1	NM_017907			LAMTOR1			NA
TCF12_IP_R1_peak_3345	chr12	838004	838362	+	492	NA	Intergenic	Intergenic	-23906	WNK1	WNK1	NM_014823			WNK1			NA
TCF12_IP_R1_peak_15944	chr8	66860758	66861142	+	491	NA	Intergenic	Intergenic	-72841	DNAJC5B	DNAJC5B	NM_033105			DNAJC5B			NA
TCF12_IP_R1_peak_13538	chr5	115790201	115790593	+	491	NA	intron (SEMA6A-AS1, intron 2 of 2)	-intron (SEMA6A, intron 19 of 19)	7203	SEMA6A-AS1	SEMA6A-AS1	NR_109879			SEMA6A-AS1			NA
TCF12_IP_R1_peak_10695	chr21	43539027	43539390	+	491	NA	intron (UMODL1, intron 13 of 21)	-intron (UMODL1, intron 14 of 22)	-10564	UMODL1-AS1	UMODL1-AS1	NR_027243			UMODL1-AS1			NA
TCF12_IP_R1_peak_1637	chr10	5708032	5708473	+	490	NA	intron (ASB13, intron 1 of 6)	-intron (ASB13, intron 1 of 5)	306	ASB13	ASB13	NM_024701			ASB13			NA
TCF12_IP_R1_peak_9196	chr2	43437670	43438129	+	489	NA	Intergenic	Intergenic	15846	ZFP36L2	ZFP36L2	NM_006887			ZFP36L2			NA
TCF12_IP_R1_peak_7899	chr19	836437	836755	+	489	NA	Intergenic	Intergenic	-4389	PRTN3	PRTN3	NM_002777			PRTN3			NA
TCF12_IP_R1_peak_4305	chr13	46869702	46870202	+	489	NA	TTS (LINC00563)	-TTS (LINC00563)	2027	LINC00563	LINC00563	NR_047493			LINC00563			NA
TCF12_IP_R1_peak_15891	chr8	53089538	53089897	+	489	NA	intron (ST18, intron 9 of 25)	-intron (ST18, intron 9 of 25)	232722	ST18	ST18	NM_014682			ST18			NA
TCF12_IP_R1_peak_14935	chr7	5497203	5497969	+	489	NA	Intergenic	Intergenic	-34409	TNRC18	TNRC18	NM_001080495			TNRC18			NA
TCF12_IP_R1_peak_2201	chr10	93807721	93808052	+	489	NA	TTS (CPEB3)	-TTS (CPEB3)	124150	BTAF1	BTAF1	NM_003972			BTAF1			NA
TCF12_IP_R1_peak_8325	chr19	13898536	13898960	+	489	NA	Intergenic	Intergenic	-7526	ZSWIM4	ZSWIM4	NM_023072			ZSWIM4			NA
TCF12_IP_R1_peak_7577	chr18	8938870	8939200	+	489	NA	Intergenic	Intergenic	-163593	NDUFV2	NDUFV2	NM_021074			NDUFV2			NA
TCF12_IP_R1_peak_14560	chr6	110796408	110796807	+	489	NA	intron (SLC22A16, intron 1 of 7)	-intron (SLC22A16, intron 1 of 7)	1237	SLC22A16	SLC22A16	NM_033125			SLC22A16			NA
TCF12_IP_R1_peak_5281	chr15	57107538	57107798	+	489	NA	Intergenic	Intergenic	-81384	ZNF280D	ZNF280D	NM_001002844			ZNF280D			NA
TCF12_IP_R1_peak_4684	chr14	52313821	52314314	+	489	NA	Intergenic	Intergenic	-12955	GNG2	GNG2	NM_001243774			GNG2			NA
TCF12_IP_R1_peak_7882	chr19	695243	695829	+	489	NA	promoter-TSS (PRSS57)	-promoter-TSS (PRSS57)	-75	PRSS57	PRSS57	NM_001308209			PRSS57			NA
TCF12_IP_R1_peak_1836	chr10	31320530	31320864	+	489	NA	intron (ZNF438, intron 1 of 7)	-intron (ZNF438, intron 1 of 7)	169	ZNF438	ZNF438	NM_182755			ZNF438			NA
TCF12_IP_R1_peak_13663	chr5	137989911	137990264	+	489	NA	Intergenic	Intergenic	-78769	HSPA9	HSPA9	NM_004134			HSPA9			NA
TCF12_IP_R1_peak_2843	chr11	61197379	61197785	+	488	NA	promoter-TSS (CPSF7)	-promoter-TSS (CPSF7)	-15	SDHAF2	SDHAF2	NM_017841			SDHAF2			NA
TCF12_IP_R1_peak_15066	chr7	36429476	36430165	+	488	NA	promoter-TSS (KIAA0895)	-promoter-TSS (KIAA0895)	408	ANLN	ANLN	NM_018685			ANLN			NA
TCF12_IP_R1_peak_6806	chr17	40463947	40464589	+	488	NA	TTS (STAT5A)	-TTS (STAT5A)	24703	STAT5A	STAT5A	NM_001288718			STAT5A			NA
TCF12_IP_R1_peak_15861	chr8	42248952	42249338	+	488	NA	promoter-TSS (VDAC3)	-promoter-TSS (VDAC3)	-134	VDAC3	VDAC3	NM_001135694			VDAC3			NA
TCF12_IP_R1_peak_7929	chr19	1046977	1047758	+	488	NA	exon (ABCA7, exon 15 of 47)	-exon (ABCA7, exon 15 of 47)	7265	ABCA7	ABCA7	NM_019112			ABCA7			NA
TCF12_IP_R1_peak_16878	chr9	132369640	132370040	+	487	NA	Intergenic	Intergenic	13215	C9orf50	C9orf50	NM_199350			C9orf50			NA
TCF12_IP_R1_peak_11897	chr3	113646371	113646766	+	487	NA	intron (GRAMD1C, intron 10 of 17)	-intron (GRAMD1C, intron 5 of 12)	-20180	ZDHHC23	ZDHHC23	NM_173570			ZDHHC23			NA
TCF12_IP_R1_peak_15148	chr7	50430461	50430785	+	487	NA	intron (IKZF1, intron 2 of 2)	-intron (IKZF1, intron 3 of 6)	86358	IKZF1	IKZF1	NM_001291840			IKZF1			NA
TCF12_IP_R1_peak_8303	chr19	12995978	12996614	+	487	NA	exon (KLF1, exon 2 of 3)	-exon (KLF1, exon 2 of 3)	1721	KLF1	KLF1	NM_006563			KLF1			NA
TCF12_IP_R1_peak_17334	chrX	129225842	129226518	+	487	NA	intron (ELF4, intron 1 of 8)	-intron (ELF4, intron 1 of 8)	18295	ELF4	ELF4	NM_001127197			ELF4			NA
TCF12_IP_R1_peak_11259	chr22	47145217	47145597	+	487	NA	Intergenic	Intergenic	-11255	CERK	CERK	NM_022766			CERK			NA
TCF12_IP_R1_peak_12757	chr4	74606218	74606491	+	487	NA	exon (CXCL8, exon 1 of 4)	-exon (CXCL8, exon 1 of 4)	131	CXCL8	CXCL8	NM_000584			CXCL8			NA
TCF12_IP_R1_peak_3286	chr11	121453024	121453461	+	487	NA	intron (SORL1, intron 25 of 47)	-intron (SORL1, intron 25 of 47)	130330	SORL1	SORL1	NM_003105			SORL1			NA
TCF12_IP_R1_peak_11670	chr3	49842717	49843281	+	486	NA	TTS (FAM212A)	-TTS (FAM212A)	679	MIR5193	MIR5193	NR_049825			MIR5193			NA
TCF12_IP_R1_peak_5547	chr15	86125954	86126362	+	483	NA	intron (AKAP13, intron 7 of 36)	-intron (AKAP13, intron 7 of 36)	175798	LOC101929679	LOC101929679	NR_120366			LOC101929679			NA
TCF12_IP_R1_peak_8433	chr19	17832616	17832943	+	483	NA	intron (MAP1S, intron 2 of 6)	-intron (MAP1S, intron 2 of 6)	2518	MAP1S	MAP1S	NM_018174			MAP1S			NA
TCF12_IP_R1_peak_1675	chr10	7549817	7550492	+	483	NA	Intergenic	Intergenic	-96706	SFMBT2	SFMBT2	NM_001029880			SFMBT2			NA
TCF12_IP_R1_peak_17028	chr9	139538887	139540011	+	482	NA	Intergenic	Intergenic	-13859	EGFL7	EGFL7	NM_201446			EGFL7			NA
TCF12_IP_R1_peak_6313	chr16	85343210	85343973	+	482	NA	Intergenic	Intergenic	-3660	MIR5093	MIR5093	NR_049816			MIR5093			NA
TCF12_IP_R1_peak_11912	chr3	120067631	120068313	+	482	NA	exon (LRRC58, exon 1 of 4)	-exon (LRRC58, exon 1 of 4)	214	LRRC58	LRRC58	NM_001099678			LRRC58			NA
TCF12_IP_R1_peak_14879	chr7	2547855	2548889	+	482	NA	Intergenic	Intergenic	-9125	LFNG	LFNG	NM_001040168			LFNG			NA
TCF12_IP_R1_peak_6369	chr16	87849883	87850552	+	482	NA	Intergenic	Intergenic	18049	MIR6775	MIR6775	NR_106833			MIR6775			NA
TCF12_IP_R1_peak_6780	chr17	38478663	38479605	+	482	NA	intron (RARA, intron 1 of 6)	-intron (RARA, intron 1 of 8)	4661	RARA	RARA	NM_000964			RARA			NA
TCF12_IP_R1_peak_4434	chr13	87776404	87776687	+	482	NA	Intergenic	Intergenic	494450	MIR4500	MIR4500	NR_039722			MIR4500			NA
TCF12_IP_R1_peak_7426	chr17	79425919	79426721	+	482	NA	exon (BAHCC1, exon 22 of 28)	-exon (BAHCC1, exon 22 of 28)	-8106	MIR3186	MIR3186	NR_036152			MIR3186			NA
TCF12_IP_R1_peak_14769	chr6	166853222	166853581	+	482	NA	intron (RPS6KA2, intron 14 of 20)	-intron (RPS6KA2, intron 15 of 21)	25470	RPS6KA2-IT1	RPS6KA2-IT1	NR_046793			RPS6KA2-IT1			NA
TCF12_IP_R1_peak_8577	chr19	36526454	36526939	+	481	NA	intron (THAP8, intron 3 of 3)	-intron (LOC101927572, intron 3 of 3)	-2899	CLIP3	CLIP3	NM_015526			CLIP3			NA
TCF12_IP_R1_peak_14712	chr6	155272765	155273139	+	480	NA	Intergenic	Intergenic	98458	MIR1273C	MIR1273C	NR_036100			MIR1273C			NA
TCF12_IP_R1_peak_12109	chr3	158070414	158070676	+	480	NA	intron (RSRC1, intron 5 of 9)	-intron (RSRC1, intron 4 of 8)	218310	LOC100996447	LOC100996447	NR_104147			LOC100996447			NA
TCF12_IP_R1_peak_3057	chr11	68606774	68607284	+	479	NA	intron (CPT1A, intron 1 of 18)	-intron (CPT1A, intron 1 of 18)	2370	CPT1A	CPT1A	NM_001031847			CPT1A			NA
TCF12_IP_R1_peak_9074	chr2	26991814	26992171	+	479	NA	intron (SLC35F6, intron 1 of 5)	-intron (SLC35F6, intron 1 of 5)	4850	SLC35F6	SLC35F6	NM_017877			SLC35F6			NA
TCF12_IP_R1_peak_15945	chr8	66863653	66864426	+	479	NA	Intergenic	Intergenic	-69752	DNAJC5B	DNAJC5B	NM_033105			DNAJC5B			NA
TCF12_IP_R1_peak_16811	chr9	130281543	130282104	+	479	NA	intron (FAM129B, intron 5 of 13)	-intron (FAM129B, intron 5 of 13)	49573	FAM129B	FAM129B	NM_001035534			FAM129B			NA
TCF12_IP_R1_peak_15931	chr8	62644147	62644472	+	479	NA	Intergenic	Intergenic	16962	MIR4470	MIR4470	NR_039680			MIR4470			NA
TCF12_IP_R1_peak_14078	chr6	14452707	14453278	+	479	NA	Intergenic	Intergenic	-167307	LINC01108	LINC01108	NR_108097			LINC01108			NA
TCF12_IP_R1_peak_16174	chr8	130566824	130567190	+	478	NA	intron (CCDC26, intron 1 of 3)	-intron (CCDC26, intron 1 of 3)	20257	CCDC26	CCDC26	NR_130917			CCDC26			NA
TCF12_IP_R1_peak_1467	chr1	231114316	231115069	+	478	NA	promoter-TSS (TTC13)	-promoter-TSS (TTC13)	-74	TTC13	TTC13	NM_001122835			TTC13			NA
TCF12_IP_R1_peak_16172	chr8	129033256	129033528	+	478	NA	intron (PVT1, intron 4 of 7)	-intron (PVT1, intron 4 of 7)	12248	MIR1206	MIR1206	NR_031611			MIR1206			NA
TCF12_IP_R1_peak_182	chr1	12221881	12222232	+	478	NA	Intergenic	Intergenic	-4944	MIR7846	MIR7846	NR_107000			MIR7846			NA
TCF12_IP_R1_peak_13251	chr5	40797564	40798264	+	478	NA	intron (PRKAA1, intron 1 of 9)	-intron (PRKAA1, intron 1 of 8)	383	PRKAA1	PRKAA1	NM_206907			PRKAA1			NA
TCF12_IP_R1_peak_14374	chr6	45542638	45542986	+	478	NA	Intergenic	Intergenic	-197024	SUPT3H	SUPT3H	NM_181356			SUPT3H			NA
TCF12_IP_R1_peak_16117	chr8	121078170	121078463	+	477	NA	Intergenic	Intergenic	-59031	COL14A1	COL14A1	NM_021110			COL14A1			NA
TCF12_IP_R1_peak_8946	chr2	3522604	3523476	+	477	NA	intron (ADI1, intron 1 of 3)	-intron (ADI1, intron 1 of 3)	310	ADI1	ADI1	NM_018269			ADI1			NA
TCF12_IP_R1_peak_13678	chr5	138854583	138855391	+	477	NA	TTS (TMEM173)	-TTS (TMEM173)	7388	TMEM173	TMEM173	NM_198282			TMEM173			NA
TCF12_IP_R1_peak_15686	chr8	8101999	8102391	+	477	NA	exon (FAM86B3P, exon 9 of 9)	-exon (FAM86B3P, exon 9 of 9)	16103	FAM86B3P	FAM86B3P	NR_024361			FAM86B3P			NA
TCF12_IP_R1_peak_5375	chr15	69074137	69074538	+	476	NA	intron (ANP32A, intron 5 of 6)	-intron (ANP32A, intron 5 of 6)	19927	MIR4312	MIR4312	NR_036197			MIR4312			NA
TCF12_IP_R1_peak_6274	chr16	81528833	81529640	+	475	NA	intron (CMIP, intron 1 of 20)	-intron (CMIP, intron 1 of 20)	-38271	MIR7854	MIR7854	NR_107008			MIR7854			NA
TCF12_IP_R1_peak_3711	chr12	57294282	57294706	+	475	NA	Intergenic	Intergenic	33695	SDR9C7	SDR9C7	NM_148897			SDR9C7			NA
TCF12_IP_R1_peak_9310	chr2	68592205	68592691	+	475	NA	exon (PLEK, exon 1 of 9)	-exon (PLEK, exon 1 of 9)	126	PLEK	PLEK	NM_002664			PLEK			NA
TCF12_IP_R1_peak_3232	chr11	116722395	116722676	+	474	NA	intron (SIK3, intron 20 of 23)	-intron (SIK3, intron 21 of 24)	-14197	APOA1	APOA1	NM_000039			APOA1			NA
TCF12_IP_R1_peak_3593	chr12	46662544	46663384	+	474	NA	exon (SLC38A1, exon 1 of 17)	-exon (SLC38A1, exon 1 of 17)	244	SLC38A1	SLC38A1	NM_001077484			SLC38A1			NA
TCF12_IP_R1_peak_9826	chr2	191884886	191885368	+	474	NA	Intergenic	Intergenic	-6151	STAT1	STAT1	NM_139266			STAT1			NA
TCF12_IP_R1_peak_5581	chr15	91361516	91362172	+	474	NA	Intergenic	Intergenic	-49978	FURIN	FURIN	NM_002569			FURIN			NA
TCF12_IP_R1_peak_2910	chr11	64512539	64513306	+	473	NA	promoter-TSS (RASGRP2)	-promoter-TSS (RASGRP2)	6	RASGRP2	RASGRP2	NM_153819			RASGRP2			NA
TCF12_IP_R1_peak_15099	chr7	41901255	41901634	+	473	NA	Intergenic	Intergenic	-158738	INHBA	INHBA	NM_002192			INHBA			NA
TCF12_IP_R1_peak_4600	chr14	24610155	24610620	+	473	NA	exon (EMC9, exon 2 of 6)	-exon (EMC9, exon 2 of 6)	410	EMC9	EMC9	NM_016049			EMC9			NA
TCF12_IP_R1_peak_16931	chr9	135457521	135457831	+	473	NA	promoter-TSS (BARHL1)	-promoter-TSS (BARHL1)	-317	BARHL1	BARHL1	NM_020064			BARHL1			NA
TCF12_IP_R1_peak_5047	chr14	102554844	102555177	+	473	NA	intron (HSP90AA1, intron 2 of 11)	-intron (HSP90AA1, intron 2 of 11)	-1498	HSP90AA1	HSP90AA1	NM_001017963			HSP90AA1			NA
TCF12_IP_R1_peak_486	chr1	36626375	36626830	+	472	NA	intron (MAP7D1, intron 1 of 16)	-intron (MAP7D1, intron 1 of 15)	5036	MAP7D1	MAP7D1	NM_018067			MAP7D1			NA
TCF12_IP_R1_peak_17195	chrX	40943685	40944307	+	472	NA	promoter-TSS (USP9X)	-promoter-TSS (USP9X)	-892	USP9X	USP9X	NM_001039590			USP9X			NA
TCF12_IP_R1_peak_3964	chr12	111661972	111662693	+	472	NA	intron (CUX2, intron 3 of 21)	-intron (CUX2, intron 3 of 21)	-79614	MIR6760	MIR6760	NR_106818			MIR6760			NA
TCF12_IP_R1_peak_3731	chr12	59989821	59990942	+	472	NA	intron (SLC16A7, intron 1 of 5)	-intron (SLC16A7, intron 1 of 5)	-92737	SLC16A7	SLC16A7	NM_004731			SLC16A7			NA
TCF12_IP_R1_peak_9991	chr2	240174535	240174809	+	472	NA	intron (HDAC4, intron 2 of 26)	-intron (HDAC4, intron 2 of 26)	-52485	MIR4269	MIR4269	NR_036229			MIR4269			NA
TCF12_IP_R1_peak_5947	chr16	27442191	27442831	+	472	NA	intron (IL21R, intron 3 of 9)	-intron (IL21R, intron 2 of 8)	22203	IL21R-AS1	IL21R-AS1	NR_037158			IL21R-AS1			NA
TCF12_IP_R1_peak_4489	chr13	105636925	105637224	+	472	NA	Intergenic	Intergenic	-481491	DAOA	DAOA	NM_001161812			DAOA			NA
TCF12_IP_R1_peak_10586	chr21	34408786	34409108	+	472	NA	Intergenic	Intergenic	10731	OLIG2	OLIG2	NM_005806			OLIG2			NA
TCF12_IP_R1_peak_13146	chr5	1104471	1105128	+	472	NA	intron (SLC12A7, intron 1 of 23)	-intron (SLC12A7, intron 1 of 23)	7373	SLC12A7	SLC12A7	NM_006598			SLC12A7			NA
TCF12_IP_R1_peak_16064	chr8	103250755	103251236	+	472	NA	promoter-TSS (RRM2B)	-promoter-TSS (RRM2B)	351	RRM2B	RRM2B	NM_001172478			RRM2B			NA
TCF12_IP_R1_peak_7052	chr17	61524355	61524927	+	471	NA	promoter-TSS (CYB561)	-promoter-TSS (CYB561)	-919	CYB561	CYB561	NM_001915			CYB561			NA
TCF12_IP_R1_peak_16644	chr9	100799684	100799970	+	471	NA	Intergenic	Intergenic	-19132	NANS	NANS	NM_018946			NANS			NA
TCF12_IP_R1_peak_12184	chr3	183353163	183354238	+	471	NA	intron (KLHL24, intron 1 of 7)	-intron (KLHL24, intron 1 of 7)	289	KLHL24	KLHL24	NM_017644			KLHL24			NA
TCF12_IP_R1_peak_8376	chr19	15813419	15813806	+	470	NA	Intergenic	Intergenic	-25222	OR10H2	OR10H2	NM_013939			OR10H2			NA
TCF12_IP_R1_peak_7255	chr17	74487932	74489588	+	470	NA	intron (RHBDF2, intron 1 of 18)	-intron (RHBDF2, intron 1 of 18)	8749	RHBDF2	RHBDF2	NM_024599			RHBDF2			NA
TCF12_IP_R1_peak_6459	chr16	89984137	89984794	+	470	NA	exon (MC1R, exon 1 of 1)	-exon (MC1R, exon 1 of 1)	178	MC1R	MC1R	NM_002386			MC1R			NA
TCF12_IP_R1_peak_14269	chr6	35995543	35996343	+	470	NA	exon (MAPK14, exon 1 of 12)	-exon (MAPK14, exon 1 of 12)	489	MAPK14	MAPK14	NM_139012			MAPK14			NA
TCF12_IP_R1_peak_2134	chr10	80157547	80157981	+	469	NA	Intergenic	Intergenic	130679	LINC00595	LINC00595	NR_073447			LINC00595			NA
TCF12_IP_R1_peak_5660	chr15	102264102	102264646	+	469	NA	exon (TARSL2, exon 1 of 19)	-exon (TARSL2, exon 1 of 19)	271	TARSL2	TARSL2	NM_152334			TARSL2			NA
TCF12_IP_R1_peak_12259	chr3	190701676	190701937	+	469	NA	Intergenic	Intergenic	106087	SNAR-I	SNAR-I	NR_024343			SNAR-I			NA
TCF12_IP_R1_peak_8238	chr19	10870097	10870795	+	468	NA	exon (DNM2, exon 2 of 21)	-exon (DNM2, exon 2 of 21)	-20484	MIR4748	MIR4748	NR_039903			MIR4748			NA
TCF12_IP_R1_peak_13756	chr5	149588722	149589040	+	468	NA	intron (SLC6A7, intron 13 of 13)	-intron (SLC6A7, intron 13 of 13)	19361	SLC6A7	SLC6A7	NM_014228			SLC6A7			NA
TCF12_IP_R1_peak_3265	chr11	118958508	118958785	+	468	NA	promoter-TSS (HMBS)	-promoter-TSS (HMBS)	3059	HMBS	HMBS	NM_001024382			HMBS			NA
TCF12_IP_R1_peak_4486	chr13	105490107	105490455	+	468	NA	Intergenic	Intergenic	-628284	DAOA	DAOA	NM_001161812			DAOA			NA
TCF12_IP_R1_peak_9223	chr2	47311002	47311450	+	468	NA	Intergenic	Intergenic	71291	C2orf61	C2orf61	NM_173649			C2orf61			NA
TCF12_IP_R1_peak_2361	chr10	115613806	115614125	+	468	NA	promoter-TSS (DCLRE1A)	-promoter-TSS (DCLRE1A)	10	DCLRE1A	DCLRE1A	NM_001271816			DCLRE1A			NA
TCF12_IP_R1_peak_632	chr1	53102820	53103351	+	468	NA	intron (FAM159A, intron 1 of 2)	-intron (FAM159A, intron 1 of 2)	4019	FAM159A	FAM159A	NM_001042693			FAM159A			NA
