PeakID (cmd=annotatePeaks.pl ENCAB000BDY.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_431	chr1	209957873	209958082	+	0	NA	promoter-TSS (C1orf74)	-promoter-TSS (C1orf74)	98	C1orf74	C1orf74	NM_152485			C1orf74			NA
Interval_3703	chrX	30907438	30907646	+	0	NA	promoter-TSS (TAB3)	-promoter-TSS (TAB3)	-31	TAB3	TAB3	NM_152787			TAB3			NA
Interval_2415	chr20	43991571	43991852	+	0	NA	promoter-TSS (SYS1)	-promoter-TSS (SYS1)	-29	SYS1	SYS1	NM_001099791			SYS1			NA
Interval_3303	chr7	93633621	93633809	+	0	NA	promoter-TSS (BET1)	-promoter-TSS (BET1)	-25	BET1	BET1	NM_005868			BET1			NA
Interval_1889	chr19	18496975	18497115	+	0	NA	promoter-TSS (GDF15)	-promoter-TSS (GDF15)	77	GDF15	GDF15	NM_004864			GDF15			NA
Interval_1816	chr19	11071284	11071556	+	0	NA	promoter-TSS (SMARCA4)	-promoter-TSS (SMARCA4)	-178	SMARCA4	SMARCA4	NM_003072			SMARCA4			NA
Interval_415	chr1	203456986	203457139	+	0	NA	exon (PRELP, exon 3 of 3)	-exon (PRELP, exon 3 of 3)	-6209	OPTC	OPTC	NM_014359			OPTC			NA
Interval_1102	chr15	63449574	63449729	+	0	NA	promoter-TSS (RPS27L)	-promoter-TSS (RPS27L)	90	RPS27L	RPS27L	NM_015920			RPS27L			NA
Interval_741	chr11	66035859	66036035	+	0	NA	promoter-TSS (RAB1B)	-promoter-TSS (RAB1B)	-109	RAB1B	RAB1B	NM_030981			RAB1B			NA
Interval_3688	chr9	140082955	140083257	+	0	NA	promoter-TSS (SSNA1)	-promoter-TSS (SSNA1)	-49	ANAPC2	ANAPC2	NM_013366			ANAPC2			NA
Interval_3289	chr7	75544318	75544468	+	0	NA	promoter-TSS (POR)	-promoter-TSS (POR)	-27	POR	POR	NM_000941			POR			NA
Interval_1565	chr17	47865895	47866048	+	0	NA	promoter-TSS (KAT7)	-promoter-TSS (KAT7)	-10	KAT7	KAT7	NM_007067			KAT7			NA
Interval_865	chr12	54069865	54070074	+	0	NA	exon (ATP5G2, exon 1 of 5)	-exon (ATP5G2, exon 1 of 5)	140	ATP5G2	ATP5G2	NM_001002031			ATP5G2			NA
Interval_2304	chr2	187350814	187351001	+	0	NA	promoter-TSS (ZC3H15)	-promoter-TSS (ZC3H15)	22	ZC3H15	ZC3H15	NM_018471			ZC3H15			NA
Interval_1945	chr19	39936079	39936261	+	0	NA	promoter-TSS (SUPT5H)	-promoter-TSS (SUPT5H)	-118	SUPT5H	SUPT5H	NM_001111020			SUPT5H			NA
Interval_433	chr1	212781700	212781881	+	0	NA	promoter-TSS (ATF3)	-promoter-TSS (ATF3)	-180	ATF3	ATF3	NM_001206484			ATF3			NA
Interval_2764	chr3	183903628	183904025	+	0	NA	promoter-TSS (ABCF3)	-promoter-TSS (ABCF3)	-37	ABCF3	ABCF3	NM_018358			ABCF3			NA
Interval_1701	chr19	531563	531747	+	0	NA	promoter-TSS (CDC34)	-promoter-TSS (CDC34)	-78	CDC34	CDC34	NM_004359			CDC34			NA
Interval_2689	chr3	47517404	47517631	+	0	NA	promoter-TSS (SCAP)	-promoter-TSS (SCAP)	-72	SCAP	SCAP	NM_012235			SCAP			NA
Interval_1359	chr16	81529485	81529660	+	0	NA	intron (CMIP, intron 1 of 20)	-intron (CMIP, intron 1 of 20)	-37935	MIR7854	MIR7854	NR_107008			MIR7854			NA
Interval_977	chr13	26827891	26828070	+	0	NA	promoter-TSS (CDK8)	-promoter-TSS (CDK8)	-776	CDK8	CDK8	NM_001260			CDK8			NA
Interval_803	chr11	125772983	125773182	+	0	NA	promoter-TSS (PUS3)	-promoter-TSS (PUS3)	34	PUS3	PUS3	NM_001271985			PUS3			NA
Interval_3547	chr9	37592542	37592774	+	0	NA	promoter-TSS (TOMM5)	-promoter-TSS (TOMM5)	-22	TOMM5	TOMM5	NM_001134484			TOMM5			NA
Interval_1340	chr16	70488117	70488362	+	0	NA	promoter-TSS (FUK)	-promoter-TSS (FUK)	-259	FUK	FUK	NM_145059			FUK			NA
Interval_1873	chr19	17501945	17502192	+	0	NA	Intergenic	Intergenic	-13910	PLVAP	PLVAP	NM_031310			PLVAP			NA
Interval_3467	chr8	56685991	56686188	+	0	NA	promoter-TSS (TMEM68)	-promoter-TSS (TMEM68)	-123	TMEM68	TMEM68	NM_152417			TMEM68			NA
Interval_3533	chr9	2844046	2844382	+	0	NA	promoter-TSS (KIAA0020)	-promoter-TSS (KIAA0020)	-84	KIAA0020	KIAA0020	NM_014878			KIAA0020			NA
Interval_2220	chr2	71228105	71228239	+	0	NA	Intergenic	Intergenic	-6171	TEX261	TEX261	NM_144582			TEX261			NA
Interval_3139	chr6	44214712	44214995	+	0	NA	exon (HSP90AB1, exon 1 of 12)	-exon (HSP90AB1, exon 1 of 12)	158	HSP90AB1	HSP90AB1	NM_001271972			HSP90AB1			NA
Interval_2499	chr22	17081958	17082230	+	0	NA	promoter-TSS (TPTEP1)	-promoter-TSS (TPTEP1)	-707	TPTEP1	TPTEP1	NR_001591			TPTEP1			NA
Interval_3262	chr7	48127969	48128147	+	0	NA	promoter-TSS (UPP1)	-promoter-TSS (UPP1)	-793	UPP1	UPP1	NM_001287426			UPP1			NA
Interval_833	chr12	27863626	27863886	+	0	NA	promoter-TSS (MRPS35)	-promoter-TSS (MRPS35)	50	MRPS35	MRPS35	NM_021821			MRPS35			NA
Interval_1252	chr16	29819152	29819309	+	0	NA	intron (MAZ, intron 2 of 4)	-intron (MAZ, intron 2 of 5)	1372	MAZ	MAZ	NM_002383			MAZ			NA
Interval_1668	chr18	9913489	9913834	+	0	NA	promoter-TSS (VAPA)	-promoter-TSS (VAPA)	-294	VAPA	VAPA	NM_003574			VAPA			NA
Interval_1279	chr16	30934416	30934795	+	0	NA	promoter-TSS (FBXL19-AS1)	-promoter-TSS (FBXL19-AS1)	-15	FBXL19-AS1	FBXL19-AS1	NR_024348			FBXL19-AS1			NA
Interval_3292	chr7	75988641	75988816	+	0	NA	promoter-TSS (YWHAG)	-promoter-TSS (YWHAG)	-386	YWHAG	YWHAG	NM_012479			YWHAG			NA
Interval_2375	chr20	30200702	30200854	+	0	NA	Intergenic	Intergenic	5789	MIR3193	MIR3193	NR_036161			MIR3193			NA
Interval_2328	chr2	220159666	220159814	+	0	NA	promoter-TSS (MIR153-1)	-promoter-TSS (MIR153-1)	-818	MIR153-1	MIR153-1	NR_029688			MIR153-1			NA
Interval_2885	chr5	40755975	40756307	+	0	NA	promoter-TSS (TTC33)	-promoter-TSS (TTC33)	-69	TTC33	TTC33	NM_012382			TTC33			NA
Interval_695	chr11	61559961	61560136	+	0	NA	promoter-TSS (FEN1)	-promoter-TSS (FEN1)	-15	MIR611	MIR611	NR_030342			MIR611			NA
Interval_106	chr1	23345697	23345911	+	0	NA	promoter-TSS (KDM1A)	-promoter-TSS (KDM1A)	-137	KDM1A	KDM1A	NM_015013			KDM1A			NA
Interval_2487	chr21	45638429	45638563	+	0	NA	Intergenic	Intergenic	22391	ICOSLG	ICOSLG	NM_015259			ICOSLG			NA
Interval_2997	chr5	179517503	179517647	+	0	NA	Intergenic	Intergenic	-18457	RNF130	RNF130	NM_018434			RNF130			NA
Interval_1044	chr14	77428217	77428351	+	0	NA	Intergenic	Intergenic	66758	IRF2BPL	IRF2BPL	NM_024496			IRF2BPL			NA
Interval_2965	chr5	157286098	157286252	+	0	NA	promoter-TSS (CLINT1)	-promoter-TSS (CLINT1)	8	CLINT1	CLINT1	NM_014666			CLINT1			NA
Interval_263	chr1	95320060	95320222	+	0	NA	intron (SLC44A3, intron 8 of 13)	-intron (SLC44A3, intron 9 of 14)	34041	SLC44A3	SLC44A3	NM_152369			SLC44A3			NA
Interval_2891	chr5	61708448	61708605	+	0	NA	promoter-TSS (IPO11)	-promoter-TSS (IPO11)	-47	IPO11	IPO11	NM_001134779			IPO11			NA
Interval_926	chr12	110243228	110243362	+	0	NA	intron (TRPV4, intron 2 of 13)	-intron (TRPV4, intron 2 of 13)	9337	TRPV4	TRPV4	NM_021625			TRPV4			NA
Interval_1899	chr19	19314173	19314308	+	0	NA	promoter-TSS (NR2C2AP)	-promoter-TSS (NR2C2AP)	-2	NR2C2AP	NR2C2AP	NM_001300945			NR2C2AP			NA
Interval_2818	chr4	18023649	18023965	+	0	NA	promoter-TSS (LCORL)	-promoter-TSS (LCORL)	-324	LCORL	LCORL	NM_153686			LCORL			NA
Interval_3707	chrX	41192517	41192651	+	0	NA	promoter-TSS (DDX3X)	-promoter-TSS (DDX3X)	-831	DDX3X	DDX3X	NR_126093			DDX3X			NA
Interval_1719	chr19	1266343	1266581	+	0	NA	Intergenic	Intergenic	-2805	CIRBP	CIRBP	NR_023312			CIRBP			NA
Interval_1511	chr17	40086680	40086867	+	0	NA	promoter-TSS (TTC25)	-promoter-TSS (TTC25)	-103	TTC25	TTC25	NM_031421			TTC25			NA
Interval_3181	chr6	149867198	149867373	+	0	NA	promoter-TSS (PPIL4)	-promoter-TSS (PPIL4)	-47	PPIL4	PPIL4	NM_139126			PPIL4			NA
Interval_852	chr12	52430644	52430903	+	0	NA	promoter-TSS (NR4A1)	-promoter-TSS (NR4A1)	-14413	NR4A1	NR4A1	NM_173157			NR4A1			NA
Interval_712	chr11	64456013	64456227	+	0	NA	intron (NRXN2, intron 4 of 19)	-intron (NRXN2, intron 5 of 22)	-45333	NRXN2	NRXN2	NM_015080			NRXN2			NA
Interval_2103	chr19	54960081	54960394	+	0	NA	promoter-TSS (LENG8)	-promoter-TSS (LENG8)	-21	LENG8-AS1	LENG8-AS1	NR_126418			LENG8-AS1			NA
Interval_1864	chr19	16770780	16771045	+	0	NA	promoter-TSS (SMIM7)	-promoter-TSS (SMIM7)	56	SMIM7	SMIM7	NM_001300925			SMIM7			NA
Interval_2395	chr20	35233886	35234199	+	0	NA	promoter-TSS (C20orf24)	-promoter-TSS (C20orf24)	-95	C20orf24	C20orf24	NM_199483			C20orf24			NA
Interval_211	chr1	45241170	45241387	+	0	NA	promoter-TSS (RPS8)	-promoter-TSS (RPS8)	32	RPS8	RPS8	NM_001012			RPS8			NA
Interval_1211	chr16	4817166	4817499	+	0	NA	promoter-TSS (ZNF500)	-promoter-TSS (ZNF500)	-113	ZNF500	ZNF500	NM_021646			ZNF500			NA
Interval_1642	chr17	79269007	79269250	+	0	NA	promoter-TSS (SLC38A10)	-promoter-TSS (SLC38A10)	11	SLC38A10	SLC38A10	NM_138570			SLC38A10			NA
Interval_3256	chr7	44187170	44187316	+	0	NA	intron (GCK, intron 8 of 10)	-intron (GCK, intron 7 of 9)	-6327	MYL7	MYL7	NM_021223			MYL7			NA
Interval_2761	chr3	183852979	183853278	+	0	NA	exon (EIF2B5, exon 1 of 16)	-exon (EIF2B5, exon 1 of 16)	318	EIF2B5	EIF2B5	NM_003907			EIF2B5			NA
Interval_2359	chr20	13765453	13765742	+	0	NA	promoter-TSS (NDUFAF5)	-promoter-TSS (NDUFAF5)	-65	ESF1	ESF1	NM_001276380			ESF1			NA
Interval_568	chr10	76995704	76995931	+	0	NA	promoter-TSS (COMTD1)	-promoter-TSS (COMTD1)	-47	COMTD1	COMTD1	NM_144589			COMTD1			NA
Interval_1818	chr19	11404580	11404777	+	0	NA	Intergenic	Intergenic	-2137	TSPAN16	TSPAN16	NM_012466			TSPAN16			NA
Interval_1293	chr16	48657169	48657317	+	0	NA	intron (MIR5095, intron 4 of 4)	-intron (MIR5095, intron 4 of 4)	-13123	N4BP1	N4BP1	NM_153029			N4BP1			NA
Interval_3061	chr6	30923501	30923667	+	0	NA	Intergenic	Intergenic	14807	DPCR1	DPCR1	NM_080870_4			DPCR1			NA
Interval_504	chr10	12085235	12085496	+	0	NA	promoter-TSS (UPF2)	-promoter-TSS (UPF2)	-196	UPF2	UPF2	NM_080599			UPF2			NA
Interval_618	chr11	450169	450320	+	0	NA	promoter-TSS (PTDSS2)	-promoter-TSS (PTDSS2)	-36	PTDSS2	PTDSS2	NM_030783			PTDSS2			NA
Interval_2627	chr3	3221358	3221512	+	0	NA	promoter-TSS (CRBN)	-promoter-TSS (CRBN)	-34	CRBN	CRBN	NM_001173482			CRBN			NA
Interval_1896	chr19	19144238	19144803	+	0	NA	promoter-TSS (SUGP2)	-promoter-TSS (SUGP2)	133	ARMC6	ARMC6	NM_001199196			ARMC6			NA
Interval_2498	chr21	48055366	48055617	+	0	NA	promoter-TSS (PRMT2)	-promoter-TSS (PRMT2)	-16	PRMT2	PRMT2	NM_001286676			PRMT2			NA
Interval_1325	chr16	67880572	67880835	+	0	NA	promoter-TSS (NUTF2)	-promoter-TSS (NUTF2)	-116	NUTF2	NUTF2	NM_005796			NUTF2			NA
Interval_362	chr1	160959684	160959930	+	0	NA	Intergenic	Intergenic	31326	F11R	F11R	NM_016946			F11R			NA
Interval_3261	chr7	44646019	44646168	+	0	NA	promoter-TSS (OGDH)	-promoter-TSS (OGDH)	-28	OGDH	OGDH	NM_002541			OGDH			NA
Interval_641	chr11	8710400	8710604	+	0	NA	exon (RPL27A, exon 5 of 5)	-exon (RPL27A, exon 5 of 5)	3516	SNORA45B	SNORA45B	NR_002977			SNORA45B			NA
Interval_1680	chr18	33552490	33552685	+	0	NA	promoter-TSS (C18orf21)	-promoter-TSS (C18orf21)	-1	C18orf21	C18orf21	NM_031446			C18orf21			NA
Interval_3110	chr6	37321693	37321928	+	0	NA	promoter-TSS (RNF8)	-promoter-TSS (RNF8)	62	RNF8	RNF8	NM_183078			RNF8			NA
Interval_3152	chr6	84937315	84937457	+	0	NA	promoter-TSS (CEP162)	-promoter-TSS (CEP162)	-33	CEP162	CEP162	NM_001286206			CEP162			NA
Interval_409	chr1	202153892	202154060	+	0	NA	intron (PTPRVP, intron 15 of 21)	-intron (PTPRVP, intron 15 of 21)	16797	PTPRVP	PTPRVP	NR_002930			PTPRVP			NA
Interval_2190	chr2	43453822	43454003	+	0	NA	promoter-TSS (ZFP36L2)	-promoter-TSS (ZFP36L2)	-167	ZFP36L2	ZFP36L2	NM_006887			ZFP36L2			NA
Interval_3008	chr6	6750327	6750512	+	0	NA	Intergenic	Intergenic	-127360	LY86-AS1	LY86-AS1	NR_026970			LY86-AS1			NA
Interval_1915	chr19	35932470	35932674	+	0	NA	Intergenic	Intergenic	-8045	FFAR2	FFAR2	NM_005306			FFAR2			NA
Interval_1023	chr14	50319500	50319720	+	0	NA	exon (NEMF, exon 1 of 32)	-exon (NEMF, exon 1 of 32)	181	NEMF	NEMF	NM_004713			NEMF			NA
Interval_676	chr11	47198366	47198819	+	0	NA	promoter-TSS (ARFGAP2)	-promoter-TSS (ARFGAP2)	84	ARFGAP2	ARFGAP2	NM_001242832			ARFGAP2			NA
Interval_2592	chr22	24059508	24059651	+	0	NA	promoter-TSS (GUSBP11)	-promoter-TSS (GUSBP11)	31	GUSBP11	GUSBP11	NR_024448			GUSBP11			NA
Interval_285	chr1	111162173	111162319	+	0	NA	intron (KCNA2, intron 1 of 4)	-intron (KCNA2, intron 1 of 4)	-13271	KCNA2	KCNA2	NM_001204269			KCNA2			NA
Interval_380	chr1	172413152	172413315	+	0	NA	promoter-TSS (PIGC)	-promoter-TSS (PIGC)	-3	PIGC	PIGC	NM_002642			PIGC			NA
Interval_3315	chr7	99156151	99156285	+	0	NA	promoter-TSS (ZNF655)	-promoter-TSS (ZNF655)	173	ZNF655	ZNF655	NM_001085368			ZNF655			NA
Interval_1218	chr16	12009785	12010162	+	0	NA	promoter-TSS (GSPT1)	-promoter-TSS (GSPT1)	-148	GSPT1	GSPT1	NM_001130007			GSPT1			NA
Interval_1686	chr18	47814038	47814393	+	0	NA	exon (CXXC1, exon 1 of 15)	-exon (CXXC1, exon 1 of 15)	477	CXXC1	CXXC1	NM_001101654			CXXC1			NA
Interval_1732	chr19	1767668	1767802	+	0	NA	intron (ONECUT3, intron 1 of 1)	-intron (ONECUT3, intron 1 of 1)	14073	ONECUT3	ONECUT3	NM_001080488			ONECUT3			NA
Interval_2129	chr19	57791642	57791791	+	0	NA	promoter-TSS (ZNF460)	-promoter-TSS (ZNF460)	-137	ZNF460	ZNF460	NM_006635			ZNF460			NA
Interval_2480	chr21	44299602	44299855	+	0	NA	promoter-TSS (WDR4)	-promoter-TSS (WDR4)	-29	WDR4	WDR4	NR_048535			WDR4			NA
Interval_1141	chr15	89010831	89011070	+	0	NA	promoter-TSS (MRPL46)	-promoter-TSS (MRPL46)	266	MRPS11	MRPS11	NM_022839			MRPS11			NA
Interval_762	chr11	71823849	71824028	+	0	NA	promoter-TSS (ANAPC15)	-promoter-TSS (ANAPC15)	-116	ANAPC15	ANAPC15	NM_001278488			ANAPC15			NA
Interval_1554	chr17	45000281	45000466	+	0	NA	promoter-TSS (GOSR2)	-promoter-TSS (GOSR2)	-113	GOSR2	GOSR2	NM_054022			GOSR2			NA
Interval_2327	chr2	220150887	220151079	+	0	NA	exon (DNAJB2, exon 10 of 10)	-exon (DNAJB2, exon 10 of 10)	6943	DNAJB2	DNAJB2	NM_001039550			DNAJB2			NA
Interval_982	chr13	31191909	31192051	+	0	NA	exon (USPL1, exon 1 of 9)	-exon (USPL1, exon 1 of 9)	150	USPL1	USPL1	NM_005800			USPL1			NA
Interval_72	chr1	15478929	15479144	+	0	NA	promoter-TSS (TMEM51)	-promoter-TSS (TMEM51)	-76	TMEM51-AS1	TMEM51-AS1	NR_027136			TMEM51-AS1			NA
Interval_2760	chr3	183735640	183735851	+	0	NA	promoter-TSS (ABCC5)	-promoter-TSS (ABCC5)	-18	ABCC5	ABCC5	NM_005688			ABCC5			NA
Interval_2382	chr20	31989288	31989509	+	0	NA	promoter-TSS (CDK5RAP1)	-promoter-TSS (CDK5RAP1)	-23	CDK5RAP1	CDK5RAP1	NM_001278169			CDK5RAP1			NA
Interval_1278	chr16	30933791	30934092	+	0	NA	promoter-TSS (FBXL19)	-promoter-TSS (FBXL19)	-435	FBXL19	FBXL19	NM_001282351			FBXL19			NA
Interval_2447	chr20	62289513	62289735	+	0	NA	exon (RTEL1, exon 1 of 35)	-exon (RTEL1, exon 1 of 35)	461	RTEL1-TNFRSF6B	RTEL1-TNFRSF6B	NR_037882			RTEL1-TNFRSF6B			NA
Interval_3684	chr9	139685669	139685915	+	0	NA	promoter-TSS (TMEM141)	-promoter-TSS (TMEM141)	15	TMEM141	TMEM141	NM_032928			TMEM141			NA
Interval_2844	chr4	113558179	113558377	+	0	NA	promoter-TSS (LARP7)	-promoter-TSS (LARP7)	-127	ZGRF1	ZGRF1	NM_018392			ZGRF1			NA
Interval_3502	chr8	143820782	143820943	+	0	NA	Intergenic	Intergenic	2967	SLURP1	SLURP1	NM_020427			SLURP1			NA
Interval_2553	chr22	21011438	21011574	+	0	NA	Intergenic	Intergenic	-32337	POM121L4P	POM121L4P	NR_024592			POM121L4P			NA
Interval_1439	chr17	7338504	7338711	+	0	NA	promoter-TSS (TMEM102)	-promoter-TSS (TMEM102)	-155	TMEM102	TMEM102	NM_178518			TMEM102			NA
Interval_3034	chr6	26537687	26537837	+	0	NA	promoter-TSS (HMGN4)	-promoter-TSS (HMGN4)	-810	HMGN4	HMGN4	NM_006353			HMGN4			NA
Interval_3003	chr6	3024170	3024316	+	0	NA	exon (HTATSF1P2, exon 1 of 1)	-exon (HTATSF1P2, exon 1 of 1)	762	HTATSF1P2	HTATSF1P2	NR_033884			HTATSF1P2			NA
Interval_2514	chr22	19701369	19701521	+	0	NA	promoter-TSS (SEPT5)	-promoter-TSS (SEPT5)	-542	SEPT5	SEPT5	NM_002688			SEPT5			NA
Interval_843	chr12	49245912	49246182	+	0	NA	promoter-TSS (DDX23)	-promoter-TSS (DDX23)	-90	DDX23	DDX23	NM_004818			DDX23			NA
Interval_755	chr11	68151461	68151605	+	0	NA	intron (LRP5, intron 5 of 22)	-intron (LRP5, intron 5 of 22)	71456	LRP5	LRP5	NM_001291902			LRP5			NA
Interval_785	chr11	82997399	82997594	+	0	NA	promoter-TSS (CCDC90B)	-promoter-TSS (CCDC90B)	-46	CCDC90B	CCDC90B	NM_001286116			CCDC90B			NA
Interval_469	chr1	234859777	234859927	+	0	NA	promoter-TSS (LINC01132)	-promoter-TSS (LINC01132)	63	LINC01132	LINC01132	NR_038856			LINC01132			NA
Interval_3418	chr7	152130912	152131046	+	0	NA	intron (KMT2C, intron 1 of 58)	-intron (KMT2C, intron 1 of 58)	2111	KMT2C	KMT2C	NM_170606			KMT2C			NA
Interval_1413	chr17	1359584	1359728	+	0	NA	promoter-TSS (CRK)	-promoter-TSS (CRK)	-95	CRK	CRK	NM_016823			CRK			NA
Interval_455	chr1	226309278	226309625	+	0	NA	Intergenic	Intergenic	59023	H3F3AP4	H3F3AP4	NR_002315			H3F3AP4			NA
Interval_3582	chr9	111696304	111696464	+	0	NA	promoter-TSS (FAM206A)	-promoter-TSS (FAM206A)	224	IKBKAP	IKBKAP	NM_003640			IKBKAP			NA
Interval_1468	chr17	26663353	26663487	+	0	NA	promoter-TSS (IFT20)	-promoter-TSS (IFT20)	872	TNFAIP1	TNFAIP1	NM_021137			TNFAIP1			NA
Interval_189	chr1	38325188	38325328	+	0	NA	promoter-TSS (MTF1)	-promoter-TSS (MTF1)	34	MTF1	MTF1	NM_005955			MTF1			NA
Interval_1176	chr16	1524967	1525116	+	0	NA	promoter-TSS (CLCN7)	-promoter-TSS (CLCN7)	44	CLCN7	CLCN7	NM_001114331			CLCN7			NA
Interval_3013	chr6	10887112	10887316	+	0	NA	exon (SYCP2L, exon 1 of 30)	-exon (SYCP2L, exon 1 of 30)	150	SYCP2L	SYCP2L	NM_001040274			SYCP2L			NA
Interval_2051	chr19	49925943	49926090	+	0	NA	intron (PTH2, intron 1 of 1)	-intron (PTH2, intron 1 of 1)	682	PTH2	PTH2	NM_178449			PTH2			NA
Interval_92	chr1	19536769	19536936	+	0	NA	promoter-TSS (UBR4)	-promoter-TSS (UBR4)	-106	UBR4	UBR4	NM_020765			UBR4			NA
Interval_3116	chr6	41040202	41040646	+	0	NA	promoter-TSS (NFYA)	-promoter-TSS (NFYA)	-236	OARD1	OARD1	NM_145063			OARD1			NA
Interval_3532	chr8	146176306	146176441	+	0	NA	promoter-TSS (ZNF16)	-promoter-TSS (ZNF16)	-99	ZNF16	ZNF16	NM_006958			ZNF16			NA
Interval_2425	chr20	47894989	47895173	+	0	NA	promoter-TSS (ZNFX1)	-promoter-TSS (ZNFX1)	-98	ZFAS1	ZFAS1	NR_003606			ZFAS1			NA
Interval_2589	chr22	23522416	23522672	+	0	NA	promoter-TSS (BCR)	-promoter-TSS (BCR)	-8	BCR	BCR	NM_021574			BCR			NA
Interval_1824	chr19	12792617	12792912	+	0	NA	promoter-TSS (DHPS)	-promoter-TSS (DHPS)	-63	DHPS	DHPS	NM_001930			DHPS			NA
Interval_3723	chrX	119005678	119005837	+	0	NA	promoter-TSS (NDUFA1)	-promoter-TSS (NDUFA1)	23	NDUFA1	NDUFA1	NM_004541			NDUFA1			NA
Interval_1360	chr16	81779913	81780094	+	0	NA	Intergenic	Intergenic	-32860	PLCG2	PLCG2	NM_002661			PLCG2			NA
Interval_2970	chr5	170814505	170814713	+	0	NA	promoter-TSS (NPM1)	-promoter-TSS (NPM1)	-99	NPM1	NPM1	NM_199185			NPM1			NA
Interval_1823	chr19	12780272	12780429	+	0	NA	promoter-TSS (WDR83)	-promoter-TSS (WDR83)	115	WDR83OS	WDR83OS	NM_016145			WDR83OS			NA
Interval_616	chr11	190089	190223	+	0	NA	Intergenic	Intergenic	-2924	SCGB1C1	SCGB1C1	NM_145651			SCGB1C1			NA
Interval_989	chr13	45492115	45492277	+	0	NA	Intergenic	Intergenic	71417	NUFIP1	NUFIP1	NM_012345			NUFIP1			NA
Interval_2280	chr2	135676118	135676436	+	0	NA	promoter-TSS (CCNT2)	-promoter-TSS (CCNT2)	-101	CCNT2-AS1	CCNT2-AS1	NR_036549			CCNT2-AS1			NA
Interval_420	chr1	204380934	204381196	+	0	NA	promoter-TSS (PPP1R15B)	-promoter-TSS (PPP1R15B)	-120	PPP1R15B	PPP1R15B	NM_032833			PPP1R15B			NA
Interval_2435	chr20	56101325	56101553	+	0	NA	promoter-TSS (CTCFL)	-promoter-TSS (CTCFL)	-1516	CTCFL	CTCFL	NM_001269051			CTCFL			NA
Interval_3164	chr6	108582343	108582542	+	0	NA	promoter-TSS (SNX3)	-promoter-TSS (SNX3)	22	SNX3	SNX3	NM_001300929			SNX3			NA
Interval_1859	chr19	16582742	16582876	+	0	NA	promoter-TSS (EPS15L1)	-promoter-TSS (EPS15L1)	14	EPS15L1	EPS15L1	NM_001258375			EPS15L1			NA
Interval_531	chr10	46090255	46090405	+	0	NA	promoter-TSS (MARCH8)	-promoter-TSS (MARCH8)	24	MARCH8	MARCH8	NM_145021			MARCH8			NA
Interval_2301	chr2	178976966	178977196	+	0	NA	promoter-TSS (RBM45)	-promoter-TSS (RBM45)	-70	RBM45	RBM45	NM_152945			RBM45			NA
Interval_1277	chr16	30908389	30908636	+	0	NA	intron (CTF1, intron 1 of 2)	-intron (CTF1, intron 1 of 2)	584	CTF1	CTF1	NM_001330			CTF1			NA
Interval_179	chr1	36615012	36615347	+	0	NA	promoter-TSS (TRAPPC3)	-promoter-TSS (TRAPPC3)	-64	TRAPPC3	TRAPPC3	NM_001270895			TRAPPC3			NA
Interval_490	chr1	247095398	247095610	+	0	NA	promoter-TSS (AHCTF1)	-promoter-TSS (AHCTF1)	-778	AHCTF1	AHCTF1	NM_015446			AHCTF1			NA
Interval_98	chr1	21985707	21985959	+	0	NA	intron (RAP1GAP, intron 1 of 24)	-intron (RAP1GAP, intron 2 of 26)	10023	RAP1GAP	RAP1GAP	NM_001145657			RAP1GAP			NA
Interval_2574	chr22	22089974	22090132	+	0	NA	promoter-TSS (YPEL1)	-promoter-TSS (YPEL1)	70	YPEL1	YPEL1	NR_130910			YPEL1			NA
Interval_2876	chr5	10250281	10250442	+	0	NA	promoter-TSS (FAM173B)	-promoter-TSS (FAM173B)	328	CCT5	CCT5	NM_001306153			CCT5			NA
Interval_1989	chr19	45348039	45348239	+	0	NA	Intergenic	Intergenic	-1254	PVRL2	PVRL2	NM_001042724			PVRL2			NA
Interval_2709	chr3	57741809	57742070	+	0	NA	Intergenic	Intergenic	-1044	SLMAP	SLMAP	NM_001304423			SLMAP			NA
Interval_3510	chr8	144699729	144699863	+	0	NA	promoter-TSS (TSTA3)	-promoter-TSS (TSTA3)	-64	TSTA3	TSTA3	NM_003313			TSTA3			NA
Interval_3089	chr6	33257257	33257459	+	0	NA	promoter-TSS (WDR46)	-promoter-TSS (WDR46)	-16	PFDN6	PFDN6	NM_001185181_4			PFDN6			NA
Interval_1725	chr19	1438204	1438483	+	0	NA	promoter-TSS (RPS15)	-promoter-TSS (RPS15)	-81	RPS15	RPS15	NM_001308226			RPS15			NA
Interval_534	chr10	51488866	51489039	+	0	NA	intron (TIMM23B, intron 7 of 7)	-intron (TIMM23B, intron 6 of 6)	-2625	AGAP7P	AGAP7P	NR_126580			AGAP7P			NA
Interval_1299	chr16	53737748	53738051	+	0	NA	promoter-TSS (FTO)	-promoter-TSS (FTO)	24	FTO	FTO	NM_001080432			FTO			NA
Interval_1189	chr16	2390764	2391088	+	0	NA	promoter-TSS (ABCA3)	-promoter-TSS (ABCA3)	3	ABCA17P	ABCA17P	NR_003574			ABCA17P			NA
